channel_0,sample #,type
2.494163,21531004,F
2.4903657,21531005,NC
2.4392138,21531006,NC
2.3011308,21531007,NC
2.0822427,21531008,NC
1.7717788,21531009,NC
1.381814,21531010,NC
0.944962,21531011,NC
0.49170494,21531012,NC
0.06813091,21531013,NC
-0.31305537,21531014,NC
-0.6357714,21531015,NC
-0.8726734,21531016,NC
-1.0236744,21531017,NC
-1.0875179,21531018,NC
-1.090338,21531019,NC
-1.0738348,21531020,NC
-1.0460238,21531021,NC
-1.0413108,21531022,NC
-1.0603218,21531023,NC
-1.083535,21531024,NC
-1.1209294,21531025,NC
-1.1673146,21531026,NC
-1.2080396,21531027,NC
-1.230225,21531028,NC
-1.2460448,21531029,NC
-1.2578957,21531030,NC
-1.2649829,21531031,NC
-1.2652938,21531032,NC
-1.2807504,21531033,NC
-1.3110652,21531034,NC
-1.330281,21531035,NC
-1.3455607,21531036,NC
-1.3572763,21531037,NC
-1.3649782,21531038,NC
-1.3703687,21531039,NC
-1.3852457,21531040,NC
-1.4066424,21531041,NC
-1.4295805,21531042,NC
-1.4520539,21531043,NC
-1.471417,21531044,NC
-1.4856722,21531045,NC
-1.4912709,21531046,NC
-1.4900445,21531047,NC
-1.4885035,21531048,NC
-1.5017506,21531049,NC
-1.5281885,21531050,NC
-1.5569508,21531051,NC
-1.5765704,21531052,NC
-1.5940735,21531053,NC
-1.6044894,21531054,NC
-1.6009872,21531055,NC
-1.5882092,21531056,NC
-1.586151,21531057,NC
-1.5929899,21531058,NC
-1.5782938,21531059,NC
-1.577058,21531060,NC
-1.5822659,21531061,NC
-1.5642657,21531062,NC
-1.5512053,21531063,NC
-1.5364078,21531064,NC
-1.5270684,21531065,NC
-1.5255154,21531066,NC
-1.5175614,21531067,NC
-1.4986382,21531068,NC
-1.4751595,21531069,NC
-1.4490242,21531070,NC
-1.4101229,21531071,NC
-1.3679601,21531072,NC
-1.3236088,21531073,NC
-1.2827721,21531074,NC
-1.2610415,21531075,NC
-1.2377591,21531076,NC
-1.1974918,21531077,NC
-1.1585882,21531078,NC
-1.1108799,21531079,NC
-1.059928,21531080,NC
-1.0154276,21531081,NC
-0.9647089,21531082,NC
-0.929578,21531083,NC
-0.8969862,21531084,NC
-0.84927446,21531085,NC
-0.80461776,21531086,NC
-0.76068246,21531087,NC
-0.7113012,21531088,NC
-0.66484874,21531089,NC
-0.63112634,21531090,NC
-0.60230976,21531091,NC
-0.5679316,21531092,NC
-0.54134524,21531093,NC
-0.5193878,21531094,NC
-0.48187494,21531095,NC
-0.44035438,21531096,NC
-0.40264618,21531097,NC
-0.37666744,21531098,NC
-0.37101263,21531099,NC
-0.3652553,21531100,NC
-0.35509044,21531101,NC
-0.34901863,21531102,NC
