channel_0,sample #,type
2.0792446,21500637,N
1.9728447,21500638,NC
1.658294,21500639,NC
1.2596085,21500640,NC
0.7992698,21500641,NC
0.35658213,21500642,NC
-0.031195085,21500643,NC
-0.3517744,21500644,NC
-0.60415655,21500645,NC
-0.78988993,21500646,NC
-0.9557171,21500647,NC
-1.0607126,21500648,NC
-1.0753412,21500649,NC
-1.024437,21500650,NC
-0.9234894,21500651,NC
-0.7831589,21500652,NC
-0.6587822,21500653,NC
-0.5957704,21500654,NC
-0.60785204,21500655,NC
-0.6173178,21500656,NC
-0.66838276,21500657,NC
-0.67604643,21500658,NC
-0.71042913,21500659,NC
-0.7020505,21500660,NC
-0.6881314,21500661,NC
-0.69693494,21500662,NC
-0.69083947,21500663,NC
-0.70675665,21500664,NC
-0.71881956,21500665,NC
-0.72462416,21500666,NC
-0.72929716,21500667,NC
-0.73995155,21500668,NC
-0.7494844,21500669,NC
-0.74206924,21500670,NC
-0.74870443,21500671,NC
-0.7521804,21500672,NC
-0.7516388,21500673,NC
-0.7465796,21500674,NC
-0.7422241,21500675,NC
-0.7508936,21500676,NC
-0.73502576,21500677,NC
-0.71544224,21500678,NC
-0.728445,21500679,NC
-0.7262872,21500680,NC
-0.72840893,21500681,NC
-0.71040565,21500682,NC
-0.70104355,21500683,NC
-0.6735886,21500684,NC
-0.6546141,21500685,NC
-0.6304073,21500686,NC
-0.623128,21500687,NC
-0.6201663,21500688,NC
-0.59966856,21500689,NC
-0.5617344,21500690,NC
-0.5445796,21500691,NC
-0.5004228,21500692,NC
-0.47096246,21500693,NC
-0.44062662,21500694,NC
-0.42918587,21500695,NC
-0.40317792,21500696,NC
-0.3895647,21500697,NC
-0.35683385,21500698,NC
-0.30977294,21500699,NC
-0.28524536,21500700,NC
-0.2482419,21500701,NC
-0.20908801,21500702,NC
-0.1826908,21500703,NC
-0.15767494,21500704,NC
-0.13065794,21500705,NC
-0.08204876,21500706,NC
-0.014167628,21500707,NC
0.037197053,21500708,NC
0.07627714,21500709,NC
0.11126521,21500710,NC
0.14391026,21500711,NC
0.159803,21500712,NC
0.18798484,21500713,NC
0.2457878,21500714,NC
0.27892146,21500715,NC
0.32184777,21500716,NC
0.33529824,21500717,NC
0.36546063,21500718,NC
0.3775238,21500719,NC
0.38580665,21500720,NC
0.42097604,21500721,NC
0.44066894,21500722,NC
0.47121233,21500723,NC
0.4687929,21500724,NC
0.47248632,21500725,NC
0.46143466,21500726,NC
0.44001237,21500727,NC
0.43213987,21500728,NC
0.42262954,21500729,NC
0.41794652,21500730,NC
0.41249928,21500731,NC
0.393285,21500732,NC
0.3859593,21500733,NC
0.33827898,21500734,NC
0.31088012,21500735,NC
0.28221595,21500736,NC
0.23918107,21500737,NC
0.21842253,21500738,NC
0.18894729,21500739,NC
0.14943796,21500740,NC
0.10595902,21500741,NC
0.0755776,21500742,NC
0.066846944,21500743,NC
0.0387233,21500744,NC
0.023376726,21500745,NC
0.016571473,21500746,NC
0.0054359576,21500747,NC
-0.017881423,21500748,NC
-0.07510721,21500749,NC
-0.12381407,21500750,NC
-0.15416907,21500751,NC
-0.1880176,21500752,NC
-0.2154857,21500753,NC
-0.2275254,21500754,NC
-0.23876418,21500755,NC
-0.24807829,21500756,NC
-0.26695147,21500757,NC
-0.277278,21500758,NC
-0.29117835,21500759,NC
-0.3109944,21500760,NC
-0.33856767,21500761,NC
-0.35582486,21500762,NC
-0.37337592,21500763,NC
-0.38349414,21500764,NC
-0.39013326,21500765,NC
-0.40945822,21500766,NC
-0.40165934,21500767,NC
-0.39086664,21500768,NC
-0.37535974,21500769,NC
-0.35527632,21500770,NC
-0.34390262,21500771,NC
-0.35453475,21500772,NC
-0.33117217,21500773,NC
-0.34455994,21500774,NC
-0.35101905,21500775,NC
-0.33909556,21500776,NC
-0.2979313,21500777,NC
-0.25504535,21500778,NC
-0.19270672,21500779,NC
-0.14831811,21500780,NC
-0.1031456,21500781,NC
-0.109213404,21500782,NC
-0.09312484,21500783,NC
-0.08511384,21500784,NC
-0.06695704,21500785,NC
-0.067022964,21500786,NC
-0.04487752,21500787,NC
-0.039553586,21500788,NC
-0.052959632,21500789,NC
-0.064037,21500790,NC
-0.109012626,21500791,NC
-0.15329535,21500792,NC
-0.21273221,21500793,NC
-0.2650608,21500794,NC
-0.3006906,21500795,NC
-0.3419635,21500796,NC
-0.40297085,21500797,NC
-0.42236274,21500798,NC
-0.43630746,21500799,NC
-0.44939372,21500800,NC
-0.44953132,21500801,NC
-0.42738745,21500802,NC
-0.41442636,21500803,NC
-0.4159983,21500804,NC
-0.41562384,21500805,NC
-0.42536655,21500806,NC
-0.4337768,21500807,NC
-0.44600594,21500808,NC
-0.46024072,21500809,NC
-0.43733135,21500810,NC
-0.44936472,21500811,NC
-0.4525513,21500812,NC
-0.49093828,21500813,NC
-0.5226512,21500814,NC
-0.56965303,21500815,NC
-0.6031125,21500816,NC
-0.59546095,21500817,NC
-0.5830012,21500818,NC
-0.5451885,21500819,NC
-0.47297546,21500820,NC
-0.4043738,21500821,NC
-0.29136133,21500822,NC
-0.15571047,21500823,NC
0.03023208,21500824,NC
0.28332472,21500825,NC
0.617407,21500826,NC
0.9703635,21500827,NC
1.3503518,21500828,NC
1.698772,21500829,NC
1.9952953,21500830,NC
2.2365346,21500831,NC
2.3916419,21500832,NC
2.4944074,21500833,NC
2.4704845,21500834,F
2.3961163,21500835,NC
2.2455864,21500836,NC
2.0058055,21500837,NC
1.7457235,21500838,NC
1.4023819,21500839,NC
1.0398395,21500840,NC
0.67980844,21500841,NC
0.2907515,21500842,NC
-0.053483833,21500843,NC
