channel_0,sample #,type
1.6,19129453,N
1.4616666,19129454,NC
1.1833334,19129455,NC
0.7933334,19129456,NC
0.40833336,19129457,NC
0.12,19129458,NC
-0.038333334,19129459,NC
-0.10333334,19129460,NC
-0.14333333,19129461,NC
-0.185,19129462,NC
-0.21333334,19129463,NC
-0.20666668,19129464,NC
-0.18333334,19129465,NC
-0.16666667,19129466,NC
-0.17833334,19129467,NC
-0.19833334,19129468,NC
-0.21833335,19129469,NC
-0.22500001,19129470,NC
-0.22500001,19129471,NC
-0.21833333,19129472,NC
-0.21333334,19129473,NC
-0.21666667,19129474,NC
-0.22333334,19129475,NC
-0.23,19129476,NC
-0.22666667,19129477,NC
-0.21833333,19129478,NC
-0.21166667,19129479,NC
-0.215,19129480,NC
-0.22000001,19129481,NC
-0.22666667,19129482,NC
-0.22333334,19129483,NC
-0.21666667,19129484,NC
-0.20333335,19129485,NC
-0.19666666,19129486,NC
-0.19833332,19129487,NC
-0.2,19129488,NC
-0.195,19129489,NC
-0.18,19129490,NC
-0.16333333,19129491,NC
-0.15666667,19129492,NC
-0.15666667,19129493,NC
-0.16,19129494,NC
-0.14833334,19129495,NC
-0.13333333,19129496,NC
-0.11666666,19129497,NC
-0.11166667,19129498,NC
-0.11000001,19129499,NC
-0.108333334,19129500,NC
-0.09500001,19129501,NC
-0.07833333,19129502,NC
-0.058333337,19129503,NC
-0.049999997,19129504,NC
-0.04,19129505,NC
-0.035,19129506,NC
-0.018333334,19129507,NC
-0.0033333339,19129508,NC
0.011666667,19129509,NC
0.021666666,19129510,NC
0.028333332,19129511,NC
0.045,19129512,NC
0.07,19129513,NC
0.10166667,19129514,NC
0.123333335,19129515,NC
0.13166668,19129516,NC
0.135,19129517,NC
0.14166668,19129518,NC
0.15833333,19129519,NC
0.18,19129520,NC
0.20666666,19129521,NC
0.22333334,19129522,NC
0.23,19129523,NC
0.23166667,19129524,NC
0.24333334,19129525,NC
0.265,19129526,NC
0.28,19129527,NC
