channel_0,sample #,type
1.8781997,21757770,N
1.8167366,21757771,NC
1.6552172,21757772,NC
1.3664832,21757773,NC
1.0005629,21757774,NC
0.5989084,21757775,NC
0.20154199,21757776,NC
-0.16294883,21757777,NC
-0.483129,21757778,NC
-0.7361285,21757779,NC
-0.90622413,21757780,NC
-0.9748342,21757781,NC
-0.9576817,21757782,NC
-0.87906617,21757783,NC
-0.7747216,21757784,NC
-0.67037725,21757785,NC
-0.5917616,21757786,NC
-0.5460215,21757787,NC
-0.53315717,21757788,NC
-0.5388746,21757789,NC
-0.5560272,21757790,NC
-0.5717503,21757791,NC
-0.5874734,21757792,NC
-0.59747905,21757793,NC
-0.60748464,21757794,NC
-0.6117728,21757795,NC
-0.6146316,21757796,NC
-0.61749035,21757797,NC
-0.6217784,21757798,NC
-0.6246372,21757799,NC
-0.6289253,21757800,NC
-0.6360722,21757801,NC
-0.6475072,21757802,NC
-0.65608346,21757803,NC
-0.65894216,21757804,NC
-0.6532247,21757805,NC
-0.64464843,21757806,NC
-0.6317841,21757807,NC
-0.6232078,21757808,NC
-0.616061,21757809,NC
-0.61749035,21757810,NC
-0.62034905,21757811,NC
-0.62034905,21757812,NC
-0.6132022,21757813,NC
-0.6003378,21757814,NC
-0.5846147,21757815,NC
-0.57317966,21757816,NC
-0.56317407,21757817,NC
-0.56031525,21757818,NC
-0.5574565,21757819,NC
-0.55030966,21757820,NC
-0.53601587,21757821,NC
-0.5145753,21757822,NC
-0.49456403,21757823,NC
-0.47598213,21757824,NC
-0.45740026,21757825,NC
-0.44596526,21757826,NC
-0.43167147,21757827,NC
-0.4130896,21757828,NC
-0.38307267,21757829,NC
-0.35305583,21757830,NC
-0.3230389,21757831,NC
-0.29731017,21757832,NC
-0.27444014,21757833,NC
-0.25728765,21757834,NC
-0.2415645,21757835,NC
-0.22584137,21757836,NC
-0.20868886,21757837,NC
-0.18438947,21757838,NC
-0.15294321,21757839,NC
-0.11720881,21757840,NC
-0.081474416,21757841,NC
-0.05002815,21757842,NC
-0.022870012,21757843,NC
0.0014293751,21757844,NC
0.027158137,21757845,NC
0.057175025,21757846,NC
0.08433317,21757847,NC
0.10863255,21757848,NC
0.12721445,21757849,NC
0.14579633,21757850,NC
0.16294883,21757851,NC
0.18438947,21757852,NC
0.20725949,21757853,NC
0.22870013,21757854,NC
0.24585265,21757855,NC
0.258717,21757856,NC
0.2658639,21757857,NC
0.26300514,21757858,NC
0.25585827,21757859,NC
0.247282,21757860,NC
0.24585262,21757861,NC
0.24299386,21757862,NC
0.24585262,21757863,NC
0.24013512,21757864,NC
0.23298825,21757865,NC
0.21869448,21757866,NC
0.20440072,21757867,NC
0.18581885,21757868,NC
0.16580759,21757869,NC
0.14293757,21757870,NC
0.11863819,21757871,NC
0.092909425,21757872,NC
0.06432191,21757873,NC
0.038593143,21757874,NC
0.011435007,21757875,NC
-0.007146879,21757876,NC
-0.021440636,21757877,NC
-0.03001689,21757878,NC
-0.041451894,21757879,NC
-0.055745658,21757880,NC
-0.078615665,21757881,NC
-0.11006193,21757882,NC
-0.14436695,21757883,NC
-0.17152509,21757884,NC
-0.19296575,21757885,NC
-0.21154761,21757886,NC
-0.23441765,21757887,NC
-0.25585827,21757888,NC
-0.2772989,21757889,NC
-0.29302204,21757890,NC
-0.30588642,21757891,NC
-0.31303328,21757892,NC
-0.3230389,21757893,NC
-0.32589766,21757894,NC
-0.3344739,21757895,NC
-0.34305015,21757896,NC
-0.35591456,21757897,NC
-0.36306146,21757898,NC
-0.36306143,21757899,NC
-0.35734394,21757900,NC
-0.34305018,21757901,NC
-0.32446828,21757902,NC
-0.31017452,21757903,NC
-0.3116039,21757904,NC
-0.32018015,21757905,NC
-0.3344739,21757906,NC
-0.33733267,21757907,NC
-0.3359033,21757908,NC
-0.3187508,21757909,NC
-0.30159828,21757910,NC
-0.27729887,21757911,NC
-0.25585827,21757912,NC
-0.23155887,21757913,NC
-0.21154761,21757914,NC
-0.18724822,21757915,NC
-0.16151945,21757916,NC
-0.13293195,21757917,NC
-0.10577381,21757918,NC
-0.088621296,21757919,NC
-0.072898164,21757920,NC
-0.068610035,21757921,NC
-0.065751284,21757922,NC
-0.068610035,21757923,NC
-0.075756915,21757924,NC
-0.082903795,21757925,NC
-0.092909425,21757926,NC
-0.10577381,21757927,NC
-0.13007319,21757928,NC
-0.16866633,21757929,NC
-0.22012386,21757930,NC
-0.27301076,21757931,NC
-0.3230389,21757932,NC
-0.35877332,21757933,NC
-0.38450208,21757934,NC
-0.4016546,21757935,NC
-0.40308395,21757936,NC
-0.40165457,21757937,NC
-0.3945077,21757938,NC
-0.3987958,21757939,NC
-0.39736646,21757940,NC
-0.3987958,21757941,NC
-0.3945077,21757942,NC
-0.3959371,21757943,NC
-0.39736646,21757944,NC
-0.40308395,21757945,NC
-0.40737206,21757946,NC
-0.41594833,21757947,NC
-0.42309523,21757948,NC
-0.42452458,21757949,NC
-0.41451898,21757950,NC
-0.40165457,21757951,NC
-0.39307833,21757952,NC
-0.39164895,21757953,NC
-0.3987958,21757954,NC
-0.41166022,21757955,NC
-0.4345302,21757956,NC
-0.45597088,21757957,NC
-0.471694,21757958,NC
-0.47312337,21757959,NC
-0.4545415,21757960,NC
-0.4059427,21757961,NC
-0.3073158,21757962,NC
-0.1529432,21757963,NC
0.06718065,21757964,NC
0.34733826,21757965,NC
0.6760947,21757966,NC
1.0320092,21757967,NC
1.37363,21757968,NC
1.650929,21757969,NC
1.8010134,21757970,NC
1.8024428,21757971,F
1.6566464,21757972,NC
1.4036471,21757973,NC
1.0863255,21757974,NC
0.7504223,21757975,NC
0.4202365,21757976,NC
0.105773814,21757977,NC
-0.19296572,21757978,NC
-0.45882958,21757979,NC
-0.68038285,21757980,NC
-0.8304673,21757981,NC
-0.89621866,21757982,NC
-0.8747779,21757983,NC
-0.7975916,21757984,NC
-0.7046823,21757985,NC
-0.63321346,21757986,NC
-0.60033786,21757987,NC
-0.6089141,21757988,NC
-0.64321905,21757989,NC
-0.684671,21757990,NC
-0.71468794,21757991,NC
-0.73755795,21757992,NC
-0.74613416,21757993,NC
-0.75471044,21757994,NC
-0.7589986,21757995,NC
-0.7661454,21757996,NC
-0.7661454,21757997,NC
-0.7661454,21757998,NC
-0.76328665,21757999,NC
-0.7661454,21758000,NC
-0.76900417,21758001,NC
-0.77758044,21758002,NC
-0.7918742,21758003,NC
-0.8104561,21758004,NC
-0.8247498,21758005,NC
-0.83189666,21758006,NC
-0.8276086,21758007,NC
-0.821891,21758008,NC
-0.8176029,21758009,NC
-0.8147441,21758010,NC
-0.8147441,21758011,NC
-0.8147441,21758012,NC
-0.8161735,21758013,NC
-0.8176029,21758014,NC
-0.8147441,21758015,NC
-0.8118854,21758016,NC
-0.8075973,21758017,NC
-0.80330914,21758018,NC
-0.799021,21758019,NC
-0.7947329,21758020,NC
-0.7904448,21758021,NC
-0.7818685,21758022,NC
-0.7661454,21758023,NC
-0.741846,21758024,NC
-0.7204054,21758025,NC
-0.7032529,21758026,NC
-0.69467664,21758027,NC
-0.6889591,21758028,NC
-0.68324167,21758029,NC
-0.67323595,21758030,NC
-0.65608346,21758031,NC
-0.6317841,21758032,NC
-0.60176724,21758033,NC
-0.57317966,21758034,NC
-0.54459214,21758035,NC
-0.5260103,21758036,NC
-0.505999,21758037,NC
-0.48741716,21758038,NC
-0.46311775,21758039,NC
-0.43595958,21758040,NC
-0.40880144,21758041,NC
-0.38307267,21758042,NC
-0.35734394,21758043,NC
-0.3359033,21758044,NC
-0.31303328,21758045,NC
-0.28444576,21758046,NC
-0.24442327,21758047,NC
-0.20583011,21758048,NC
-0.1715251,21758049,NC
-0.14293757,21758050,NC
-0.11292069,21758051,NC
-0.0943388,21758052,NC
-0.082903795,21758053,NC
-0.074327536,21758054,NC
-0.061463162,21758055,NC
-0.042881273,21758056,NC
-0.022870012,21758057,NC
0.005717503,21758058,NC
0.032875642,21758059,NC
0.054316275,21758060,NC
0.06432191,21758061,NC
0.06432191,21758062,NC
0.067180656,21758063,NC
0.065751284,21758064,NC
0.067180656,21758065,NC
0.06718066,21758066,NC
0.068610035,21758067,NC
0.068610035,21758068,NC
0.060033787,21758069,NC
0.051457528,21758070,NC
0.038593147,21758071,NC
0.03001689,21758072,NC
0.021440638,21758073,NC
0.014293758,21758074,NC
0.007146879,21758075,NC
-0.004288127,21758076,NC
-0.021440638,21758077,NC
-0.044310648,21758078,NC
-0.070039414,21758079,NC
-0.092909425,21758080,NC
-0.114350066,21758081,NC
-0.13007319,21758082,NC
-0.14007883,21758083,NC
-0.15151383,21758084,NC
-0.16866633,21758085,NC
-0.19582446,21758086,NC
-0.22727072,21758087,NC
-0.26014638,21758088,NC
-0.28587514,21758089,NC
-0.30445704,21758090,NC
-0.31732142,21758091,NC
-0.32446828,21758092,NC
-0.33304453,21758093,NC
-0.34162077,21758094,NC
-0.35734394,21758095,NC
-0.37592584,21758096,NC
-0.39164895,21758097,NC
-0.4059427,21758098,NC
-0.40880144,21758099,NC
-0.4130896,21758100,NC
-0.41451898,21758101,NC
-0.42309523,21758102,NC
-0.4345302,21758103,NC
-0.44310644,21758104,NC
-0.44739458,21758105,NC
-0.4416771,21758106,NC
-0.4288127,21758107,NC
-0.41023082,21758108,NC
-0.39164895,21758109,NC
-0.37449643,21758110,NC
-0.35734394,21758111,NC
-0.3416208,21758112,NC
-0.32589766,21758113,NC
-0.31446266,21758114,NC
-0.29731017,21758115,NC
-0.281587,21758116,NC
-0.25585827,21758117,NC
-0.23727638,21758118,NC
-0.22155322,21758119,NC
-0.21440636,21758120,NC
-0.20868884,21758121,NC
-0.20725949,21758122,NC
-0.21440636,21758123,NC
-0.23298825,21758124,NC
-0.258717,21758125,NC
-0.2944514,21758126,NC
-0.33590332,21758127,NC
-0.3816433,21758128,NC
-0.42309523,21758129,NC
-0.4545415,21758130,NC
-0.48027024,21758131,NC
-0.49742278,21758132,NC
-0.51028717,21758133,NC
-0.52029276,21758134,NC
-0.52886903,21758135,NC
-0.53744525,21758136,NC
-0.54888034,21758137,NC
-0.5603153,21758138,NC
-0.5674622,21758139,NC
-0.56460345,21758140,NC
-0.5574565,21758141,NC
-0.5488803,21758142,NC
-0.5417334,21758143,NC
-0.5388746,21758144,NC
-0.5388746,21758145,NC
-0.5460215,21758146,NC
-0.55030966,21758147,NC
-0.5560271,21758148,NC
-0.55459774,21758149,NC
-0.5488803,21758150,NC
-0.540304,21758151,NC
-0.5317278,21758152,NC
-0.53315717,21758153,NC
-0.53744525,21758154,NC
-0.54459214,21758155,NC
-0.5488803,21758156,NC
-0.55888593,21758157,NC
-0.5688915,21758158,NC
-0.5788972,21758159,NC
-0.5703209,21758160,NC
-0.53315717,21758161,NC
-0.4459652,21758162,NC
-0.29588076,21758163,NC
-0.08433317,21758164,NC
0.19153634,21758165,NC
0.5188634,21758166,NC
0.8804954,21758167,NC
1.23641,21758168,NC
1.5337203,21758169,NC
1.7223978,21758170,NC
1.8038721,21758171,N
