channel_0,sample #,type
2.3263764,21641442,N
2.3152878,21641443,NC
2.1919875,21641444,NC
1.889147,21641445,NC
1.4656789,21641446,NC
0.9776912,21641447,NC
0.48129088,21641448,NC
0.021364462,21641449,NC
-0.3796452,21641450,NC
-0.7301542,21641451,NC
-1.018941,21641452,NC
-1.2095358,21641453,NC
-1.2879117,21641454,NC
-1.26529,21641455,NC
-1.1613088,21641456,NC
-1.0124376,21641457,NC
-0.8747843,21641458,NC
-0.7735971,21641459,NC
-0.7397355,21641460,NC
-0.75356156,21641461,NC
-0.7842163,21641462,NC
-0.82608885,21641463,NC
-0.8539309,21641464,NC
-0.85932636,21641465,NC
-0.8534966,21641466,NC
-0.8476634,21641467,NC
-0.85024273,21641468,NC
-0.8584292,21641469,NC
-0.86941755,21641470,NC
-0.8860132,21641471,NC
-0.90260524,21641472,NC
-0.91358316,21641473,NC
-0.9105306,21641474,NC
-0.91028005,21641475,NC
-0.92124766,21641476,NC
-0.92940646,21641477,NC
-0.9291457,21641478,NC
-0.93449235,21641479,NC
-0.94264096,21641480,NC
-0.9395648,21641481,NC
-0.93368,21641482,NC
-0.93901336,21641483,NC
-0.9499543,21641484,NC
-0.95528114,21641485,NC
-0.954994,21641486,NC
-0.94348216,21641487,NC
-0.92355096,21641488,NC
-0.90081125,21641489,NC
-0.8724577,21641490,NC
-0.8525171,21641491,NC
-0.84940577,21641492,NC
-0.85190207,21641493,NC
-0.8543954,21641494,NC
-0.845664,21641495,NC
-0.831319,21641496,NC
-0.8085549,21641497,NC
-0.780177,21641498,NC
-0.7461855,21641499,NC
-0.71219105,21641500,NC
-0.6866098,21641501,NC
-0.655415,21641502,NC
-0.6214119,21641503,NC
-0.5846008,21641504,NC
-0.54217607,21641505,NC
-0.49694315,21641506,NC
-0.4601237,21641507,NC
-0.4373284,21641508,NC
-0.42294657,21641509,NC
-0.3973406,21641510,NC
-0.36331588,21641511,NC
-0.3264831,21641512,NC
-0.2728156,21641513,NC
-0.21353467,21641514,NC
-0.15705667,21641515,NC
-0.117408454,21641516,NC
-0.091784656,21641517,NC
-0.066158436,21641518,NC
-0.03211367,21641519,NC
0.010349613,21641520,NC
0.06123138,21641521,NC
0.11772622,21641522,NC
0.16019648,21641523,NC
0.18864208,21641524,NC
0.21708994,21641525,NC
0.24553998,21641526,NC
0.26277068,21641527,NC
0.28561428,21641528,NC
0.31687617,21641529,NC
0.3369186,21641530,NC
0.35135233,21641531,NC
0.3657881,21641532,NC
0.3718097,21641533,NC
0.36661178,21641534,NC
0.3614158,21641535,NC
0.36463782,21641536,NC
0.3706671,21641537,NC
0.37389287,21641538,NC
0.37150967,21641539,NC
0.3579068,21641540,NC
0.33588946,21641541,NC
0.30545774,21641542,NC
0.27222228,21641543,NC
0.2474047,21641544,NC
0.22819941,21641545,NC
0.2174119,21641546,NC
0.20662591,21641547,NC
0.18461998,21641548,NC
0.151394,21641549,NC
0.11536409,21641550,NC
0.07372484,21641551,NC
0.040503148,21641552,NC
0.024115091,21641553,NC
-0.0062985374,21641554,NC
-0.033905484,21641555,NC
-0.05590041,21641556,NC
-0.09472638,21641557,NC
-0.13635655,21641558,NC
-0.16395862,21641559,NC
-0.17753272,21641560,NC
-0.17988415,21641561,NC
-0.17662376,21641562,NC
-0.1817785,21641563,NC
-0.18973762,21641564,NC
-0.20330653,21641565,NC
-0.22809602,21641566,NC
-0.25007927,21641567,NC
-0.2608401,21641568,NC
-0.263184,21641569,NC
-0.26552707,21641570,NC
-0.26786944,21641571,NC
-0.2617949,21641572,NC
-0.24169277,21641573,NC
-0.21878463,21641574,NC
-0.20709738,21641575,NC
-0.18699339,21641576,NC
-0.15286197,21641577,NC
-0.113119274,21641578,NC
-0.08459761,21641579,NC
-0.06729701,21641580,NC
-0.05280138,21641581,NC
-0.035499997,21641582,NC
-0.006976747,21641583,NC
0.01874143,21641584,NC
0.050070643,21641585,NC
0.087010846,21641586,NC
0.11272975,21641587,NC
0.1132004,21641588,NC
0.09964429,21641589,NC
0.07486676,21641590,NC
0.022035485,21641591,NC
-0.039211888,21641592,NC
-0.094848506,21641593,NC
-0.14206903,21641594,NC
-0.18367885,21641595,NC
-0.22809418,21641596,NC
-0.27531502,21641597,NC
-0.31131452,21641598,NC
-0.33609277,21641599,NC
-0.35806578,21641600,NC
-0.36601228,21641601,NC
-0.37115368,21641602,NC
-0.37629542,21641603,NC
-0.3730214,21641604,NC
-0.36974785,21641605,NC
-0.37208545,21641606,NC
-0.3912559,21641607,NC
-0.3992053,21641608,NC
-0.38751757,21641609,NC
-0.3758305,21641610,NC
-0.35853326,21641611,NC
-0.34404212,21641612,NC
-0.34357855,21641613,NC
-0.35714257,21641614,NC
-0.3735128,21641615,NC
-0.38707843,21641616,NC
-0.39222875,21641617,NC
-0.38896382,21641618,NC
-0.38289434,21641619,NC
-0.3824366,21641620,NC
-0.4072283,21641621,NC
-0.45446402,21641622,NC
-0.5017007,21641623,NC
-0.5405224,21641624,NC
-0.5344591,21641625,NC
-0.4582625,21641626,NC
-0.31473792,21641627,NC
-0.075831614,21641628,NC
0.2612617,21641629,NC
0.6684882,21641630,NC
1.1346265,21641631,NC
1.6288171,21641632,NC
2.0781205,21641633,NC
2.423623,21641634,NC
2.6148286,21641635,NC
2.6264882,21641636,F
2.47824,21641637,NC
2.212164,21641638,NC
1.8731467,21641639,NC
1.4948523,21641640,NC
1.1025294,21641641,NC
0.7242319,21641642,NC
0.35995954,21641643,NC
-0.004314577,21641644,NC
-0.31809363,21641645,NC
-0.5449076,21641646,NC
-0.6707298,21641647,NC
-0.69836557,21641648,NC
-0.67270106,21641649,NC
-0.63301146,21641650,NC
-0.60735077,21641651,NC
-0.6125512,21641652,NC
-0.64861274,21641653,NC
-0.69589794,21641654,NC
-0.7487959,21641655,NC
-0.7820584,21641656,NC
-0.7900746,21641657,NC
-0.79809284,21641658,NC
-0.80050254,21641659,NC
-0.8001091,21641660,NC
-0.80532867,21641661,NC
-0.82457733,21641662,NC
-0.85224456,21641663,NC
-0.87710863,21641664,NC
-0.9047805,21641665,NC
-0.92123324,21641666,NC
-0.91805065,21641667,NC
-0.9148706,21641668,NC
-0.9088876,21641669,NC
-0.90851784,21641670,NC
-0.91937214,21641671,NC
-0.930229,21641672,NC
-0.94669914,21641673,NC
-0.9659773,21641674,NC
-0.97123116,21641675,NC
-0.97368246,21641676,NC
-0.9817471,21641677,NC
-0.98420364,21641678,NC
-0.99227375,21641679,NC
-0.9975411,21641680,NC
-0.9915899,21641681,NC
-0.9856414,21641682,NC
-0.97408503,21641683,NC
-0.95972604,21641684,NC
-0.95378625,21641685,NC
-0.9478493,21641686,NC
-0.9419152,21641687,NC
-0.94440025,21641688,NC
-0.94127756,21641689,NC
-0.9213256,21641690,NC
-0.8929605,21641691,NC
-0.8617931,21641692,NC
-0.8334341,21641693,NC
-0.81068903,21641694,NC
-0.7963632,21641695,NC
-0.78765124,21641696,NC
-0.77052635,21641697,NC
-0.7505992,21641698,NC
-0.72225916,21641699,NC
-0.6911169,21641700,NC
-0.6627834,21641701,NC
-0.6176208,21641702,NC
-0.5668507,21641703,NC
-0.53011096,21641704,NC
-0.49056906,21641705,NC
-0.44822514,21641706,NC
-0.40027386,21641707,NC
-0.34110442,21641708,NC
-0.29315996,21641709,NC
-0.25924572,21641710,NC
-0.22533502,21641711,NC
-0.19142777,21641712,NC
-0.16874549,21641713,NC
-0.1348452,21641714,NC
-0.089726925,21641715,NC
-0.044612173,21641716,NC
0.00891516,21641717,NC
0.06524431,21641718,NC
0.11034836,21641719,NC
0.1414219,21641720,NC
0.1640757,21641721,NC
0.17550434,21641722,NC
0.19815086,21641723,NC
0.22640446,21641724,NC
0.24623828,21641725,NC
0.27728987,21641726,NC
0.29992163,21641727,NC
0.31132817,21641728,NC
0.32273102,21641729,NC
0.33693543,21641730,NC
0.3511361,21641731,NC
0.3569169,21641732,NC
0.36269385,21641733,NC
0.36285627,21641734,NC
0.35740414,21641735,NC
0.3407266,21641736,NC
0.31562915,21641737,NC
0.29052788,21641738,NC
0.27383885,21641739,NC
0.26836747,21641740,NC
0.27130836,21641741,NC
0.27144,21641742,NC
