channel_0,sample #,type
1.428996,19408705,N
1.2676977,19408706,NC
0.90811604,19408707,NC
0.513443,19408708,NC
0.17525008,19408709,NC
-0.018103879,19408710,NC
-0.08190538,19408711,NC
-0.07920462,19408712,NC
-0.072620854,19408713,NC
-0.09104189,19408714,NC
-0.116552,19408715,NC
-0.12482566,19408716,NC
-0.112698495,19408717,NC
-0.10858041,19408718,NC
-0.1429111,19408719,NC
-0.20569861,19408720,NC
-0.2287341,19408721,NC
-0.20248842,19408722,NC
-0.15904325,19408723,NC
-0.14528,19408724,NC
-0.16303776,19408725,NC
-0.19687755,19408726,NC
-0.23838392,19408727,NC
-0.29975396,19408728,NC
-0.34249142,19408729,NC
-0.33801505,19408730,NC
-0.2769504,19408731,NC
-0.19861786,19408732,NC
-0.17133056,19408733,NC
-0.2020417,19408734,NC
-0.24078883,19408735,NC
-0.2465247,19408736,NC
-0.233579,19408737,NC
-0.21505423,19408738,NC
-0.24525642,19408739,NC
-0.30199283,19408740,NC
-0.3595034,19408741,NC
-0.39111,19408742,NC
-0.38620993,19408743,NC
-0.3533973,19408744,NC
-0.29213753,19408745,NC
-0.23802361,19408746,NC
-0.20169172,19408747,NC
-0.18267743,19408748,NC
-0.17707378,19408749,NC
-0.19066058,19408750,NC
-0.20904341,19408751,NC
-0.2106085,19408752,NC
-0.207478,19408753,NC
-0.19872086,19408754,NC
-0.19253315,19408755,NC
-0.17615533,19408756,NC
-0.15539235,19408757,NC
-0.13459478,19408758,NC
-0.113171004,19408759,NC
-0.1033309,19408760,NC
-0.09363486,19408761,NC
-0.06407434,19408762,NC
-0.023922402,19408763,NC
0.024103066,19408764,NC
0.05230553,19408765,NC
0.05406492,19408766,NC
0.058479283,19408767,NC
0.06272719,19408768,NC
0.064665064,19408769,NC
0.06688395,19408770,NC
0.061036516,19408771,NC
0.060069006,19408772,NC
0.0678311,19408773,NC
0.084281944,19408774,NC
0.10270135,19408775,NC
0.12314311,19408776,NC
0.17626606,19408777,NC
0.23552829,19408778,NC
0.27601668,19408779,NC
0.2840033,19408780,NC
0.25425363,19408781,NC
0.2098524,19408782,NC
0.18685856,19408783,NC
0.19920444,19408784,NC
0.21704537,19408785,NC
0.2331696,19408786,NC
0.23445001,19408787,NC
0.22322558,19408788,NC
0.21666549,19408789,NC
0.21945746,19408790,NC
0.22279285,19408791,NC
0.21391805,19408792,NC
0.17835283,19408793,NC
0.118193164,19408794,NC
0.07331148,19408795,NC
0.04636322,19408796,NC
0.03857561,19408797,NC
0.034346867,19408798,NC
0.010029139,19408799,NC
-0.02396262,19408800,NC
-0.045847993,19408801,NC
-0.05086755,19408802,NC
-0.044033505,19408803,NC
-0.051868103,19408804,NC
-0.069964364,19408805,NC
-0.08536796,19408806,NC
-0.09672469,19408807,NC
-0.1072566,19408808,NC
-0.11178781,19408809,NC
-0.10687604,19408810,NC
-0.1024923,19408811,NC
-0.1049453,19408812,NC
-0.12230028,19408813,NC
-0.13061665,19408814,NC
-0.13967593,19408815,NC
-0.1495355,19408816,NC
-0.17259803,19408817,NC
-0.19895466,19408818,NC
-0.19165766,19408819,NC
-0.15923905,19408820,NC
-0.12388783,19408821,NC
-0.10240428,19408822,NC
-0.102677405,19408823,NC
-0.09730533,19408824,NC
-0.092644125,19408825,NC
-0.10093774,19408826,NC
-0.12550253,19408827,NC
-0.13417847,19408828,NC
-0.12186769,19408829,NC
-0.10267633,19408830,NC
-0.09993039,19408831,NC
-0.11200195,19408832,NC
-0.11931622,19408833,NC
-0.12181321,19408834,NC
-0.1417523,19408835,NC
-0.1781427,19408836,NC
-0.22920686,19408837,NC
-0.25656217,19408838,NC
-0.25128815,19408839,NC
-0.23607445,19408840,NC
-0.23683159,19408841,NC
-0.25997227,19408842,NC
-0.28868604,19408843,NC
-0.30713618,19408844,NC
-0.30932015,19408845,NC
-0.3057603,19408846,NC
-0.30198795,19408847,NC
-0.31045017,19408848,NC
-0.3270293,19408849,NC
-0.34635627,19408850,NC
-0.33854952,19408851,NC
-0.3187031,19408852,NC
-0.31029326,19408853,NC
-0.32011867,19408854,NC
-0.31883428,19408855,NC
-0.30377892,19408856,NC
-0.2910344,19408857,NC
-0.26470673,19408858,NC
-0.23919521,19408859,NC
-0.22532317,19408860,NC
-0.20946844,19408861,NC
-0.18727739,19408862,NC
-0.15131955,19408863,NC
-0.13122739,19408864,NC
-0.13296019,19408865,NC
-0.13886955,19408866,NC
-0.15135358,19408867,NC
-0.15564501,19408868,NC
-0.13850138,19408869,NC
-0.12572332,19408870,NC
-0.118184045,19408871,NC
-0.117691696,19408872,NC
-0.11276676,19408873,NC
-0.10601909,19408874,NC
-0.10065088,19408875,NC
-0.113773756,19408876,NC
-0.12991504,19408877,NC
-0.14065947,19408878,NC
-0.16244501,19408879,NC
-0.18393725,19408880,NC
-0.20582211,19408881,NC
-0.23141192,19408882,NC
-0.25089675,19408883,NC
-0.26591656,19408884,NC
-0.26946908,19408885,NC
-0.24965553,19408886,NC
-0.21857023,19408887,NC
-0.20620868,19408888,NC
-0.22442147,19408889,NC
-0.2495667,19408890,NC
-0.2697772,19408891,NC
-0.26283777,19408892,NC
-0.21715693,19408893,NC
-0.14774868,19408894,NC
-0.10030278,19408895,NC
-0.067660816,19408896,NC
-0.020873565,19408897,NC
0.055601683,19408898,NC
0.15934274,19408899,NC
0.25823775,19408900,NC
0.31849676,19408901,NC
0.35924268,19408902,NC
0.40420443,19408903,NC
0.47100902,19408904,NC
0.552558,19408905,NC
0.63154596,19408906,NC
0.6924172,19408907,NC
0.73508,19408908,NC
0.7775515,19408909,NC
0.84946805,19408910,NC
0.9180355,19408911,NC
0.9579348,19408912,NC
0.9901284,19408913,NC
1.0678382,19408914,NC
1.2080503,19408915,NC
1.3866962,19408916,NC
1.5717517,19408917,NC
1.753403,19408918,NC
1.8931389,19408919,NC
2.008209,19408920,NC
2.100855,19408921,F
2.1655521,19408922,NC
2.146739,19408923,NC
1.95303,19408924,NC
1.5904323,19408925,NC
1.1859901,19408926,NC
0.82798785,19408927,NC
0.50819284,19408928,NC
0.22174606,19408929,NC
-0.003956701,19408930,NC
-0.16316666,19408931,NC
-0.28433383,19408932,NC
-0.3718429,19408933,NC
-0.42024046,19408934,NC
-0.42413992,19408935,NC
-0.41414413,19408936,NC
-0.44527635,19408937,NC
-0.49515864,19408938,NC
-0.5297577,19408939,NC
-0.54388225,19408940,NC
-0.5481483,19408941,NC
-0.5614224,19408942,NC
-0.58029145,19408943,NC
-0.61099386,19408944,NC
-0.63715154,19408945,NC
-0.6237563,19408946,NC
-0.5937739,19408947,NC
-0.58242273,19408948,NC
-0.59723336,19408949,NC
