channel_0,sample #,type
2.155691,21753368,N
2.0574765,21753369,NC
1.8342621,21753370,NC
1.4743812,21753371,NC
1.0328336,21753372,NC
0.5712862,21753373,NC
0.14640549,21753374,NC
-0.20847511,21753375,NC
-0.50002235,21753376,NC
-0.7465694,21753377,NC
-0.9531164,21753378,NC
-1.1029966,21753379,NC
-1.1728768,21753380,NC
-1.1694236,21753381,NC
-1.1076368,21753382,NC
-1.02085,21753383,NC
-0.9390632,21753384,NC
-0.8872762,21753385,NC
-0.8704891,21753386,NC
-0.87536865,21753387,NC
-0.8919147,21753388,NC
-0.91346085,21753389,NC
-0.9383401,21753390,NC
-0.9582193,21753391,NC
-0.9730984,21753392,NC
-0.98464406,21753393,NC
-0.98952293,21753394,NC
-0.98940176,21753395,NC
-0.98261386,21753396,NC
-0.9774925,21753397,NC
-0.98070437,21753398,NC
-0.9855828,21753399,NC
-0.9954612,21753400,NC
-1.0086728,21753401,NC
-1.0168843,21753402,NC
-1.0250958,21753403,NC
-1.0249739,21753404,NC
-1.0298518,21753405,NC
-1.0363964,21753406,NC
-1.0412742,21753407,NC
-1.0478185,21753408,NC
-1.0493628,21753409,NC
-1.0459069,21753410,NC
-1.037451,21753411,NC
-1.023995,21753412,NC
-1.0122057,21753413,NC
-1.0054163,21753414,NC
-1.00196,21753415,NC
-1.0051703,21753416,NC
-1.0067139,21753417,NC
-1.0082574,21753418,NC
-1.0014675,21753419,NC
-0.9880109,21753420,NC
-0.96788746,21753421,NC
-0.9427639,21753422,NC
-0.9176404,21753423,NC
-0.89585006,21753424,NC
-0.87739295,21753425,NC
-0.85726905,21753426,NC
-0.83214515,21753427,NC
-0.8070212,21753428,NC
-0.77856374,21753429,NC
-0.75343955,21753430,NC
-0.72998196,21753431,NC
-0.7115243,21753432,NC
-0.6913999,21753433,NC
-0.6662754,21753434,NC
-0.6344841,21753435,NC
-0.59435946,21753436,NC
-0.54590136,21753437,NC
-0.49910986,21753438,NC
-0.45898494,21753439,NC
-0.42885995,21753440,NC
-0.4054015,21753441,NC
-0.38194302,21753442,NC
-0.35348445,21753443,NC
-0.31502578,21753444,NC
-0.27156702,21753445,NC
-0.2331082,21753446,NC
-0.2046493,21753447,NC
-0.18119031,21753448,NC
-0.15773124,21753449,NC
-0.1326054,21753450,NC
-0.107479505,21753451,NC
-0.08068685,21753452,NC
-0.05222746,21753453,NC
-0.030434646,21753454,NC
-0.01364176,21753455,NC
0.0014845505,21753456,NC
0.013277598,21753457,NC
0.020070732,21753458,NC
0.02019728,21753459,NC
0.021990575,21753460,NC
0.03378395,21753461,NC
0.045577392,21753462,NC
0.054037593,21753463,NC
0.04749786,21753464,NC
0.032624893,21753465,NC
0.006085336,21753466,NC
-0.018787488,21753467,NC
-0.040326886,21753468,NC
-0.05019955,21753469,NC
-0.056738798,21753470,NC
-0.053277962,21753471,NC
-0.053150386,21753472,NC
-0.058022734,21753473,NC
-0.079561666,21753474,NC
-0.10776719,21753475,NC
-0.14097263,21753476,NC
