channel_0,sample #,type
2.0630114,21657028,N
1.965854,21657029,NC
1.7756321,21657030,NC
1.470406,21657031,NC
1.0727183,21657032,NC
0.6190301,21657033,NC
0.159082,21657034,NC
-0.27836826,21657035,NC
-0.6613517,21657036,NC
-0.9627773,21657037,NC
-1.1636624,21657038,NC
-1.2477438,21657039,NC
-1.2340736,21657040,NC
-1.1462479,21657041,NC
-1.0362866,21657042,NC
-0.9299553,21657043,NC
-0.8572771,21657044,NC
-0.8311108,21657045,NC
-0.83701026,21657046,NC
-0.86370057,21657047,NC
-0.8897752,21657048,NC
-0.9059887,21657049,NC
-0.91022944,21657050,NC
-0.90981805,21657051,NC
-0.90665543,21657052,NC
-0.9107839,21657053,NC
-0.9273904,21657054,NC
-0.94390935,21657055,NC
-0.95781845,21657056,NC
-0.9685714,21657057,NC
-0.966591,21657058,NC
-0.9653083,21657059,NC
-0.96729916,21657060,NC
-0.9627319,21657061,NC
-0.9654451,21657062,NC
-0.9672622,21657063,NC
-0.9702032,21657064,NC
-0.97210044,21657065,NC
-0.9725095,21657066,NC
-0.9761524,21657067,NC
-0.97382,21657068,NC
-0.97324395,21657069,NC
-0.97719467,21657070,NC
-0.97707874,21657071,NC
-0.97338766,21657072,NC
-0.9670772,21657073,NC
-0.95052195,21657074,NC
-0.9351584,21657075,NC
-0.9272198,21657076,NC
-0.9185905,21657077,NC
-0.90982175,21657078,NC
-0.9015132,21657079,NC
-0.88728285,21657080,NC
-0.8699491,21657081,NC
-0.84417075,21657082,NC
-0.8157746,21657083,NC
-0.7874963,21657084,NC
-0.7570959,21657085,NC
-0.7364154,21657086,NC
-0.7145674,21657087,NC
-0.6883346,21657088,NC
-0.65690476,21657089,NC
-0.62036896,21657090,NC
-0.5794388,21657091,NC
-0.541343,21657092,NC
-0.51605535,21657093,NC
-0.4827283,21657094,NC
-0.44272175,21657095,NC
-0.39787436,21657096,NC
-0.34162,21657097,NC
-0.29141128,21657098,NC
-0.25017914,21657099,NC
-0.21342172,21657100,NC
-0.18903127,21657101,NC
-0.16196367,21657102,NC
-0.13700323,21657103,NC
-0.10660506,21657104,NC
-0.070966065,21657105,NC
-0.030566987,21657106,NC
0.005019726,21657107,NC
0.04474537,21657108,NC
0.08059676,21657109,NC
0.10747963,21657110,NC
0.1409973,21657111,NC
0.1634291,21657112,NC
0.19025022,21657113,NC
0.21257551,21657114,NC
0.2337352,21657115,NC
0.25121936,21657116,NC
0.25470513,21657117,NC
0.26011258,21657118,NC
0.2611873,21657119,NC
0.2645464,21657120,NC
0.27018827,21657121,NC
0.26467672,21657122,NC
0.26387194,21657123,NC
0.24844375,21657124,NC
0.22958657,21657125,NC
0.21308997,21657126,NC
0.18586774,21657127,NC
0.16825885,21657128,NC
0.14085768,21657129,NC
0.12094705,21657130,NC
0.097420074,21657131,NC
0.069284126,21657132,NC
0.0404335,21657133,NC
0.007687329,21657134,NC
-0.021913586,21657135,NC
-0.054703813,21657136,NC
-0.08538419,21657137,NC
-0.11638031,21657138,NC
-0.14676742,21657139,NC
-0.18084519,21657140,NC
-0.21477987,21657141,NC
-0.2444812,21657142,NC
-0.26365888,21657143,NC
-0.27717888,21657144,NC
-0.29650527,21657145,NC
-0.31081507,21657146,NC
-0.32493144,21657147,NC
-0.34658024,21657148,NC
-0.3626086,21657149,NC
-0.38860163,21657150,NC
-0.40273675,21657151,NC
-0.41598484,21657152,NC
-0.4205825,21657153,NC
-0.4163002,21657154,NC
-0.4147135,21657155,NC
-0.41355246,21657156,NC
-0.41334754,21657157,NC
-0.4174314,21657158,NC
-0.41677764,21657159,NC
-0.41196042,21657160,NC
-0.3954846,21657161,NC
-0.37787625,21657162,NC
-0.35175508,21657163,NC
-0.3272375,21657164,NC
-0.29968396,21657165,NC
-0.2735525,21657166,NC
-0.25720313,21657167,NC
-0.23044734,21657168,NC
-0.20516565,21657169,NC
-0.18325777,21657170,NC
-0.158324,21657171,NC
-0.14877152,21657172,NC
-0.14409831,21657173,NC
-0.15279613,21657174,NC
-0.16676737,21657175,NC
-0.17724806,21657176,NC
-0.18991019,21657177,NC
-0.20961781,21657178,NC
-0.23915751,21657179,NC
-0.2772287,21657180,NC
-0.32676968,21657181,NC
-0.38385564,21657182,NC
-0.44022414,21657183,NC
-0.49087116,21657184,NC
-0.52804947,21657185,NC
-0.5516395,21657186,NC
-0.5663814,21657187,NC
-0.5740602,21657188,NC
-0.5823405,21657189,NC
-0.5925347,21657190,NC
-0.59841865,21657191,NC
-0.5977272,21657192,NC
-0.6021017,21657193,NC
-0.59981847,21657194,NC
-0.5944858,21657195,NC
-0.59437734,21657196,NC
-0.59449506,21657197,NC
-0.5984732,21657198,NC
-0.608069,21657199,NC
-0.61749494,21657200,NC
-0.6193299,21657201,NC
-0.61574787,21657202,NC
-0.6120385,21657203,NC
-0.611711,21657204,NC
-0.6122701,21657205,NC
-0.63199854,21657206,NC
-0.6610206,21657207,NC
-0.69590014,21657208,NC
-0.7303009,21657209,NC
-0.7491202,21657210,NC
-0.74794096,21657211,NC
-0.70363325,21657212,NC
-0.6072026,21657213,NC
-0.44412878,21657214,NC
-0.20117214,21657215,NC
0.11595166,21657216,NC
0.4878182,21657217,NC
0.88311625,21657218,NC
1.2720186,21657219,NC
1.6113236,21657220,NC
1.8682448,21657221,NC
2.026833,21657222,NC
2.068586,21657223,F
2.0098016,21657224,NC
1.8690962,21657225,NC
1.6742812,21657226,NC
1.4385022,21657227,NC
1.1880338,21657228,NC
0.92086,21657229,NC
0.6487302,21657230,NC
0.36394086,21657231,NC
0.06305789,21657232,NC
-0.23280258,21657233,NC
-0.507889,21657234,NC
-0.7222897,21657235,NC
-0.8583275,21657236,NC
-0.9203945,21657237,NC
-0.93014497,21657238,NC
-0.9176843,21657239,NC
-0.90880114,21657240,NC
-0.91248137,21657241,NC
-0.93523824,21657242,NC
-0.9701375,21657243,NC
-1.0025995,21657244,NC
-1.032404,21657245,NC
-1.0543022,21657246,NC
-1.0742245,21657247,NC
-1.0949993,21657248,NC
