channel_0,sample #,type
2.1937244,21938338,N
2.1012094,21938339,NC
1.8730637,21938340,NC
1.585852,21938341,NC
1.2439327,21938342,NC
0.8784252,21938343,NC
0.51694506,21938344,NC
0.17102143,21938345,NC
-0.16477269,21938346,NC
-0.49482793,21938347,NC
-0.76664835,21938348,NC
-0.9470246,21938349,NC
-1.0203056,21938350,NC
-0.969492,21938351,NC
-0.8516555,21938352,NC
-0.7205443,21938353,NC
-0.6057931,21938354,NC
-0.5527516,21938355,NC
-0.5680476,21938356,NC
-0.60587025,21938357,NC
-0.64847934,21938358,NC
-0.6864453,21938359,NC
-0.7102446,21938360,NC
-0.712448,21938361,NC
-0.70274395,21938362,NC
-0.702588,21938363,NC
-0.693853,21938364,NC
-0.6924763,21938365,NC
-0.7033399,21938366,NC
-0.7093062,21938367,NC
-0.72600883,21938368,NC
-0.7160766,21938369,NC
-0.7246614,21938370,NC
-0.7377895,21938371,NC
-0.75732803,21938372,NC
-0.7718204,21938373,NC
-0.77848643,21938374,NC
-0.7627769,21938375,NC
-0.75097114,21938376,NC
-0.75006485,21938377,NC
-0.74142,21938378,NC
-0.7530545,21938379,NC
-0.76476365,21938380,NC
-0.7900057,21938381,NC
-0.7859237,21938382,NC
-0.77856684,21938383,NC
-0.75791556,21938384,NC
-0.7554336,21938385,NC
-0.73025066,21938386,NC
-0.7153278,21938387,NC
-0.71754086,21938388,NC
-0.70954895,21938389,NC
-0.71786845,21938390,NC
-0.71230024,21938391,NC
-0.6948576,21938392,NC
-0.6860833,21938393,NC
-0.66976494,21938394,NC
-0.6423896,21938395,NC
-0.6317994,21938396,NC
-0.6031516,21938397,NC
-0.5946752,21938398,NC
-0.5647766,21938399,NC
-0.55736643,21938400,NC
-0.519901,21938401,NC
-0.48041108,21938402,NC
-0.4347229,21938403,NC
-0.39864385,21938404,NC
-0.39017585,21938405,NC
-0.37600136,21938406,NC
-0.35218805,21938407,NC
-0.31418827,21938408,NC
-0.2753107,21938409,NC
-0.22778559,21938410,NC
-0.17770715,21938411,NC
-0.12912646,21938412,NC
-0.09345716,21938413,NC
-0.06585042,21938414,NC
-0.04031519,21938415,NC
-0.010167203,21938416,NC
0.031677626,21938417,NC
0.0828961,21938418,NC
0.13083059,21938419,NC
0.16698116,21938420,NC
0.19978489,21938421,NC
0.23643003,21938422,NC
0.26366538,21938423,NC
0.2969814,21938424,NC
0.32557604,21938425,NC
0.3554893,21938426,NC
0.37543836,21938427,NC
0.39912742,21938428,NC
0.41282192,21938429,NC
0.40958753,21938430,NC
0.39642105,21938431,NC
0.41381326,21938432,NC
0.42565027,21938433,NC
0.43849835,21938434,NC
0.46600673,21938435,NC
0.4797082,21938436,NC
0.4871875,21938437,NC
0.4755689,21938438,NC
0.45401418,21938439,NC
0.4280996,21938440,NC
0.4066438,21938441,NC
0.39434266,21938442,NC
0.37524277,21938443,NC
0.36163393,21938444,NC
0.35115853,21938445,NC
0.34406787,21938446,NC
0.32153463,21938447,NC
0.29436955,21938448,NC
0.27968657,21938449,NC
0.25678587,21938450,NC
0.24686652,21938451,NC
0.21616462,21938452,NC
0.19275598,21938453,NC
0.15034074,21938454,NC
0.11863535,21938455,NC
0.08395219,21938456,NC
0.05478305,21938457,NC
0.03484662,21938458,NC
0.03103222,21938459,NC
0.018620117,21938460,NC
0.01721272,21938461,NC
0.01841189,21938462,NC
-0.006332479,21938463,NC
-0.02631192,21938464,NC
-0.05708758,21938465,NC
-0.0811615,21938466,NC
-0.08283828,21938467,NC
-0.08749782,21938468,NC
-0.07996783,21938469,NC
-0.067780085,21938470,NC
-0.060812943,21938471,NC
-0.06401492,21938472,NC
-0.07955377,21938473,NC
-0.084851444,21938474,NC
-0.078049965,21938475,NC
-0.070494205,21938476,NC
-0.05470519,21938477,NC
-0.029384144,21938478,NC
-0.021031002,21938479,NC
-0.0067887967,21938480,NC
0.032126725,21938481,NC
0.061448004,21938482,NC
0.08586887,21938483,NC
0.11404543,21938484,NC
0.14223145,21938485,NC
0.1578073,21938486,NC
0.16073996,21938487,NC
0.14653389,21938488,NC
0.16454764,21938489,NC
0.17414542,21938490,NC
0.17582905,21938491,NC
0.18578836,21938492,NC
0.19605705,21938493,NC
0.17372486,21938494,NC
0.13767447,21938495,NC
0.090230614,21938496,NC
0.024860641,21938497,NC
-0.039934907,21938498,NC
-0.0930462,21938499,NC
-0.12306887,21938500,NC
-0.13600571,21938501,NC
-0.16711283,21938502,NC
-0.1723062,21938503,NC
-0.17749378,21938504,NC
-0.16925485,21938505,NC
-0.17922148,21938506,NC
-0.16393849,21938507,NC
-0.15621828,21938508,NC
-0.14772303,21938509,NC
-0.1264335,21938510,NC
-0.14403819,21938511,NC
-0.15325089,21938512,NC
-0.15772316,21938513,NC
-0.18609497,21938514,NC
-0.1937517,21938515,NC
-0.18599083,21938516,NC
-0.1855145,21938517,NC
-0.16600035,21938518,NC
-0.15943666,21938519,NC
-0.167154,21938520,NC
-0.18867034,21938521,NC
-0.21654445,21938522,NC
-0.2332817,21938523,NC
