channel_0,sample #,type
2.4283333,21527287,N
2.3116667,21527288,NC
2.0516667,21527289,NC
1.65,21527290,NC
1.17,21527291,NC
0.6816667,21527292,NC
0.22833335,21527293,NC
-0.17166668,21527294,NC
-0.495,21527295,NC
-0.725,21527296,NC
-0.8416667,21527297,NC
-0.85,21527298,NC
-0.77166677,21527299,NC
-0.6433334,21527300,NC
-0.5183333,21527301,NC
-0.42000002,21527302,NC
-0.37,21527303,NC
-0.36166668,21527304,NC
-0.3866667,21527305,NC
-0.42000002,21527306,NC
-0.45166668,21527307,NC
-0.47500002,21527308,NC
-0.48333332,21527309,NC
-0.485,21527310,NC
-0.48166668,21527311,NC
-0.48333335,21527312,NC
-0.485,21527313,NC
-0.48666668,21527314,NC
-0.48833334,21527315,NC
-0.48666668,21527316,NC
-0.485,21527317,NC
-0.49,21527318,NC
-0.5,21527319,NC
-0.51666665,21527320,NC
-0.52833337,21527321,NC
-0.535,21527322,NC
-0.5366667,21527323,NC
-0.53000003,21527324,NC
-0.5233334,21527325,NC
-0.51166666,21527326,NC
-0.5133333,21527327,NC
-0.5183333,21527328,NC
-0.525,21527329,NC
-0.52666664,21527330,NC
-0.52,21527331,NC
-0.5133333,21527332,NC
-0.5,21527333,NC
-0.48666668,21527334,NC
-0.47166666,21527335,NC
-0.46166667,21527336,NC
-0.44833335,21527337,NC
-0.43166667,21527338,NC
-0.41500002,21527339,NC
-0.40166667,21527340,NC
-0.38833332,21527341,NC
-0.37,21527342,NC
-0.34500003,21527343,NC
-0.32,21527344,NC
-0.29,21527345,NC
-0.25666666,21527346,NC
-0.215,21527347,NC
-0.17166668,21527348,NC
-0.13333334,21527349,NC
-0.101666674,21527350,NC
-0.07333334,21527351,NC
-0.04666667,21527352,NC
-0.0150000015,21527353,NC
0.013333334,21527354,NC
0.048333332,21527355,NC
0.083333336,21527356,NC
0.13,21527357,NC
0.17000002,21527358,NC
0.215,21527359,NC
0.255,21527360,NC
0.305,21527361,NC
0.35500002,21527362,NC
0.4,21527363,NC
0.43500003,21527364,NC
0.4616667,21527365,NC
0.48000002,21527366,NC
0.495,21527367,NC
0.505,21527368,NC
0.5283333,21527369,NC
0.5516667,21527370,NC
0.5783334,21527371,NC
0.5966667,21527372,NC
0.61,21527373,NC
0.6116667,21527374,NC
0.60333335,21527375,NC
0.59000003,21527376,NC
0.57666665,21527377,NC
0.57,21527378,NC
0.56166667,21527379,NC
0.5516667,21527380,NC
0.5316667,21527381,NC
0.5133334,21527382,NC
0.49,21527383,NC
0.475,21527384,NC
0.45666668,21527385,NC
0.44333336,21527386,NC
0.425,21527387,NC
0.40500003,21527388,NC
0.375,21527389,NC
0.33833337,21527390,NC
0.30166668,21527391,NC
0.27333334,21527392,NC
0.25500003,21527393,NC
0.245,21527394,NC
0.23666666,21527395,NC
0.22333333,21527396,NC
0.20166668,21527397,NC
0.175,21527398,NC
0.14333335,21527399,NC
0.11,21527400,NC
0.08166667,21527401,NC
0.058333337,21527402,NC
0.041666664,21527403,NC
0.023333335,21527404,NC
0.008333334,21527405,NC
-0.006666667,21527406,NC
-0.015000001,21527407,NC
-0.021666668,21527408,NC
-0.021666668,21527409,NC
-0.021666668,21527410,NC
-0.02,21527411,NC
-0.025,21527412,NC
-0.033333335,21527413,NC
-0.043333337,21527414,NC
-0.05,21527415,NC
-0.04666667,21527416,NC
-0.031666666,21527417,NC
0.0016666669,21527418,NC
0.043333337,21527419,NC
0.08666667,21527420,NC
0.12166668,21527421,NC
0.14833334,21527422,NC
0.16833334,21527423,NC
0.18666667,21527424,NC
0.205,21527425,NC
0.22666669,21527426,NC
0.24833333,21527427,NC
0.26500002,21527428,NC
0.26833335,21527429,NC
0.26666668,21527430,NC
0.25333333,21527431,NC
0.24,21527432,NC
0.20833334,21527433,NC
0.16666669,21527434,NC
0.108333334,21527435,NC
0.043333337,21527436,NC
-0.016666666,21527437,NC
-0.07666667,21527438,NC
-0.120000005,21527439,NC
-0.15,21527440,NC
-0.15833333,21527441,NC
-0.16,21527442,NC
-0.15666667,21527443,NC
-0.15,21527444,NC
-0.14666668,21527445,NC
-0.15166667,21527446,NC
-0.16333334,21527447,NC
-0.17,21527448,NC
-0.17500001,21527449,NC
-0.17166668,21527450,NC
-0.17000002,21527451,NC
-0.17000002,21527452,NC
-0.17333335,21527453,NC
-0.17666668,21527454,NC
-0.17333333,21527455,NC
-0.16833334,21527456,NC
-0.15666667,21527457,NC
-0.14333333,21527458,NC
-0.13166668,21527459,NC
-0.13166666,21527460,NC
-0.14166668,21527461,NC
-0.16,21527462,NC
-0.18333334,21527463,NC
-0.205,21527464,NC
-0.21333334,21527465,NC
-0.19333336,21527466,NC
-0.135,21527467,NC
-0.018333338,21527468,NC
0.17500001,21527469,NC
0.45500004,21527470,NC
0.81500006,21527471,NC
1.2383335,21527472,NC
1.69,21527473,NC
2.101667,21527474,NC
2.395,21527475,NC
2.5083334,21527476,NC
2.4316666,21527477,F
2.22,21527478,NC
1.9216666,21527479,NC
1.5883334,21527480,NC
1.2266667,21527481,NC
0.8600001,21527482,NC
0.4916667,21527483,NC
0.13166668,21527484,NC
-0.19833334,21527485,NC
-0.4616667,21527486,NC
-0.62333333,21527487,NC
-0.66333336,21527488,NC
-0.6116667,21527489,NC
-0.51,21527490,NC
-0.42166668,21527491,NC
-0.36833334,21527492,NC
-0.36333334,21527493,NC
-0.38833335,21527494,NC
-0.42833334,21527495,NC
-0.46500003,21527496,NC
-0.49,21527497,NC
-0.49833333,21527498,NC
-0.50166667,21527499,NC
-0.50666666,21527500,NC
-0.51666665,21527501,NC
