channel_0,sample #,type
2.505,21927761,N
2.42,21927762,NC
2.155,21927763,NC
1.765,21927764,NC
1.29,21927765,NC
0.77,21927766,NC
0.265,21927767,NC
-0.185,21927768,NC
-0.57,21927769,NC
-0.87,21927770,NC
-1.06,21927771,NC
-1.12,21927772,NC
-1.065,21927773,NC
-0.935,21927774,NC
-0.79,21927775,NC
-0.67,21927776,NC
-0.58,21927777,NC
-0.55,21927778,NC
-0.54,21927779,NC
-0.57,21927780,NC
-0.605,21927781,NC
-0.64,21927782,NC
-0.66,21927783,NC
-0.675,21927784,NC
-0.67,21927785,NC
-0.65,21927786,NC
-0.645,21927787,NC
-0.63,21927788,NC
-0.66,21927789,NC
-0.665,21927790,NC
-0.69,21927791,NC
-0.71,21927792,NC
-0.715,21927793,NC
-0.71,21927794,NC
-0.695,21927795,NC
-0.685,21927796,NC
-0.68,21927797,NC
-0.665,21927798,NC
-0.67,21927799,NC
-0.675,21927800,NC
-0.675,21927801,NC
-0.675,21927802,NC
-0.66,21927803,NC
-0.655,21927804,NC
-0.65,21927805,NC
-0.65,21927806,NC
-0.655,21927807,NC
-0.645,21927808,NC
-0.635,21927809,NC
-0.605,21927810,NC
-0.58,21927811,NC
-0.545,21927812,NC
-0.53,21927813,NC
-0.52,21927814,NC
-0.52,21927815,NC
-0.51,21927816,NC
-0.51,21927817,NC
-0.485,21927818,NC
-0.455,21927819,NC
-0.43,21927820,NC
-0.41,21927821,NC
-0.385,21927822,NC
-0.365,21927823,NC
-0.34,21927824,NC
-0.32,21927825,NC
-0.305,21927826,NC
-0.28,21927827,NC
-0.255,21927828,NC
-0.21,21927829,NC
-0.19,21927830,NC
-0.16,21927831,NC
-0.13,21927832,NC
-0.09,21927833,NC
-0.055,21927834,NC
-0.01,21927835,NC
0.025,21927836,NC
0.075,21927837,NC
0.09,21927838,NC
0.125,21927839,NC
0.135,21927840,NC
0.145,21927841,NC
0.165,21927842,NC
0.19,21927843,NC
0.23,21927844,NC
0.28,21927845,NC
0.33,21927846,NC
0.365,21927847,NC
0.385,21927848,NC
0.395,21927849,NC
0.405,21927850,NC
0.42,21927851,NC
0.435,21927852,NC
0.445,21927853,NC
0.45,21927854,NC
0.44,21927855,NC
0.445,21927856,NC
0.44,21927857,NC
0.44,21927858,NC
0.445,21927859,NC
0.45,21927860,NC
0.435,21927861,NC
0.42,21927862,NC
0.375,21927863,NC
0.345,21927864,NC
0.31,21927865,NC
0.27,21927866,NC
0.25,21927867,NC
0.23,21927868,NC
0.215,21927869,NC
0.195,21927870,NC
0.165,21927871,NC
0.125,21927872,NC
0.09,21927873,NC
0.055,21927874,NC
0.025,21927875,NC
0.0,21927876,NC
-0.02,21927877,NC
-0.025,21927878,NC
-0.03,21927879,NC
-0.045,21927880,NC
-0.055,21927881,NC
-0.075,21927882,NC
-0.11,21927883,NC
-0.125,21927884,NC
-0.13,21927885,NC
-0.15,21927886,NC
-0.135,21927887,NC
-0.145,21927888,NC
-0.155,21927889,NC
-0.175,21927890,NC
-0.165,21927891,NC
-0.165,21927892,NC
-0.155,21927893,NC
-0.13,21927894,NC
-0.11,21927895,NC
-0.09,21927896,NC
-0.09,21927897,NC
-0.1,21927898,NC
-0.1,21927899,NC
-0.11,21927900,NC
-0.105,21927901,NC
-0.09,21927902,NC
-0.075,21927903,NC
-0.055,21927904,NC
-0.035,21927905,NC
-0.01,21927906,NC
0.01,21927907,NC
0.045,21927908,NC
0.065,21927909,NC
0.095,21927910,NC
