channel_0,sample #,type
2.262555,21744572,N
2.2199657,21744573,NC
1.9537828,21744574,NC
1.5917739,21744575,NC
1.1818522,21744576,NC
0.75063586,21744577,NC
0.32474318,21744578,NC
-0.07985488,21744579,NC
-0.47912925,21744580,NC
-0.8304907,21744581,NC
-1.1499103,21744582,NC
-1.3575329,21744583,NC
-1.4267405,21744584,NC
-1.3681803,21744585,NC
-1.2404124,21744586,NC
-1.0860263,21744587,NC
-0.9476112,21744588,NC
-0.857109,21744589,NC
-0.8358144,21744590,NC
-0.85178536,21744591,NC
-0.87308,21744592,NC
-0.91566926,21744593,NC
-0.9476112,21744594,NC
-0.96358216,21744595,NC
-0.9742295,21744596,NC
-0.9848769,21744597,NC
-0.9902005,21744598,NC
-1.0168188,21744599,NC
-1.0327898,21744600,NC
-1.0327898,21744601,NC
-1.0327898,21744602,NC
-1.027466,21744603,NC
-1.0114951,21744604,NC
-1.0221424,21744605,NC
-1.0168188,21744606,NC
-1.0381135,21744607,NC
-1.0487608,21744608,NC
-1.0594081,21744609,NC
-1.0647317,21744610,NC
-1.0700554,21744611,NC
-1.0647317,21744612,NC
-1.0594081,21744613,NC
-1.0540844,21744614,NC
-1.0540844,21744615,NC
-1.0540844,21744616,NC
-1.0540844,21744617,NC
-1.0487608,21744618,NC
-1.027466,21744619,NC
-1.0221424,21744620,NC
-1.0221424,21744621,NC
-1.0168188,21744622,NC
-0.99552417,21744623,NC
-0.9902005,21744624,NC
-0.96890587,21744625,NC
-0.9369639,21744626,NC
-0.8943746,21744627,NC
-0.8624327,21744628,NC
-0.8304907,21744629,NC
-0.8198434,21744630,NC
-0.82516706,21744631,NC
-0.8358144,21744632,NC
-0.84113806,21744633,NC
-0.8198434,21744634,NC
-0.78790146,21744635,NC
-0.7453122,21744636,NC
-0.6920756,21744637,NC
-0.65481,21744638,NC
-0.6335154,21744639,NC
-0.59624976,21744640,NC
-0.57495517,21744641,NC
-0.5483368,21744642,NC
-0.50574756,21744643,NC
-0.49510026,21744644,NC
-0.45783463,21744645,NC
-0.41524535,21744646,NC
-0.38330343,21744647,NC
-0.35668513,21744648,NC
-0.33006683,21744649,NC
-0.29280123,21744650,NC
-0.26085928,21744651,NC
-0.21294634,21744652,NC
-0.17568074,21744653,NC
-0.13309146,21744654,NC
-0.10647317,21744655,NC
-0.08517854,21744656,NC
-0.053236585,21744657,NC
-0.026618293,21744658,NC
0.0,21744659,NC
0.03194195,21744660,NC
0.0638839,21744661,NC
0.08517854,21744662,NC
0.111796826,21744663,NC
0.11712049,21744664,NC
0.10647317,21744665,NC
0.10647317,21744666,NC
0.09582586,21744667,NC
0.101149514,21744668,NC
0.10647317,21744669,NC
0.111796826,21744670,NC
0.111796826,21744671,NC
0.08517854,21744672,NC
0.07985488,21744673,NC
0.053236585,21744674,NC
0.03726561,21744675,NC
0.021294635,21744676,NC
0.0,21744677,NC
-0.021294635,21744678,NC
-0.03194195,21744679,NC
-0.0638839,21744680,NC
-0.090502195,21744681,NC
-0.1277678,21744682,NC
-0.17568074,21744683,NC
-0.21294634,21744684,NC
-0.23424098,21744685,NC
-0.26085928,21744686,NC
-0.27683023,21744687,NC
-0.29812488,21744688,NC
-0.31941953,21744689,NC
-0.36200878,21744690,NC
-0.39395073,21744691,NC
-0.42589268,21744692,NC
-0.45251098,21744693,NC
-0.46848196,21744694,NC
-0.4738056,21744695,NC
-0.4897766,21744696,NC
-0.49510026,21744697,NC
-0.52171856,21744698,NC
-0.53236586,21744699,NC
-0.5376895,21744700,NC
-0.5483368,21744701,NC
-0.54301316,21744702,NC
-0.55366045,21744703,NC
-0.5483368,21744704,NC
-0.5589841,21744705,NC
-0.5643078,21744706,NC
-0.5802788,21744707,NC
-0.57495517,21744708,NC
-0.5643078,21744709,NC
-0.5270422,21744710,NC
-0.5004239,21744711,NC
-0.48445293,21744712,NC
-0.4471873,21744713,NC
-0.4099217,21744714,NC
-0.3726561,21744715,NC
-0.36733243,21744716,NC
-0.33539048,21744717,NC
-0.30344853,21744718,NC
-0.2821539,21744719,NC
-0.26085928,21744720,NC
-0.25021195,21744721,NC
-0.2555356,21744722,NC
-0.27150658,21744723,NC
-0.29280123,21744724,NC
-0.31409585,21744725,NC
-0.33539048,21744726,NC
-0.36200878,21744727,NC
-0.39395073,21744728,NC
-0.45783463,21744729,NC
-0.52171856,21744730,NC
-0.5909261,21744731,NC
-0.67078096,21744732,NC
-0.6920756,21744733,NC
-0.6920756,21744734,NC
-0.6920756,21744735,NC
-0.68675196,21744736,NC
-0.67078096,21744737,NC
-0.67078096,21744738,NC
-0.68675196,21744739,NC
-0.6920756,21744740,NC
-0.7080466,21744741,NC
-0.69739926,21744742,NC
-0.71337026,21744743,NC
-0.7293412,21744744,NC
-0.73998857,21744745,NC
-0.7453122,21744746,NC
-0.77725416,21744747,NC
-0.7825778,21744748,NC
-0.77725416,21744749,NC
-0.73998857,21744750,NC
-0.66013366,21744751,NC
-0.5483368,21744752,NC
-0.42056903,21744753,NC
-0.26085928,21744754,NC
-0.10647317,21744755,NC
0.058560245,21744756,NC
0.23956463,21744757,NC
0.43654,21744758,NC
0.66013366,21744759,NC
0.91566926,21744760,NC
1.2031468,21744761,NC
1.511919,21744762,NC
1.8100439,21744763,NC
2.0975215,21744764,NC
2.3637044,21744765,NC
2.5819743,21744766,NC
2.731037,21744767,NC
2.7949207,21744768,F
2.773626,21744769,NC
2.651182,21744770,NC
2.4435594,21744771,NC
2.1294634,21744772,NC
1.6982471,21744773,NC
1.2031468,21744774,NC
0.64948636,21744775,NC
0.06920756,21744776,NC
-0.46848196,21744777,NC
-0.88905096,21744778,NC
-1.1286156,21744779,NC
-1.2084705,21744780,NC
-1.1712049,21744781,NC
-1.1019973,21744782,NC
-1.0487608,21744783,NC
-1.0114951,21744784,NC
-1.0594081,21744785,NC
-1.1286156,21744786,NC
-1.1871759,21744787,NC
-1.229765,21744788,NC
-1.2563834,21744789,NC
-1.2883254,21744790,NC
-1.3042964,21744791,NC
-1.325591,21744792,NC
-1.3362383,21744793,NC
-1.3468856,21744794,NC
-1.3522092,21744795,NC
-1.3415619,21744796,NC
-1.3575329,21744797,NC
-1.3575329,21744798,NC
-1.3841512,21744799,NC
-1.4054459,21744800,NC
-1.4480351,21744801,NC
-1.4693297,21744802,NC
-1.4853008,21744803,NC
-1.5065954,21744804,NC
-1.5172427,21744805,NC
-1.5172427,21744806,NC
-1.5332137,21744807,NC
-1.5545083,21744808,NC
-1.5704793,21744809,NC
-1.5811266,21744810,NC
-1.5917739,21744811,NC
-1.5864502,21744812,NC
-1.5970976,21744813,NC
-1.5970976,21744814,NC
-1.6183922,21744815,NC
-1.6183922,21744816,NC
-1.6183922,21744817,NC
-1.6237159,21744818,NC
-1.6183922,21744819,NC
-1.6130686,21744820,NC
-1.5811266,21744821,NC
-1.5704793,21744822,NC
-1.5651556,21744823,NC
-1.559832,21744824,NC
-1.559832,21744825,NC
-1.543861,21744826,NC
-1.5332137,21744827,NC
-1.5225663,21744828,NC
-1.4799771,21744829,NC
-1.4320642,21744830,NC
-1.4001223,21744831,NC
-1.3681803,21744832,NC
-1.3309146,21744833,NC
-1.3042964,21744834,NC
-1.2723545,21744835,NC
-1.229765,21744836,NC
-1.1978232,21744837,NC
-1.1605576,21744838,NC
-1.1073209,21744839,NC
-1.0700554,21744840,NC
-1.0221424,21744841,NC
-0.9902005,21744842,NC
-0.93164027,21744843,NC
-0.87308,21744844,NC
-0.80387247,21744845,NC
-0.73998857,21744846,NC
-0.68675196,21744847,NC
-0.6441627,21744848,NC
-0.61754435,21744849,NC
-0.58560246,21744850,NC
-0.5483368,21744851,NC
-0.5163949,21744852,NC
-0.45251098,21744853,NC
-0.39395073,21744854,NC
-0.35668513,21744855,NC
-0.33006683,21744856,NC
-0.31941953,21744857,NC
-0.30877218,21744858,NC
-0.27683023,21744859,NC
-0.26618293,21744860,NC
-0.2555356,21744861,NC
-0.23424098,21744862,NC
-0.23956463,21744863,NC
