channel_0,sample #,type
2.247844,21628067,N
2.2366734,21628068,NC
2.0116992,21628069,NC
1.6661178,21628070,NC
1.2328222,21628071,NC
0.7392231,21628072,NC
0.24562435,21628073,NC
-0.21508124,21628074,NC
-0.63192934,21628075,NC
-1.0104022,21628076,NC
-1.2792315,21628077,NC
-1.4110069,21628078,NC
-1.4166926,21628079,NC
-1.3072526,21628080,NC
-1.1539553,21628081,NC
-1.0006577,21628082,NC
-0.9076634,21628083,NC
-0.84207964,21628084,NC
-0.84228134,21628085,NC
-0.87537575,21628086,NC
-0.9194341,21628087,NC
-0.9525278,21628088,NC
-0.9856212,21628089,NC
-0.9913035,21628090,NC
-0.9860213,21628091,NC
-0.97525644,21628092,NC
-0.9699735,21628093,NC
-0.992101,21628094,NC
-0.9977817,21628095,NC
-1.003462,21628096,NC
-1.009142,21628097,NC
-1.025786,21628098,NC
-1.0369474,21628099,NC
-1.0535907,21628100,NC
-1.0537871,21628101,NC
-1.0594653,21628102,NC
-1.065143,21628103,NC
-1.0543741,21628104,NC
-1.054569,21628105,NC
-1.0547636,21628106,NC
-1.0549576,21628107,NC
-1.0661157,21628108,NC
-1.0772734,21628109,NC
-1.0884306,21628110,NC
-1.0886232,21628111,NC
-1.0833331,21628112,NC
-1.0561142,21628113,NC
-1.0343769,21628114,NC
-1.0126392,21628115,NC
-0.99638313,21628116,NC
-1.0020553,21628117,NC
-0.9912806,21628118,NC
-0.98598766,21628119,NC
-0.9642478,21628120,NC
-0.9370253,21628121,NC
-0.9207667,21628122,NC
-0.9099898,21628123,NC
-0.8992124,21628124,NC
-0.85554165,21628125,NC
-0.8283169,21628126,NC
-0.8010917,21628127,NC
-0.74645525,21628128,NC
-0.6808541,21628129,NC
-0.64266306,21628130,NC
-0.58802515,21628131,NC
-0.5553154,21628132,NC
-0.5280873,21628133,NC
-0.48989442,21628134,NC
-0.451701,21628135,NC
-0.40802494,21628136,NC
-0.3533841,21628137,NC
-0.29326057,21628138,NC
-0.2550651,21628139,NC
-0.21686916,21628140,NC
-0.18415485,21628141,NC
-0.13499355,21628142,NC
-0.10227819,21628143,NC
-0.064080134,21628144,NC
-0.009435095,21628145,NC
0.017799724,21628146,NC
0.061481543,21628147,NC
0.099681765,21628148,NC
0.13788253,21628149,NC
0.1706017,21628150,NC
0.2033214,21628151,NC
0.25248814,21628152,NC
0.26876253,21628153,NC
0.29051965,21628154,NC
0.31227732,21628155,NC
0.31210697,21628156,NC
0.31193718,21628157,NC
0.311768,21628158,NC
0.2951529,21628159,NC
0.28950277,21628160,NC
0.30029967,21628161,NC
0.29465064,21628162,NC
0.30544874,21628163,NC
0.3162474,21628164,NC
0.30511808,21628165,NC
0.3049537,21628166,NC
0.2773791,21628167,NC
0.2223944,21628168,NC
0.20578538,21628169,NC
0.18369482,21628170,NC
0.1506406,21628171,NC
0.13951561,21628172,NC
0.11742696,21628173,NC
0.08437463,21628174,NC
0.051322956,21628175,NC
0.023754062,21628176,NC
0.012632275,21628177,NC
-0.009453164,21628178,NC
-0.020573646,21628179,NC
-0.04813993,21628180,NC
-0.07570554,21628181,NC
-0.10875266,21628182,NC
-0.15824556,21628183,NC
-0.1967735,21628184,NC
-0.22981861,21628185,NC
-0.2409344,21628186,NC
-0.24656738,21628187,NC
-0.26864615,21628188,NC
-0.29620638,21628189,NC
-0.3128016,21628190,NC
-0.35132477,21628191,NC
-0.38984722,21628192,NC
-0.40644038,21628193,NC
-0.41755065,21628194,NC
-0.4396246,21628195,NC
-0.434287,21628196,NC
-0.43443087,21628197,NC
-0.43457404,21628198,NC
-0.43471646,21628199,NC
-0.4458225,21628200,NC
-0.4569278,21628201,NC
-0.46255022,21628202,NC
-0.46268976,21628203,NC
-0.45734644,21628204,NC
-0.45200238,21628205,NC
-0.44117546,21628206,NC
-0.4193834,21628207,NC
-0.3975907,21628208,NC
-0.33193997,21628209,NC
-0.29369926,21628210,NC
-0.25545785,21628211,NC
-0.21721566,21628212,NC
-0.19541915,21628213,NC
-0.1845862,21628214,NC
-0.18471679,21628215,NC
-0.20129311,21628216,NC
-0.19594,21628217,NC
-0.17962185,21628218,NC
-0.17974937,21628219,NC
-0.17439395,21628220,NC
-0.20741284,21628221,NC
-0.23494881,21628222,NC
-0.29537687,21628223,NC
-0.35032204,21628224,NC
-0.41074854,21628225,NC
-0.47665644,21628226,NC
-0.5206349,21628227,NC
-0.5700947,21628228,NC
-0.6085895,21628229,NC
-0.64160126,21628230,NC
-0.6581657,21628231,NC
-0.6692473,21628232,NC
-0.6748459,21628233,NC
-0.66947937,21628234,NC
-0.66411203,21628235,NC
-0.6368153,21628236,NC
-0.62048197,21628237,NC
-0.5931836,21628238,NC
-0.5987773,21628239,NC
-0.6098523,21628240,NC
-0.6264087,21628241,NC
-0.6319999,21628242,NC
-0.64855456,21628243,NC
-0.6322155,21628244,NC
-0.62683994,21628245,NC
-0.6269457,21628246,NC
-0.6215683,21628247,NC
-0.6271546,21628248,NC
-0.6382221,21628249,NC
-0.63284224,21628250,NC
-0.63294375,21628251,NC
-0.6275623,21628252,NC
-0.6331442,21628253,NC
-0.63324314,21628254,NC
-0.63334125,21628255,NC
-0.64988494,21628256,NC
-0.6499813,21628257,NC
-0.59525526,21628258,NC
-0.46377823,21628259,NC
-0.21717513,21628260,NC
0.07328607,21628261,NC
0.43501613,21628262,NC
0.8406043,21628263,NC
1.3119792,21628264,NC
1.7669084,21628265,NC
2.1067135,21628266,NC
2.3204296,21628267,NC
2.3313072,21628268,F
2.1612747,21628269,NC
1.8596712,21628270,NC
1.5361402,21628271,NC
1.2180921,21628272,NC
0.8781162,21628273,NC
0.54910564,21628274,NC
0.22009595,21628275,NC
-0.1034307,21628276,NC
-0.42695644,21628277,NC
-0.6792133,21628278,NC
-0.8985763,21628279,NC
-0.98636687,21628280,NC
-0.98644197,21628281,NC
-0.9371768,21628282,NC
-0.8330893,21628283,NC
-0.7673758,21628284,NC
-0.74003655,21628285,NC
-0.7510714,21628286,NC
-0.784034,21628287,NC
-0.82796,21628288,NC
-0.8664029,21628289,NC
-0.9103271,21628290,NC
-0.9378038,21628291,NC
-0.95431536,21628292,NC
-0.9543795,21628293,NC
-0.9489606,21628294,NC
-0.9325765,21628295,NC
-0.91619146,21628296,NC
-0.9162519,21628297,NC
-0.93275785,21628298,NC
-0.95474505,21628299,NC
-0.9822135,21628300,NC
-1.009681,21628301,NC
-1.0042546,21628302,NC
-1.0152738,21628303,NC
-1.0153277,21628304,NC
-0.99893427,21628305,NC
-0.99350417,21628306,NC
-0.99903744,21628307,NC
-1.0045698,21628308,NC
-1.004619,21628309,NC
-0.9991852,21628310,NC
-1.0101969,21628311,NC
-1.0157254,21628312,NC
-0.99932444,21628313,NC
-0.9993689,21628314,NC
-0.9884482,21628315,NC
-0.9775266,21628316,NC
-0.96112174,21628317,NC
-0.93923384,21628318,NC
-0.9063807,21628319,NC
-0.87900877,21628320,NC
-0.85711807,21628321,NC
-0.8297442,21628322,NC
-0.8133337,21628323,NC
-0.8243331,21628324,NC
-0.80792063,21628325,NC
-0.7860251,21628326,NC
-0.7696109,21628327,NC
-0.731267,21628328,NC
-0.67647564,21628329,NC
-0.6326477,21628330,NC
-0.6052652,21628331,NC
-0.5559532,21628332,NC
-0.52856886,21628333,NC
-0.5011835,21628334,NC
-0.46831506,21628335,NC
-0.44092783,21628336,NC
-0.40805748,21628337,NC
-0.36970395,21628338,NC
-0.33683166,21628339,NC
-0.29299408,21628340,NC
-0.25463772,21628341,NC
-0.19983393,21628342,NC
-0.15599348,21628343,NC
-0.0957056,21628344,NC
-0.05734536,21628345,NC
-0.024466315,21628346,NC
0.0029315464,21628347,NC
0.030330371,21628348,NC
0.035801563,21628349,NC
0.041273706,21628350,NC
0.08512189,21628351,NC
0.10704243,21628352,NC
0.1454104,21628353,NC
0.18377933,21628354,NC
0.19473848,21628355,NC
0.2166629,21628356,NC
0.2331061,21628357,NC
0.23310384,21628358,NC
0.22213827,21628359,NC
0.22213794,21628360,NC
0.24406716,21628361,NC
0.24406877,21628362,NC
0.22214277,21628363,NC
0.19473554,21628364,NC
0.18377574,21628365,NC
0.16185261,21628366,NC
0.16185907,21628367,NC
0.16186649,21628368,NC
0.15091057,21628369,NC
0.14543775,21628370,NC
0.13448378,21628371,NC
0.09063783,21628372,NC
0.06323932,21628373,NC
0.019395318,21628374,NC
-0.008001264,21628375,NC
-0.018950418,21628376,NC
-0.040862918,21628377,NC
-0.029881531,21628378,NC
-0.046309944,21628379,NC
-0.05177309,21628380,NC
-0.068199575,21628381,NC
-0.09558941,21628382,NC
-0.13394257,21628383,NC
-0.17229478,21628384,NC
-0.19968173,21628385,NC
-0.238032,21628386,NC
-0.26541704,21628387,NC
