channel_0,sample #,type
1.8560805,19137517,N
1.799075,19137518,NC
1.48362,19137519,NC
1.0558624,19137520,NC
0.5893895,19137521,NC
0.2395416,19137522,NC
0.04709762,19137523,NC
-0.037781887,19137524,NC
-0.086585596,19137525,NC
-0.1521092,19137526,NC
-0.20255177,19137527,NC
-0.21000026,19137528,NC
-0.17872146,19137529,NC
-0.13539468,19137530,NC
-0.16171919,19137531,NC
-0.17215237,19137532,NC
-0.20334755,19137533,NC
-0.20762451,19137534,NC
-0.20219883,19137535,NC
-0.20301077,19137536,NC
-0.1984539,19137537,NC
-0.21251461,19137538,NC
-0.2226284,19137539,NC
-0.22881176,19137540,NC
-0.21236983,19137541,NC
-0.20089272,19137542,NC
-0.20133138,19137543,NC
-0.21751116,19137544,NC
-0.24672793,19137545,NC
-0.20834514,19137546,NC
-0.18466344,19137547,NC
-0.18570837,19137548,NC
-0.17566423,19137549,NC
-0.18977876,19137550,NC
-0.20366892,19137551,NC
-0.18269287,19137552,NC
-0.16971406,19137553,NC
-0.16749522,19137554,NC
-0.16036178,19137555,NC
-0.16826175,19137556,NC
-0.17431603,19137557,NC
-0.17234685,19137558,NC
-0.14787062,19137559,NC
-0.1448044,19137560,NC
-0.13513222,19137561,NC
-0.13223688,19137562,NC
-0.13644077,19137563,NC
-0.13107428,19137564,NC
-0.110294595,19137565,NC
-0.091007,19137566,NC
-0.084153816,19137567,NC
-0.089582816,19137568,NC
-0.08298732,19137569,NC
-0.08908248,19137570,NC
-0.05505331,19137571,NC
-0.035155192,19137572,NC
-0.027676933,19137573,NC
-0.04562369,19137574,NC
-0.041050524,19137575,NC
-0.032485433,19137576,NC
-0.0042438167,19137577,NC
0.018927593,19137578,NC
0.021647671,19137579,NC
0.043824658,19137580,NC
0.03755662,19137581,NC
0.04711232,19137582,NC
0.08621182,19137583,NC
0.11556033,19137584,NC
0.120818414,19137585,NC
0.114790775,19137586,NC
0.13648733,19137587,NC
0.1668633,19137588,NC
0.17831337,19137589,NC
0.21564288,19137590,NC
0.24387045,19137591,NC
