channel_0,sample #,type
1.9737945,21780111,N
1.8179318,21780112,NC
1.5020684,21780113,NC
1.0612041,21780114,NC
0.56033915,21780115,NC
0.06947343,21780116,NC
-0.3463929,21780117,NC
-0.69725984,21780118,NC
-0.96812737,21780119,NC
-1.1439953,21780120,NC
-1.2398636,21780121,NC
-1.2307323,21780122,NC
-1.1766012,21780123,NC
-1.0624706,21780124,NC
-0.9233399,21780125,NC
-0.80420935,21780126,NC
-0.72507894,21780127,NC
-0.7009485,21780128,NC
-0.721818,21780129,NC
-0.77268726,21780130,NC
-0.8235565,21780131,NC
-0.85442543,21780132,NC
-0.87029403,21780133,NC
-0.8711623,21780134,NC
-0.84703016,21780135,NC
-0.83289754,21780136,NC
-0.8287644,21780137,NC
-0.8346306,21780138,NC
-0.8404962,21780139,NC
-0.85136104,21780140,NC
-0.86222523,21780141,NC
-0.8680885,21780142,NC
-0.8839508,21780143,NC
-0.8648123,21780144,NC
-0.8556727,21780145,NC
-0.8565321,21780146,NC
-0.8673904,21780147,NC
-0.87324744,21780148,NC
-0.88910323,21780149,NC
-0.8899578,21780150,NC
-0.89081097,21780151,NC
-0.8816627,21780152,NC
-0.882513,21780153,NC
-0.87836176,21780154,NC
-0.8842089,21780155,NC
-0.8700545,21780156,NC
-0.86589825,21780157,NC
-0.8317403,21780158,NC
-0.78758055,21780159,NC
-0.74341893,21780160,NC
-0.7142554,21780161,NC
-0.6950899,21780162,NC
-0.6659223,21780163,NC
-0.6567526,21780164,NC
-0.6375808,21780165,NC
-0.58840674,21780166,NC
-0.5342304,21780167,NC
-0.48505175,21780168,NC
-0.44587073,21780169,NC
-0.41668725,21780170,NC
-0.3775013,21780171,NC
-0.3383128,21780172,NC
-0.28912172,21780173,NC
-0.22992794,21780174,NC
-0.17073147,21780175,NC
-0.12153223,21780176,NC
-0.08733018,21780177,NC
-0.053125247,21780178,NC
-0.008917384,21780179,NC
0.03529346,21780180,NC
0.08450734,21780181,NC
0.15872431,21780182,NC
0.21294442,21780183,NC
0.26716775,21780184,NC
0.30639428,21780185,NC
0.33562416,21780186,NC
0.3548574,21780187,NC
0.389094,21780188,NC
0.41833407,21780189,NC
0.44757766,21780190,NC
0.46182477,21780191,NC
0.46607554,21780192,NC
0.47032994,21780193,NC
0.48458812,21780194,NC
0.48385,21780195,NC
0.5031157,21780196,NC
0.50738525,21780197,NC
0.5266587,21780198,NC
0.5259362,21780199,NC
0.51521766,21780200,NC
0.4845032,21780201,NC
0.44879282,21780202,NC
0.4080866,21780203,NC
0.38738456,21780204,NC
0.37168682,21780205,NC
0.35099337,21780206,NC
0.32030424,21780207,NC
0.30461955,21780208,NC
0.26393926,21780209,NC
0.22826347,21780210,NC
0.20259222,21780211,NC
0.18692553,21780212,NC
0.1612635,21780213,NC
0.13060609,21780214,NC
0.09995342,21780215,NC
0.044305503,21780216,NC
0.013662383,21780217,NC
-0.021975886,21780218,NC
-0.04760927,21780219,NC
-0.06323773,21780220,NC
-0.0738612,21780221,NC
-0.10447966,21780222,NC
-0.13009307,21780223,NC
-0.17570136,21780224,NC
-0.22630453,21780225,NC
-0.2719025,21780226,NC
-0.30749527,21780227,NC
-0.31808275,21780228,NC
-0.31366494,21780229,NC
-0.32424182,21780230,NC
-0.33981323,21780231,NC
-0.3653793,21780232,NC
-0.3809399,21780233,NC
-0.39649498,21780234,NC
-0.41204455,21780235,NC
-0.41758853,21780236,NC
-0.4131269,21780237,NC
-0.4086596,21780238,NC
-0.40418667,21780239,NC
-0.39470798,21780240,NC
-0.40022355,21780241,NC
-0.39073336,21780242,NC
-0.39123732,21780243,NC
-0.37673542,21780244,NC
-0.37722763,21780245,NC
-0.38771394,21780246,NC
-0.38319427,21780247,NC
-0.3536686,21780248,NC
-0.33913693,21780249,NC
-0.3145992,21780250,NC
