channel_0,sample #,type
1.5906209,19067074,N
1.4747202,19067075,NC
1.1698242,19067076,NC
0.8103015,19067077,NC
0.4870272,19067078,NC
0.15040867,19067079,NC
-0.073178515,19067080,NC
-0.18663628,19067081,NC
-0.24559014,19067082,NC
-0.2644252,19067083,NC
-0.28212118,19067084,NC
-0.26634812,19067085,NC
-0.25709087,19067086,NC
-0.24837725,19067087,NC
-0.22056372,19067088,NC
-0.2351823,19067089,NC
-0.24952784,19067090,NC
-0.2542158,19067091,NC
-0.24757098,19067092,NC
-0.24692212,19067093,NC
-0.27136663,19067094,NC
-0.2906276,19067095,NC
-0.28979358,19067096,NC
-0.27605873,19067097,NC
-0.26095822,19067098,NC
-0.2556258,19067099,NC
-0.2649915,19067100,NC
-0.2917516,19067101,NC
-0.27791685,19067102,NC
-0.2685422,19067103,NC
-0.25773528,19067104,NC
-0.2485416,19067105,NC
-0.25912678,19067106,NC
-0.2639274,19067107,NC
-0.26585582,19067108,NC
-0.24244577,19067109,NC
-0.24059358,19067110,NC
-0.23092057,19067111,NC
-0.22410643,19067112,NC
-0.24251938,19067113,NC
-0.24290635,19067114,NC
-0.22526051,19067115,NC
-0.22271928,19067116,NC
-0.21283652,19067117,NC
-0.22521397,19067118,NC
-0.22592475,19067119,NC
-0.21989688,19067120,NC
-0.20593591,19067121,NC
-0.18153894,19067122,NC
-0.17606653,19067123,NC
-0.18441892,19067124,NC
-0.18924388,19067125,NC
-0.18023741,19067126,NC
-0.16681902,19067127,NC
-0.14799531,19067128,NC
-0.13833253,19067129,NC
-0.14293599,19067130,NC
-0.13848288,19067131,NC
-0.14020492,19067132,NC
-0.10955796,19067133,NC
-0.0796167,19067134,NC
-0.08454398,19067135,NC
-0.08278906,19067136,NC
-0.08099401,19067137,NC
-0.07392987,19067138,NC
-0.057090912,19067139,NC
-0.03409796,19067140,NC
-0.032366518,19067141,NC
-0.020752069,19067142,NC
-0.013509106,19067143,NC
-0.015245369,19067144,NC
0.012904529,19067145,NC
0.037505656,19067146,NC
0.06257962,19067147,NC
0.06422534,19067148,NC
0.042775743,19067149,NC
0.058280062,19067150,NC
0.08830792,19067151,NC
0.12010778,19067152,NC
0.1288221,19067153,NC
0.11960009,19067154,NC
0.10904804,19067155,NC
0.13545102,19067156,NC
0.14838107,19067157,NC
0.18085566,19067158,NC
0.18712512,19067159,NC
0.1752202,19067160,NC
0.18220957,19067161,NC
0.19967592,19067162,NC
0.21780714,19067163,NC
0.2280112,19067164,NC
0.24503973,19067165,NC
0.22745891,19067166,NC
0.21834244,19067167,NC
0.22665006,19067168,NC
0.23299836,19067169,NC
0.2377916,19067170,NC
0.2252302,19067171,NC
0.19044876,19067172,NC
0.15404822,19067173,NC
0.13642022,19067174,NC
