channel_0,sample #,type
1.2506392,19337880,N
1.2871064,19337881,NC
1.1278284,19337882,NC
0.83844846,19337883,NC
0.5275299,19337884,NC
0.24161366,19337885,NC
-0.018344186,19337886,NC
-0.1946091,19337887,NC
-0.27435338,19337888,NC
-0.29133272,19337889,NC
-0.32564586,19337890,NC
-0.37584904,19337891,NC
-0.40357095,19337892,NC
-0.37260595,19337893,NC
-0.36052445,19337894,NC
-0.3449246,19337895,NC
-0.33825448,19337896,NC
-0.36004743,19337897,NC
-0.38657025,19337898,NC
-0.4057997,19337899,NC
-0.4059613,19337900,NC
-0.38541207,19337901,NC
-0.37464872,19337902,NC
-0.38242474,19337903,NC
-0.42241418,19337904,NC
-0.4320539,19337905,NC
-0.41516793,19337906,NC
-0.40911385,19337907,NC
-0.38840678,19337908,NC
-0.40628135,19337909,NC
-0.41226652,19337910,NC
-0.39655697,19337911,NC
-0.39475062,19337912,NC
-0.3919234,19337913,NC
-0.4003474,19337914,NC
-0.40508074,19337915,NC
-0.4155567,19337916,NC
-0.4308522,19337917,NC
-0.43332833,19337918,NC
-0.42090195,19337919,NC
-0.4238291,19337920,NC
-0.4291223,19337921,NC
-0.42876795,19337922,NC
-0.4147728,19337923,NC
-0.39552706,19337924,NC
-0.38679513,19337925,NC
-0.3828503,19337926,NC
-0.39004314,19337927,NC
-0.39453864,19337928,NC
-0.40529224,19337929,NC
-0.4006759,19337930,NC
-0.36954504,19337931,NC
-0.352513,19337932,NC
-0.35247535,19337933,NC
-0.3663628,19337934,NC
-0.37267974,19337935,NC
-0.3508287,19337936,NC
-0.31832024,19337937,NC
-0.3132603,19337938,NC
-0.31107512,19337939,NC
-0.32497358,19337940,NC
-0.30046803,19337941,NC
-0.2748973,19337942,NC
-0.26266605,19337943,NC
-0.2589239,19337944,NC
-0.28426537,19337945,NC
-0.29689682,19337946,NC
-0.2833234,19337947,NC
-0.2419108,19337948,NC
-0.2182743,19337949,NC
-0.18004724,19337950,NC
-0.1782834,19337951,NC
-0.2069389,19337952,NC
-0.18358311,19337953,NC
-0.14984755,19337954,NC
-0.11955049,19337955,NC
-0.10574338,19337956,NC
-0.12261552,19337957,NC
-0.15467297,19337958,NC
-0.15560903,19337959,NC
-0.15743512,19337960,NC
-0.13933486,19337961,NC
-0.13659441,19337962,NC
-0.09715649,19337963,NC
-0.06575504,19337964,NC
-0.022038016,19337965,NC
0.0151458625,19337966,NC
-0.0075202556,19337967,NC
-0.056793462,19337968,NC
-0.12002378,19337969,NC
-0.19524978,19337970,NC
-0.2580823,19337971,NC
-0.26433516,19337972,NC
-0.2603735,19337973,NC
-0.26187584,19337974,NC
-0.26294944,19337975,NC
-0.29194045,19337976,NC
-0.31271052,19337977,NC
-0.34117734,19337978,NC
-0.35549125,19337979,NC
-0.35394457,19337980,NC
-0.38172463,19337981,NC
-0.41576052,19337982,NC
-0.42684183,19337983,NC
-0.42518458,19337984,NC
-0.42072558,19337985,NC
-0.42784977,19337986,NC
-0.45512334,19337987,NC
-0.45486686,19337988,NC
-0.42540193,19337989,NC
-0.42060024,19337990,NC
-0.4157017,19337991,NC
-0.42284894,19337992,NC
-0.43356705,19337993,NC
-0.44879416,19337994,NC
-0.4593156,19337995,NC
-0.45140797,19337996,NC
-0.43066695,19337997,NC
-0.41454247,19337998,NC
-0.44262004,19337999,NC
-0.4582042,19338000,NC
-0.46804985,19338001,NC
-0.4517349,19338002,NC
-0.4112789,19338003,NC
-0.39496928,19338004,NC
-0.3989498,19338005,NC
-0.4192095,19338006,NC
-0.40608427,19338007,NC
-0.3932746,19338008,NC
-0.37009335,19338009,NC
-0.35727054,19338010,NC
-0.35815346,19338011,NC
-0.38029936,19338012,NC
-0.3913965,19338013,NC
-0.36870655,19338014,NC
-0.36954495,19338015,NC
-0.376398,19338016,NC
-0.39460474,19338017,NC
-0.393415,19338018,NC
-0.3700781,19338019,NC
-0.362625,19338020,NC
-0.33561754,19338021,NC
-0.34234834,19338022,NC
-0.34044394,19338023,NC
-0.35179654,19338024,NC
-0.3498594,19338025,NC
-0.33555913,19338026,NC
-0.2823057,19338027,NC
-0.24588552,19338028,NC
-0.24653332,19338029,NC
-0.23218416,19338030,NC
-0.24640812,19338031,NC
-0.21343851,19338032,NC
-0.20220554,19338033,NC
-0.19572422,19338034,NC
-0.17479728,19338035,NC
-0.18593362,19338036,NC
-0.18909161,19338037,NC
-0.19950446,19338038,NC
-0.20044792,19338039,NC
-0.20513645,19338040,NC
-0.20411588,19338041,NC
-0.23704684,19338042,NC
-0.27213815,19338043,NC
-0.30178964,19338044,NC
-0.31204328,19338045,NC
-0.33596024,19338046,NC
-0.32608005,19338047,NC
-0.3394135,19338048,NC
-0.33779097,19338049,NC
-0.3210144,19338050,NC
-0.29126912,19338051,NC
-0.28653276,19338052,NC
-0.3004385,19338053,NC
-0.34792113,19338054,NC
-0.36159122,19338055,NC
-0.37545747,19338056,NC
-0.37093082,19338057,NC
-0.35090822,19338058,NC
-0.33165005,19338059,NC
-0.3349929,19338060,NC
-0.36268783,19338061,NC
-0.36592016,19338062,NC
-0.3707835,19338063,NC
-0.37612447,19338064,NC
-0.3528434,19338065,NC
-0.32495922,19338066,NC
-0.27854195,19338067,NC
-0.2274465,19338068,NC
-0.14373414,19338069,NC
-0.108189784,19338070,NC
-0.101038344,19338071,NC
-0.07949039,19338072,NC
0.0012563979,19338073,NC
0.109682776,19338074,NC
0.2509608,19338075,NC
0.410111,19338076,NC
0.5761762,19338077,NC
0.79244804,19338078,NC
1.0651933,19338079,NC
1.3365686,19338080,NC
1.564648,19338081,NC
1.7353063,19338082,F
1.822455,19338083,NC
1.7458166,19338084,NC
1.482044,19338085,NC
1.1136463,19338086,NC
0.6805819,19338087,NC
0.26200348,19338088,NC
-0.0037019092,19338089,NC
-0.10970489,19338090,NC
-0.19405416,19338091,NC
-0.2961894,19338092,NC
-0.33326823,19338093,NC
-0.3450813,19338094,NC
-0.33071014,19338095,NC
-0.33281955,19338096,NC
-0.3655605,19338097,NC
-0.38322416,19338098,NC
-0.40307832,19338099,NC
-0.4253935,19338100,NC
-0.44569877,19338101,NC
-0.47290954,19338102,NC
-0.4726864,19338103,NC
-0.46547335,19338104,NC
-0.45317888,19338105,NC
-0.43679738,19338106,NC
-0.43866482,19338107,NC
-0.46438172,19338108,NC
-0.4876431,19338109,NC
-0.4881819,19338110,NC
-0.47268483,19338111,NC
-0.4654785,19338112,NC
-0.4646005,19338113,NC
-0.46551722,19338114,NC
-0.47239643,19338115,NC
-0.47608745,19338116,NC
-0.48122638,19338117,NC
-0.4764788,19338118,NC
-0.4647072,19338119,NC
-0.46588117,19338120,NC
-0.46004477,19338121,NC
-0.4507365,19338122,NC
-0.44658118,19338123,NC
-0.45576686,19338124,NC
-0.45405832,19338125,NC
-0.45878154,19338126,NC
-0.4538553,19338127,NC
-0.4279174,19338128,NC
-0.4206647,19338129,NC
-0.42668185,19338130,NC
-0.43007976,19338131,NC
-0.44500113,19338132,NC
-0.4363133,19338133,NC
-0.43282375,19338134,NC
-0.40998998,19338135,NC
-0.4146065,19338136,NC
-0.40689552,19338137,NC
-0.42324525,19338138,NC
-0.41295484,19338139,NC
-0.40007365,19338140,NC
-0.39377564,19338141,NC
-0.36913478,19338142,NC
-0.37793142,19338143,NC
-0.3979603,19338144,NC
-0.39968693,19338145,NC
-0.3953759,19338146,NC
-0.35438955,19338147,NC
-0.34073776,19338148,NC
-0.32508305,19338149,NC
-0.3113114,19338150,NC
-0.29284856,19338151,NC
-0.27835003,19338152,NC
-0.2615961,19338153,NC
-0.26254755,19338154,NC
-0.26321855,19338155,NC
-0.26609734,19338156,NC
-0.25447303,19338157,NC
-0.23150672,19338158,NC
-0.21612756,19338159,NC
-0.22644068,19338160,NC
-0.23232117,19338161,NC
-0.2504914,19338162,NC
-0.27428308,19338163,NC
-0.26203236,19338164,NC
-0.23282933,19338165,NC
-0.18772471,19338166,NC
-0.18571582,19338167,NC
-0.17757739,19338168,NC
-0.15962732,19338169,NC
-0.1510123,19338170,NC
-0.13058467,19338171,NC
-0.1409353,19338172,NC
-0.159961,19338173,NC
-0.17958425,19338174,NC
-0.18623984,19338175,NC
-0.17428151,19338176,NC
-0.1739231,19338177,NC
-0.19745117,19338178,NC
-0.22507583,19338179,NC
-0.24319027,19338180,NC
-0.24948315,19338181,NC
-0.24633497,19338182,NC
-0.24731052,19338183,NC
-0.250471,19338184,NC
-0.25774193,19338185,NC
-0.26027104,19338186,NC
-0.26582637,19338187,NC
-0.26823962,19338188,NC
-0.26236308,19338189,NC
-0.27722174,19338190,NC
-0.28694385,19338191,NC
-0.30947286,19338192,NC
-0.31566852,19338193,NC
-0.30567223,19338194,NC
-0.28965256,19338195,NC
-0.2930611,19338196,NC
-0.3053372,19338197,NC
-0.33066434,19338198,NC
-0.3494135,19338199,NC
-0.33548576,19338200,NC
-0.3050571,19338201,NC
-0.27731127,19338202,NC
-0.27141798,19338203,NC
-0.28671163,19338204,NC
-0.31022733,19338205,NC
-0.30645838,19338206,NC
-0.27879983,19338207,NC
-0.26483735,19338208,NC
-0.2706728,19338209,NC
-0.28883854,19338210,NC
-0.29097825,19338211,NC
-0.29354936,19338212,NC
-0.2766372,19338213,NC
-0.26528743,19338214,NC
-0.249116,19338215,NC
-0.25068733,19338216,NC
-0.26492634,19338217,NC
-0.25584137,19338218,NC
-0.24474846,19338219,NC
-0.20973241,19338220,NC
-0.20910545,19338221,NC
-0.21004526,19338222,NC
-0.2087675,19338223,NC
-0.21238004,19338224,NC
-0.2005954,19338225,NC
-0.18306598,19338226,NC
-0.15534055,19338227,NC
-0.15492874,19338228,NC
-0.13071242,19338229,NC
-0.1139796,19338230,NC
-0.08443632,19338231,NC
-0.061263222,19338232,NC
-0.06179713,19338233,NC
-0.09309782,19338234,NC
-0.10512554,19338235,NC
-0.11448154,19338236,NC
-0.10273924,19338237,NC
-0.11911604,19338238,NC
-0.13669774,19338239,NC
-0.1741126,19338240,NC
-0.22132424,19338241,NC
-0.21453649,19338242,NC
-0.22282411,19338243,NC
-0.22667387,19338244,NC
-0.2226855,19338245,NC
-0.2489155,19338246,NC
-0.2511314,19338247,NC
-0.25378504,19338248,NC
-0.24049373,19338249,NC
-0.24075094,19338250,NC
-0.2567177,19338251,NC
-0.28159124,19338252,NC
-0.28387752,19338253,NC
-0.27711856,19338254,NC
-0.2841021,19338255,NC
-0.28410262,19338256,NC
-0.29296193,19338257,NC
-0.29970554,19338258,NC
-0.31447288,19338259,NC
-0.2907747,19338260,NC
-0.2858486,19338261,NC
-0.27003893,19338262,NC
-0.28648418,19338263,NC
-0.3057926,19338264,NC
-0.31398466,19338265,NC
-0.30919644,19338266,NC
-0.31564447,19338267,NC
-0.31611145,19338268,NC
-0.31281248,19338269,NC
-0.26299176,19338270,NC
-0.122656144,19338271,NC
0.09400182,19338272,NC
0.38425633,19338273,NC
0.6796333,19338274,NC
0.95460045,19338275,NC
1.1859899,19338276,NC
1.4255979,19338277,NC
1.559127,19338278,N
