channel_0,sample #,type
0.99690026,18926602,N
0.92085963,18926603,NC
0.7367118,18926604,NC
0.47137973,18926605,NC
0.175485,18926606,NC
-0.056172032,18926607,NC
-0.19693662,18926608,NC
-0.24742302,18926609,NC
-0.2483575,18926610,NC
-0.2693485,18926611,NC
-0.28764266,18926612,NC
-0.32889283,18926613,NC
-0.3540471,18926614,NC
-0.3338448,18926615,NC
-0.33880043,18926616,NC
-0.34112847,18926617,NC
-0.35100174,18926618,NC
-0.3674358,18926619,NC
-0.37131712,18926620,NC
-0.36813104,18926621,NC
-0.36154786,18926622,NC
-0.3426148,18926623,NC
-0.33419344,18926624,NC
-0.3386578,18926625,NC
-0.34435692,18926626,NC
-0.3315631,18926627,NC
-0.33049083,18926628,NC
-0.32747257,18926629,NC
-0.34197506,18926630,NC
-0.37809074,18926631,NC
-0.38599086,18926632,NC
-0.3572769,18926633,NC
-0.3091096,18926634,NC
-0.28915405,18926635,NC
-0.29537073,18926636,NC
-0.29447645,18926637,NC
-0.30211523,18926638,NC
-0.28987,18926639,NC
-0.3017726,18926640,NC
-0.31660405,18926641,NC
-0.3227075,18926642,NC
-0.31818807,18926643,NC
-0.31788412,18926644,NC
-0.32546887,18926645,NC
-0.30553988,18926646,NC
-0.29410252,18926647,NC
-0.28508905,18926648,NC
-0.27963114,18926649,NC
-0.27514717,18926650,NC
-0.25103167,18926651,NC
-0.24271227,18926652,NC
-0.23861638,18926653,NC
-0.24802494,18926654,NC
-0.26235527,18926655,NC
-0.263965,18926656,NC
-0.21344058,18926657,NC
-0.19776845,18926658,NC
-0.19009644,18926659,NC
-0.200088,18926660,NC
-0.2004716,18926661,NC
-0.19986469,18926662,NC
-0.17141096,18926663,NC
-0.11816402,18926664,NC
-0.09271382,18926665,NC
-0.107031,18926666,NC
-0.12881705,18926667,NC
-0.16428217,18926668,NC
-0.17544937,18926669,NC
-0.14110418,18926670,NC
-0.09868024,18926671,NC
-0.074158676,18926672,NC
-0.07528804,18926673,NC
-0.062575474,18926674,NC
-0.04565946,18926675,NC
-0.043004636,18926676,NC
-0.05688469,18926677,NC
-0.06891671,18926678,NC
-0.06431596,18926679,NC
-0.049745142,18926680,NC
-0.022865158,18926681,NC
-0.0044213124,18926682,NC
-0.008772176,18926683,NC
-0.01563675,18926684,NC
-0.06329182,18926685,NC
-0.07106635,18926686,NC
-0.080776066,18926687,NC
-0.057430133,18926688,NC
-0.052652672,18926689,NC
-0.07752934,18926690,NC
-0.121939756,18926691,NC
-0.18636265,18926692,NC
-0.19463056,18926693,NC
-0.17857426,18926694,NC
-0.17815045,18926695,NC
-0.19054905,18926696,NC
-0.20507161,18926697,NC
-0.22037476,18926698,NC
-0.24139497,18926699,NC
-0.25581133,18926700,NC
-0.2770032,18926701,NC
-0.2764506,18926702,NC
-0.30685857,18926703,NC
-0.33195257,18926704,NC
-0.33714056,18926705,NC
-0.30953375,18926706,NC
-0.31066087,18926707,NC
