channel_0,sample #,type
2.1712499,21724712,N
2.04125,21724713,NC
1.7962501,21724714,NC
1.4312501,21724715,NC
0.9925,21724716,NC
0.545,21724717,NC
0.14124998,21724718,NC
-0.19125,21724719,NC
-0.44875,21724720,NC
-0.64375,21724721,NC
-0.7925,21724722,NC
-0.9075,21724723,NC
-0.97625,21724724,NC
-0.99125,21724725,NC
-0.95124996,21724726,NC
-0.865,21724727,NC
-0.7575,21724728,NC
-0.65875,21724729,NC
-0.59,21724730,NC
-0.56,21724731,NC
-0.5625,21724732,NC
-0.58500004,21724733,NC
-0.61,21724734,NC
-0.6275,21724735,NC
-0.63874996,21724736,NC
-0.64374995,21724737,NC
-0.64625,21724738,NC
-0.6525,21724739,NC
-0.65999997,21724740,NC
-0.6675,21724741,NC
-0.6775,21724742,NC
-0.68375003,21724743,NC
-0.68375,21724744,NC
-0.68,21724745,NC
-0.6775,21724746,NC
-0.67875,21724747,NC
-0.6875,21724748,NC
-0.69875,21724749,NC
-0.70875,21724750,NC
-0.70874995,21724751,NC
-0.70125,21724752,NC
-0.69375,21724753,NC
-0.6825,21724754,NC
-0.67375004,21724755,NC
-0.66375005,21724756,NC
-0.64875,21724757,NC
-0.6275,21724758,NC
-0.60375,21724759,NC
-0.58000004,21724760,NC
-0.55875003,21724761,NC
-0.54375,21724762,NC
-0.5325,21724763,NC
-0.52125,21724764,NC
-0.5075,21724765,NC
-0.485,21724766,NC
-0.4575,21724767,NC
-0.42499998,21724768,NC
-0.39125,21724769,NC
-0.3625,21724770,NC
-0.33749998,21724771,NC
-0.3175,21724772,NC
-0.30374998,21724773,NC
-0.28625,21724774,NC
-0.26375,21724775,NC
-0.2375,21724776,NC
-0.19999999,21724777,NC
-0.16375001,21724778,NC
-0.12625,21724779,NC
-0.09125,21724780,NC
-0.060000002,21724781,NC
-0.028749999,21724782,NC
0.0,21724783,NC
0.03125,21724784,NC
0.0625,21724785,NC
0.095,21724786,NC
0.125,21724787,NC
0.155,21724788,NC
0.185,21724789,NC
0.21625,21724790,NC
0.2525,21724791,NC
0.28875,21724792,NC
0.32500002,21724793,NC
0.3525,21724794,NC
0.375,21724795,NC
0.38875,21724796,NC
0.39874998,21724797,NC
0.40875,21724798,NC
0.41625,21724799,NC
0.42874998,21724800,NC
0.4375,21724801,NC
0.4425,21724802,NC
0.4425,21724803,NC
0.43624997,21724804,NC
0.42375,21724805,NC
0.40875,21724806,NC
0.3975,21724807,NC
0.38125,21724808,NC
0.3675,21724809,NC
0.35375,21724810,NC
0.33499998,21724811,NC
0.3175,21724812,NC
0.29874998,21724813,NC
0.285,21724814,NC
0.26875,21724815,NC
0.25375,21724816,NC
0.235,21724817,NC
0.20500001,21724818,NC
0.16750002,21724819,NC
0.12375,21724820,NC
0.0825,21724821,NC
0.04625,21724822,NC
0.023750002,21724823,NC
0.01375,21724824,NC
0.005,21724825,NC
-0.00125,21724826,NC
-0.015000001,21724827,NC
-0.03875,21724828,NC
-0.0675,21724829,NC
-0.1025,21724830,NC
-0.13624999,21724831,NC
-0.1675,21724832,NC
-0.19500001,21724833,NC
-0.22125,21724834,NC
-0.24625,21724835,NC
-0.27499998,21724836,NC
-0.29375,21724837,NC
-0.30125,21724838,NC
-0.30124998,21724839,NC
-0.28875,21724840,NC
-0.2825,21724841,NC
-0.28125,21724842,NC
-0.28875,21724843,NC
-0.30375,21724844,NC
-0.32000002,21724845,NC
-0.33,21724846,NC
-0.33125,21724847,NC
-0.32875,21724848,NC
-0.32125,21724849,NC
-0.3175,21724850,NC
-0.31125,21724851,NC
-0.29999998,21724852,NC
-0.27875,21724853,NC
-0.245,21724854,NC
-0.205,21724855,NC
-0.16250001,21724856,NC
-0.121249996,21724857,NC
-0.09375,21724858,NC
-0.067499995,21724859,NC
-0.04375,21724860,NC
-0.02625,21724861,NC
-0.0012500002,21724862,NC
0.02,21724863,NC
0.04,21724864,NC
0.055,21724865,NC
0.05875,21724866,NC
0.046249997,21724867,NC
0.02375,21724868,NC
-0.012499999,21724869,NC
-0.05625,21724870,NC
-0.106249996,21724871,NC
-0.16,21724872,NC
-0.21000001,21724873,NC
-0.255,21724874,NC
-0.2875,21724875,NC
-0.31625,21724876,NC
-0.3275,21724877,NC
-0.3275,21724878,NC
-0.32375,21724879,NC
-0.32,21724880,NC
-0.32500002,21724881,NC
-0.33875,21724882,NC
-0.35375002,21724883,NC
-0.365,21724884,NC
-0.36625,21724885,NC
-0.35875002,21724886,NC
