channel_0,sample #,type
1.9674493,21513929,N
1.8862324,21513930,NC
1.6944426,21513931,NC
1.3751576,21513932,NC
0.9404576,21513933,NC
0.45850578,21513934,NC
-0.014977597,21513935,NC
-0.44384262,21513936,NC
-0.7946464,21513937,NC
-1.0672184,21513938,NC
-1.2452348,21513939,NC
-1.340941,21513940,NC
-1.348308,21513941,NC
-1.2855245,21513942,NC
-1.18135,21513943,NC
-1.069984,21513944,NC
-0.9693182,21513945,NC
-0.8959821,21513946,NC
-0.85073125,21513947,NC
-0.8395418,21513948,NC
-0.84827185,21513949,NC
-0.8734753,21513950,NC
-0.9014171,21513951,NC
-0.92188865,21513952,NC
-0.9325243,21513953,NC
-0.93382424,21513954,NC
-0.93066067,21513955,NC
-0.9252258,21513956,NC
-0.9263184,21513957,NC
-0.9261575,21513958,NC
-0.9384508,21513959,NC
-0.9474923,21513960,NC
-0.9564633,21513961,NC
-0.9603704,21513962,NC
-0.9610787,21513963,NC
-0.95842195,21513964,NC
-0.9570233,21513965,NC
-0.9519487,21513966,NC
-0.9562757,21513967,NC
-0.9544979,21513968,NC
-0.9519396,21513969,NC
-0.9461481,21513970,NC
-0.9349995,21513971,NC
-0.9213814,21513972,NC
-0.9148125,21513973,NC
-0.90778196,21513974,NC
-0.90615696,21513975,NC
-0.89919287,21513976,NC
-0.8898178,21513977,NC
-0.86951864,21513978,NC
-0.8463168,21513979,NC
-0.8259055,21513980,NC
-0.808974,21513981,NC
-0.7942958,21513982,NC
-0.78783625,21513983,NC
-0.77343774,21513984,NC
-0.75466096,21513985,NC
-0.73155284,21513986,NC
-0.6981433,21513987,NC
-0.66280633,21513988,NC
-0.6239521,21513989,NC
-0.5867227,21513990,NC
-0.5509487,21513991,NC
-0.5178632,21513992,NC
-0.48610783,21513993,NC
-0.45424843,21513994,NC
-0.42469326,21513995,NC
-0.38895732,21513996,NC
-0.36180642,21513997,NC
-0.33035737,21513998,NC
-0.3014018,21513999,NC
-0.2673883,21514000,NC
-0.22725019,21514001,NC
-0.17033033,21514002,NC
-0.12127625,21514003,NC
-0.07606557,21514004,NC
-0.043366864,21514005,NC
-0.011152694,21514006,NC
0.0109499,21514007,NC
0.032565407,21514008,NC
0.05774494,21514009,NC
0.08505133,21514010,NC
0.10961063,21514011,NC
0.13280159,21514012,NC
0.1455622,21514013,NC
0.15697953,21514014,NC
0.15927291,21514015,NC
0.16762061,21514016,NC
0.17735486,21514017,NC
0.18031853,21514018,NC
0.18381225,21514019,NC
0.18223512,21514020,NC
0.17407946,21514021,NC
0.15701589,21514022,NC
0.13333434,21514023,NC
0.11597926,21514024,NC
0.09802488,21514025,NC
0.08366103,21514026,NC
0.07451975,21514027,NC
0.057722602,21514028,NC
0.03911575,21514029,NC
0.013355101,21514030,NC
-0.016960686,21514031,NC
-0.049786028,21514032,NC
-0.07957151,21514033,NC
-0.10711324,21514034,NC
-0.13237554,21514035,NC
-0.15225686,21514036,NC
-0.17742518,21514037,NC
-0.2045721,21514038,NC
-0.23650624,21514039,NC
-0.26256055,21514040,NC
-0.28562912,21514041,NC
-0.30921778,21514042,NC
-0.33489323,21514043,NC
-0.35757217,21514044,NC
-0.3914052,21514045,NC
-0.42169458,21514046,NC
-0.4474253,21514047,NC
-0.46655765,21514048,NC
-0.47931552,21514049,NC
-0.48082453,21514050,NC
-0.47904187,21514051,NC
-0.47864035,21514052,NC
-0.48906183,21514053,NC
-0.4986883,21514054,NC
-0.51901263,21514055,NC
-0.5248653,21514056,NC
-0.5267138,21514057,NC
-0.5311022,21514058,NC
-0.5243303,21514059,NC
-0.5172052,21514060,NC
-0.51487845,21514061,NC
-0.5063344,21514062,NC
-0.5000149,21514063,NC
-0.489731,21514064,NC
-0.47805333,21514065,NC
-0.45814842,21514066,NC
-0.433076,21514067,NC
-0.40499106,21514068,NC
-0.37941346,21514069,NC
-0.356504,21514070,NC
-0.32980326,21514071,NC
-0.30637944,21514072,NC
-0.27586558,21514073,NC
-0.24419272,21514074,NC
-0.2092391,21514075,NC
-0.1858745,21514076,NC
-0.16779141,21514077,NC
-0.1751122,21514078,NC
-0.18951991,21514079,NC
-0.21590209,21514080,NC
-0.24915089,21514081,NC
-0.28868434,21514082,NC
-0.3346286,21514083,NC
-0.3807067,21514084,NC
-0.4280703,21514085,NC
-0.47391036,21514086,NC
-0.51095974,21514087,NC
-0.54890245,21514088,NC
-0.57769346,21514089,NC
-0.59848535,21514090,NC
-0.6073193,21514091,NC
-0.6059179,21514092,NC
-0.602739,21514093,NC
-0.61045796,21514094,NC
-0.6187573,21514095,NC
-0.625711,21514096,NC
-0.62588936,21514097,NC
-0.61943597,21514098,NC
-0.6114224,21514099,NC
-0.5975531,21514100,NC
-0.58496267,21514101,NC
-0.58749014,21514102,NC
-0.58802646,21514103,NC
-0.59938437,21514104,NC
-0.60869235,21514105,NC
-0.6128726,21514106,NC
-0.6140713,21514107,NC
-0.607901,21514108,NC
-0.602578,21514109,NC
-0.5922637,21514110,NC
-0.59499985,21514111,NC
-0.603849,21514112,NC
-0.6205027,21514113,NC
-0.6451099,21514114,NC
-0.6623465,21514115,NC
-0.6567603,21514116,NC
-0.60255194,21514117,NC
-0.48182082,21514118,NC
-0.28817928,21514119,NC
-0.01860502,21514120,NC
0.32572776,21514121,NC
0.7241965,21514122,NC
1.1490072,21514123,NC
1.5432078,21514124,NC
1.8435526,21514125,NC
1.9947065,21514126,F
1.9787748,21514127,NC
1.8058076,21514128,NC
1.5307109,21514129,NC
1.1986732,21514130,NC
0.86058336,21514131,NC
0.5276332,21514132,NC
0.22594123,21514133,NC
-0.0704464,21514134,NC
-0.35003626,21514135,NC
-0.60268795,21514136,NC
-0.8129993,21514137,NC
-0.9413591,21514138,NC
-0.9941132,21514139,NC
-0.97588915,21514140,NC
-0.9287849,21514141,NC
-0.8839907,21514142,NC
-0.85402524,21514143,NC
-0.8578713,21514144,NC
-0.8807398,21514145,NC
-0.9151346,21514146,NC
-0.94637007,21514147,NC
-0.9643528,21514148,NC
-0.9694376,21514149,NC
-0.9725758,21514150,NC
-0.97587764,21514151,NC
-0.9864629,21514152,NC
-0.9996784,21514153,NC
-1.0190828,21514154,NC
-1.0427057,21514155,NC
-1.0572402,21514156,NC
-1.0662805,21514157,NC
-1.0691209,21514158,NC
-1.0644213,21514159,NC
-1.0611099,21514160,NC
-1.0654993,21514161,NC
-1.0782989,21514162,NC
-1.0891573,21514163,NC
-1.1050246,21514164,NC
-1.1122146,21514165,NC
-1.1180103,21514166,NC
-1.1135383,21514167,NC
-1.1051242,21514168,NC
-1.1075455,21514169,NC
-1.1022912,21514170,NC
-1.1031888,21514171,NC
-1.095062,21514172,NC
-1.0865587,21514173,NC
-1.0795578,21514174,NC
-1.0747153,21514175,NC
-1.0695753,21514176,NC
-1.0695183,21514177,NC
-1.0615827,21514178,NC
-1.0592965,21514179,NC
-1.0489264,21514180,NC
-1.026406,21514181,NC
-1.001781,21514182,NC
-0.974636,21514183,NC
-0.9505547,21514184,NC
-0.92752254,21514185,NC
-0.9112353,21514186,NC
-0.8936003,21514187,NC
-0.8728705,21514188,NC
-0.848548,21514189,NC
-0.8196682,21514190,NC
-0.7877253,21514191,NC
-0.7520588,21514192,NC
-0.7164215,21514193,NC
-0.68072027,21514194,NC
-0.64265937,21514195,NC
-0.59798056,21514196,NC
-0.5527623,21514197,NC
-0.51255673,21514198,NC
-0.47442308,21514199,NC
-0.4426714,21514200,NC
-0.41318366,21514201,NC
-0.38764268,21514202,NC
-0.35739613,21514203,NC
-0.32916218,21514204,NC
-0.29734728,21514205,NC
-0.25395218,21514206,NC
-0.21060994,21514207,NC
-0.16551462,21514208,NC
-0.13479055,21514209,NC
-0.10716344,21514210,NC
-0.083172195,21514211,NC
-0.06592952,21514212,NC
-0.040598698,21514213,NC
-0.023297768,21514214,NC
-0.0037016661,21514215,NC
0.015129345,21514216,NC
0.023273021,21514217,NC
0.030948661,21514218,NC
0.043932088,21514219,NC
0.04603687,21514220,NC
0.05630603,21514221,NC
0.059297696,21514222,NC
0.056897253,21514223,NC
0.05318437,21514224,NC
0.045732513,21514225,NC
0.030537538,21514226,NC
0.014487303,21514227,NC
-0.0053667785,21514228,NC
-0.02141659,21514229,NC
-0.0299219,21514230,NC
-0.04044276,21514231,NC
-0.04349866,21514232,NC
-0.052871622,21514233,NC
-0.067679204,21514234,NC
-0.09681439,21514235,NC
-0.12333376,21514236,NC
-0.15829067,21514237,NC
-0.19092734,21514238,NC
-0.20971987,21514239,NC
-0.22692385,21514240,NC
-0.24695235,21514241,NC
-0.2630696,21514242,NC
-0.28483728,21514243,NC
-0.30732,21514244,NC
-0.32921848,21514245,NC
-0.34796596,21514246,NC
-0.36539054,21514247,NC
-0.38503945,21514248,NC
-0.40364194,21514249,NC
-0.42409068,21514250,NC
-0.44553596,21514251,NC
-0.4655128,21514252,NC
-0.47755438,21514253,NC
-0.4852169,21514254,NC
