channel_0,sample #,type
1.645,19450903,N
1.65,19450904,NC
1.375,19450905,NC
0.915,19450906,NC
0.385,19450907,NC
-0.095,19450908,NC
-0.4,19450909,NC
-0.44,19450910,NC
-0.395,19450911,NC
-0.335,19450912,NC
-0.305,19450913,NC
-0.305,19450914,NC
-0.28,19450915,NC
-0.245,19450916,NC
-0.215,19450917,NC
-0.23,19450918,NC
-0.26,19450919,NC
-0.27,19450920,NC
-0.27,19450921,NC
-0.255,19450922,NC
-0.235,19450923,NC
-0.245,19450924,NC
-0.25,19450925,NC
-0.26,19450926,NC
-0.245,19450927,NC
-0.23,19450928,NC
-0.23,19450929,NC
-0.23,19450930,NC
-0.245,19450931,NC
-0.255,19450932,NC
-0.245,19450933,NC
-0.23,19450934,NC
-0.225,19450935,NC
-0.235,19450936,NC
-0.24,19450937,NC
-0.23,19450938,NC
-0.215,19450939,NC
-0.2,19450940,NC
-0.2,19450941,NC
-0.205,19450942,NC
-0.21,19450943,NC
-0.21,19450944,NC
-0.19,19450945,NC
-0.175,19450946,NC
-0.175,19450947,NC
-0.19,19450948,NC
-0.2,19450949,NC
-0.205,19450950,NC
-0.175,19450951,NC
-0.155,19450952,NC
-0.135,19450953,NC
-0.14,19450954,NC
-0.135,19450955,NC
-0.12,19450956,NC
-0.12,19450957,NC
-0.085,19450958,NC
-0.09,19450959,NC
-0.075,19450960,NC
-0.075,19450961,NC
-0.08,19450962,NC
-0.065,19450963,NC
-0.055,19450964,NC
-0.03,19450965,NC
-0.03,19450966,NC
-0.015,19450967,NC
-0.015,19450968,NC
0.025,19450969,NC
0.04,19450970,NC
0.075,19450971,NC
0.1,19450972,NC
0.1,19450973,NC
0.115,19450974,NC
0.13,19450975,NC
0.16,19450976,NC
0.19,19450977,NC
0.19,19450978,NC
0.19,19450979,NC
0.215,19450980,NC
0.215,19450981,NC
0.24,19450982,NC
0.26,19450983,NC
0.27,19450984,NC
0.26,19450985,NC
0.27,19450986,NC
0.295,19450987,NC
0.305,19450988,NC
0.295,19450989,NC
0.295,19450990,NC
0.275,19450991,NC
0.255,19450992,NC
0.24,19450993,NC
0.21,19450994,NC
0.185,19450995,NC
0.145,19450996,NC
0.095,19450997,NC
0.06,19450998,NC
0.04,19450999,NC
0.02,19451000,NC
0.0,19451001,NC
-0.03,19451002,NC
-0.065,19451003,NC
-0.1,19451004,NC
-0.13,19451005,NC
-0.145,19451006,NC
-0.14,19451007,NC
-0.165,19451008,NC
-0.2,19451009,NC
-0.21,19451010,NC
-0.225,19451011,NC
-0.21,19451012,NC
-0.21,19451013,NC
-0.225,19451014,NC
-0.235,19451015,NC
-0.25,19451016,NC
-0.25,19451017,NC
-0.24,19451018,NC
-0.24,19451019,NC
-0.24,19451020,NC
-0.25,19451021,NC
-0.27,19451022,NC
-0.27,19451023,NC
-0.245,19451024,NC
-0.26,19451025,NC
-0.27,19451026,NC
-0.285,19451027,NC
-0.29,19451028,NC
-0.285,19451029,NC
-0.255,19451030,NC
-0.255,19451031,NC
-0.25,19451032,NC
-0.27,19451033,NC
-0.27,19451034,NC
-0.26,19451035,NC
-0.245,19451036,NC
