channel_0,sample #,type
1.66,22224377,L
1.73,22224378,NC
1.71,22224379,NC
1.65,22224380,NC
1.525,22224381,NC
1.31,22224382,NC
1.045,22224383,NC
0.76,22224384,NC
0.53,22224385,NC
0.375,22224386,NC
0.335,22224387,NC
0.35,22224388,NC
0.37,22224389,NC
0.355,22224390,NC
0.3,22224391,NC
0.24,22224392,NC
0.195,22224393,NC
0.15,22224394,NC
0.125,22224395,NC
0.1,22224396,NC
0.055,22224397,NC
0.03,22224398,NC
0.0,22224399,NC
-0.01,22224400,NC
-0.03,22224401,NC
-0.08,22224402,NC
-0.135,22224403,NC
-0.17,22224404,NC
-0.205,22224405,NC
-0.23,22224406,NC
-0.27,22224407,NC
-0.32,22224408,NC
-0.36,22224409,NC
-0.39,22224410,NC
-0.395,22224411,NC
-0.41,22224412,NC
-0.42,22224413,NC
-0.45,22224414,NC
-0.47,22224415,NC
-0.47,22224416,NC
-0.48,22224417,NC
-0.47,22224418,NC
-0.465,22224419,NC
-0.465,22224420,NC
-0.47,22224421,NC
-0.485,22224422,NC
-0.47,22224423,NC
-0.47,22224424,NC
-0.46,22224425,NC
-0.5,22224426,NC
-0.51,22224427,NC
-0.53,22224428,NC
-0.525,22224429,NC
-0.52,22224430,NC
-0.5,22224431,NC
-0.505,22224432,NC
-0.51,22224433,NC
-0.525,22224434,NC
-0.53,22224435,NC
-0.525,22224436,NC
-0.52,22224437,NC
-0.535,22224438,NC
-0.545,22224439,NC
-0.54,22224440,NC
-0.545,22224441,NC
-0.545,22224442,NC
-0.545,22224443,NC
-0.57,22224444,NC
-0.58,22224445,NC
-0.58,22224446,NC
-0.585,22224447,NC
-0.565,22224448,NC
-0.565,22224449,NC
-0.575,22224450,NC
-0.59,22224451,NC
-0.61,22224452,NC
-0.615,22224453,NC
-0.61,22224454,NC
-0.605,22224455,NC
-0.62,22224456,NC
-0.645,22224457,NC
-0.655,22224458,NC
-0.675,22224459,NC
-0.675,22224460,NC
-0.67,22224461,NC
-0.695,22224462,NC
-0.705,22224463,NC
-0.715,22224464,NC
-0.71,22224465,NC
-0.71,22224466,NC
-0.725,22224467,NC
-0.735,22224468,NC
-0.77,22224469,NC
-0.755,22224470,NC
-0.75,22224471,NC
-0.74,22224472,NC
-0.73,22224473,NC
-0.74,22224474,NC
-0.75,22224475,NC
-0.775,22224476,NC
-0.775,22224477,NC
-0.765,22224478,NC
-0.745,22224479,NC
-0.745,22224480,NC
-0.74,22224481,NC
-0.74,22224482,NC
-0.72,22224483,NC
-0.71,22224484,NC
-0.69,22224485,NC
-0.68,22224486,NC
-0.665,22224487,NC
-0.665,22224488,NC
-0.64,22224489,NC
-0.6,22224490,NC
-0.58,22224491,NC
-0.565,22224492,NC
-0.56,22224493,NC
-0.56,22224494,NC
-0.515,22224495,NC
-0.475,22224496,NC
-0.44,22224497,NC
-0.42,22224498,NC
-0.415,22224499,NC
-0.4,22224500,NC
-0.385,22224501,NC
-0.355,22224502,NC
-0.32,22224503,NC
-0.31,22224504,NC
-0.315,22224505,NC
-0.295,22224506,NC
-0.285,22224507,NC
-0.285,22224508,NC
-0.26,22224509,NC
-0.27,22224510,NC
-0.255,22224511,NC
-0.26,22224512,NC
-0.24,22224513,NC
-0.24,22224514,NC
-0.225,22224515,NC
-0.255,22224516,NC
-0.27,22224517,NC
-0.285,22224518,NC
-0.275,22224519,NC
-0.26,22224520,NC
-0.24,22224521,NC
-0.255,22224522,NC
-0.29,22224523,NC
-0.28,22224524,NC
-0.28,22224525,NC
-0.255,22224526,NC
-0.24,22224527,NC
-0.25,22224528,NC
-0.28,22224529,NC
-0.305,22224530,NC
-0.3,22224531,NC
-0.29,22224532,NC
-0.27,22224533,NC
-0.265,22224534,NC
-0.285,22224535,NC
-0.28,22224536,NC
-0.27,22224537,NC
-0.275,22224538,NC
-0.27,22224539,NC
-0.29,22224540,NC
-0.29,22224541,NC
-0.295,22224542,NC
-0.28,22224543,NC
-0.27,22224544,NC
-0.25,22224545,NC
-0.265,22224546,NC
-0.285,22224547,NC
-0.285,22224548,NC
-0.26,22224549,NC
-0.255,22224550,NC
-0.265,22224551,NC
-0.28,22224552,NC
-0.29,22224553,NC
-0.29,22224554,NC
-0.285,22224555,NC
-0.28,22224556,NC
-0.265,22224557,NC
-0.275,22224558,NC
-0.29,22224559,NC
-0.295,22224560,NC
-0.3,22224561,NC
-0.28,22224562,NC
-0.265,22224563,NC
-0.28,22224564,NC
-0.285,22224565,NC
-0.29,22224566,NC
-0.295,22224567,NC
-0.27,22224568,NC
-0.255,22224569,NC
-0.25,22224570,NC
-0.265,22224571,NC
-0.28,22224572,NC
-0.275,22224573,NC
-0.265,22224574,NC
-0.27,22224575,NC
-0.275,22224576,NC
-0.3,22224577,NC
-0.295,22224578,NC
-0.285,22224579,NC
-0.265,22224580,NC
-0.25,22224581,NC
-0.26,22224582,NC
-0.26,22224583,NC
