channel_0,sample #,type
2.195,7830779,N
2.16,7830780,NC
1.955,7830781,NC
1.48,7830782,NC
0.84,7830783,NC
0.2,7830784,NC
-0.205,7830785,NC
-0.2,7830786,NC
-0.095,7830787,NC
-0.055,7830788,NC
-0.07,7830789,NC
-0.09,7830790,NC
-0.075,7830791,NC
-0.06,7830792,NC
-0.015,7830793,NC
0.02,7830794,NC
0.06,7830795,NC
0.09,7830796,NC
0.115,7830797,NC
0.14,7830798,NC
0.165,7830799,NC
0.16,7830800,NC
0.17,7830801,NC
0.145,7830802,NC
0.145,7830803,NC
0.14,7830804,NC
0.155,7830805,NC
0.175,7830806,NC
0.17,7830807,NC
0.155,7830808,NC
0.14,7830809,NC
0.15,7830810,NC
0.18,7830811,NC
0.195,7830812,NC
0.185,7830813,NC
0.17,7830814,NC
0.155,7830815,NC
0.18,7830816,NC
0.2,7830817,NC
0.205,7830818,NC
0.19,7830819,NC
0.175,7830820,NC
0.17,7830821,NC
0.16,7830822,NC
0.19,7830823,NC
0.19,7830824,NC
0.18,7830825,NC
0.185,7830826,NC
0.185,7830827,NC
0.19,7830828,NC
0.21,7830829,NC
0.215,7830830,NC
0.225,7830831,NC
0.2,7830832,NC
0.185,7830833,NC
0.2,7830834,NC
0.215,7830835,NC
0.22,7830836,NC
0.225,7830837,NC
0.205,7830838,NC
0.2,7830839,NC
0.215,7830840,NC
0.24,7830841,NC
0.235,7830842,NC
0.235,7830843,NC
0.22,7830844,NC
0.23,7830845,NC
0.24,7830846,NC
0.25,7830847,NC
0.27,7830848,NC
0.26,7830849,NC
0.26,7830850,NC
0.255,7830851,NC
0.265,7830852,NC
0.275,7830853,NC
0.295,7830854,NC
0.29,7830855,NC
0.29,7830856,NC
0.285,7830857,NC
0.295,7830858,NC
0.305,7830859,NC
0.335,7830860,NC
0.335,7830861,NC
0.325,7830862,NC
0.33,7830863,NC
0.345,7830864,NC
0.365,7830865,NC
0.39,7830866,NC
0.375,7830867,NC
0.395,7830868,NC
0.395,7830869,NC
0.42,7830870,NC
0.44,7830871,NC
0.465,7830872,NC
0.47,7830873,NC
0.465,7830874,NC
0.48,7830875,NC
0.505,7830876,NC
0.535,7830877,NC
0.565,7830878,NC
0.58,7830879,NC
0.6,7830880,NC
0.61,7830881,NC
0.63,7830882,NC
0.68,7830883,NC
0.69,7830884,NC
0.72,7830885,NC
0.73,7830886,NC
0.74,7830887,NC
0.78,7830888,NC
0.805,7830889,NC
0.85,7830890,NC
0.85,7830891,NC
0.88,7830892,NC
0.875,7830893,NC
0.915,7830894,NC
0.955,7830895,NC
0.98,7830896,NC
0.995,7830897,NC
1.01,7830898,NC
1.01,7830899,NC
1.04,7830900,NC
1.06,7830901,NC
1.07,7830902,NC
1.07,7830903,NC
1.04,7830904,NC
1.005,7830905,NC
0.985,7830906,NC
0.97,7830907,NC
0.935,7830908,NC
0.86,7830909,NC
0.785,7830910,NC
0.72,7830911,NC
0.66,7830912,NC
0.61,7830913,NC
0.56,7830914,NC
0.5,7830915,NC
0.415,7830916,NC
0.37,7830917,NC
0.325,7830918,NC
0.28,7830919,NC
0.245,7830920,NC
0.195,7830921,NC
0.145,7830922,NC
0.12,7830923,NC
0.08,7830924,NC
0.065,7830925,NC
0.05,7830926,NC
0.025,7830927,NC
-0.01,7830928,NC
-0.03,7830929,NC
-0.03,7830930,NC
-0.035,7830931,NC
-0.055,7830932,NC
-0.07,7830933,NC
-0.08,7830934,NC
-0.1,7830935,NC
-0.095,7830936,NC
-0.11,7830937,NC
-0.095,7830938,NC
-0.1,7830939,NC
-0.11,7830940,NC
-0.125,7830941,NC
-0.125,7830942,NC
-0.125,7830943,NC
-0.105,7830944,NC
-0.115,7830945,NC
-0.13,7830946,NC
-0.135,7830947,NC
-0.135,7830948,NC
-0.125,7830949,NC
-0.11,7830950,NC
-0.12,7830951,NC
-0.125,7830952,NC
-0.135,7830953,NC
-0.145,7830954,NC
-0.12,7830955,NC
-0.115,7830956,NC
-0.13,7830957,NC
-0.15,7830958,NC
-0.16,7830959,NC
-0.16,7830960,NC
-0.145,7830961,NC
-0.13,7830962,NC
-0.13,7830963,NC
-0.15,7830964,NC
-0.17,7830965,NC
-0.17,7830966,NC
-0.14,7830967,NC
-0.135,7830968,NC
-0.135,7830969,NC
-0.145,7830970,NC
-0.165,7830971,NC
-0.17,7830972,NC
-0.16,7830973,NC
-0.145,7830974,NC
-0.155,7830975,NC
-0.17,7830976,NC
-0.18,7830977,NC
-0.17,7830978,NC
-0.175,7830979,NC
-0.165,7830980,NC
-0.165,7830981,NC
-0.19,7830982,NC
-0.185,7830983,NC
-0.175,7830984,NC
-0.17,7830985,NC
-0.165,7830986,NC
-0.18,7830987,NC
