channel_0,sample #,type
0.897942,11495793,R
0.8936661,11495794,NC
0.74400914,11495795,NC
0.4703506,11495796,NC
0.11972561,11495797,NC
-0.21379572,11495798,NC
-0.49173015,11495799,NC
-0.70124996,11495800,NC
-0.85090697,11495801,NC
-0.949253,11495802,NC
-1.051875,11495803,NC
-1.1416692,11495804,NC
-1.2229115,11495805,NC
-1.2742225,11495806,NC
-1.3127058,11495807,NC
-1.3041539,11495808,NC
-1.299878,11495809,NC
-1.2913262,11495810,NC
-1.2956021,11495811,NC
-1.3127058,11495812,NC
-1.3127058,11495813,NC
-1.299878,11495814,NC
-1.2742225,11495815,NC
-1.2314634,11495816,NC
-1.1630487,11495817,NC
-1.0732545,11495818,NC
-0.9278735,11495819,NC
-0.8124237,11495820,NC
-0.69697404,11495821,NC
-0.6071798,11495822,NC
-0.547317,11495823,NC
-0.5045579,11495824,NC
-0.48745424,11495825,NC
-0.48317832,11495826,NC
-0.48317832,11495827,NC
-0.49173015,11495828,NC
-0.47890243,11495829,NC
-0.45752287,11495830,NC
-0.45752287,11495831,NC
-0.44041917,11495832,NC
-0.42759144,11495833,NC
-0.42759144,11495834,NC
-0.41903964,11495835,NC
-0.42331553,11495836,NC
-0.4446951,11495837,NC
-0.44041917,11495838,NC
-0.4446951,11495839,NC
-0.448971,11495840,NC
-0.4532469,11495841,NC
-0.4532469,11495842,NC
-0.46607468,11495843,NC
-0.48317832,11495844,NC
-0.4746265,11495845,NC
-0.46607468,11495846,NC
-0.4532469,11495847,NC
-0.46607468,11495848,NC
-0.500282,11495849,NC
-0.500282,11495850,NC
-0.500282,11495851,NC
-0.5302134,11495852,NC
-0.5216616,11495853,NC
-0.5302134,11495854,NC
-0.5387652,11495855,NC
-0.5430411,11495856,NC
-0.547317,11495857,NC
-0.55159295,11495858,NC
-0.5644207,11495859,NC
-0.55586886,11495860,NC
-0.5858003,11495861,NC
-0.5815244,11495862,NC
-0.6071798,11495863,NC
-0.6285594,11495864,NC
-0.649939,11495865,NC
-0.6584908,11495866,NC
-0.6627667,11495867,NC
-0.6670426,11495868,NC
-0.6584908,11495869,NC
-0.6670426,11495870,NC
-0.6627667,11495871,NC
-0.6670426,11495872,NC
-0.6755945,11495873,NC
-0.6926981,11495874,NC
-0.7098018,11495875,NC
-0.7140777,11495876,NC
-0.72262955,11495877,NC
-0.7311814,11495878,NC
-0.7055259,11495879,NC
-0.70124996,11495880,NC
-0.7055259,11495881,NC
-0.6884222,11495882,NC
-0.68414634,11495883,NC
-0.6755945,11495884,NC
-0.6627667,11495885,NC
-0.6542149,11495886,NC
-0.6456631,11495887,NC
-0.649939,11495888,NC
-0.64138716,11495889,NC
-0.6456631,11495890,NC
-0.6285594,11495891,NC
-0.6029039,11495892,NC
-0.5900762,11495893,NC
-0.5686966,11495894,NC
-0.547317,11495895,NC
-0.5259375,11495896,NC
-0.51738566,11495897,NC
-0.5045579,11495898,NC
-0.5088338,11495899,NC
-0.49600607,11495900,NC
-0.48317832,11495901,NC
-0.45752287,11495902,NC
-0.4446951,11495903,NC
-0.43186736,11495904,NC
-0.41903964,11495905,NC
-0.40193596,11495906,NC
-0.40193596,11495907,NC
-0.40193596,11495908,NC
-0.39338413,11495909,NC
-0.39338413,11495910,NC
-0.3891082,11495911,NC
-0.39338413,11495912,NC
-0.40193596,11495913,NC
-0.3891082,11495914,NC
-0.39338413,11495915,NC
-0.3891082,11495916,NC
-0.36345273,11495917,NC
-0.3591768,11495918,NC
-0.36345273,11495919,NC
-0.36772865,11495920,NC
-0.37200457,11495921,NC
-0.36772865,11495922,NC
-0.37200457,11495923,NC
-0.38055637,11495924,NC
-0.3891082,11495925,NC
-0.3891082,11495926,NC
-0.3891082,11495927,NC
-0.37628046,11495928,NC
-0.37628046,11495929,NC
-0.37200457,11495930,NC
-0.37628046,11495931,NC
-0.38055637,11495932,NC
-0.39338413,11495933,NC
-0.3891082,11495934,NC
-0.39766005,11495935,NC
-0.40193596,11495936,NC
-0.40621185,11495937,NC
-0.41903964,11495938,NC
-0.41476372,11495939,NC
-0.41048777,11495940,NC
-0.41048777,11495941,NC
-0.41476372,11495942,NC
-0.41903964,11495943,NC
-0.41903964,11495944,NC
-0.41476372,11495945,NC
-0.43186736,11495946,NC
-0.43614325,11495947,NC
-0.44041917,11495948,NC
-0.43614325,11495949,NC
-0.44041917,11495950,NC
-0.42331553,11495951,NC
-0.43614325,11495952,NC
-0.42331553,11495953,NC
-0.41048777,11495954,NC
-0.41476372,11495955,NC
-0.41048777,11495956,NC
-0.41476372,11495957,NC
-0.41476372,11495958,NC
-0.41476372,11495959,NC
-0.41476372,11495960,NC
-0.42759144,11495961,NC
-0.44041917,11495962,NC
-0.42759144,11495963,NC
