channel_0,sample #,type
0.28175655,11370251,R
0.46818843,11370252,NC
0.5953815,11370253,NC
0.6103022,11370254,NC
0.41285548,11370255,NC
0.018785823,11370256,NC
-0.5658402,11370257,NC
-1.1742334,11370258,NC
-1.6716889,11370259,NC
-2.0153172,11370260,NC
-2.2003345,11370261,NC
-2.2742689,11370262,NC
-2.2930667,11370263,NC
-2.2934306,11370264,NC
-2.3064015,11370265,NC
-2.2998533,11370266,NC
-2.3060548,11370267,NC
-2.3116148,11370268,NC
-2.333915,11370269,NC
-2.352454,11370270,NC
-2.347697,11370271,NC
-2.3243456,11370272,NC
-2.2936912,11370273,NC
-2.2529616,11370274,NC
-2.1546726,11370275,NC
-2.0454946,11370276,NC
-1.8866264,11370277,NC
-1.714076,11370278,NC
-1.5237811,11370279,NC
-1.368558,11370280,NC
-1.2270781,11370281,NC
-1.1478423,11370282,NC
-1.0841274,11370283,NC
-1.052536,11370284,NC
-1.0495203,11370285,NC
-1.0278281,11370286,NC
-1.0040625,11370287,NC
-0.9811499,11370288,NC
-0.9577878,11370289,NC
-0.9357609,11370290,NC
-0.9336232,11370291,NC
-0.9341873,11370292,NC
-0.93904835,11370293,NC
-0.94751644,11370294,NC
-0.96326,11370295,NC
-0.95568776,11370296,NC
-0.9468776,11370297,NC
-0.94773865,11370298,NC
-0.9361182,11370299,NC
-0.9259343,11370300,NC
-0.92646253,11370301,NC
-0.9321591,11370302,NC
-0.95164245,11370303,NC
-0.9596497,11370304,NC
-0.99276936,11370305,NC
-0.9897167,11370306,NC
-0.99787694,11370307,NC
-1.0184449,11370308,NC
-1.0342963,11370309,NC
-1.0202323,11370310,NC
-1.033269,11370311,NC
-1.0325829,11370312,NC
-1.0365034,11370313,NC
-1.0512809,11370314,NC
-1.0689868,11370315,NC
-1.0810363,11370316,NC
-1.0979425,11370317,NC
-1.1330729,11370318,NC
-1.1365422,11370319,NC
-1.1545274,11370320,NC
-1.1641186,11370321,NC
-1.1705356,11370322,NC
-1.1747055,11370323,NC
-1.181421,11370324,NC
-1.1657608,11370325,NC
-1.1692125,11370326,NC
-1.1865845,11370327,NC
-1.1900985,11370328,NC
-1.2114079,11370329,NC
-1.2265407,11370330,NC
-1.2414606,11370331,NC
-1.2342827,11370332,NC
-1.2460175,11370333,NC
-1.2385019,11370334,NC
-1.2244929,11370335,NC
-1.2348377,11370336,NC
-1.2221166,11370337,NC
-1.1888729,11370338,NC
-1.2033569,11370339,NC
-1.1748561,11370340,NC
-1.1682941,11370341,NC
-1.149807,11370342,NC
-1.1555074,11370343,NC
-1.1444136,11370344,NC
-1.1276997,11370345,NC
-1.1093678,11370346,NC
-1.107458,11370347,NC
-1.0849185,11370348,NC
-1.0307038,11370349,NC
-0.99419427,11370350,NC
-0.97425526,11370351,NC
-0.95509416,11370352,NC
-0.93446636,11370353,NC
-0.94375515,11370354,NC
-0.90665823,11370355,NC
-0.89000195,11370356,NC
-0.86975145,11370357,NC
-0.8591189,11370358,NC
-0.8246642,11370359,NC
-0.8058139,11370360,NC
-0.81795716,11370361,NC
-0.80415195,11370362,NC
-0.7848061,11370363,NC
-0.780679,11370364,NC
-0.78539336,11370365,NC
-0.80039984,11370366,NC
-0.78941584,11370367,NC
-0.81889826,11370368,NC
-0.79875296,11370369,NC
-0.783299,11370370,NC
-0.7744563,11370371,NC
-0.7437746,11370372,NC
-0.7380245,11370373,NC
-0.7315918,11370374,NC
-0.7109351,11370375,NC
-0.72726774,11370376,NC
-0.7232432,11370377,NC
-0.7303307,11370378,NC
-0.7332719,11370379,NC
-0.7488488,11370380,NC
-0.75323826,11370381,NC
-0.7572305,11370382,NC
-0.7696329,11370383,NC
-0.76790434,11370384,NC
-0.77954525,11370385,NC
-0.7588662,11370386,NC
-0.7643264,11370387,NC
-0.75632715,11370388,NC
-0.76739025,11370389,NC
-0.77663034,11370390,NC
-0.7707545,11370391,NC
-0.7990007,11370392,NC
-0.80846107,11370393,NC
-0.7919017,11370394,NC
-0.7905362,11370395,NC
-0.78202814,11370396,NC
-0.7901129,11370397,NC
-0.7923624,11370398,NC
-0.7877107,11370399,NC
-0.7830748,11370400,NC
-0.79577506,11370401,NC
-0.793706,11370402,NC
-0.8175386,11370403,NC
-0.7921126,11370404,NC
-0.7967535,11370405,NC
-0.81172335,11370406,NC
-0.8091505,11370407,NC
-0.81680834,11370408,NC
-0.8162941,11370409,NC
-0.8010718,11370410,NC
-0.8103642,11370411,NC
-0.80091506,11370412,NC
-0.8291458,11370413,NC
-0.8247509,11370414,NC
-0.82785887,11370415,NC
-0.8317339,11370416,NC
-0.82253975,11370417,NC
-0.82706076,11370418,NC
-0.8092073,11370419,NC
-0.7968167,11370420,NC
-0.7856528,11370421,NC
-0.77753276,11370422,NC
-0.77632934,11370423,NC
-0.775338,11370424,NC
-0.7839419,11370425,NC
-0.7869118,11370426,NC
-0.81734604,11370427,NC
-0.8234214,11370428,NC
-0.8145311,11370429,NC
-0.79666454,11370430,NC
-0.8010275,11370431,NC
-0.7848115,11370432,NC
-0.7890209,11370433,NC
-0.787516,11370434,NC
-0.7761908,11370435,NC
-0.77762985,11370436,NC
-0.7896574,11370437,NC
-0.7957967,11370438,NC
-0.7877772,11370439,NC
-0.7911686,11370440,NC
-0.79930127,11370441,NC
-0.7995414,11370442,NC
-0.79020834,11370443,NC
-0.7868641,11370444,NC
-0.7894899,11370445,NC
-0.78373706,11370446,NC
-0.76938367,11370447,NC
-0.7614875,11370448,NC
-0.75991416,11370449,NC
-0.77214926,11370450,NC
-0.77870697,11370451,NC
-0.78988165,11370452,NC
-0.78934383,11370453,NC
-0.7901552,11370454,NC
-0.7825124,11370455,NC
-0.7802775,11370456,NC
-0.7677874,11370457,NC
-0.7466789,11370458,NC
-0.7605087,11370459,NC
-0.7718226,11370460,NC
-0.753577,11370461,NC
-0.76264775,11370462,NC
-0.7599487,11370463,NC
-0.75740093,11370464,NC
-0.77218574,11370465,NC
-0.7596844,11370466,NC
-0.7660668,11370467,NC
-0.7399317,11370468,NC
-0.74773777,11370469,NC
-0.7403998,11370470,NC
-0.7001848,11370471,NC
-0.6957281,11370472,NC
-0.69440925,11370473,NC
-0.6932368,11370474,NC
-0.6812072,11370475,NC
-0.68774855,11370476,NC
-0.7044615,11370477,NC
-0.67672294,11370478,NC
-0.6790158,11370479,NC
-0.6483145,11370480,NC
-0.610219,11370481,NC
-0.58536845,11370482,NC
-0.5679509,11370483,NC
-0.536731,11370484,NC
-0.52899975,11370485,NC
-0.5283121,11370486,NC
-0.5329949,11370487,NC
-0.55540156,11370488,NC
-0.59233594,11370489,NC
-0.61049366,11370490,NC
-0.6258723,11370491,NC
-0.6377987,11370492,NC
-0.6206612,11370493,NC
-0.60822374,11370494,NC
-0.60092777,11370495,NC
-0.5741444,11370496,NC
-0.54906046,11370497,NC
-0.56126064,11370498,NC
-0.5429445,11370499,NC
-0.56064624,11370500,NC
-0.58893394,11370501,NC
-0.6452573,11370502,NC
-0.6608574,11370503,NC
-0.7144606,11370504,NC
-0.70976925,11370505,NC
-0.7282455,11370506,NC
-0.74430007,11370507,NC
-0.7454193,11370508,NC
-0.77083784,11370509,NC
-0.80291766,11370510,NC
-0.80014914,11370511,NC
-0.8148692,11370512,NC
-0.84184915,11370513,NC
-0.8384681,11370514,NC
-0.8381392,11370515,NC
-0.8419358,11370516,NC
-0.83424693,11370517,NC
-0.8145636,11370518,NC
-0.8150386,11370519,NC
-0.81861144,11370520,NC
-0.8445088,11370521,NC
-0.8369708,11370522,NC
-0.850935,11370523,NC
-0.84419894,11370524,NC
-0.8757811,11370525,NC
-0.8685005,11370526,NC
-0.8446433,11370527,NC
-0.845895,11370528,NC
-0.851336,11370529,NC
-0.82848024,11370530,NC
