channel_0,sample #,type
0.9719385,21030059,R
1.0001107,21030060,NC
0.8498593,21030061,NC
0.5352705,21030062,NC
0.11268853,21030063,NC
-0.28172132,21030064,NC
-0.5587473,21030065,NC
-0.6855219,21030066,NC
-0.68082654,21030067,NC
-0.6197869,21030068,NC
-0.568138,21030069,NC
-0.5587473,21030070,NC
-0.60100543,21030071,NC
-0.65265435,21030072,NC
-0.6761312,21030073,NC
-0.71838933,21030074,NC
-0.7371708,21030075,NC
-0.7465615,21030076,NC
-0.69960797,21030077,NC
-0.69021726,21030078,NC
-0.69960797,21030079,NC
-0.71838933,21030080,NC
-0.7512569,21030081,NC
-0.7418662,21030082,NC
-0.7418662,21030083,NC
-0.7465615,21030084,NC
-0.71838933,21030085,NC
-0.6949126,21030086,NC
-0.65265435,21030087,NC
-0.6150915,21030088,NC
-0.5775287,21030089,NC
-0.53996587,21030090,NC
-0.49770764,21030091,NC
-0.46953553,21030092,NC
-0.41319126,21030093,NC
-0.3662377,21030094,NC
-0.3333702,21030095,NC
-0.30989346,21030096,NC
-0.30050272,21030097,NC
-0.30050272,21030098,NC
-0.30050272,21030099,NC
-0.2723306,21030100,NC
-0.26763526,21030101,NC
-0.26763526,21030102,NC
-0.2629399,21030103,NC
-0.28172132,21030104,NC
-0.2723306,21030105,NC
-0.2629399,21030106,NC
-0.22537705,21030107,NC
-0.21598634,21030108,NC
-0.21598634,21030109,NC
-0.23476776,21030110,NC
-0.23946312,21030111,NC
-0.23007241,21030112,NC
-0.21129099,21030113,NC
-0.20659563,21030114,NC
-0.19250956,21030115,NC
-0.20190029,21030116,NC
-0.19250956,21030117,NC
-0.1784235,21030118,NC
-0.16433743,21030119,NC
-0.15025136,21030120,NC
-0.15494673,21030121,NC
-0.1690328,21030122,NC
-0.15025136,21030123,NC
-0.13146995,21030124,NC
-0.10799317,21030125,NC
-0.08921175,21030126,NC
-0.08921175,21030127,NC
-0.09390711,21030128,NC
-0.0845164,21030129,NC
-0.07982104,21030130,NC
-0.03756284,21030131,NC
-0.01878142,21030132,NC
-0.01878142,21030133,NC
0.0,21030134,NC
0.014086066,21030135,NC
0.028172132,21030136,NC
0.046953555,21030137,NC
0.046953555,21030138,NC
0.046953555,21030139,NC
0.051648907,21030140,NC
0.065734975,21030141,NC
0.08921175,21030142,NC
0.10799317,21030143,NC
0.11268853,21030144,NC
0.12207923,21030145,NC
0.12207923,21030146,NC
0.1267746,21030147,NC
0.1361653,21030148,NC
0.13146995,21030149,NC
0.11738388,21030150,NC
0.09390711,21030151,NC
0.07512568,21030152,NC
0.046953555,21030153,NC
0.0422582,21030154,NC
0.046953555,21030155,NC
0.028172132,21030156,NC
0.004695355,21030157,NC
-0.046953555,21030158,NC
-0.07982104,21030159,NC
-0.09390711,21030160,NC
-0.103297815,21030161,NC
-0.1361653,21030162,NC
-0.15964209,21030163,NC
-0.1784235,21030164,NC
-0.19720492,21030165,NC
-0.21129099,21030166,NC
-0.20659563,21030167,NC
-0.23007241,21030168,NC
-0.27702594,21030169,NC
-0.30050272,21030170,NC
-0.30519807,21030171,NC
-0.31458881,21030172,NC
-0.28641668,21030173,NC
-0.30519807,21030174,NC
-0.31458881,21030175,NC
-0.34276095,21030176,NC
-0.36154234,21030177,NC
-0.36154234,21030178,NC
-0.3709331,21030179,NC
-0.356847,21030180,NC
-0.35215163,21030181,NC
-0.3662377,21030182,NC
-0.36154234,21030183,NC
-0.356847,21030184,NC
-0.32867485,21030185,NC
-0.32397953,21030186,NC
-0.34276095,21030187,NC
-0.3709331,21030188,NC
-0.356847,21030189,NC
-0.3474563,21030190,NC
-0.3333702,21030191,NC
-0.34276095,21030192,NC
-0.32867485,21030193,NC
-0.31928417,21030194,NC
-0.31458881,21030195,NC
-0.31928417,21030196,NC
-0.30989346,21030197,NC
-0.30989346,21030198,NC
-0.32867485,21030199,NC
-0.3380656,21030200,NC
-0.32397953,21030201,NC
-0.28172132,21030202,NC
-0.2629399,21030203,NC
-0.29111204,21030204,NC
-0.32397953,21030205,NC
-0.35215163,21030206,NC
-0.3474563,21030207,NC
-0.32867485,21030208,NC
-0.31458881,21030209,NC
-0.32397953,21030210,NC
-0.32867485,21030211,NC
-0.3380656,21030212,NC
-0.3333702,21030213,NC
-0.3333702,21030214,NC
-0.31928417,21030215,NC
-0.31928417,21030216,NC
-0.32867485,21030217,NC
-0.3380656,21030218,NC
-0.3380656,21030219,NC
-0.3333702,21030220,NC
-0.32397953,21030221,NC
-0.32397953,21030222,NC
-0.32867485,21030223,NC
-0.3474563,21030224,NC
-0.35215163,21030225,NC
-0.34276095,21030226,NC
-0.3380656,21030227,NC
-0.31458881,21030228,NC
-0.30519807,21030229,NC
-0.30989346,21030230,NC
-0.2958074,21030231,NC
-0.26763526,21030232,NC
-0.2629399,21030233,NC
-0.2535492,21030234,NC
-0.23946312,21030235,NC
-0.2535492,21030236,NC
-0.23946312,21030237,NC
-0.19720492,21030238,NC
-0.15494673,21030239,NC
-0.15025136,21030240,NC
-0.14086066,21030241,NC
-0.15494673,21030242,NC
-0.1690328,21030243,NC
-0.17372815,21030244,NC
-0.16433743,21030245,NC
-0.17372815,21030246,NC
-0.21598634,21030247,NC
-0.23946312,21030248,NC
-0.2723306,21030249,NC
-0.2958074,21030250,NC
-0.31928417,21030251,NC
-0.35215163,21030252,NC
-0.38971448,21030253,NC
-0.4084959,21030254,NC
-0.42258197,21030255,NC
-0.4084959,21030256,NC
-0.42258197,21030257,NC
-0.41319126,21030258,NC
-0.43666804,21030259,NC
-0.44605875,21030260,NC
-0.46014482,21030261,NC
-0.44605875,21030262,NC
-0.46014482,21030263,NC
-0.46953553,21030264,NC
-0.4742309,21030265,NC
-0.48362157,21030266,NC
-0.48362157,21030267,NC
-0.47892624,21030268,NC
-0.46953553,21030269,NC
-0.46484017,21030270,NC
-0.46953553,21030271,NC
-0.48831692,21030272,NC
-0.49770764,21030273,NC
-0.502403,21030274,NC
-0.48831692,21030275,NC
-0.48362157,21030276,NC
-0.502403,21030277,NC
-0.47892624,21030278,NC
-0.46014482,21030279,NC
-0.4554495,21030280,NC
-0.41319126,21030281,NC
-0.41319126,21030282,NC
-0.39910522,21030283,NC
-0.3709331,21030284,NC
-0.28172132,21030285,NC
-0.16433743,21030286,NC
-0.004695355,21030287,NC
0.19720492,21030288,NC
0.4084959,21030289,NC
0.6244823,21030290,NC
0.80760115,21030291,R
0.9484618,21030292,NC
0.90620357,21030293,NC
0.65265435,21030294,NC
0.23007241,21030295,NC
-0.21129099,21030296,NC
-0.56344265,21030297,NC
-0.7512569,21030298,NC
-0.7841243,21030299,NC
-0.7418662,21030300,NC
-0.6855219,21030301,NC
-0.6949126,21030302,NC
-0.7230847,21030303,NC
-0.7418662,21030304,NC
-0.7371708,21030305,NC
-0.75595224,21030306,NC
-0.7841243,21030307,NC
-0.80760115,21030308,NC
-0.79821044,21030309,NC
-0.80760115,21030310,NC
-0.80760115,21030311,NC
-0.8310779,21030312,NC
-0.8686407,21030313,NC
-0.924985,21030314,NC
-0.924985,21030315,NC
-0.9015082,21030316,NC
-0.85925007,21030317,NC
-0.8263825,21030318,NC
-0.7841243,21030319,NC
-0.7324754,21030320,NC
-0.69021726,21030321,NC
-0.63856834,21030322,NC
-0.59631014,21030323,NC
-0.5587473,21030324,NC
-0.5258798,21030325,NC
-0.48831692,21030326,NC
-0.43666804,21030327,NC
-0.3662377,21030328,NC
-0.3333702,21030329,NC
-0.3333702,21030330,NC
-0.32867485,21030331,NC
-0.3333702,21030332,NC
-0.3380656,21030333,NC
-0.34276095,21030334,NC
-0.3333702,21030335,NC
-0.34276095,21030336,NC
-0.3333702,21030337,NC
-0.3333702,21030338,NC
-0.30519807,21030339,NC
-0.28641668,21030340,NC
-0.26763526,21030341,NC
-0.2629399,21030342,NC
-0.25824454,21030343,NC
-0.2629399,21030344,NC
-0.24885382,21030345,NC
-0.22537705,21030346,NC
-0.19250956,21030347,NC
-0.18311885,21030348,NC
-0.1784235,21030349,NC
-0.16433743,21030350,NC
-0.16433743,21030351,NC
-0.15964209,21030352,NC
-0.14086066,21030353,NC
-0.15964209,21030354,NC
-0.15025136,21030355,NC
-0.09860246,21030356,NC
