channel_0,sample #,type
1.3567022,29153094,R
1.1820168,29153095,NC
0.8203403,29153096,NC
0.37715328,29153097,NC
-0.021776978,29153098,NC
-0.27209738,29153099,NC
-0.37540326,29153100,NC
-0.39737967,29153101,NC
-0.38268533,29153102,NC
-0.36912304,29153103,NC
-0.40880278,29153104,NC
-0.47975636,29153105,NC
-0.57205284,29153106,NC
-0.6834617,29153107,NC
-0.7884237,29153108,NC
-0.85507536,29153109,NC
-0.90336806,29153110,NC
-0.9211778,29153111,NC
-0.91242003,29153112,NC
-0.8658025,29153113,NC
-0.82992864,29153114,NC
-0.7790589,29153115,NC
-0.7113379,29153116,NC
-0.6422667,29153117,NC
-0.5615201,29153118,NC
-0.50288963,29153119,NC
-0.43354967,29153120,NC
-0.36556882,29153121,NC
-0.3313641,29153122,NC
-0.30136114,29153123,NC
-0.278408,29153124,NC
-0.28326073,29153125,NC
-0.27962095,29153126,NC
-0.28313446,29153127,NC
-0.2802719,29153128,NC
-0.25901267,29153129,NC
-0.25764215,29153130,NC
-0.24631634,29153131,NC
-0.23049824,29153132,NC
-0.22412422,29153133,NC
-0.22580624,29153134,NC
-0.23271182,29153135,NC
-0.21877918,29153136,NC
-0.21727814,29153137,NC
-0.23491926,29153138,NC
-0.23954062,29153139,NC
-0.23129387,29153140,NC
-0.22657783,29153141,NC
-0.22352286,29153142,NC
-0.21744353,29153143,NC
-0.21137883,29153144,NC
-0.1916332,29153145,NC
-0.19613451,29153146,NC
-0.18640195,29153147,NC
-0.19725963,29153148,NC
-0.20097418,29153149,NC
-0.21493593,29153150,NC
-0.21537167,29153151,NC
-0.20095496,29153152,NC
-0.19752635,29153153,NC
-0.20124081,29153154,NC
-0.1880177,29153155,NC
-0.18248913,29153156,NC
-0.16932982,29153157,NC
-0.17506306,29153158,NC
-0.16671039,29153159,NC
-0.16725387,29153160,NC
-0.16971104,29153161,NC
-0.17429735,29153162,NC
-0.16217765,29153163,NC
-0.1636201,29153164,NC
-0.16955446,29153165,NC
-0.16376968,29153166,NC
-0.15070707,29153167,NC
-0.14726017,29153168,NC
-0.13557771,29153169,NC
-0.12153702,29153170,NC
-0.13293482,29153171,NC
-0.13603982,29153172,NC
-0.13291724,29153173,NC
-0.14316486,29153174,NC
-0.1273811,29153175,NC
-0.1252095,29153176,NC
-0.12788652,29153177,NC
-0.114110604,29153178,NC
-0.10788301,29153179,NC
-0.093951605,29153180,NC
-0.07964185,29153181,NC
-0.06591826,29153182,NC
-0.08114519,29153183,NC
-0.06849062,29153184,NC
-0.07018121,29153185,NC
-0.059624936,29153186,NC
-0.07009583,29153187,NC
-0.06767,29153188,NC
-0.058177553,29153189,NC
-0.05551493,29153190,NC
-0.032105733,29153191,NC
-0.029344022,29153192,NC
-0.00028502694,29153193,NC
0.02117059,29153194,NC
0.02654436,29153195,NC
0.035276555,29153196,NC
0.04468705,29153197,NC
0.04422364,29153198,NC
0.054835428,29153199,NC
0.061175343,29153200,NC
0.08550413,29153201,NC
0.08563672,29153202,NC
0.10933494,29153203,NC
0.11727962,29153204,NC
0.13131195,29153205,NC
0.142219,29153206,NC
0.1428879,29153207,NC
0.13405058,29153208,NC
0.13314064,29153209,NC
0.1407975,29153210,NC
0.14822316,29153211,NC
0.1401754,29153212,NC
0.14861454,29153213,NC
0.16156518,29153214,NC
0.16010992,29153215,NC
0.17346945,29153216,NC
0.18655038,29153217,NC
0.18914047,29153218,NC
0.19861862,29153219,NC
0.2029046,29153220,NC
0.20240392,29153221,NC
0.20227838,29153222,NC
0.21028374,29153223,NC
0.19485195,29153224,NC
0.20196997,29153225,NC
0.22680275,29153226,NC
0.22861797,29153227,NC
0.2317117,29153228,NC
0.23324604,29153229,NC
0.23180291,29153230,NC
0.22743805,29153231,NC
0.21133514,29153232,NC
0.19586095,29153233,NC
0.17255919,29153234,NC
0.16595939,29153235,NC
0.15230633,29153236,NC
0.121805206,29153237,NC
0.11740605,29153238,NC
0.11305281,29153239,NC
0.106011696,29153240,NC
0.10034425,29153241,NC
0.074969545,29153242,NC
0.054779246,29153243,NC
0.04359841,29153244,NC
0.013343646,29153245,NC
-0.0030483222,29153246,NC
-0.028875573,29153247,NC
-0.03696275,29153248,NC
