channel_0,sample #,type
1.3998787,29121554,R
1.3039052,29121555,NC
0.9965448,29121556,NC
0.49962533,29121557,NC
0.025225425,29121558,NC
-0.35792816,29121559,NC
-0.5587826,29121560,NC
-0.63840955,29121561,NC
-0.6144889,29121562,NC
-0.57431096,29121563,NC
-0.57882005,29121564,NC
-0.6365163,29121565,NC
-0.73082215,29121566,NC
-0.8507319,29121567,NC
-0.9821941,29121568,NC
-1.0646766,29121569,NC
-1.1010487,29121570,NC
-1.1145242,29121571,NC
-1.1057776,29121572,NC
-1.0654724,29121573,NC
-1.0069438,29121574,NC
-0.9375337,29121575,NC
-0.8639302,29121576,NC
-0.7842662,29121577,NC
-0.71564966,29121578,NC
-0.6336853,29121579,NC
-0.57859707,29121580,NC
-0.52399147,29121581,NC
-0.4770327,29121582,NC
-0.4350947,29121583,NC
-0.40361014,29121584,NC
-0.38868344,29121585,NC
-0.3757839,29121586,NC
-0.3716629,29121587,NC
-0.36416882,29121588,NC
-0.371759,29121589,NC
-0.3664856,29121590,NC
-0.35927543,29121591,NC
-0.3514502,29121592,NC
-0.35997388,29121593,NC
-0.34717676,29121594,NC
-0.34889552,29121595,NC
-0.3406035,29121596,NC
-0.34493724,29121597,NC
-0.33226275,29121598,NC
-0.33221397,29121599,NC
-0.32917148,29121600,NC
-0.3488967,29121601,NC
-0.33930162,29121602,NC
-0.34572366,29121603,NC
-0.35179392,29121604,NC
-0.33869144,29121605,NC
-0.3348573,29121606,NC
-0.32202312,29121607,NC
-0.30306533,29121608,NC
-0.3021165,29121609,NC
-0.2861947,29121610,NC
-0.28539243,29121611,NC
-0.28550085,29121612,NC
-0.29569033,29121613,NC
-0.30870384,29121614,NC
-0.30616516,29121615,NC
-0.3119562,29121616,NC
-0.3038621,29121617,NC
-0.2961244,29121618,NC
-0.29093957,29121619,NC
-0.29828617,29121620,NC
-0.2904886,29121621,NC
-0.27206054,29121622,NC
-0.2597013,29121623,NC
-0.25139287,29121624,NC
-0.25681165,29121625,NC
-0.25971538,29121626,NC
-0.2637564,29121627,NC
-0.25564322,29121628,NC
-0.24665916,29121629,NC
-0.24470593,29121630,NC
-0.23676896,29121631,NC
-0.24631019,29121632,NC
-0.24024981,29121633,NC
-0.23407835,29121634,NC
-0.21880682,29121635,NC
-0.21204872,29121636,NC
-0.20006463,29121637,NC
-0.19617903,29121638,NC
-0.20986357,29121639,NC
-0.19713698,29121640,NC
-0.19781102,29121641,NC
-0.19343594,29121642,NC
-0.18349943,29121643,NC
-0.18092401,29121644,NC
-0.17801897,29121645,NC
-0.15287831,29121646,NC
-0.1575431,29121647,NC
-0.16104455,29121648,NC
-0.16524379,29121649,NC
-0.16189952,29121650,NC
-0.15362218,29121651,NC
-0.1482509,29121652,NC
-0.12184157,29121653,NC
-0.10903335,29121654,NC
-0.09360457,29121655,NC
-0.08702357,29121656,NC
-0.0782142,29121657,NC
-0.06588367,29121658,NC
-0.067491956,29121659,NC
-0.056491643,29121660,NC
-0.05672103,29121661,NC
-0.06500317,29121662,NC
-0.066251755,29121663,NC
-0.08049384,29121664,NC
-0.07268754,29121665,NC
-0.055690195,29121666,NC
-0.038440622,29121667,NC
-0.016556218,29121668,NC
-0.0021709146,29121669,NC
0.0031502612,29121670,NC
0.017635245,29121671,NC
0.034598265,29121672,NC
0.036611695,29121673,NC
0.040859096,29121674,NC
0.04134452,29121675,NC
0.043235917,29121676,NC
0.030882958,29121677,NC
0.044090655,29121678,NC
0.066492856,29121679,NC
0.07979239,29121680,NC
0.09388725,29121681,NC
0.11612302,29121682,NC
0.12491276,29121683,NC
0.13387951,29121684,NC
0.13686244,29121685,NC
0.12455569,29121686,NC
0.11953718,29121687,NC
0.11200513,29121688,NC
0.11609767,29121689,NC
0.13097477,29121690,NC
0.14333354,29121691,NC
0.15662335,29121692,NC
0.17405091,29121693,NC
0.19545609,29121694,NC
0.19555567,29121695,NC
0.19710076,29121696,NC
0.18421845,29121697,NC
0.1542425,29121698,NC
0.13391249,29121699,NC
0.14552131,29121700,NC
0.13940935,29121701,NC
0.13242443,29121702,NC
0.12525378,29121703,NC
0.120256774,29121704,NC
0.12464992,29121705,NC
0.123861946,29121706,NC
0.1165526,29121707,NC
0.13059412,29121708,NC
0.10237917,29121709,NC
0.103444636,29121710,NC
0.084407195,29121711,NC
0.0594153,29121712,NC
0.028459962,29121713,NC
0.017537646,29121714,NC
0.007423534,29121715,NC
-0.0029569059,29121716,NC
-0.015690265,29121717,NC
-0.025286397,29121718,NC
-0.040997695,29121719,NC
-0.054129113,29121720,NC
-0.058496125,29121721,NC
-0.0574987,29121722,NC
-0.070538834,29121723,NC
-0.08670898,29121724,NC
-0.10158036,29121725,NC
-0.112997785,29121726,NC
-0.12916303,29121727,NC
-0.13413869,29121728,NC
-0.14104971,29121729,NC
-0.11428454,29121730,NC
-0.1197384,29121731,NC
-0.11338556,29121732,NC
-0.1235967,29121733,NC
-0.1314251,29121734,NC
-0.144143,29121735,NC
-0.16787039,29121736,NC
-0.18805362,29121737,NC
-0.1868098,29121738,NC
-0.19426945,29121739,NC
-0.18477036,29121740,NC
-0.18212298,29121741,NC
-0.18049029,29121742,NC
-0.19374186,29121743,NC
-0.18518569,29121744,NC
-0.194443,29121745,NC
-0.18717766,29121746,NC
-0.1997345,29121747,NC
-0.20509784,29121748,NC
-0.19948052,29121749,NC
-0.20513189,29121750,NC
-0.2080042,29121751,NC
-0.19435503,29121752,NC
-0.20005594,29121753,NC
-0.20355971,29121754,NC
-0.19360599,29121755,NC
-0.1950166,29121756,NC
-0.18960576,29121757,NC
-0.20316711,29121758,NC
-0.21931224,29121759,NC
-0.23264466,29121760,NC
-0.24794376,29121761,NC
-0.2526898,29121762,NC
-0.23222251,29121763,NC
-0.21323718,29121764,NC
-0.21322834,29121765,NC
-0.20170276,29121766,NC
-0.21690047,29121767,NC
-0.20965971,29121768,NC
-0.2211185,29121769,NC
-0.22950271,29121770,NC
-0.24257925,29121771,NC
-0.24664278,29121772,NC
-0.25579962,29121773,NC
-0.25284767,29121774,NC
-0.26863733,29121775,NC
-0.28567678,29121776,NC
-0.27978277,29121777,NC
-0.27683243,29121778,NC
-0.2641324,29121779,NC
-0.24468113,29121780,NC
-0.25721148,29121781,NC
-0.25110433,29121782,NC
-0.24443015,29121783,NC
-0.25462463,29121784,NC
-0.2583515,29121785,NC
-0.27097777,29121786,NC
-0.28026375,29121787,NC
-0.2860806,29121788,NC
-0.28423843,29121789,NC
-0.27196604,29121790,NC
-0.29451248,29121791,NC
-0.27306786,29121792,NC
-0.2681968,29121793,NC
-0.2626809,29121794,NC
-0.27444556,29121795,NC
-0.28543633,29121796,NC
-0.29496843,29121797,NC
-0.2898089,29121798,NC
-0.29204217,29121799,NC
-0.28249657,29121800,NC
-0.2684245,29121801,NC
-0.27383506,29121802,NC
-0.26961046,29121803,NC
-0.26422557,29121804,NC
-0.28146705,29121805,NC
-0.27930072,29121806,NC
-0.2900828,29121807,NC
-0.2952269,29121808,NC
-0.3008207,29121809,NC
-0.2879702,29121810,NC
-0.28557628,29121811,NC
-0.2941674,29121812,NC
-0.3012305,29121813,NC
-0.31463826,29121814,NC
-0.3059439,29121815,NC
-0.31143183,29121816,NC
-0.30339092,29121817,NC
-0.2986211,29121818,NC
-0.2915039,29121819,NC
-0.29665577,29121820,NC
-0.2859546,29121821,NC
-0.2983774,29121822,NC
-0.2898447,29121823,NC
-0.2885967,29121824,NC
-0.28762746,29121825,NC
-0.28081504,29121826,NC
-0.2720391,29121827,NC
-0.2771422,29121828,NC
-0.28975406,29121829,NC
-0.30069587,29121830,NC
-0.32205072,29121831,NC
-0.3321528,29121832,NC
-0.2977966,29121833,NC
-0.28159094,29121834,NC
-0.28334293,29121835,NC
-0.2826968,29121836,NC
-0.26334342,29121837,NC
-0.24744205,29121838,NC
-0.24153431,29121839,NC
-0.22453448,29121840,NC
-0.22026235,29121841,NC
-0.22253388,29121842,NC
-0.23044118,29121843,NC
-0.23651539,29121844,NC
-0.24044475,29121845,NC
-0.23967333,29121846,NC
-0.21478367,29121847,NC
-0.18931021,29121848,NC
-0.16587347,29121849,NC
-0.14485809,29121850,NC
-0.13516527,29121851,NC
-0.14630474,29121852,NC
-0.14586787,29121853,NC
-0.1585636,29121854,NC
-0.18109217,29121855,NC
-0.18809898,29121856,NC
-0.1905874,29121857,NC
-0.20736203,29121858,NC
-0.20381251,29121859,NC
-0.20755194,29121860,NC
-0.2147637,29121861,NC
-0.2037389,29121862,NC
-0.22575381,29121863,NC
-0.24428873,29121864,NC
-0.2685835,29121865,NC
-0.2983044,29121866,NC
-0.3088085,29121867,NC
-0.31951818,29121868,NC
-0.31832364,29121869,NC
-0.31464806,29121870,NC
-0.3139487,29121871,NC
-0.32230604,29121872,NC
-0.30935568,29121873,NC
-0.3047352,29121874,NC
-0.30485338,29121875,NC
-0.30874914,29121876,NC
-0.30783054,29121877,NC
-0.32214436,29121878,NC
-0.34189332,29121879,NC
-0.35059837,29121880,NC
-0.3368527,29121881,NC
-0.33451256,29121882,NC
-0.3360102,29121883,NC
-0.31777427,29121884,NC
-0.32049933,29121885,NC
-0.30450767,29121886,NC
-0.3103991,29121887,NC
-0.31907365,29121888,NC
-0.31254557,29121889,NC
-0.3282125,29121890,NC
-0.3234376,29121891,NC
-0.33644873,29121892,NC
-0.3253636,29121893,NC
-0.34223017,29121894,NC
-0.3605638,29121895,NC
-0.35607406,29121896,NC
-0.37658578,29121897,NC
-0.42562795,29121898,NC
-0.48648477,29121899,NC
-0.52603316,29121900,NC
-0.52401006,29121901,NC
-0.4366137,29121902,NC
-0.24010307,29121903,NC
0.06836553,29121904,NC
0.429307,29121905,NC
0.80645907,29121906,NC
1.1506602,29121907,NC
1.3682748,29121908,NC
1.3943117,29121909,R
1.1775492,29121910,NC
0.70772743,29121911,NC
0.18010427,29121912,NC
-0.28176638,29121913,NC
-0.5522847,29121914,NC
-0.6803273,29121915,NC
-0.6645274,29121916,NC
-0.62275547,29121917,NC
-0.61027575,29121918,NC
-0.6148116,29121919,NC
-0.6759271,29121920,NC
-0.75951415,29121921,NC
-0.86379004,29121922,NC
-0.9508678,29121923,NC
-0.97932273,29121924,NC
-1.0115645,29121925,NC
-1.003602,29121926,NC
-0.9873365,29121927,NC
-0.95186484,29121928,NC
-0.91249293,29121929,NC
-0.85278964,29121930,NC
-0.7767991,29121931,NC
-0.6907053,29121932,NC
-0.6150571,29121933,NC
-0.537122,29121934,NC
-0.4756195,29121935,NC
-0.41902003,29121936,NC
-0.38859403,29121937,NC
-0.37323904,29121938,NC
-0.35605225,29121939,NC
-0.35494828,29121940,NC
-0.34267464,29121941,NC
-0.3321721,29121942,NC
-0.34504685,29121943,NC
-0.32870016,29121944,NC
-0.30509967,29121945,NC
-0.28835016,29121946,NC
-0.2951742,29121947,NC
-0.29074,29121948,NC
-0.2960018,29121949,NC
-0.29707253,29121950,NC
-0.29524982,29121951,NC
-0.3089014,29121952,NC
-0.30981958,29121953,NC
-0.3066834,29121954,NC
-0.29509535,29121955,NC
-0.28500277,29121956,NC
-0.2786311,29121957,NC
-0.27934045,29121958,NC
-0.26771086,29121959,NC
-0.2683563,29121960,NC
-0.2657892,29121961,NC
-0.27970162,29121962,NC
-0.27077144,29121963,NC
-0.27848113,29121964,NC
-0.2719751,29121965,NC
-0.2750134,29121966,NC
-0.26810712,29121967,NC
-0.26623535,29121968,NC
-0.25127414,29121969,NC
-0.24809037,29121970,NC
-0.24211854,29121971,NC
-0.2329457,29121972,NC
-0.23808521,29121973,NC
-0.2430652,29121974,NC
-0.25850454,29121975,NC
-0.24498752,29121976,NC
-0.25043902,29121977,NC
-0.2436918,29121978,NC
