channel_0,sample #,type
0.6657732,11280602,R
0.85712993,11280603,NC
0.89915234,11280604,NC
0.7579575,11280605,NC
0.39056736,11280606,NC
-0.13098706,11280607,NC
-0.6549794,11280608,NC
-1.1013281,11280609,NC
-1.4152005,11280610,NC
-1.5939274,11280611,NC
-1.7378402,11280612,NC
-1.8314718,11280613,NC
-1.8972065,11280614,NC
-1.9573888,11280615,NC
-1.9535321,11280616,NC
-1.944748,11280617,NC
-1.9337987,11280618,NC
-1.905864,11280619,NC
-1.895437,11280620,NC
-1.8796957,11280621,NC
-1.8370318,11280622,NC
-1.8196182,11280623,NC
-1.759478,11280624,NC
-1.6553838,11280625,NC
-1.5086851,11280626,NC
-1.3308406,11280627,NC
-1.1033612,11280628,NC
-0.92440945,11280629,NC
-0.7614223,11280630,NC
-0.6598996,11280631,NC
-0.5963557,11280632,NC
-0.58784825,11280633,NC
-0.61927503,11280634,NC
-0.6259174,11280635,NC
-0.65028006,11280636,NC
-0.6385682,11280637,NC
-0.6254266,11280638,NC
-0.62712103,11280639,NC
-0.60961187,11280640,NC
-0.583061,11280641,NC
-0.5851802,11280642,NC
-0.5732461,11280643,NC
-0.57430726,11280644,NC
-0.5890654,11280645,NC
-0.61628246,11280646,NC
-0.625172,11280647,NC
-0.6149212,11280648,NC
-0.6365558,11280649,NC
-0.6291844,11280650,NC
-0.6336163,11280651,NC
-0.6318017,11280652,NC
-0.6175612,11280653,NC
-0.6137147,11280654,NC
-0.6263288,11280655,NC
-0.63250345,11280656,NC
-0.65836334,11280657,NC
-0.6692145,11280658,NC
-0.69719815,11280659,NC
-0.71207666,11280660,NC
-0.735758,11280661,NC
-0.7526169,11280662,NC
-0.74542385,11280663,NC
-0.75114703,11280664,NC
-0.75371754,11280665,NC
-0.7364706,11280666,NC
-0.7414922,11280667,NC
-0.74541247,11280668,NC
-0.75081956,11280669,NC
-0.7690663,11280670,NC
-0.78900737,11280671,NC
-0.8233948,11280672,NC
-0.8560086,11280673,NC
-0.8824434,11280674,NC
-0.901296,11280675,NC
-0.9053418,11280676,NC
-0.89742255,11280677,NC
-0.8548602,11280678,NC
-0.83867913,11280679,NC
-0.83117914,11280680,NC
-0.80542237,11280681,NC
-0.80694926,11280682,NC
-0.81134236,11280683,NC
-0.8324076,11280684,NC
-0.8152232,11280685,NC
-0.82729447,11280686,NC
-0.8207983,11280687,NC
-0.8014981,11280688,NC
-0.7830666,11280689,NC
-0.78171796,11280690,NC
-0.76267296,11280691,NC
-0.7358125,11280692,NC
-0.75331575,11280693,NC
-0.7287024,11280694,NC
-0.7211199,11280695,NC
-0.66913563,11280696,NC
-0.6440037,11280697,NC
-0.60947126,11280698,NC
-0.60873526,11280699,NC
-0.5890233,11280700,NC
-0.57798505,11280701,NC
-0.5765265,11280702,NC
-0.5773918,11280703,NC
-0.6216168,11280704,NC
-0.6360879,11280705,NC
-0.6475876,11280706,NC
-0.6312493,11280707,NC
-0.6147798,11280708,NC
-0.5938219,11280709,NC
-0.5719543,11280710,NC
-0.56664276,11280711,NC
-0.55098855,11280712,NC
-0.5545753,11280713,NC
-0.54924613,11280714,NC
-0.55756575,11280715,NC
-0.55609906,11280716,NC
-0.56114036,11280717,NC
-0.56775254,11280718,NC
-0.5832815,11280719,NC
-0.5890489,11280720,NC
-0.5986145,11280721,NC
-0.61573666,11280722,NC
-0.6217454,11280723,NC
-0.5974017,11280724,NC
-0.60034305,11280725,NC
-0.5871116,11280726,NC
-0.5500613,11280727,NC
-0.53617406,11280728,NC
-0.5391753,11280729,NC
-0.5379801,11280730,NC
-0.5571511,11280731,NC
-0.5833226,11280732,NC
-0.593601,11280733,NC
-0.5949953,11280734,NC
-0.59400344,11280735,NC
-0.589843,11280736,NC
-0.586527,11280737,NC
-0.5906503,11280738,NC
-0.5719068,11280739,NC
-0.5817406,11280740,NC
-0.6098968,11280741,NC
-0.61411184,11280742,NC
-0.6337645,11280743,NC
-0.6670766,11280744,NC
-0.67698836,11280745,NC
-0.7136346,11280746,NC
-0.7193812,11280747,NC
-0.74299085,11280748,NC
-0.7433275,11280749,NC
-0.7365937,11280750,NC
-0.76438564,11280751,NC
-0.7535637,11280752,NC
-0.77950776,11280753,NC
-0.7783263,11280754,NC
-0.7699842,11280755,NC
-0.7681569,11280756,NC
-0.7584901,11280757,NC
-0.7381376,11280758,NC
-0.74077815,11280759,NC
-0.74693894,11280760,NC
-0.7610786,11280761,NC
-0.7686299,11280762,NC
-0.76079756,11280763,NC
-0.72918105,11280764,NC
-0.72415596,11280765,NC
-0.7075635,11280766,NC
-0.73467845,11280767,NC
-0.7490533,11280768,NC
-0.75680137,11280769,NC
-0.75868505,11280770,NC
-0.7767017,11280771,NC
-0.76966757,11280772,NC
-0.7622498,11280773,NC
-0.768586,11280774,NC
-0.7459781,11280775,NC
-0.73476744,11280776,NC
-0.7177174,11280777,NC
-0.71511436,11280778,NC
-0.7091426,11280779,NC
-0.72634965,11280780,NC
-0.7408901,11280781,NC
-0.7300995,11280782,NC
-0.75392246,11280783,NC
-0.7700267,11280784,NC
-0.75087553,11280785,NC
-0.7480421,11280786,NC
-0.72589177,11280787,NC
-0.69639605,11280788,NC
-0.6708167,11280789,NC
-0.67094606,11280790,NC
-0.6860238,11280791,NC
-0.68033254,11280792,NC
-0.67986625,11280793,NC
-0.6685621,11280794,NC
-0.6443065,11280795,NC
-0.6267798,11280796,NC
-0.6055016,11280797,NC
-0.60414547,11280798,NC
-0.59241325,11280799,NC
-0.58741117,11280800,NC
-0.58505565,11280801,NC
-0.5727774,11280802,NC
-0.5638101,11280803,NC
-0.5540909,11280804,NC
-0.5575457,11280805,NC
-0.56650317,11280806,NC
-0.53230834,11280807,NC
-0.50591487,11280808,NC
-0.46817935,11280809,NC
-0.4507407,11280810,NC
-0.42693895,11280811,NC
-0.43497497,11280812,NC
-0.45800447,11280813,NC
-0.47882864,11280814,NC
-0.506041,11280815,NC
-0.55409247,11280816,NC
-0.58363885,11280817,NC
-0.5883722,11280818,NC
-0.6057578,11280819,NC
-0.5888735,11280820,NC
-0.5597269,11280821,NC
-0.5060788,11280822,NC
-0.46392304,11280823,NC
-0.45531887,11280824,NC
-0.47235823,11280825,NC
-0.5113887,11280826,NC
-0.5467344,11280827,NC
-0.60454386,11280828,NC
-0.63755083,11280829,NC
-0.6579198,11280830,NC
-0.6799715,11280831,NC
-0.6747454,11280832,NC
-0.675248,11280833,NC
-0.6944437,11280834,NC
-0.70453745,11280835,NC
-0.70119196,11280836,NC
-0.7516616,11280837,NC
-0.75747377,11280838,NC
-0.77729887,11280839,NC
-0.77742743,11280840,NC
-0.78207177,11280841,NC
-0.78491473,11280842,NC
-0.77313733,11280843,NC
-0.76494277,11280844,NC
-0.76845664,11280845,NC
-0.76310694,11280846,NC
-0.76761174,11280847,NC
-0.7582512,11280848,NC
-0.7509476,11280849,NC
-0.75166655,11280850,NC
-0.7439938,11280851,NC
-0.7513834,11280852,NC
-0.7506221,11280853,NC
-0.77171063,11280854,NC
-0.7961379,11280855,NC
-0.79020095,11280856,NC
-0.7563112,11280857,NC
-0.74621856,11280858,NC
-0.7428547,11280859,NC
-0.75258803,11280860,NC
-0.763778,11280861,NC
-0.79627615,11280862,NC
-0.7944896,11280863,NC
-0.80989355,11280864,NC
-0.7592014,11280865,NC
-0.66007733,11280866,NC
-0.53326255,11280867,NC
-0.3644642,11280868,NC
-0.20419247,11280869,NC
-0.0863178,11280870,NC
-0.03639378,11280871,NC
-0.028193824,11280872,NC
-0.07232508,11280873,NC
-0.056220483,11280874,NC
0.048815016,11280875,NC
0.24288286,11280876,NC
