channel_0,sample #,type
0.17750001,11588909,R
0.22874999,11588910,NC
0.26999998,11588911,NC
0.25,11588912,NC
0.092499994,11588913,NC
-0.20750001,11588914,NC
-0.61249995,11588915,NC
-1.045,11588916,NC
-1.4175,11588917,NC
-1.6924999,11588918,NC
-1.8575001,11588919,NC
-1.9375001,11588920,NC
-1.9737501,11588921,NC
-1.9875,11588922,NC
-1.99625,11588923,NC
-2.005,11588924,NC
-2.0162501,11588925,NC
-2.0225,11588926,NC
-2.0275002,11588927,NC
-2.0262501,11588928,NC
-2.0187502,11588929,NC
-2.01375,11588930,NC
-2.0075002,11588931,NC
-1.9975001,11588932,NC
-1.97875,11588933,NC
-1.9387499,11588934,NC
-1.8725001,11588935,NC
-1.77375,11588936,NC
-1.6525,11588937,NC
-1.5150001,11588938,NC
-1.38,11588939,NC
-1.2637501,11588940,NC
-1.17,11588941,NC
-1.1025,11588942,NC
-1.06,11588943,NC
-1.0375,11588944,NC
-1.03,11588945,NC
-1.0337499,11588946,NC
-1.03625,11588947,NC
-1.03625,11588948,NC
-1.0275,11588949,NC
-1.01125,11588950,NC
-0.99,11588951,NC
-0.97499996,11588952,NC
-0.96375,11588953,NC
-0.9575,11588954,NC
-0.9675,11588955,NC
-0.975,11588956,NC
-0.9825,11588957,NC
-0.99375,11588958,NC
-0.99250007,11588959,NC
-0.99,11588960,NC
-0.985,11588961,NC
-0.97875,11588962,NC
-0.975,11588963,NC
-0.97375,11588964,NC
-0.9775001,11588965,NC
-0.98249996,11588966,NC
-0.99125004,11588967,NC
-1.0025,11588968,NC
-1.01625,11588969,NC
-1.0274999,11588970,NC
-1.0375,11588971,NC
-1.0425,11588972,NC
-1.04625,11588973,NC
-1.05,11588974,NC
-1.0587499,11588975,NC
-1.065,11588976,NC
-1.07625,11588977,NC
-1.09125,11588978,NC
-1.1075001,11588979,NC
-1.1287501,11588980,NC
-1.14875,11588981,NC
-1.1637499,11588982,NC
-1.17125,11588983,NC
-1.175,11588984,NC
-1.1737499,11588985,NC
-1.1712499,11588986,NC
-1.1712499,11588987,NC
-1.175,11588988,NC
-1.185,11588989,NC
-1.1999999,11588990,NC
-1.215,11588991,NC
-1.23125,11588992,NC
-1.24125,11588993,NC
-1.25125,11588994,NC
-1.25875,11588995,NC
-1.255,11588996,NC
-1.25125,11588997,NC
-1.24125,11588998,NC
-1.23,11588999,NC
-1.22125,11589000,NC
-1.2175001,11589001,NC
-1.21375,11589002,NC
-1.215,11589003,NC
-1.2212499,11589004,NC
-1.22,11589005,NC
-1.22,11589006,NC
-1.2125001,11589007,NC
-1.1975,11589008,NC
-1.1800001,11589009,NC
-1.1575,11589010,NC
-1.135,11589011,NC
-1.1175001,11589012,NC
-1.1,11589013,NC
-1.0875001,11589014,NC
-1.0812501,11589015,NC
-1.07125,11589016,NC
-1.0649999,11589017,NC
-1.05375,11589018,NC
-1.0362499,11589019,NC
-1.0174999,11589020,NC
-0.99499995,11589021,NC
-0.97499996,11589022,NC
-0.9525,11589023,NC
-0.94,11589024,NC
-0.9325,11589025,NC
-0.92875004,11589026,NC
-0.925,11589027,NC
-0.9175,11589028,NC
-0.90875006,11589029,NC
-0.895,11589030,NC
-0.8875,11589031,NC
-0.87875,11589032,NC
-0.8675,11589033,NC
-0.86,11589034,NC
-0.85375,11589035,NC
-0.8475,11589036,NC
-0.84375,11589037,NC
-0.84625,11589038,NC
-0.84749997,11589039,NC
-0.85125,11589040,NC
-0.85625005,11589041,NC
-0.8575001,11589042,NC
-0.85625005,11589043,NC
-0.85125005,11589044,NC
-0.84625,11589045,NC
-0.8375,11589046,NC
-0.83,11589047,NC
-0.82624996,11589048,NC
-0.82124996,11589049,NC
-0.82375,11589050,NC
-0.8325,11589051,NC
-0.84125,11589052,NC
-0.85125005,11589053,NC
-0.86125004,11589054,NC
-0.865,11589055,NC
-0.865,11589056,NC
-0.86125,11589057,NC
-0.85,11589058,NC
-0.84125,11589059,NC
-0.8375,11589060,NC
-0.8375,11589061,NC
-0.8425,11589062,NC
-0.84875,11589063,NC
-0.85625005,11589064,NC
-0.86749995,11589065,NC
-0.87749994,11589066,NC
-0.88375,11589067,NC
-0.88625,11589068,NC
-0.88125,11589069,NC
-0.875,11589070,NC
-0.8675,11589071,NC
-0.86625004,11589072,NC
-0.86125004,11589073,NC
-0.85749996,11589074,NC
-0.85875,11589075,NC
-0.855,11589076,NC
-0.8575001,11589077,NC
-0.86249995,11589078,NC
-0.86625004,11589079,NC
-0.86625004,11589080,NC
-0.86375,11589081,NC
-0.8575,11589082,NC
-0.84875,11589083,NC
-0.84375,11589084,NC
-0.84124994,11589085,NC
-0.8425,11589086,NC
-0.8425,11589087,NC
-0.84375,11589088,NC
-0.85125005,11589089,NC
-0.85749996,11589090,NC
-0.865,11589091,NC
-0.86875,11589092,NC
-0.865,11589093,NC
-0.85875,11589094,NC
-0.8525,11589095,NC
-0.85,11589096,NC
-0.8475,11589097,NC
-0.84749997,11589098,NC
-0.85375,11589099,NC
-0.8575,11589100,NC
-0.86,11589101,NC
-0.86125004,11589102,NC
-0.85375,11589103,NC
-0.84749997,11589104,NC
-0.84,11589105,NC
-0.8325,11589106,NC
-0.8275,11589107,NC
-0.8225,11589108,NC
-0.82624996,11589109,NC
-0.82625,11589110,NC
-0.83,11589111,NC
-0.83625,11589112,NC
-0.84000003,11589113,NC
-0.84875,11589114,NC
-0.85249996,11589115,NC
-0.85,11589116,NC
-0.84125,11589117,NC
-0.83,11589118,NC
-0.81875,11589119,NC
-0.81,11589120,NC
-0.81,11589121,NC
-0.81125,11589122,NC
-0.81625,11589123,NC
-0.8225,11589124,NC
-0.825,11589125,NC
-0.82625,11589126,NC
-0.8225,11589127,NC
-0.80999994,11589128,NC
-0.7937499,11589129,NC
-0.7775,11589130,NC
-0.75874996,11589131,NC
-0.7475,11589132,NC
-0.73875,11589133,NC
-0.73,11589134,NC
-0.72875,11589135,NC
-0.73125,11589136,NC
-0.735,11589137,NC
-0.73625004,11589138,NC
-0.73125005,11589139,NC
-0.71999997,11589140,NC
-0.695,11589141,NC
-0.67125,11589142,NC
-0.64625,11589143,NC
-0.62375,11589144,NC
-0.6175,11589145,NC
-0.61875,11589146,NC
-0.6325,11589147,NC
-0.6525,11589148,NC
-0.6725,11589149,NC
-0.6925,11589150,NC
-0.70625,11589151,NC
-0.71375,11589152,NC
-0.7125,11589153,NC
-0.69624996,11589154,NC
-0.67125,11589155,NC
-0.64374995,11589156,NC
-0.62125003,11589157,NC
-0.61625004,11589158,NC
-0.6275,11589159,NC
-0.65375,11589160,NC
-0.69,11589161,NC
-0.7275,11589162,NC
-0.75875,11589163,NC
-0.78375,11589164,NC
-0.7975,11589165,NC
-0.80125,11589166,NC
-0.805,11589167,NC
-0.8075,11589168,NC
-0.81875,11589169,NC
-0.83124995,11589170,NC
-0.845,11589171,NC
-0.86249995,11589172,NC
-0.87,11589173,NC
-0.87875,11589174,NC
-0.88625,11589175,NC
-0.88125,11589176,NC
-0.8775,11589177,NC
-0.8725,11589178,NC
-0.86125,11589179,NC
-0.85625005,11589180,NC
-0.85375,11589181,NC
-0.8575001,11589182,NC
-0.86875,11589183,NC
-0.8775,11589184,NC
-0.8875,11589185,NC
-0.89250004,11589186,NC
-0.895,11589187,NC
-0.89625,11589188,NC
-0.895,11589189,NC
-0.88624996,11589190,NC
-0.8775,11589191,NC
-0.87,11589192,NC
-0.86,11589193,NC
-0.86125004,11589194,NC
-0.86375,11589195,NC
-0.87,11589196,NC
-0.875,11589197,NC
-0.87750006,11589198,NC
-0.88374996,11589199,NC
-0.88375,11589200,NC
-0.88374996,11589201,NC
-0.885,11589202,NC
-0.88,11589203,NC
-0.87874997,11589204,NC
-0.885,11589205,NC
-0.875,11589206,NC
-0.84,11589207,NC
-0.775,11589208,NC
-0.66499996,11589209,NC
-0.52875,11589210,NC
-0.385,11589211,NC
-0.25,11589212,NC
-0.15625,11589213,NC
-0.10875,11589214,NC
-0.0975,11589215,NC
-0.095,11589216,NC
-0.065,11589217,NC
0.012499999,11589218,NC
0.13250001,11589219,R
0.26375002,11589220,NC
0.36624998,11589221,NC
0.38000003,11589222,NC
0.26375,11589223,NC
0.008749992,11589224,NC
-0.35125,11589225,NC
-0.75,11589226,NC
-1.115,11589227,NC
-1.3987501,11589228,NC
-1.5937501,11589229,NC
-1.7075,11589230,NC
-1.77625,11589231,NC
-1.82375,11589232,NC
-1.865,11589233,NC
-1.9125,11589234,NC
-1.9525,11589235,NC
-1.98125,11589236,NC
-1.9950001,11589237,NC
-1.99,11589238,NC
-1.98125,11589239,NC
-1.9662501,11589240,NC
-1.9525,11589241,NC
-1.945,11589242,NC
-1.92875,11589243,NC
-1.91,11589244,NC
-1.875,11589245,NC
-1.80875,11589246,NC
-1.7175,11589247,NC
-1.595,11589248,NC
-1.45875,11589249,NC
-1.32125,11589250,NC
-1.19625,11589251,NC
-1.0999999,11589252,NC
-1.03,11589253,NC
-0.9925,11589254,NC
-0.97749996,11589255,NC
-0.975,11589256,NC
-0.97875,11589257,NC
-0.97875005,11589258,NC
-0.97625,11589259,NC
-0.96500003,11589260,NC
-0.95,11589261,NC
-0.9325,11589262,NC
-0.91374993,11589263,NC
-0.90375006,11589264,NC
-0.89625,11589265,NC
-0.8975,11589266,NC
-0.9025,11589267,NC
-0.90625,11589268,NC
-0.9125,11589269,NC
-0.9175,11589270,NC
-0.92625,11589271,NC
-0.9275,11589272,NC
-0.93,11589273,NC
-0.93125004,11589274,NC
-0.92375,11589275,NC
-0.9275,11589276,NC
-0.93375,11589277,NC
-0.94,11589278,NC
-0.95375,11589279,NC
-0.96875,11589280,NC
-0.97875,11589281,NC
-0.995,11589282,NC
-1.0074999,11589283,NC
