channel_0,sample #,type
1.4267817,14897616,R
1.3678238,14897617,NC
1.2515925,14897618,NC
1.0848259,14897619,NC
0.8843689,14897620,NC
0.6653824,14897621,NC
0.4430267,14897622,NC
0.2206711,14897623,NC
0.0033690284,14897624,NC
-0.21224853,14897625,NC
-0.42112803,14897626,NC
-0.6081089,14897627,NC
-0.7563459,14897628,NC
-0.8591012,14897629,NC
-0.9163746,14897630,NC
-0.93827325,14897631,NC
-0.9349042,14897632,NC
-0.9163746,14897633,NC
-0.8961605,14897634,NC
-0.87426186,14897635,NC
-0.8658393,14897636,NC
-0.85910124,14897637,NC
-0.85910124,14897638,NC
-0.85404766,14897639,NC
-0.85910124,14897640,NC
-0.86247027,14897641,NC
-0.8675238,14897642,NC
-0.86247027,14897643,NC
-0.85404766,14897644,NC
-0.8456251,14897645,NC
-0.8405716,14897646,NC
-0.8388871,14897647,NC
-0.8388871,14897648,NC
-0.8439406,14897649,NC
-0.8523632,14897650,NC
-0.86247027,14897651,NC
-0.8708928,14897652,NC
-0.8776309,14897653,NC
-0.8793154,14897654,NC
-0.8725773,14897655,NC
-0.8641548,14897656,NC
-0.85910124,14897657,NC
-0.85404766,14897658,NC
-0.8523632,14897659,NC
-0.8540477,14897660,NC
-0.8641548,14897661,NC
-0.8708928,14897662,NC
-0.87426186,14897663,NC
-0.8776309,14897664,NC
-0.88773793,14897665,NC
-0.8995295,14897666,NC
-0.90289855,14897667,NC
-0.901214,14897668,NC
-0.8961605,14897669,NC
-0.894476,14897670,NC
-0.88773793,14897671,NC
-0.88099986,14897672,NC
-0.88099986,14897673,NC
-0.89110696,14897674,NC
-0.90458304,14897675,NC
-0.9146901,14897676,NC
-0.9180591,14897677,NC
-0.92311263,14897678,NC
-0.9247972,14897679,NC
-0.92311263,14897680,NC
-0.91974366,14897681,NC
-0.9113211,14897682,NC
-0.90963656,14897683,NC
-0.9079521,14897684,NC
-0.9180591,14897685,NC
-0.9298507,14897686,NC
-0.93658876,14897687,NC
-0.93827325,14897688,NC
-0.93827325,14897689,NC
-0.9416423,14897690,NC
-0.9450113,14897691,NC
-0.9433268,14897692,NC
-0.93827325,14897693,NC
-0.93321973,14897694,NC
-0.93321973,14897695,NC
-0.93827325,14897696,NC
-0.9450113,14897697,NC
-0.9517493,14897698,NC
-0.95680285,14897699,NC
-0.9584874,14897700,NC
-0.95680285,14897701,NC
-0.9534339,14897702,NC
-0.95006484,14897703,NC
-0.9433268,14897704,NC
-0.93321973,14897705,NC
-0.92142814,14897706,NC
-0.9146901,14897707,NC
-0.9146901,14897708,NC
-0.9180591,14897709,NC
-0.9163746,14897710,NC
-0.9130056,14897711,NC
-0.9079521,14897712,NC
-0.90289855,14897713,NC
-0.897845,14897714,NC
-0.89110696,14897715,NC
-0.88773793,14897716,NC
-0.87594634,14897717,NC
-0.8574167,14897718,NC
-0.8405716,14897719,NC
-0.83046454,14897720,NC
-0.832149,14897721,NC
-0.8270955,14897722,NC
-0.82035744,14897723,NC
-0.8051968,14897724,NC
-0.7917206,14897725,NC
-0.7799291,14897726,NC
-0.769822,14897727,NC
-0.7563459,14897728,NC
-0.7344473,14897729,NC
-0.7108641,14897730,NC
-0.6855964,14897731,NC
-0.67212033,14897732,NC
-0.66201323,14897733,NC
-0.6569597,14897734,NC
-0.65022165,14897735,NC
-0.6519062,14897736,NC
-0.6569597,14897737,NC
-0.6586442,14897738,NC
-0.6519062,14897739,NC
-0.6417991,14897740,NC
-0.6367456,14897741,NC
-0.6300075,14897742,NC
-0.628323,14897743,NC
-0.628323,14897744,NC
-0.6350611,14897745,NC
-0.6417991,14897746,NC
-0.65022165,14897747,NC
-0.65864426,14897748,NC
-0.67043585,14897749,NC
-0.6805429,14897750,NC
-0.68728095,14897751,NC
-0.68896544,14897752,NC
-0.68896544,14897753,NC
-0.69401896,14897754,NC
-0.70412606,14897755,NC
-0.7209712,14897756,NC
-0.7344473,14897757,NC
-0.7462389,14897758,NC
-0.7529769,14897759,NC
-0.7647685,14897760,NC
-0.77150655,14897761,NC
-0.7849826,14897762,NC
-0.79508966,14897763,NC
-0.80182785,14897764,NC
-0.8001433,14897765,NC
-0.7950898,14897766,NC
-0.7967743,14897767,NC
-0.7984588,14897768,NC
-0.8051969,14897769,NC
-0.8119349,14897770,NC
-0.82035744,14897771,NC
-0.83046454,14897772,NC
-0.8405716,14897773,NC
-0.84730965,14897774,NC
-0.84730965,14897775,NC
-0.8456251,14897776,NC
-0.8439406,14897777,NC
-0.83720255,14897778,NC
-0.83046454,14897779,NC
-0.82541096,14897780,NC
-0.8237265,14897781,NC
-0.822042,14897782,NC
-0.8237265,14897783,NC
-0.82541096,14897784,NC
-0.82878,14897785,NC
