channel_0,sample #,type
0.5542388,29270147,A
0.57740676,29270148,NC
0.57057565,29270149,NC
0.47041208,29270150,NC
0.2869161,29270151,NC
0.04675439,29270152,NC
-0.19173972,29270153,NC
-0.39023286,29270154,NC
-0.5153917,29270155,NC
-0.56888294,29270156,NC
-0.56737316,29270157,NC
-0.5391958,29270158,NC
-0.497684,29270159,NC
-0.4561712,29270160,NC
-0.42465746,29270161,NC
-0.4081426,29270162,NC
-0.40162674,29270163,NC
-0.40177652,29270164,NC
-0.3985919,29270165,NC
-0.3870729,29270166,NC
-0.36221945,29270167,NC
-0.34069824,29270168,NC
-0.3275093,29270169,NC
-0.3209859,29270170,NC
-0.32279477,29270171,NC
-0.32960248,29270172,NC
-0.34307572,29270173,NC
-0.35488117,29270174,NC
-0.36501878,29270175,NC
-0.3734886,29270176,NC
-0.3736239,29270177,NC
-0.3620914,29270178,NC
-0.34389096,29270179,NC
-0.31402275,29270180,NC
-0.28581995,29270181,NC
-0.25428262,29270182,NC
-0.2294108,29270183,NC
-0.2095377,29270184,NC
-0.19633006,29270185,NC
-0.18312114,29270186,NC
-0.17324436,29270187,NC
-0.16503295,29270188,NC
-0.16515362,29270189,NC
-0.17527305,29270190,NC
-0.18705784,29270191,NC
-0.20384134,29270192,NC
-0.20062357,29270193,NC
-0.19073783,29270194,NC
-0.17251742,29270195,NC
-0.15929572,29270196,NC
-0.14773935,29270197,NC
-0.14118166,29270198,NC
-0.14462264,29270199,NC
-0.15639561,29270200,NC
-0.16650057,29270201,NC
-0.16660416,29270202,NC
-0.16003972,29270203,NC
-0.14680725,29270204,NC
-0.13524008,29270205,NC
-0.12367153,29270206,NC
-0.12043491,29270207,NC
-0.12219691,29270208,NC
-0.12395752,29270209,NC
-0.12905005,29270210,NC
-0.14580783,29270211,NC
-0.16923086,29270212,NC
-0.1809858,29270213,NC
-0.17440598,29270214,NC
-0.15949139,29270215,NC
-0.14624204,29270216,NC
-0.13799123,29270217,NC
-0.12973899,29270218,NC
-0.12815194,29270219,NC
-0.12156344,29270220,NC
-0.11664014,29270221,NC
-0.105048716,29270222,NC
-0.096789144,29270223,NC
-0.08852808,29270224,NC
-0.08693222,29270225,NC
