channel_0,sample #,type
0.765,11694734,R
0.8275,11694735,NC
0.865,11694736,NC
0.6925,11694737,NC
0.2875,11694738,NC
-0.29000002,11694739,NC
-0.925,11694740,NC
-1.4725001,11694741,NC
-1.8375001,11694742,NC
-2.0275002,11694743,NC
-2.1175,11694744,NC
-2.165,11694745,NC
-2.205,11694746,NC
-2.26,11694747,NC
-2.3125,11694748,NC
-2.3200002,11694749,NC
-2.2800002,11694750,NC
-2.23,11694751,NC
-2.1999998,11694752,NC
-2.19,11694753,NC
-2.185,11694754,NC
-2.1625,11694755,NC
-2.095,11694756,NC
-1.9975,11694757,NC
-1.8675001,11694758,NC
-1.7149999,11694759,NC
-1.5550001,11694760,NC
-1.4000001,11694761,NC
-1.2675,11694762,NC
-1.1625,11694763,NC
-1.085,11694764,NC
-1.025,11694765,NC
-0.99,11694766,NC
-0.9875,11694767,NC
-1.005,11694768,NC
-1.035,11694769,NC
-1.0574999,11694770,NC
-1.055,11694771,NC
-1.0325,11694772,NC
-1.0025,11694773,NC
-0.975,11694774,NC
-0.945,11694775,NC
-0.9225,11694776,NC
-0.9125,11694777,NC
-0.9225,11694778,NC
-0.94,11694779,NC
-0.95,11694780,NC
-0.955,11694781,NC
-0.95,11694782,NC
-0.9575,11694783,NC
-0.98,11694784,NC
-0.9925,11694785,NC
-0.99,11694786,NC
-0.985,11694787,NC
-0.9875,11694788,NC
-1.0074999,11694789,NC
-1.0675,11694790,NC
-1.135,11694791,NC
-1.1800001,11694792,NC
-1.2075,11694793,NC
-1.19,11694794,NC
-1.1275,11694795,NC
-1.0725,11694796,NC
-1.05,11694797,NC
-1.065,11694798,NC
-1.1075001,11694799,NC
-1.1575,11694800,NC
-1.2049999,11694801,NC
-1.2375,11694802,NC
-1.2525,11694803,NC
-1.2425001,11694804,NC
-1.225,11694805,NC
-1.2125001,11694806,NC
-1.205,11694807,NC
-1.1949999,11694808,NC
-1.1925,11694809,NC
-1.1925,11694810,NC
-1.175,11694811,NC
-1.1475,11694812,NC
-1.1025,11694813,NC
-1.065,11694814,NC
-1.0525,11694815,NC
-1.06,11694816,NC
-1.0775001,11694817,NC
-1.0875001,11694818,NC
-1.1,11694819,NC
-1.11,11694820,NC
-1.1075001,11694821,NC
-1.11,11694822,NC
-1.095,11694823,NC
-1.06,11694824,NC
-1.0125,11694825,NC
-0.9675,11694826,NC
-0.94,11694827,NC
-0.9075,11694828,NC
-0.8725,11694829,NC
-0.845,11694830,NC
-0.825,11694831,NC
-0.83000004,11694832,NC
-0.855,11694833,NC
-0.8825,11694834,NC
-0.8925,11694835,NC
-0.8725,11694836,NC
-0.82500005,11694837,NC
-0.775,11694838,NC
-0.76,11694839,NC
-0.77250004,11694840,NC
-0.8075,11694841,NC
-0.845,11694842,NC
-0.8625,11694843,NC
-0.84749997,11694844,NC
-0.8125,11694845,NC
-0.77750003,11694846,NC
-0.7475,11694847,NC
-0.72,11694848,NC
-0.7025,11694849,NC
-0.72249997,11694850,NC
-0.7825,11694851,NC
-0.845,11694852,NC
-0.89250004,11694853,NC
-0.9325,11694854,NC
-0.94,11694855,NC
-0.9125,11694856,NC
-0.87,11694857,NC
-0.83000004,11694858,NC
-0.81,11694859,NC
-0.81,11694860,NC
-0.81,11694861,NC
-0.805,11694862,NC
-0.82,11694863,NC
-0.8375,11694864,NC
-0.84749997,11694865,NC
-0.84000003,11694866,NC
-0.8275,11694867,NC
-0.8375,11694868,NC
-0.855,11694869,NC
-0.87,11694870,NC
-0.87,11694871,NC
-0.855,11694872,NC
-0.83500004,11694873,NC
-0.8275,11694874,NC
-0.84000003,11694875,NC
-0.87,11694876,NC
-0.905,11694877,NC
-0.9225,11694878,NC
-0.90999997,11694879,NC
-0.86749995,11694880,NC
-0.82,11694881,NC
-0.81,11694882,NC
-0.85,11694883,NC
-0.905,11694884,NC
-0.9525,11694885,NC
-0.975,11694886,NC
-0.96000004,11694887,NC
-0.9225,11694888,NC
-0.8775,11694889,NC
-0.84000003,11694890,NC
-0.8175,11694891,NC
-0.8275,11694892,NC
-0.8675,11694893,NC
-0.895,11694894,NC
-0.9025,11694895,NC
-0.9025,11694896,NC
-0.895,11694897,NC
-0.8775,11694898,NC
-0.86,11694899,NC
-0.855,11694900,NC
-0.86,11694901,NC
-0.855,11694902,NC
-0.82500005,11694903,NC
-0.815,11694904,NC
-0.8175,11694905,NC
-0.8275,11694906,NC
-0.85,11694907,NC
-0.86,11694908,NC
-0.8625,11694909,NC
-0.85,11694910,NC
-0.825,11694911,NC
-0.78999996,11694912,NC
-0.775,11694913,NC
-0.7825,11694914,NC
-0.77750003,11694915,NC
-0.7625,11694916,NC
-0.7375,11694917,NC
-0.6875,11694918,NC
-0.6425,11694919,NC
-0.615,11694920,NC
-0.5925,11694921,NC
-0.6,11694922,NC
-0.64750004,11694923,NC
-0.695,11694924,NC
-0.72249997,11694925,NC
-0.725,11694926,NC
-0.72249997,11694927,NC
-0.7425,11694928,NC
-0.76,11694929,NC
-0.7575,11694930,NC
-0.74,11694931,NC
-0.7325,11694932,NC
-0.7325,11694933,NC
-0.74,11694934,NC
-0.7425,11694935,NC
-0.72,11694936,NC
-0.7075,11694937,NC
-0.71500003,11694938,NC
-0.7275,11694939,NC
-0.775,11694940,NC
-0.85249996,11694941,NC
-0.90999997,11694942,NC
-0.9275,11694943,NC
-0.905,11694944,NC
-0.875,11694945,NC
-0.8675,11694946,NC
-0.865,11694947,NC
-0.8575,11694948,NC
-0.8775,11694949,NC
-0.8975,11694950,NC
-0.90250003,11694951,NC
-0.91,11694952,NC
-0.9175,11694953,NC
-0.95000005,11694954,NC
-0.9875,11694955,NC
-0.99,11694956,NC
-0.9575,11694957,NC
-0.9225,11694958,NC
-0.9125,11694959,NC
-0.9325,11694960,NC
-0.97,11694961,NC
-1.01,11694962,NC
-1.05,11694963,NC
-1.0725,11694964,NC
-1.0450001,11694965,NC
-0.995,11694966,NC
-0.95500004,11694967,NC
-0.9175,11694968,NC
-0.89,11694969,NC
-0.885,11694970,NC
-0.90250003,11694971,NC
-0.9425,11694972,NC
-0.99,11694973,NC
-1.0225,11694974,NC
-1.025,11694975,NC
-0.985,11694976,NC
-0.90999997,11694977,NC
-0.78999996,11694978,NC
-0.635,11694979,NC
-0.48000002,11694980,NC
-0.3375,11694981,NC
