channel_0,sample #,type
1.5288748,14352827,R
1.4889421,14352828,NC
1.3815097,14352829,NC
1.2290771,14352830,NC
1.0366447,14352831,NC
0.80671227,14352832,NC
0.5817799,14352833,NC
0.36934763,14352834,NC
0.14691539,14352835,NC
-0.07801682,14352836,NC
-0.29294896,14352837,NC
-0.4828811,14352838,NC
-0.64781314,14352839,NC
-0.7827452,14352840,NC
-0.8676771,14352841,NC
-0.90760916,14352842,NC
-0.930041,14352843,NC
-0.9399729,14352844,NC
-0.92990464,14352845,NC
-0.9073365,14352846,NC
-0.8997681,14352847,NC
-0.8846998,14352848,NC
-0.8621315,14352849,NC
-0.84456307,14352850,NC
-0.8194946,14352851,NC
-0.8044261,14352852,NC
-0.8093576,14352853,NC
-0.81928897,14352854,NC
-0.81672037,14352855,NC
-0.8141517,14352856,NC
-0.826583,14352857,NC
-0.8440142,14352858,NC
-0.8464455,14352859,NC
-0.83887666,14352860,NC
-0.8338078,14352861,NC
-0.82373893,14352862,NC
-0.81117004,14352863,NC
-0.8036011,14352864,NC
-0.80353206,14352865,NC
-0.81346303,14352866,NC
-0.82339394,14352867,NC
-0.8283248,14352868,NC
-0.82825565,14352869,NC
-0.83318645,14352870,NC
-0.83561724,14352871,NC
-0.833048,14352872,NC
-0.8254787,14352873,NC
-0.82540935,14352874,NC
-0.82534,14352875,NC
-0.8152706,14352876,NC
-0.81270117,14352877,NC
-0.8101317,14352878,NC
-0.8175622,14352879,NC
-0.82749265,14352880,NC
-0.8349231,14352881,NC
-0.84485346,14352882,NC
-0.84478384,14352883,NC
-0.8447142,14352884,NC
-0.8421445,14352885,NC
-0.8320748,14352886,NC
-0.827005,14352887,NC
-0.82443523,14352888,NC
-0.82686543,14352889,NC
-0.8342956,14352890,NC
-0.8392257,14352891,NC
-0.84665585,14352892,NC
-0.8565859,14352893,NC
-0.86401594,14352894,NC
-0.86894596,14352895,NC
-0.8663759,14352896,NC
-0.8613059,14352897,NC
-0.8612358,14352898,NC
-0.85366565,14352899,NC
-0.8510956,14352900,NC
-0.85852545,14352901,NC
-0.86095524,14352902,NC
-0.868385,14352903,NC
-0.8833148,14352904,NC
-0.9007445,14352905,NC
-0.9081742,14352906,NC
-0.90810394,14352907,NC
-0.91303366,14352908,NC
-0.9129633,14352909,NC
-0.9053928,14352910,NC
-0.90532243,14352911,NC
-0.90525204,14352912,NC
-0.9026816,14352913,NC
-0.9076111,14352914,NC
-0.91754067,14352915,NC
-0.9274701,14352916,NC
-0.93489957,14352917,NC
-0.947329,14352918,NC
-0.9522584,14352919,NC
-0.94968784,14352920,NC
-0.9496172,14352921,NC
-0.9470465,14352922,NC
-0.9419759,14352923,NC
-0.9394052,14352924,NC
-0.9418345,14352925,NC
-0.94426376,14352926,NC
-0.95169306,14352927,NC
-0.96412224,14352928,NC
-0.9640515,14352929,NC
-0.9589807,14352930,NC
-0.96390986,14352931,NC
-0.96883905,14352932,NC
-0.9562682,14352933,NC
-0.9411974,14352934,NC
-0.9361265,14352935,NC
-0.91855556,14352936,NC
-0.90098464,14352937,NC
-0.9009137,14352938,NC
-0.8983428,14352939,NC
-0.88827187,14352940,NC
-0.8832009,14352941,NC
-0.8756299,14352942,NC
-0.8630589,14352943,NC
-0.8504879,14352944,NC
-0.83791685,14352945,NC
-0.8228459,14352946,NC
-0.80027485,14352947,NC
-0.78020376,14352948,NC
-0.77013266,14352949,NC
-0.75756156,14352950,NC
-0.74249053,14352951,NC
-0.73241943,14352952,NC
-0.72484833,14352953,NC
-0.72477716,14352954,NC
-0.71720606,14352955,NC
-0.69213486,14352956,NC
-0.6720637,14352957,NC
-0.6644926,14352958,NC
-0.6494214,14352959,NC
-0.6268502,14352960,NC
