channel_0,sample #,type
1.185,14305461,R
1.17,14305462,NC
1.12,14305463,NC
1.01,14305464,NC
0.85,14305465,NC
0.65,14305466,NC
0.435,14305467,NC
0.195,14305468,NC
-0.065,14305469,NC
-0.315,14305470,NC
-0.585,14305471,NC
-0.785,14305472,NC
-0.925,14305473,NC
-1.015,14305474,NC
-1.04,14305475,NC
-1.035,14305476,NC
-1.01,14305477,NC
-0.99,14305478,NC
-0.96,14305479,NC
-0.935,14305480,NC
-0.92,14305481,NC
-0.91,14305482,NC
-0.9,14305483,NC
-0.9,14305484,NC
-0.885,14305485,NC
-0.895,14305486,NC
-0.9,14305487,NC
-0.91,14305488,NC
-0.925,14305489,NC
-0.935,14305490,NC
-0.935,14305491,NC
-0.935,14305492,NC
-0.93,14305493,NC
-0.915,14305494,NC
-0.915,14305495,NC
-0.915,14305496,NC
-0.9,14305497,NC
-0.92,14305498,NC
-0.91,14305499,NC
-0.915,14305500,NC
-0.92,14305501,NC
-0.935,14305502,NC
-0.925,14305503,NC
-0.925,14305504,NC
-0.935,14305505,NC
-0.945,14305506,NC
-0.93,14305507,NC
-0.93,14305508,NC
-0.91,14305509,NC
-0.915,14305510,NC
-0.915,14305511,NC
-0.925,14305512,NC
-0.93,14305513,NC
-0.95,14305514,NC
-0.96,14305515,NC
-0.95,14305516,NC
-0.95,14305517,NC
-0.94,14305518,NC
-0.945,14305519,NC
-0.935,14305520,NC
-0.93,14305521,NC
-0.935,14305522,NC
-0.94,14305523,NC
-0.95,14305524,NC
-0.97,14305525,NC
-0.975,14305526,NC
-0.97,14305527,NC
-0.97,14305528,NC
-0.975,14305529,NC
-0.965,14305530,NC
-0.975,14305531,NC
-0.96,14305532,NC
-0.96,14305533,NC
-0.96,14305534,NC
-0.985,14305535,NC
-0.985,14305536,NC
-0.985,14305537,NC
-0.985,14305538,NC
-0.995,14305539,NC
-1.02,14305540,NC
-1.005,14305541,NC
-1.025,14305542,NC
-1.02,14305543,NC
-1.025,14305544,NC
-1.015,14305545,NC
-1.005,14305546,NC
-1.03,14305547,NC
-1.035,14305548,NC
-1.045,14305549,NC
-1.04,14305550,NC
-1.055,14305551,NC
-1.07,14305552,NC
-1.065,14305553,NC
-1.06,14305554,NC
-1.055,14305555,NC
-1.06,14305556,NC
-1.065,14305557,NC
-1.04,14305558,NC
-1.05,14305559,NC
-1.055,14305560,NC
-1.075,14305561,NC
-1.08,14305562,NC
-1.08,14305563,NC
-1.09,14305564,NC
-1.08,14305565,NC
-1.06,14305566,NC
-1.05,14305567,NC
-1.035,14305568,NC
-1.025,14305569,NC
-1.02,14305570,NC
-1.015,14305571,NC
-1.025,14305572,NC
-1.015,14305573,NC
-1.025,14305574,NC
-1.015,14305575,NC
-0.995,14305576,NC
-0.985,14305577,NC
-0.965,14305578,NC
-0.945,14305579,NC
-0.925,14305580,NC
-0.91,14305581,NC
-0.895,14305582,NC
-0.87,14305583,NC
-0.875,14305584,NC
-0.875,14305585,NC
-0.865,14305586,NC
-0.845,14305587,NC
-0.84,14305588,NC
-0.82,14305589,NC
-0.8,14305590,NC
-0.785,14305591,NC
-0.765,14305592,NC
-0.76,14305593,NC
-0.76,14305594,NC
-0.75,14305595,NC
-0.74,14305596,NC
-0.725,14305597,NC
-0.725,14305598,NC
-0.735,14305599,NC
-0.73,14305600,NC
-0.72,14305601,NC
-0.72,14305602,NC
-0.71,14305603,NC
-0.705,14305604,NC
-0.69,14305605,NC
-0.7,14305606,NC
-0.71,14305607,NC
-0.71,14305608,NC
-0.715,14305609,NC
-0.725,14305610,NC
-0.76,14305611,NC
-0.77,14305612,NC
-0.785,14305613,NC
-0.785,14305614,NC
-0.795,14305615,NC
-0.8,14305616,NC
-0.805,14305617,NC
-0.815,14305618,NC
-0.825,14305619,NC
-0.85,14305620,NC
-0.875,14305621,NC
-0.895,14305622,NC
-0.905,14305623,NC
-0.9,14305624,NC
-0.91,14305625,NC
-0.91,14305626,NC
-0.9,14305627,NC
-0.9,14305628,NC
-0.895,14305629,NC
-0.91,14305630,NC
-0.915,14305631,NC
-0.91,14305632,NC
-0.92,14305633,NC
-0.92,14305634,NC
-0.925,14305635,NC
-0.935,14305636,NC
-0.935,14305637,NC
-0.93,14305638,NC
-0.925,14305639,NC
-0.92,14305640,NC
-0.915,14305641,NC
-0.905,14305642,NC
-0.905,14305643,NC
-0.92,14305644,NC
-0.91,14305645,NC
-0.91,14305646,NC
-0.91,14305647,NC
-0.905,14305648,NC
-0.905,14305649,NC
-0.9,14305650,NC
-0.895,14305651,NC
-0.89,14305652,NC
-0.875,14305653,NC
-0.875,14305654,NC
-0.875,14305655,NC
-0.875,14305656,NC
-0.875,14305657,NC
-0.885,14305658,NC
-0.88,14305659,NC
-0.89,14305660,NC
