channel_0,sample #,type
0.039787192,28895242,""""
0.026086945,28895243,NC
0.021042105,28895244,NC
0.010430074,28895245,NC
-3.356724e-05,28895246,NC
-0.009861581,28895247,NC
-0.019001149,28895248,NC
-0.055094358,28895249,NC
-0.0751503,28895250,NC
-0.109611765,28895251,NC
-0.1291454,28895252,NC
-0.13602546,28895253,NC
-0.15086846,28895254,NC
-0.15521662,28895255,NC
-0.15969336,28895256,NC
-0.15942869,28895257,NC
-0.16164245,28895258,NC
-0.15839672,28895259,NC
-0.16041443,28895260,NC
-0.16038798,28895261,NC
-0.16047285,28895262,NC
-0.15988861,28895263,NC
-0.16426292,28895264,NC
-0.16534425,28895265,NC
-0.1848882,28895266,NC
-0.1993582,28895267,NC
-0.20450735,28895268,NC
-0.21022782,28895269,NC
-0.20057818,28895270,NC
-0.1813989,28895271,NC
-0.17487137,28895272,NC
-0.17414755,28895273,NC
-0.1655698,28895274,NC
-0.17423259,28895275,NC
-0.17074887,28895276,NC
-0.18577504,28895277,NC
-0.18972495,28895278,NC
-0.19980368,28895279,NC
-0.1943892,28895280,NC
-0.19530214,28895281,NC
-0.18495905,28895282,NC
-0.16388196,28895283,NC
-0.16007242,28895284,NC
-0.17135018,28895285,NC
-0.17533585,28895286,NC
-0.19436966,28895287,NC
-0.18539824,28895288,NC
-0.1892248,28895289,NC
-0.18998791,28895290,NC
-0.19470881,28895291,NC
-0.19949827,28895292,NC
-0.18383317,28895293,NC
-0.17025988,28895294,NC
-0.18532243,28895295,NC
-0.16402529,28895296,NC
-0.17528011,28895297,NC
-0.17519432,28895298,NC
-0.18472137,28895299,NC
-0.17941314,28895300,NC
-0.18123819,28895301,NC
-0.19122212,28895302,NC
-0.19497845,28895303,NC
-0.19021872,28895304,NC
-0.18889412,28895305,NC
-0.17854846,28895306,NC
-0.18032788,28895307,NC
-0.16933025,28895308,NC
-0.17053221,28895309,NC
-0.16921401,28895310,NC
-0.17921485,28895311,NC
-0.18527877,28895312,NC
-0.19019002,28895313,NC
-0.19455694,28895314,NC
-0.20524007,28895315,NC
-0.19075993,28895316,NC
-0.19572304,28895317,NC
-0.18586646,28895318,NC
-0.1964052,28895319,NC
-0.17407113,28895320,NC
-0.1705131,28895321,NC
-0.17480072,28895322,NC
-0.17606553,28895323,NC
-0.18085147,28895324,NC
-0.1898814,28895325,NC
-0.20470653,28895326,NC
-0.18930829,28895327,NC
-0.18851347,28895328,NC
-0.19442199,28895329,NC
-0.1858535,28895330,NC
-0.17515472,28895331,NC
-0.1696696,28895332,NC
-0.17549857,28895333,NC
-0.18495797,28895334,NC
-0.17622317,28895335,NC
-0.18072145,28895336,NC
-0.18573423,28895337,NC
-0.19054046,28895338,NC
-0.19603845,28895339,NC
-0.18332565,28895340,NC
-0.18583596,28895341,NC
-0.17409387,28895342,NC
-0.17035677,28895343,NC
-0.15973009,28895344,NC
-0.16515161,28895345,NC
-0.17477344,28895346,NC
-0.16935587,28895347,NC
-0.17555192,28895348,NC
-0.18442594,28895349,NC
-0.19104356,28895350,NC
-0.1895836,28895351,NC
-0.18986978,28895352,NC
-0.20130472,28895353,NC
-0.19523153,28895354,NC
-0.16533782,28895355,NC
-0.15902083,28895356,NC
-0.17039521,28895357,NC
-0.17057492,28895358,NC
-0.17191623,28895359,NC
-0.17024292,28895360,NC
-0.17457901,28895361,NC
-0.18055111,28895362,NC
-0.17456682,28895363,NC
-0.18000124,28895364,NC
-0.19042666,28895365,NC
-0.17572826,28895366,NC
-0.1844601,28895367,NC
-0.1652624,28895368,NC
-0.1586812,28895369,NC
-0.16572572,28895370,NC
-0.16514619,28895371,NC
-0.16954541,28895372,NC
-0.17982608,28895373,NC
-0.18061174,28895374,NC
-0.17566636,28895375,NC
-0.17996521,28895376,NC
-0.1702474,28895377,NC
-0.18116204,28895378,NC
-0.1707778,28895379,NC
-0.15528671,28895380,NC
-0.1485849,28895381,NC
-0.14442869,28895382,NC
-0.15520424,28895383,NC
-0.16927342,28895384,NC
-0.1696564,28895385,NC
-0.17433602,28895386,NC
-0.16905004,28895387,NC
-0.17527224,28895388,NC
-0.14944701,28895389,NC
-0.15468524,28895390,NC
-0.15052287,28895391,NC
-0.14539066,28895392,NC
-0.15035938,28895393,NC
-0.14942017,28895394,NC
-0.15540233,28895395,NC
-0.16008477,28895396,NC
-0.16483827,28895397,NC
-0.16986874,28895398,NC
-0.1655046,28895399,NC
-0.15984136,28895400,NC
-0.16864091,28895401,NC
-0.16928592,28895402,NC
-0.16107799,28895403,NC
-0.14943747,28895404,NC
-0.14976668,28895405,NC
-0.15028805,28895406,NC
-0.14980121,28895407,NC
-0.16368392,28895408,NC
-0.16547701,28895409,NC
-0.16949782,28895410,NC
-0.18069594,28895411,NC
-0.1789691,28895412,NC
-0.17097686,28895413,NC
-0.16427459,28895414,NC
-0.16038604,28895415,NC
-0.1453889,28895416,NC
-0.13641313,28895417,NC
-0.13582069,28895418,NC
-0.14013727,28895419,NC
-0.14520675,28895420,NC
-0.14937507,28895421,NC
-0.14536077,28895422,NC
-0.15954924,28895423,NC
-0.15544689,28895424,NC
-0.15517016,28895425,NC
-0.14592089,28895426,NC
-0.13390015,28895427,NC
-0.136113,28895428,NC
-0.13065709,28895429,NC
-0.13633402,28895430,NC
-0.12422826,28895431,NC
-0.1396424,28895432,NC
-0.14514616,28895433,NC
-0.15019448,28895434,NC
-0.15082885,28895435,NC
-0.14464937,28895436,NC
-0.16363822,28895437,NC
-0.14857928,28895438,NC
-0.13695109,28895439,NC
-0.124410465,28895440,NC
-0.12485979,28895441,NC
-0.12001864,28895442,NC
-0.12469151,28895443,NC
-0.12462312,28895444,NC
-0.14059295,28895445,NC
-0.15522708,28895446,NC
-0.14531195,28895447,NC
-0.14454798,28895448,NC
-0.13977231,28895449,NC
-0.13992377,28895450,NC
-0.1303848,28895451,NC
-0.12542783,28895452,NC
-0.14021264,28895453,NC
-0.13475129,28895454,NC
-0.11919433,28895455,NC
-0.13100545,28895456,NC
-0.12810828,28895457,NC
-0.13475683,28895458,NC
-0.13482432,28895459,NC
-0.13659771,28895460,NC
-0.12923406,28895461,NC
-0.12406658,28895462,NC
-0.11583092,28895463,NC
-0.10421392,28895464,NC
-0.10622524,28895465,NC
-0.120966814,28895466,NC
-0.11494025,28895467,NC
-0.12377914,28895468,NC
-0.12948209,28895469,NC
-0.11549989,28895470,NC
-0.13468678,28895471,NC
-0.13400248,28895472,NC
-0.13067771,28895473,NC
-0.12564968,28895474,NC
-0.12576087,28895475,NC
-0.11883663,28895476,NC
-0.10516238,28895477,NC
-0.11012443,28895478,NC
-0.1111533,28895479,NC
-0.10966103,28895480,NC
-0.12487053,28895481,NC
-0.12436748,28895482,NC
-0.13445576,28895483,NC
-0.12564805,28895484,NC
-0.12028645,28895485,NC
-0.1143818,28895486,NC
-0.11396933,28895487,NC
-0.099858835,28895488,NC
-0.104189895,28895489,NC
-0.10452319,28895490,NC
-0.10479644,28895491,NC
-0.114828564,28895492,NC
-0.114926,28895493,NC
-0.11067319,28895494,NC
-0.11466431,28895495,NC
-0.11994513,28895496,NC
-0.10980605,28895497,NC
-0.1150954,28895498,NC
-0.10460906,28895499,NC
-0.09552012,28895500,NC
-0.10592457,28895501,NC
-0.10985478,28895502,NC
-0.11522703,28895503,NC
-0.1031525,28895504,NC
-0.11065749,28895505,NC
-0.11481242,28895506,NC
-0.10998478,28895507,NC
-0.12136101,28895508,NC
-0.11534812,28895509,NC
-0.108247496,28895510,NC
-0.09900707,28895511,NC
-0.08956809,28895512,NC
-0.081077226,28895513,NC
-0.080072485,28895514,NC
-0.08037227,28895515,NC
-0.08923086,28895516,NC
-0.09043352,28895517,NC
-0.10023258,28895518,NC
-0.105327725,28895519,NC
-0.10015155,28895520,NC
-0.09942329,28895521,NC
-0.07980305,28895522,NC
-0.064282715,28895523,NC
-0.050404307,28895524,NC
-0.048846994,28895525,NC
-0.048996866,28895526,NC
-0.041198544,28895527,NC
-0.034996554,28895528,NC
-0.034998156,28895529,NC
-0.034325592,28895530,NC
-0.030810548,28895531,NC
-0.015309455,28895532,NC
3.946363e-05,28895533,NC
-0.0057632993,28895534,NC
0.039801996,28895535,NC
0.05981703,28895536,NC
