channel_0,sample #,type
0.48,29378547,R
0.55,29378548,NC
0.53,29378549,NC
0.455,29378550,NC
0.26,29378551,NC
0.04,29378552,NC
-0.14,29378553,NC
-0.27,29378554,NC
-0.32,29378555,NC
-0.305,29378556,NC
-0.285,29378557,NC
-0.255,29378558,NC
-0.235,29378559,NC
-0.22,29378560,NC
-0.215,29378561,NC
-0.22,29378562,NC
-0.245,29378563,NC
-0.27,29378564,NC
-0.29,29378565,NC
-0.29,29378566,NC
-0.265,29378567,NC
-0.22,29378568,NC
-0.17,29378569,NC
-0.14,29378570,NC
-0.145,29378571,NC
-0.16,29378572,NC
-0.2,29378573,NC
-0.21,29378574,NC
-0.225,29378575,NC
-0.23,29378576,NC
-0.205,29378577,NC
-0.18,29378578,NC
-0.155,29378579,NC
-0.12,29378580,NC
-0.085,29378581,NC
-0.055,29378582,NC
-0.045,29378583,NC
-0.03,29378584,NC
-0.035,29378585,NC
-0.02,29378586,NC
-0.035,29378587,NC
-0.045,29378588,NC
-0.06,29378589,NC
-0.06,29378590,NC
-0.055,29378591,NC
-0.045,29378592,NC
-0.04,29378593,NC
-0.035,29378594,NC
-0.02,29378595,NC
-0.02,29378596,NC
-0.01,29378597,NC
-0.01,29378598,NC
-0.015,29378599,NC
-0.035,29378600,NC
-0.025,29378601,NC
-0.025,29378602,NC
-0.03,29378603,NC
-0.03,29378604,NC
-0.015,29378605,NC
-0.01,29378606,NC
0.0,29378607,NC
-0.01,29378608,NC
-0.02,29378609,NC
-0.02,29378610,NC
-0.025,29378611,NC
-0.025,29378612,NC
-0.03,29378613,NC
-0.025,29378614,NC
-0.03,29378615,NC
-0.015,29378616,NC
0.0,29378617,NC
0.01,29378618,NC
0.01,29378619,NC
0.03,29378620,NC
0.025,29378621,NC
0.01,29378622,NC
0.01,29378623,NC
0.005,29378624,NC
-0.005,29378625,NC
0.005,29378626,NC
0.01,29378627,NC
0.015,29378628,NC
0.05,29378629,NC
0.055,29378630,NC
0.055,29378631,NC
0.055,29378632,NC
0.055,29378633,NC
0.065,29378634,NC
0.06,29378635,NC
0.06,29378636,NC
0.085,29378637,NC
0.08,29378638,NC
0.085,29378639,NC
0.105,29378640,NC
0.115,29378641,NC
0.125,29378642,NC
0.135,29378643,NC
0.135,29378644,NC
0.13,29378645,NC
0.135,29378646,NC
0.135,29378647,NC
0.145,29378648,NC
0.15,29378649,NC
0.15,29378650,NC
0.145,29378651,NC
0.16,29378652,NC
0.175,29378653,NC
0.195,29378654,NC
0.2,29378655,NC
0.2,29378656,NC
0.2,29378657,NC
0.19,29378658,NC
0.185,29378659,NC
0.18,29378660,NC
0.19,29378661,NC
0.18,29378662,NC
0.185,29378663,NC
0.185,29378664,NC
0.195,29378665,NC
0.195,29378666,NC
0.185,29378667,NC
0.17,29378668,NC
0.16,29378669,NC
0.145,29378670,NC
0.12,29378671,NC
0.1,29378672,NC
0.095,29378673,NC
0.08,29378674,NC
0.08,29378675,NC
0.08,29378676,NC
0.065,29378677,NC
0.08,29378678,NC
0.075,29378679,NC
0.065,29378680,NC
0.06,29378681,NC
0.045,29378682,NC
0.03,29378683,NC
0.02,29378684,NC
-0.005,29378685,NC
-0.01,29378686,NC
-0.015,29378687,NC
-0.005,29378688,NC
-0.015,29378689,NC
-0.02,29378690,NC
-0.015,29378691,NC
-0.02,29378692,NC
-0.005,29378693,NC
-0.005,29378694,NC
-0.01,29378695,NC
-0.015,29378696,NC
-0.035,29378697,NC
-0.04,29378698,NC
-0.04,29378699,NC
-0.045,29378700,NC
-0.02,29378701,NC
0.005,29378702,NC
0.01,29378703,NC
0.015,29378704,NC
-0.01,29378705,NC
-0.015,29378706,NC
-0.03,29378707,NC
-0.045,29378708,NC
-0.045,29378709,NC
-0.04,29378710,NC
-0.015,29378711,NC
-0.01,29378712,NC
0.0,29378713,NC
0.01,29378714,NC
0.005,29378715,NC
0.0,29378716,NC
0.0,29378717,NC
-0.03,29378718,NC
-0.02,29378719,NC
-0.02,29378720,NC
-0.02,29378721,NC
-0.015,29378722,NC
-0.01,29378723,NC
-0.005,29378724,NC
0.005,29378725,NC
0.02,29378726,NC
0.035,29378727,NC
0.03,29378728,NC
0.02,29378729,NC
0.01,29378730,NC
-0.01,29378731,NC
-0.025,29378732,NC
-0.05,29378733,NC
-0.04,29378734,NC
-0.02,29378735,NC
-0.005,29378736,NC
0.015,29378737,NC
0.01,29378738,NC
0.005,29378739,NC
0.01,29378740,NC
0.0,29378741,NC
-0.01,29378742,NC
-0.01,29378743,NC
-0.01,29378744,NC
-0.025,29378745,NC
-0.02,29378746,NC
-0.01,29378747,NC
0.01,29378748,NC
0.015,29378749,NC
0.025,29378750,NC
0.02,29378751,NC
0.01,29378752,NC
-0.005,29378753,NC
-0.015,29378754,NC
-0.015,29378755,NC
-0.04,29378756,NC
-0.04,29378757,NC
-0.02,29378758,NC
-0.02,29378759,NC
-0.005,29378760,NC
0.005,29378761,NC
0.015,29378762,NC
0.01,29378763,NC
0.0,29378764,NC
-0.005,29378765,NC
-0.01,29378766,NC
-0.015,29378767,NC
-0.02,29378768,NC
-0.02,29378769,NC
-0.025,29378770,NC
-0.025,29378771,NC
-0.02,29378772,NC
-0.005,29378773,NC
-0.005,29378774,NC
0.0,29378775,NC
-0.005,29378776,NC
-0.015,29378777,NC
-0.025,29378778,NC
-0.03,29378779,NC
-0.045,29378780,NC
-0.04,29378781,NC
-0.015,29378782,NC
-0.02,29378783,NC
-0.015,29378784,NC
0.0,29378785,NC
0.005,29378786,NC
0.005,29378787,NC
-0.005,29378788,NC
-0.03,29378789,NC
-0.045,29378790,NC
-0.06,29378791,NC
-0.05,29378792,NC
-0.05,29378793,NC
-0.05,29378794,NC
-0.03,29378795,NC
-0.03,29378796,NC
-0.01,29378797,NC
0.0,29378798,NC
-0.01,29378799,NC
-0.01,29378800,NC
-0.025,29378801,NC
-0.03,29378802,NC
-0.035,29378803,NC
-0.045,29378804,NC
-0.055,29378805,NC
-0.06,29378806,NC
-0.045,29378807,NC
-0.045,29378808,NC
-0.04,29378809,NC
-0.04,29378810,NC
-0.025,29378811,NC
-0.02,29378812,NC
-0.025,29378813,NC
-0.025,29378814,NC
-0.025,29378815,NC
-0.03,29378816,NC
-0.035,29378817,NC
-0.045,29378818,NC
-0.055,29378819,NC
-0.06,29378820,NC
-0.045,29378821,NC
-0.03,29378822,NC
-0.015,29378823,NC
-0.02,29378824,NC
-0.02,29378825,NC
-0.02,29378826,NC
-0.035,29378827,NC
-0.065,29378828,NC
-0.055,29378829,NC
-0.07,29378830,NC
-0.055,29378831,NC
-0.04,29378832,NC
-0.03,29378833,NC
-0.03,29378834,NC
-0.025,29378835,NC
-0.015,29378836,NC
-0.03,29378837,NC
-0.02,29378838,NC
-0.035,29378839,NC
-0.055,29378840,NC
-0.06,29378841,NC
-0.06,29378842,NC
-0.045,29378843,NC
-0.04,29378844,NC
-0.02,29378845,NC
-0.01,29378846,NC
-0.015,29378847,NC
-0.025,29378848,NC
-0.03,29378849,NC
-0.045,29378850,NC
-0.045,29378851,NC
-0.045,29378852,NC
-0.055,29378853,NC
-0.045,29378854,NC
-0.04,29378855,NC
-0.045,29378856,NC
-0.025,29378857,NC
-0.02,29378858,NC
-0.025,29378859,NC
-0.03,29378860,NC
-0.045,29378861,NC
-0.035,29378862,NC
-0.04,29378863,NC
-0.04,29378864,NC
