channel_0,sample #,type
0.81464094,14971390,N
0.8878123,14971391,NC
0.84878755,14971392,NC
0.72195727,14971393,NC
0.56585836,14971394,NC
0.33171007,14971395,NC
-0.024390448,14971396,NC
-0.35610053,14971397,NC
-0.53658986,14971398,NC
-0.5756145,14971399,NC
-0.56585836,14971400,NC
-0.51707745,14971401,NC
-0.49756512,14971402,NC
-0.48293087,14971403,NC
-0.4536623,14971404,NC
-0.40488142,14971405,NC
-0.35610053,14971406,NC
-0.29756346,14971407,NC
-0.28292918,14971408,NC
-0.35610053,14971409,NC
-0.4536623,14971410,NC
-0.5073213,14971411,NC
-0.4731747,14971412,NC
-0.43414995,14971413,NC
-0.4585404,14971414,NC
-0.49268702,14971415,NC
-0.5073213,14971416,NC
-0.49756512,14971417,NC
-0.46341848,14971418,NC
-0.42927188,14971419,NC
-0.40488142,14971420,NC
-0.40488142,14971421,NC
-0.38536906,14971422,NC
-0.38049096,14971423,NC
-0.39024717,14971424,NC
-0.39512524,14971425,NC
-0.38536906,14971426,NC
-0.38536906,14971427,NC
-0.38049096,14971428,NC
-0.39024717,14971429,NC
-0.39512524,14971430,NC
-0.37561288,14971431,NC
-0.35610053,14971432,NC
-0.35610053,14971433,NC
-0.3658567,14971434,NC
-0.36097863,14971435,NC
-0.34634435,14971436,NC
-0.35610053,14971437,NC
-0.38049096,14971438,NC
-0.4097595,14971439,NC
-0.41463763,14971440,NC
-0.39024717,14971441,NC
-0.35122246,14971442,NC
-0.33171007,14971443,NC
-0.326832,14971444,NC
-0.33658817,14971445,NC
-0.326832,14971446,NC
-0.33658817,14971447,NC
-0.3658567,14971448,NC
-0.39024717,14971449,NC
-0.4097595,14971450,NC
-0.42439377,14971451,NC
-0.41463763,14971452,NC
-0.38049096,14971453,NC
-0.34146625,14971454,NC
-0.326832,14971455,NC
-0.35122246,14971456,NC
-0.37561288,14971457,NC
-0.37073478,14971458,NC
-0.35122246,14971459,NC
-0.30244154,14971460,NC
-0.29756346,14971461,NC
-0.30244154,14971462,NC
-0.33658817,14971463,NC
-0.33171007,14971464,NC
-0.33171007,14971465,NC
-0.3170758,14971466,NC
-0.30731964,14971467,NC
-0.33658817,14971468,NC
-0.34146625,14971469,NC
-0.33171007,14971470,NC
-0.31219772,14971471,NC
-0.29756346,14971472,NC
-0.30244154,14971473,NC
-0.30731964,14971474,NC
-0.31219772,14971475,NC
-0.31219772,14971476,NC
-0.31219772,14971477,NC
-0.30244154,14971478,NC
-0.2926854,14971479,NC
-0.2926854,14971480,NC
-0.30244154,14971481,NC
-0.28292918,14971482,NC
-0.26341683,14971483,NC
-0.2292702,14971484,NC
-0.21951401,14971485,NC
-0.22439212,14971486,NC
-0.20487975,14971487,NC
-0.18536739,14971488,NC
-0.17073312,14971489,NC
-0.18536739,14971490,NC
-0.22439212,14971491,NC
-0.25366065,14971492,NC
-0.28292918,14971493,NC
-0.2341483,14971494,NC
-0.20487975,14971495,NC
-0.18536739,14971496,NC
-0.19024548,14971497,NC
-0.19024548,14971498,NC
-0.20975785,14971499,NC
-0.20000167,14971500,NC
-0.20000167,14971501,NC
-0.18048932,14971502,NC
-0.17561123,14971503,NC
-0.17561123,14971504,NC
-0.18536739,14971505,NC
-0.17561123,14971506,NC
-0.17073312,14971507,NC
-0.15609886,14971508,NC
-0.15122077,14971509,NC
-0.15609886,14971510,NC
-0.17561123,14971511,NC
-0.19024548,14971512,NC
-0.17561123,14971513,NC
-0.16585504,14971514,NC
-0.17561123,14971515,NC
-0.17561123,14971516,NC
-0.19024548,14971517,NC
-0.20000167,14971518,NC
-0.18536739,14971519,NC
-0.18048932,14971520,NC
-0.18048932,14971521,NC
-0.20000167,14971522,NC
-0.20975785,14971523,NC
-0.21951401,14971524,NC
-0.20487975,14971525,NC
-0.20000167,14971526,NC
-0.19512358,14971527,NC
-0.20000167,14971528,NC
-0.22439212,14971529,NC
-0.21463594,14971530,NC
-0.21951401,14971531,NC
-0.20487975,14971532,NC
-0.18536739,14971533,NC
-0.16097696,14971534,NC
-0.16097696,14971535,NC
-0.15609886,14971536,NC
-0.13170841,14971537,NC
-0.10731797,14971538,NC
-0.11707415,14971539,NC
-0.16097696,14971540,NC
-0.24390447,14971541,NC
-0.28780726,14971542,NC
-0.273173,14971543,NC
-0.21951401,14971544,NC
-0.16585504,14971545,NC
-0.15122077,14971546,NC
-0.15122077,14971547,NC
-0.13170841,14971548,NC
-0.121952236,14971549,NC
-0.087805614,14971550,NC
-0.07804943,14971551,NC
-0.06341516,14971552,NC
-0.043902807,14971553,NC
-0.029268537,14971554,NC
0.009756179,14971555,NC
0.053658985,14971556,NC
0.10731797,14971557,NC
0.16097696,14971558,NC
0.21463594,14971559,NC
0.25853872,14971560,NC
0.25853872,14971561,NC
0.2341483,14971562,NC
0.19512358,14971563,NC
0.14146459,14971564,NC
-0.0048780893,14971565,NC
-0.2926854,14971566,NC
-0.7024449,14971567,NC
-1.1317167,14971568,NC
-1.4975734,14971569,NC
-1.7561121,14971570,NC
-1.907333,14971571,NC
-1.960992,14971572,NC
-1.9707481,14971573,NC
-1.9268453,14971574,V
-1.8829424,14971575,NC
-1.8439178,14971576,NC
-1.8195274,14971577,NC
-1.751234,14971578,NC
-1.6341599,14971579,NC
-1.4780611,14971580,NC
-1.3365965,14971581,NC
-1.2195224,14971582,NC
-1.1609854,14971583,NC
-1.0975702,14971584,NC
-1.0048864,14971585,NC
-0.88293415,14971586,NC
-0.7609819,14971587,NC
-0.6487859,14971588,NC
-0.56098026,14971589,NC
-0.5512241,14971590,NC
-0.57073647,14971591,NC
-0.6195173,14971592,NC
-0.64390785,14971593,NC
-0.5853708,14971594,NC
-0.51707745,14971595,NC
-0.46341848,14971596,NC
-0.43902802,14971597,NC
-0.4195157,14971598,NC
-0.40488142,14971599,NC
-0.37073478,14971600,NC
-0.32195392,14971601,NC
-0.24390447,14971602,NC
-0.1463427,14971603,NC
-0.053658985,14971604,NC
0.024390448,14971605,NC
0.08292752,14971606,NC
0.11707415,14971607,NC
0.15122077,14971608,NC
0.17561123,14971609,NC
0.20000167,14971610,NC
0.20975785,14971611,NC
0.20487975,14971612,NC
0.19512358,14971613,NC
0.20975785,14971614,NC
0.22439212,14971615,NC
0.24878256,14971616,NC
0.26341683,14971617,NC
0.26829493,14971618,NC
0.273173,14971619,NC
0.2926854,14971620,NC
0.33171007,14971621,NC
0.35610053,14971622,NC
0.40000334,14971623,NC
0.4195157,14971624,NC
0.43414995,14971625,NC
0.4585404,14971626,NC
0.47805277,14971627,NC
0.51219934,14971628,NC
0.5561022,14971629,NC
0.62927353,14971630,NC
0.6926887,14971631,NC
0.6926887,14971632,NC
0.6146393,14971633,NC
0.5219556,14971634,NC
0.4731747,14971635,NC
0.47805277,14971636,NC
0.5414679,14971637,NC
0.60000503,14971638,NC
0.6195173,14971639,NC
0.5951269,14971640,NC
0.56585836,14971641,NC
0.57073647,14971642,NC
0.6195173,14971643,NC
0.66342014,14971644,NC
0.67317635,14971645,NC
0.67805445,14971646,NC
0.66829824,14971647,NC
0.67805445,14971648,NC
0.67805445,14971649,NC
0.67317635,14971650,NC
0.67805445,14971651,NC
0.66342014,14971652,NC
0.653664,14971653,NC
0.6195173,14971654,NC
0.5951269,14971655,NC
0.57073647,14971656,NC
0.5414679,14971657,NC
0.52683365,14971658,NC
0.51707745,14971659,NC
0.5024432,14971660,NC
0.48780894,14971661,NC
0.48780894,14971662,NC
0.48293087,14971663,NC
0.4731747,14971664,NC
