channel_0,sample #,type
0.39455265,27425076,N
0.33527613,27425077,NC
0.285143,27425078,NC
0.2304388,27425079,NC
0.19402108,27425080,NC
0.07074514,27425081,NC
-0.093673855,27425082,NC
-0.27180696,27425083,NC
-0.37222403,27425084,NC
-0.39949667,27425085,NC
-0.36733934,27425086,NC
-0.3214671,27425087,NC
-0.2893089,27425088,NC
-0.26629332,27425089,NC
-0.2204198,27425090,NC
-0.20197487,27425091,NC
-0.20638707,27425092,NC
-0.21994182,27425093,NC
-0.23349619,27425094,NC
-0.23790711,27425095,NC
-0.23317462,27425096,NC
-0.21015571,27425097,NC
-0.19170788,27425098,NC
-0.18240264,27425099,NC
-0.17309698,27425100,NC
-0.14093341,27425101,NC
-0.12705544,27425102,NC
-0.13146307,27425103,NC
-0.14044179,27425104,NC
-0.1585631,27425105,NC
-0.11725447,27425106,NC
-0.09423145,27425107,NC
-0.08492253,27425108,NC
-0.13504274,27425109,NC
-0.18059105,27425110,NC
-0.24442494,27425111,NC
-0.28997242,27425112,NC
-0.285233,27425113,NC
-0.24392112,27425114,NC
-0.19803733,27425115,NC
-0.16586766,27425116,NC
-0.13826908,27425117,NC
-0.11981312,27425118,NC
-0.10592826,27425119,NC
-0.08747149,27425120,NC
-0.091871835,27425121,NC
-0.12827231,27425122,NC
-0.1555294,27425123,NC
-0.19192907,27425124,NC
-0.22832835,27425125,NC
-0.22815523,27425126,NC
-0.20969568,27425127,NC
-0.16837823,27425128,NC
-0.13163188,27425129,NC
-0.09488514,27425130,NC
-0.06728102,27425131,NC
-0.035105012,27425132,NC
-0.044072133,27425133,NC
-0.04846736,27425134,NC
-0.08029123,27425135,NC
-0.1075432,27425136,NC
-0.111937255,27425137,NC
-0.11175943,27425138,NC
-0.13443874,27425139,NC
-0.14340314,27425140,NC
-0.12493816,27425141,NC
-0.083615266,27425142,NC
-0.04686348,27425143,NC
-0.03296884,27425144,NC
-0.03278833,27425145,NC
-0.06460796,27425146,NC
-0.0918557,27425147,NC
-0.10996006,27425148,NC
-0.091492005,27425149,NC
-0.06388058,27425150,NC
-0.040840264,27425151,NC
-0.017799579,27425152,NC
0.014384486,27425153,NC
0.014568403,27425154,NC
-0.017247818,27425155,NC
-0.07192119,27425156,NC
-0.1311657,27425157,NC
-0.14926629,27425158,NC
-0.135366,27425159,NC
-0.10775081,27425160,NC
-0.08470677,27425161,NC
-0.06623386,27425162,NC
-0.052332077,27425163,NC
-0.056715947,27425164,NC
-0.07481396,27425165,NC
-0.06548258,27425166,NC
-0.06529384,27425167,NC
-0.065104745,27425168,NC
-0.060343776,27425169,NC
-0.04643943,27425170,NC
-0.037106235,27425171,NC
-0.04148718,27425172,NC
-0.036724765,27425173,NC
-0.059391003,27425174,NC
-0.095771395,27425175,NC
-0.14586593,27425176,NC
-0.1913886,27425177,NC
-0.1957674,27425178,NC
-0.18185982,27425179,NC
-0.14966586,27425180,NC
-0.14032908,27425181,NC
-0.14013495,27425182,NC
-0.17194098,27425183,NC
-0.21288967,27425184,NC
-0.23098047,27425185,NC
-0.22621343,27425186,NC
-0.21230301,27425187,NC
-0.20753527,27425188,NC
-0.23019618,27425189,NC
-0.24371375,27425190,NC
-0.25723097,27425191,NC
-0.25703332,27425192,NC
-0.27054983,27425193,NC
-0.274923,27425194,NC
-0.27015284,27425195,NC
-0.24709629,27425196,NC
-0.23318242,27425197,NC
-0.24212572,27425198,NC
-0.25106868,27425199,NC
-0.2828688,27425200,NC
-0.29181108,27425201,NC
-0.30989602,27425202,NC
-0.2914086,27425203,NC
-0.28206384,27425204,NC
-0.28186175,27425205,NC
-0.31365988,27425206,NC
-0.33174312,27425207,NC
-0.33154005,27425208,NC
-0.3084791,27425209,NC
-0.28998935,27425210,NC
-0.26692772,27425211,NC
-0.2621518,27425212,NC
-0.26194704,27425213,NC
-0.270885,27425214,NC
-0.2752511,27425215,NC
-0.30704588,27425216,NC
-0.32969734,27425217,NC
-0.35691997,27425218,NC
-0.32928425,27425219,NC
-0.3153627,27425220,NC
-0.3014408,27425221,NC
-0.29666162,27425222,NC
-0.3238826,27425223,NC
-0.3511033,27425224,NC
-0.39203823,27425225,NC
-0.40554374,27425226,NC
-0.38704848,27425227,NC
-0.40055335,27425228,NC
-0.38205743,27425229,NC
-0.3818472,27425230,NC
-0.37706512,27425231,NC
-0.35399672,27425232,NC
-0.321785,27425233,NC
-0.2758585,27425234,NC
-0.2756467,27425235,NC
-0.29372057,27425236,NC
-0.36208066,27425237,NC
-0.4304405,27425238,NC
-0.47594246,27425239,NC
-0.50315815,27425240,NC
-0.50294447,27425241,NC
-0.489016,27425242,NC
-0.47051567,27425243,NC
-0.42915756,27425244,NC
-0.3420841,27425245,NC
-0.22758135,27425246,NC
