channel_0,sample #,type
1.3570136,18936884,N
1.284391,18936885,NC
1.1291635,18936886,NC
0.886168,18936887,NC
0.5784622,18936888,NC
0.2834629,18936889,NC
0.04204836,18936890,NC
-0.118166976,18936891,NC
-0.20897067,18936892,NC
-0.24727559,18936893,NC
-0.25678247,18936894,NC
-0.26337636,18936895,NC
-0.2689259,18936896,NC
-0.2782429,18936897,NC
-0.288552,18936898,NC
-0.29418942,18936899,NC
-0.29638222,18936900,NC
-0.30801734,18936901,NC
-0.32282293,18936902,NC
-0.3345819,18936903,NC
-0.34321374,18936904,NC
-0.33940464,18936905,NC
-0.33073545,18936906,NC
-0.32926613,18936907,NC
-0.33557147,18936908,NC
-0.34245747,18936909,NC
-0.3450887,18936910,NC
-0.33979166,18936911,NC
-0.32685485,18936912,NC
-0.32002681,18936913,NC
-0.31884518,18936914,NC
-0.32109493,18936915,NC
-0.32202706,18936916,NC
-0.31654492,18936917,NC
-0.30887824,18936918,NC
-0.30593038,18936919,NC
-0.30739513,18936920,NC
-0.3047619,18936921,NC
-0.30218518,18936922,NC
-0.29284513,18936923,NC
-0.28257173,18936924,NC
-0.28124028,18936925,NC
-0.28335756,18936926,NC
-0.28282973,18936927,NC
-0.28149107,18936928,NC
-0.26862434,18936929,NC
-0.25253335,18936930,NC
-0.2441887,18936931,NC
-0.23740602,18936932,NC
-0.2388716,18936933,NC
-0.23590362,18936934,NC
-0.22248125,18936935,NC
-0.20660003,18936936,NC
-0.19051445,18936937,NC
-0.18363982,18936938,NC
-0.17868057,18936939,NC
-0.17475055,18936940,NC
-0.1629142,18936941,NC
-0.14357986,18936942,NC
-0.1386504,18936943,NC
-0.12975046,18936944,NC
-0.12344497,18936945,NC
-0.115859166,18936946,NC
-0.09288347,18936947,NC
-0.06807823,18936948,NC
-0.050676487,18936949,NC
-0.0368844,18936950,NC
-0.029254986,18936951,NC
-0.025346674,18936952,NC
-0.014757861,18936953,NC
0.0036198124,18936954,NC
0.01727678,18936955,NC
0.030903082,18936956,NC
0.0447576,18936957,NC
0.05250834,18936958,NC
0.07366548,18936959,NC
0.096569926,18936960,NC
0.11253671,18936961,NC
0.1219289,18936962,NC
0.12295292,18936963,NC
0.12697835,18936964,NC
0.13849667,18936965,NC
0.1563284,18936966,NC
0.16862728,18936967,NC
0.16900554,18936968,NC
0.16194478,18936969,NC
0.15295868,18936970,NC
0.15012991,18936971,NC
0.14679548,18936972,NC
0.13691975,18936973,NC
0.11726474,18936974,NC
0.09080988,18936975,NC
0.06486851,18936976,NC
0.049400784,18936977,NC
0.037458442,18936978,NC
0.021337362,18936979,NC
-0.004490639,18936980,NC
-0.035956286,18936981,NC
-0.066535234,18936982,NC
-0.09065901,18936983,NC
-0.10562461,18936984,NC
-0.12154639,18936985,NC
-0.14031427,18936986,NC
-0.1561164,18936987,NC
-0.16742723,18936988,NC
-0.17504108,18936989,NC
-0.17805427,18936990,NC
-0.18464518,18936991,NC
-0.19800025,18936992,NC
-0.2060843,18936993,NC
-0.21022621,18936994,NC
-0.21024373,18936995,NC
-0.20525558,18936996,NC
-0.21169427,18936997,NC
-0.22164945,18936998,NC
-0.22900394,18936999,NC
-0.23708054,18937000,NC
-0.23051578,18937001,NC
-0.2217533,18937002,NC
-0.22225203,18937003,NC
-0.22560361,18937004,NC
-0.23639263,18937005,NC
-0.24314925,18937006,NC
-0.24305612,18937007,NC
-0.23083,18937008,NC
-0.22600327,18937009,NC
-0.22967216,18937010,NC
-0.237379,18937011,NC
-0.24168393,18937012,NC
-0.23674874,18937013,NC
-0.22838487,18937014,NC
-0.22465953,18937015,NC
-0.23434304,18937016,NC
-0.24495044,18937017,NC
-0.2521345,18937018,NC
-0.2473793,18937019,NC
-0.23997408,18937020,NC
-0.23724663,18937021,NC
-0.24347736,18937022,NC
-0.247832,18937023,NC
-0.24565004,18937024,NC
-0.2395268,18937025,NC
-0.22551623,18937026,NC
-0.21961457,18937027,NC
-0.21893175,18937028,NC
-0.21378773,18937029,NC
-0.20314911,18937030,NC
-0.18569134,18937031,NC
-0.16666992,18937032,NC
-0.15107515,18937033,NC
-0.14077783,18937034,NC
-0.12953016,18937035,NC
-0.11491738,18937036,NC
-0.0988109,18937037,NC
-0.08440656,18937038,NC
-0.08359428,18937039,NC
-0.09392754,18937040,NC
-0.10325081,18937041,NC
-0.11066,18937042,NC
-0.10864169,18937043,NC
-0.10598506,18937044,NC
-0.11774534,18937045,NC
-0.13475768,18937046,NC
-0.15547569,18937047,NC
-0.17567813,18937048,NC
-0.18078485,18937049,NC
-0.18353674,18937050,NC
-0.17608832,18937051,NC
-0.15760504,18937052,NC
-0.13286945,18937053,NC
-0.09517721,18937054,NC
-0.050373398,18937055,NC
0.0026295297,18937056,NC
0.05561896,18937057,NC
0.113516554,18937058,NC
0.177674,18937059,NC
0.24952237,18937060,NC
0.33340263,18937061,NC
0.42136344,18937062,NC
0.5025162,18937063,NC
0.58171207,18937064,NC
0.6643634,18937065,NC
0.75610685,18937066,NC
0.86152524,18937067,NC
0.9631766,18937068,NC
1.0519838,18937069,V
1.1284047,18937070,NC
1.201571,18937071,NC
1.2871835,18937072,NC
1.3750288,18937073,NC
1.4413953,18937074,NC
1.4688872,18937075,NC
1.4578478,18937076,NC
1.4398638,18937077,NC
1.4420123,18937078,NC
1.4694293,18937079,NC
1.5089293,18937080,NC
1.5388277,18937081,NC
1.5635062,18937082,NC
1.5794828,18937083,NC
1.58711,18937084,NC
1.5618955,18937085,NC
1.4542894,18937086,NC
1.256074,18937087,NC
0.9822934,18937088,NC
0.6760303,18937089,NC
0.38619393,18937090,NC
0.14138454,18937091,NC
-0.052652586,18937092,NC
-0.19961601,18937093,NC
-0.31023192,18937094,NC
-0.3877583,18937095,NC
-0.4426977,18937096,NC
-0.4824944,18937097,NC
-0.514218,18937098,NC
-0.5424273,18937099,NC
-0.5677597,18937100,NC
-0.5978869,18937101,NC
-0.61843705,18937102,NC
-0.63192034,18937103,NC
-0.64088684,18937104,NC
-0.6471926,18937105,NC
-0.65791976,18937106,NC
-0.66883683,18937107,NC
-0.6808968,18937108,NC
-0.6832357,18937109,NC
-0.68224055,18937110,NC
-0.68777585,18937111,NC
-0.6948593,18937112,NC
-0.7118348,18937113,NC
-0.724679,18937114,NC
-0.72588867,18937115,NC
-0.72759634,18937116,NC
-0.73023176,18937117,NC
-0.7384328,18937118,NC
-0.75390697,18937119,NC
-0.76985574,18937120,NC
-0.7739941,18937121,NC
-0.77840495,18937122,NC
-0.7878102,18937123,NC
-0.7982314,18937124,NC
-0.81377643,18937125,NC
-0.82418704,18937126,NC
-0.8295313,18937127,NC
-0.8321539,18937128,NC
-0.84061927,18937129,NC
-0.8544538,18937130,NC
-0.864643,18937131,NC
-0.8697046,18937132,NC
-0.87057716,18937133,NC
-0.86788875,18937134,NC
-0.8741905,18937135,NC
-0.8887143,18937136,NC
-0.9010123,18937137,NC
-0.908793,18937138,NC
-0.90770996,18937139,NC
-0.9026211,18937140,NC
-0.9018532,18937141,NC
-0.9071023,18937142,NC
-0.9120976,18937143,NC
-0.9136031,18937144,NC
-0.9082,18937145,NC
-0.8975152,18937146,NC
-0.8928825,18937147,NC
-0.8899843,18937148,NC
-0.88872415,18937149,NC
-0.8851804,18937150,NC
-0.87291896,18937151,NC
-0.8560411,18937152,NC
-0.84327054,18937153,NC
-0.8354553,18937154,NC
-0.82356787,18937155,NC
-0.8091862,18937156,NC
-0.7848302,18937157,NC
-0.75294924,18937158,NC
-0.7320309,18937159,NC
-0.7172319,18937160,NC
-0.698952,18937161,NC
-0.67936057,18937162,NC
-0.6493329,18937163,NC
-0.6097916,18937164,NC
-0.5788421,18937165,NC
-0.5550564,18937166,NC
-0.5340542,18937167,NC
-0.52120495,18937168,NC
-0.49820995,18937169,NC
-0.47437212,18937170,NC
-0.4559341,18937171,NC
-0.44266307,18937172,NC
-0.438488,18937173,NC
-0.43056375,18937174,NC
-0.41935182,18937175,NC
-0.4040507,18937176,NC
-0.39241976,18937177,NC
-0.39264092,18937178,NC
-0.39771134,18937179,NC
-0.40131906,18937180,NC
-0.395042,18937181,NC
-0.3860282,18937182,NC
-0.37529302,18937183,NC
-0.37389353,18937184,NC
-0.38248032,18937185,NC
-0.38508195,18937186,NC
-0.3888321,18937187,NC
-0.38330212,18937188,NC
-0.38235912,18937189,NC
-0.38354093,18937190,NC
-0.38233352,18937191,NC
-0.38003197,18937192,NC
-0.3686034,18937193,NC
-0.36044908,18937194,NC
-0.35686255,18937195,NC
-0.36126107,18937196,NC
-0.36602068,18937197,NC
-0.36924866,18937198,NC
-0.36207068,18937199,NC
-0.34902683,18937200,NC
-0.3436815,18937201,NC
-0.3409829,18937202,NC
-0.34544802,18937203,NC
-0.35166237,18937204,NC
-0.3426512,18937205,NC
-0.32926038,18937206,NC
-0.31521404,18937207,NC
-0.29834408,18937208,NC
-0.2835459,18937209,NC
-0.25585136,18937210,NC
-0.21759905,18937211,NC
-0.17318201,18937212,NC
-0.12852824,18937213,NC
-0.08186729,18937214,NC
-0.022782676,18937215,NC
0.053515915,18937216,NC
0.14875923,18937217,NC
0.25499237,18937218,NC
0.3600794,18937219,NC
0.4660995,18937220,NC
0.57372123,18937221,NC
0.6829082,18937222,NC
0.8009946,18937223,NC
0.92312676,18937224,NC
1.0161524,18937225,V
