channel_0,sample #,type
1.9850532,30131511,N
1.9799792,30131512,NC
1.9069254,30131513,NC
1.7463216,30131514,NC
1.4710569,30131515,NC
1.1056118,30131516,NC
0.6941903,30131517,NC
0.33243197,30131518,NC
0.06665232,30131519,NC
-0.103116505,30131520,NC
-0.16994071,30131521,NC
-0.17725688,30131522,NC
-0.18005772,30131523,NC
-0.18278211,30131524,NC
-0.18971421,30131525,NC
-0.24799727,30131526,NC
-0.28511614,30131527,NC
-0.32988963,30131528,NC
-0.34812996,30131529,NC
-0.37283856,30131530,NC
-0.38354284,30131531,NC
-0.40029824,30131532,NC
-0.40809345,30131533,NC
-0.4144198,30131534,NC
-0.4291225,30131535,NC
-0.42436042,30131536,NC
-0.42508167,30131537,NC
-0.42584014,30131538,NC
-0.43481568,30131539,NC
-0.42204854,30131540,NC
-0.4244045,30131541,NC
-0.4228449,30131542,NC
-0.42520943,30131543,NC
-0.43991336,30131544,NC
-0.4638407,30131545,NC
-0.4562921,30131546,NC
-0.45704603,30131547,NC
-0.45841002,30131548,NC
-0.45609647,30131549,NC
-0.4457449,30131550,NC
-0.44562775,30131551,NC
-0.4516852,30131552,NC
-0.45110658,30131553,NC
-0.44730106,30131554,NC
-0.45571756,30131555,NC
-0.47307083,30131556,NC
-0.47621998,30131557,NC
-0.48334214,30131558,NC
-0.48522973,30131559,NC
-0.4927127,30131560,NC
-0.49332455,30131561,NC
-0.49863946,30131562,NC
-0.49294496,30131563,NC
-0.48584327,30131564,NC
-0.4989315,30131565,NC
-0.5232096,30131566,NC
-0.52773637,30131567,NC
-0.56136316,30131568,NC
-0.57541645,30131569,NC
-0.5912272,30131570,NC
-0.59852684,30131571,NC
-0.61451775,30131572,NC
-0.609133,30131573,NC
-0.61280906,30131574,NC
-0.6079712,30131575,NC
-0.62062204,30131576,NC
-0.64375395,30131577,NC
-0.65401417,30131578,NC
-0.6966873,30131579,NC
-0.7184351,30131580,NC
-0.73574865,30131581,NC
-0.76607394,30131582,NC
-0.7768835,30131583,NC
-0.79256314,30131584,NC
-0.776741,30131585,NC
-0.78768724,30131586,NC
-0.778201,30131587,NC
-0.7857365,30131588,NC
-0.80599785,30131589,NC
-0.789235,30131590,NC
-0.77433634,30131591,NC
-0.78404504,30131592,NC
-0.77444005,30131593,NC
-0.7833737,30131594,NC
-0.78805083,30131595,NC
-0.7695135,30131596,NC
-0.7524216,30131597,NC
-0.72757846,30131598,NC
-0.7067665,30131599,NC
-0.67236805,30131600,NC
-0.64712155,30131601,NC
-0.6140131,30131602,NC
-0.58291,30131603,NC
-0.557433,30131604,NC
-0.5558197,30131605,NC
-0.52387655,30131606,NC
-0.5115675,30131607,NC
-0.49014047,30131608,NC
-0.4593835,30131609,NC
-0.42522907,30131610,NC
-0.38399076,30131611,NC
-0.344819,30131612,NC
-0.32703722,30131613,NC
-0.29213494,30131614,NC
-0.27808368,30131615,NC
-0.2725559,30131616,NC
-0.25506404,30131617,NC
-0.25884,30131618,NC
-0.23117323,30131619,NC
-0.22416095,30131620,NC
-0.23389652,30131621,NC
-0.21422154,30131622,NC
-0.20515463,30131623,NC
-0.19921476,30131624,NC
-0.20776598,30131625,NC
-0.21427538,30131626,NC
-0.20941101,30131627,NC
-0.2034173,30131628,NC
-0.21118905,30131629,NC
-0.21328494,30131630,NC
-0.20204669,30131631,NC
-0.21277018,30131632,NC
-0.19831024,30131633,NC
-0.19687377,30131634,NC
-0.16846837,30131635,NC
-0.14568762,30131636,NC
-0.12535855,30131637,NC
-0.1175449,30131638,NC
-0.09540213,30131639,NC
-0.07678973,30131640,NC
-0.02110764,30131641,NC
0.015434017,30131642,NC
0.07983408,30131643,NC
0.14085655,30131644,NC
0.20301382,30131645,NC
0.2908787,30131646,NC
0.36918527,30131647,NC
0.47045723,30131648,NC
0.5632159,30131649,NC
0.6624644,30131650,NC
0.7645583,30131651,NC
0.81327426,30131652,V
0.81132317,30131653,NC
0.7131999,30131654,NC
0.50706476,30131655,NC
0.16913006,30131656,NC
