channel_0,sample #,type
0.4187889,27492130,N
0.39936373,27492131,NC
0.33493966,27492132,NC
0.23551664,27492133,NC
0.11609468,27492134,NC
-0.0033262484,27492135,NC
-0.122746155,27492136,NC
-0.18716505,27492137,NC
-0.24158296,27492138,NC
-0.27599987,27492139,NC
-0.28041586,27492140,NC
-0.26983088,27492141,NC
-0.25924498,27492142,NC
-0.24865815,27492143,NC
-0.24807045,27492144,NC
-0.25748184,27492145,NC
-0.27189237,27492146,NC
-0.24630207,27492147,NC
-0.2407109,27492148,NC
-0.23011895,27492149,NC
-0.23452617,27492150,NC
-0.2339326,27492151,NC
-0.21833827,27492152,NC
-0.22274318,27492153,NC
-0.21714735,27492154,NC
-0.2065508,27492155,NC
-0.22595355,27492156,NC
-0.22035559,27492157,NC
-0.22475697,27492158,NC
-0.20915768,27492159,NC
-0.19355774,27492160,NC
-0.18295717,27492161,NC
-0.177356,27492162,NC
-0.17175424,27492163,NC
-0.17615187,27492164,NC
-0.18054897,27492165,NC
-0.1599455,27492166,NC
-0.1693415,27492167,NC
-0.17373699,27492168,NC
-0.19313198,27492169,NC
-0.20252648,27492170,NC
-0.18692052,27492171,NC
-0.1713141,27492172,NC
-0.15070726,27492173,NC
-0.16009998,27492174,NC
-0.17449231,27492175,NC
-0.17888427,27492176,NC
-0.17827584,27492177,NC
-0.18266705,27492178,NC
-0.16205794,27492179,NC
-0.15144849,27492180,NC
-0.15583874,27492181,NC
-0.1402287,27492182,NC
-0.1346184,27492183,NC
-0.11900783,27492184,NC
-0.113397025,27492185,NC
-0.13278599,27492186,NC
-0.12217476,27492187,NC
-0.12656333,27492188,NC
-0.10595173,27492189,NC
-0.07033996,27492190,NC
-0.034728058,27492191,NC
-0.034116026,27492192,NC
-0.048503887,27492193,NC
-0.05289165,27492194,NC
-0.04727934,27492195,NC
-0.036666967,27492196,NC
-0.031054547,27492197,NC
-0.035442103,27492198,NC
-0.029829646,27492199,NC
-0.019217193,27492200,NC
-0.013604762,27492201,NC
-0.007992368,27492202,NC
-0.002380027,27492203,NC
-0.016767755,27492204,NC
0.0038444283,27492205,NC
0.0044565103,27492206,NC
0.020068474,27492207,NC
0.0406803,27492208,NC
0.046291977,27492209,NC
0.026903486,27492210,NC
0.01751481,27492211,NC
0.008125936,27492212,NC
0.013736842,27492213,NC
0.024347518,27492214,NC
0.029957943,27492215,NC
0.0005681012,27492216,NC
0.0061779786,27492217,NC
0.006787558,27492218,NC
0.027396822,27492219,NC
0.028005756,27492220,NC
0.023614343,27492221,NC
0.004222568,27492222,NC
-0.025169587,27492223,NC
-0.03456214,27492224,NC
-0.013955101,27492225,NC
0.0016515078,27492226,NC
0.032257672,27492227,NC
0.012863378,27492228,NC
-0.011531394,27492229,NC
-0.055926662,27492230,NC
-0.06532243,27492231,NC
-0.059718728,27492232,NC
-0.06411557,27492233,NC
-0.073512964,27492234,NC
-0.08291093,27492235,NC
-0.10730949,27492236,NC
-0.11170866,27492237,NC
-0.09110844,27492238,NC
-0.10550886,27492239,NC
-0.12990993,27492240,NC
-0.15431169,27492241,NC
-0.17871411,27492242,NC
-0.16311724,27492243,NC
-0.1475211,27492244,NC
-0.12192568,27492245,NC
-0.131331,27492246,NC
-0.1257371,27492247,NC
-0.15514398,27492248,NC
-0.14955166,27492249,NC
-0.16396013,27492250,NC
-0.15836945,27492251,NC
-0.1777796,27492252,NC
-0.20219061,27492253,NC
-0.19660251,27492254,NC
-0.1960153,27492255,NC
-0.18542898,27492256,NC
-0.17484358,27492257,NC
-0.18925913,27492258,NC
-0.19867563,27492259,NC
-0.2130931,27492260,NC
-0.19751155,27492261,NC
-0.20193101,27492262,NC
-0.20635149,27492263,NC
-0.22577298,27492264,NC
-0.23519555,27492265,NC
-0.23461914,27492266,NC
-0.22904384,27492267,NC
-0.20846961,27492268,NC
-0.2078965,27492269,NC
-0.2173245,27492270,NC
-0.23175366,27492271,NC
