channel_0,sample #,type
1.9953421,22266557,L
2.013925,22266558,NC
1.946401,22266559,NC
1.7677176,22266560,NC
1.4360466,22266561,NC
0.9727929,22266562,NC
0.54412293,22266563,NC
0.24420655,22266564,NC
0.087260254,22266565,NC
0.014991775,22266566,NC
0.020675983,22266567,NC
0.022978665,22266568,NC
0.038367435,22266569,NC
0.035961706,22266570,NC
0.028096119,22266571,NC
0.009104515,22266572,NC
-0.060125478,22266573,NC
-0.118455276,22266574,NC
-0.17361142,22266575,NC
-0.20188308,22266576,NC
-0.21190162,22266577,NC
-0.22080314,22266578,NC
-0.2367745,22266579,NC
-0.27935675,22266580,NC
-0.3218296,22266581,NC
-0.38767508,22266582,NC
-0.42055082,22266583,NC
-0.4283148,22266584,NC
-0.44613078,22266585,NC
-0.4791443,22266586,NC
-0.5326955,22266587,NC
-0.5492871,22266588,NC
-0.5458197,22266589,NC
-0.52887744,22266590,NC
-0.5093617,22266591,NC
-0.5332537,22266592,NC
-0.5573816,22266593,NC
-0.59289914,22266594,NC
-0.59234244,22266595,NC
-0.57999074,22266596,NC
-0.57271165,22266597,NC
-0.5819704,22266598,NC
-0.59359866,22266599,NC
-0.59597135,22266600,NC
-0.6011682,22266601,NC
-0.5964887,22266602,NC
-0.5965948,22266603,NC
-0.585657,22266604,NC
-0.60329896,22266605,NC
-0.61287045,22266606,NC
-0.6028156,22266607,NC
-0.5967974,22266608,NC
-0.6194158,22266609,NC
-0.6236828,22266610,NC
-0.6348572,22266611,NC
-0.62832797,22266612,NC
-0.636351,22266613,NC
-0.6336999,22266614,NC
-0.65313554,22266615,NC
-0.64501685,22266616,NC
-0.6765835,22266617,NC
-0.6882104,22266618,NC
-0.6791033,22266619,NC
-0.6442263,22266620,NC
-0.6439339,22266621,NC
-0.6709199,22266622,NC
-0.71758693,22266623,NC
-0.721214,22266624,NC
-0.710493,22266625,NC
-0.7117431,22266626,NC
-0.6922502,22266627,NC
-0.71423304,22266628,NC
-0.7377487,22266629,NC
-0.76550037,22266630,NC
-0.7519036,22266631,NC
-0.73769265,22266632,NC
-0.7325776,22266633,NC
-0.735525,22266634,NC
-0.7625188,22266635,NC
-0.7846575,22266636,NC
-0.78143317,22266637,NC
-0.77897024,22266638,NC
-0.7510373,22266639,NC
-0.7633176,22266640,NC
-0.77313304,22266641,NC
-0.76914287,22266642,NC
-0.7732844,22266643,NC
-0.7571919,22266644,NC
-0.732942,22266645,NC
-0.72418094,22266646,NC
-0.7119576,22266647,NC
-0.71298337,22266648,NC
-0.687123,22266649,NC
-0.64766794,22266650,NC
-0.6206588,22266651,NC
-0.6008093,22266652,NC
-0.58819854,22266653,NC
-0.5378988,22266654,NC
-0.533844,22266655,NC
-0.49978444,22266656,NC
-0.48547947,22266657,NC
-0.47355282,22266658,NC
-0.44750834,22266659,NC
-0.42045534,22266660,NC
-0.4016283,22266661,NC
-0.38726747,22266662,NC
-0.36019903,22266663,NC
-0.37685785,22266664,NC
-0.3744175,22266665,NC
