channel_0,sample #,type
1.5931841,18852558,N
1.621763,18852559,NC
1.4435345,18852560,NC
1.0840843,18852561,NC
0.65228647,18852562,NC
0.22460578,18852563,NC
-0.08293499,18852564,NC
-0.18801463,18852565,NC
-0.17833859,18852566,NC
-0.15878452,18852567,NC
-0.14216746,18852568,NC
-0.14643374,18852569,NC
-0.14504124,18852570,NC
-0.13002281,18852571,NC
-0.14947477,18852572,NC
-0.17291825,18852573,NC
-0.17749754,18852574,NC
-0.16970459,18852575,NC
-0.15746239,18852576,NC
-0.1622088,18852577,NC
-0.18320058,18852578,NC
-0.18600751,18852579,NC
-0.18208052,18852580,NC
-0.16447017,18852581,NC
-0.14268027,18852582,NC
-0.15774791,18852583,NC
-0.16714221,18852584,NC
-0.17839593,18852585,NC
-0.17089327,18852586,NC
-0.15998545,18852587,NC
-0.14916977,18852588,NC
-0.15937603,18852589,NC
-0.16193213,18852590,NC
-0.16833557,18852591,NC
-0.16037662,18852592,NC
-0.1551383,18852593,NC
-0.1384058,18852594,NC
-0.14584081,18852595,NC
-0.1600001,18852596,NC
-0.1628876,18852597,NC
-0.15379292,18852598,NC
-0.14048731,18852599,NC
-0.113620125,18852600,NC
-0.12468007,18852601,NC
-0.1265046,18852602,NC
-0.13639294,18852603,NC
-0.12767726,18852604,NC
-0.09375645,18852605,NC
-0.09690048,18852606,NC
-0.10527018,18852607,NC
-0.10012004,18852608,NC
-0.09555626,18852609,NC
-0.07597119,18852610,NC
-0.038081165,18852611,NC
-0.03519943,18852612,NC
-0.048806846,18852613,NC
-0.04268239,18852614,NC
-0.04718075,18852615,NC
-0.019760776,18852616,NC
0.009968974,18852617,NC
0.009740428,18852618,NC
0.025713341,18852619,NC
0.01822997,18852620,NC
0.037765957,18852621,NC
0.055516183,18852622,NC
0.08672299,18852623,NC
0.095354564,18852624,NC
0.102209225,18852625,NC
0.09207042,18852626,NC
0.10261838,18852627,NC
0.13938436,18852628,NC
0.15869054,18852629,NC
0.17173448,18852630,NC
0.16684583,18852631,NC
0.16613573,18852632,NC
0.1595706,18852633,NC
0.1675773,18852634,NC
0.21488811,18852635,NC
0.22874087,18852636,NC
0.22426213,18852637,NC
0.22530974,18852638,NC
0.23191936,18852639,NC
0.2485852,18852640,NC
0.26107368,18852641,NC
0.2666574,18852642,NC
0.2542976,18852643,NC
0.2542671,18852644,NC
0.22795974,18852645,NC
0.22972786,18852646,NC
0.2191838,18852647,NC
0.21376145,18852648,NC
0.19666708,18852649,NC
0.14949349,18852650,NC
0.12364065,18852651,NC
0.12220067,18852652,NC
0.104021356,18852653,NC
0.09515031,18852654,NC
0.07611556,18852655,NC
0.050184384,18852656,NC
0.02077725,18852657,NC
-0.0016704438,18852658,NC
-0.00600182,18852659,NC
-0.012964878,18852660,NC
-0.02639921,18852661,NC
-0.07869039,18852662,NC
-0.102021985,18852663,NC
-0.11117082,18852664,NC
-0.08674623,18852665,NC
-0.08373869,18852666,NC
-0.11463882,18852667,NC
-0.1274121,18852668,NC
-0.1253726,18852669,NC
-0.14092942,18852670,NC
-0.12567365,18852671,NC
-0.13371074,18852672,NC
-0.14917395,18852673,NC
-0.15477656,18852674,NC
-0.16557786,18852675,NC
-0.14091656,18852676,NC
-0.12994239,18852677,NC
-0.1171471,18852678,NC
-0.12542517,18852679,NC
-0.14239325,18852680,NC
-0.15085226,18852681,NC
-0.14695227,18852682,NC
-0.12666857,18852683,NC
-0.12988615,18852684,NC
-0.12387898,18852685,NC
-0.13471565,18852686,NC
-0.12990874,18852687,NC
-0.13360126,18852688,NC
-0.124317095,18852689,NC
-0.11340774,18852690,NC
-0.13166282,18852691,NC
-0.15226099,18852692,NC
-0.14420669,18852693,NC
-0.14697577,18852694,NC
-0.12003541,18852695,NC
-0.120220885,18852696,NC
-0.12301802,18852697,NC
-0.13396297,18852698,NC
-0.14535868,18852699,NC
-0.14213143,18852700,NC
-0.11933286,18852701,NC
-0.11424868,18852702,NC
-0.10560383,18852703,NC
-0.13042556,18852704,NC
-0.104698546,18852705,NC
-0.09195089,18852706,NC
-0.06409803,18852707,NC
-0.045374267,18852708,NC
-0.04243183,18852709,NC
-0.041519333,18852710,NC
-0.03484395,18852711,NC
-0.0020004176,18852712,NC
0.04129331,18852713,NC
0.051375132,18852714,NC
0.037610702,18852715,NC
0.025623718,18852716,NC
0.0023887749,18852717,NC
0.014898993,18852718,NC
0.019736584,18852719,NC
0.03784241,18852720,NC
0.027739212,18852721,NC
0.0029118524,18852722,NC
0.0074275406,18852723,NC
0.042816732,18852724,NC
0.07546483,18852725,NC
0.10822922,18852726,NC
0.10811612,18852727,NC
0.1294659,18852728,NC
0.16462481,18852729,NC
0.23887289,18852730,NC
0.32275453,18852731,NC
0.41310117,18852732,NC
0.45825678,18852733,NC
0.52378374,18852734,NC
0.58614856,18852735,NC
0.6582433,18852736,NC
0.7620182,18852737,NC
0.8338324,18852738,NC
0.9048514,18852739,NC
0.95892733,18852740,NC
1.0359036,18852741,NC
1.113249,18852742,NC
1.1849388,18852743,NC
1.2687296,18852744,NC
1.3593279,18852745,NC
1.444416,18852746,NC
1.5121272,18852747,V
1.5199732,18852748,NC
1.4961513,18852749,NC
1.4315242,18852750,NC
1.3461673,18852751,NC
1.2826115,18852752,NC
1.2357378,18852753,NC
1.1841674,18852754,NC
1.1498407,18852755,NC
1.1182152,18852756,NC
1.0556784,18852757,NC
1.0040591,18852758,NC
0.98320866,18852759,NC
0.99941707,18852760,NC
0.99111277,18852761,NC
0.9917802,18852762,NC
0.9698579,18852763,NC
0.94227576,18852764,NC
0.9025964,18852765,NC
0.8553824,18852766,NC
0.7427817,18852767,NC
0.6216762,18852768,NC
0.44640037,18852769,NC
0.20228946,18852770,NC
-0.015773036,18852771,NC
-0.17782721,18852772,NC
-0.31191218,18852773,NC
-0.39398953,18852774,NC
-0.4606992,18852775,NC
-0.510096,18852776,NC
-0.5286891,18852777,NC
-0.5537639,18852778,NC
-0.53868085,18852779,NC
-0.57070494,18852780,NC
-0.5960807,18852781,NC
-0.6285623,18852782,NC
-0.6365576,18852783,NC
-0.62834966,18852784,NC
-0.62764925,18852785,NC
-0.6285586,18852786,NC
-0.6529701,18852787,NC
-0.6853289,18852788,NC
-0.69638777,18852789,NC
-0.6894721,18852790,NC
-0.6990811,18852791,NC
-0.69454443,18852792,NC
-0.7220737,18852793,NC
-0.739391,18852794,NC
-0.75671685,18852795,NC
-0.7692785,18852796,NC
-0.77226335,18852797,NC
-0.79058236,18852798,NC
-0.79170835,18852799,NC
-0.8176826,18852800,NC
-0.819558,18852801,NC
-0.8425816,18852802,NC
-0.83473253,18852803,NC
-0.8483704,18852804,NC
-0.8549392,18852805,NC
-0.87905246,18852806,NC
-0.8899854,18852807,NC
-0.9083895,18852808,NC
-0.8928845,18852809,NC
-0.8973325,18852810,NC
-0.92380375,18852811,NC
-0.9596592,18852812,NC
-0.95459723,18852813,NC
-0.9372644,18852814,NC
-0.9591021,18852815,NC
-0.96623695,18852816,NC
-0.966154,18852817,NC
-0.9906015,18852818,NC
-0.9923313,18852819,NC
-0.9804428,18852820,NC
-0.96754193,18852821,NC
-0.959566,18852822,NC
-0.9644258,18852823,NC
-0.97534907,18852824,NC
-0.9640542,18852825,NC
-0.94073814,18852826,NC
-0.91143054,18852827,NC
-0.8959688,18852828,NC
-0.89329594,18852829,NC
-0.89613605,18852830,NC
-0.87568396,18852831,NC
-0.8371194,18852832,NC
-0.7849644,18852833,NC
-0.7587947,18852834,NC
-0.74441355,18852835,NC
-0.71980476,18852836,NC
-0.69163436,18852837,NC
-0.6476014,18852838,NC
-0.6011603,18852839,NC
-0.58258337,18852840,NC
-0.5365505,18852841,NC
-0.5304823,18852842,NC
-0.5055702,18852843,NC
-0.4625118,18852844,NC
-0.42075846,18852845,NC
-0.40950948,18852846,NC
-0.39931878,18852847,NC
-0.3827367,18852848,NC
-0.37760094,18852849,NC
-0.32796165,18852850,NC
-0.3222336,18852851,NC
-0.30985567,18852852,NC
-0.31006908,18852853,NC
-0.31945726,18852854,NC
-0.32277521,18852855,NC
-0.30307508,18852856,NC
-0.2793884,18852857,NC
-0.2758489,18852858,NC
-0.30619994,18852859,NC
-0.3213526,18852860,NC
-0.32362837,18852861,NC
-0.31677422,18852862,NC
-0.28986958,18852863,NC
-0.2856253,18852864,NC
-0.2951283,18852865,NC
-0.30775458,18852866,NC
-0.31531113,18852867,NC
-0.31380817,18852868,NC
-0.29162854,18852869,NC
-0.2888059,18852870,NC
-0.29058352,18852871,NC
-0.30609056,18852872,NC
-0.30652678,18852873,NC
-0.30685523,18852874,NC
-0.2995548,18852875,NC
-0.29791978,18852876,NC
-0.30088407,18852877,NC
-0.30851918,18852878,NC
-0.32050714,18852879,NC
-0.31052953,18852880,NC
-0.29312485,18852881,NC
-0.27786452,18852882,NC
-0.27808106,18852883,NC
-0.29908437,18852884,NC
-0.30862713,18852885,NC
-0.31611118,18852886,NC
-0.28469786,18852887,NC
-0.26469424,18852888,NC
-0.26128954,18852889,NC
-0.26724374,18852890,NC
-0.2800632,18852891,NC
-0.27201715,18852892,NC
-0.2348023,18852893,NC
-0.24166013,18852894,NC
-0.23994431,18852895,NC
-0.24102059,18852896,NC
-0.25378034,18852897,NC
-0.237434,18852898,NC
-0.22392125,18852899,NC
-0.21337081,18852900,NC
-0.21684061,18852901,NC
-0.24475107,18852902,NC
-0.24620645,18852903,NC
-0.21979187,18852904,NC
-0.19866973,18852905,NC
-0.18092413,18852906,NC
-0.1660469,18852907,NC
-0.15419038,18852908,NC
-0.12239262,18852909,NC
-0.074157305,18852910,NC
-0.016955802,18852911,NC
0.01241961,18852912,NC
0.055709917,18852913,NC
0.094541915,18852914,NC
0.13966307,18852915,NC
0.24330932,18852916,NC
0.35722828,18852917,NC
0.44713295,18852918,NC
0.5165573,18852919,NC
0.59875566,18852920,NC
0.66802466,18852921,NC
0.7627917,18852922,NC
0.85875875,18852923,NC
0.9496911,18852924,NC
