channel_0,sample #,type
-0.61980623,11768360,+
-0.62182075,11768361,NC
-0.598544,11768362,NC
-0.60599244,11768363,NC
-0.58753,11768364,NC
-0.5917597,11768365,NC
-0.5794407,11768366,NC
-0.55866486,11768367,NC
-0.54806066,11768368,NC
-0.5305248,11768369,NC
-0.500907,11768370,NC
-0.5123331,11768371,NC
-0.49289438,11768372,NC
-0.4936731,11768373,NC
-0.5023649,11768374,NC
-0.5251564,11768375,NC
-0.5345857,11768376,NC
-0.55077255,11768377,NC
-0.57610315,11768378,NC
-0.5835739,11768379,NC
-0.6018757,11768380,NC
-0.6078762,11768381,NC
-0.6250599,11768382,NC
-0.66105527,11768383,NC
-0.68515426,11768384,NC
-0.70855,11768385,NC
-0.75336105,11768386,NC
-0.80090463,11768387,NC
-0.8534963,11768388,NC
-0.8733509,11768389,NC
-0.91831106,11768390,NC
-0.9266899,11768391,NC
-0.9477773,11768392,NC
-0.9522209,11768393,NC
-0.98301953,11768394,NC
-0.98665875,11768395,NC
-1.0096432,11768396,NC
-1.0061909,11768397,NC
-1.0213326,11768398,NC
-1.0535779,11768399,NC
-1.0759106,11768400,NC
-1.0689683,11768401,NC
-1.0871718,11768402,NC
-1.0742854,11768403,NC
-1.0857568,11768404,NC
-1.072634,11768405,NC
-1.0700527,11768406,NC
-1.0584095,11768407,NC
-1.0668552,11768408,NC
-1.0764272,11768409,NC
-1.0720938,11768410,NC
-1.0872808,11768411,NC
-1.1089972,11768412,NC
-1.1051818,11768413,NC
-1.0875667,11768414,NC
-1.0838263,11768415,NC
-1.0708753,11768416,NC
-1.0548133,11768417,NC
-1.0512062,11768418,NC
-1.0394826,11768419,NC
-1.0308279,11768420,NC
-1.0362433,11768421,NC
-1.0521061,11768422,NC
-1.0732605,11768423,NC
-1.0512056,11768424,NC
-1.0466428,11768425,NC
-1.0343475,11768426,NC
-1.0153196,11768427,NC
-1.026812,11768428,NC
-1.0322894,11768429,NC
-1.0241591,11768430,NC
-1.0163391,11768431,NC
-1.0137815,11768432,NC
-1.0234404,11768433,NC
-1.0037369,11768434,NC
-1.0010233,11768435,NC
-1.005077,11768436,NC
-0.9824151,11768437,NC
-0.9418534,11768438,NC
-0.84861106,11768439,NC
-0.7192442,11768440,NC
-0.5762451,11768441,NC
-0.36731538,11768442,NC
-0.1801646,11768443,NC
0.0107852705,11768444,NC
0.21197261,11768445,NC
0.4541978,11768446,NC
0.66931903,11768447,NC
0.9209654,11768448,NC
1.184606,11768449,NC
1.4431051,11768450,NC
1.6869527,11768451,NC
1.910868,11768452,NC
2.0568476,11768453,NC
2.1547015,11768454,NC
2.2189174,11768455,V
2.2395067,11768456,NC
2.2210042,11768457,NC
2.1722867,11768458,NC
2.099631,11768459,NC
2.0212276,11768460,NC
1.9260187,11768461,NC
1.8452668,11768462,NC
1.7864203,11768463,NC
1.8088872,11768464,NC
1.8496687,11768465,NC
1.8657838,11768466,NC
1.8729705,11768467,NC
1.8369181,11768468,NC
1.7391737,11768469,NC
1.5999978,11768470,NC
1.4097887,11768471,NC
1.229994,11768472,NC
1.0206383,11768473,NC
0.7469762,11768474,NC
0.40245128,11768475,NC
0.0067434385,11768476,NC
-0.40790004,11768477,NC
-0.7640461,11768478,NC
-1.0410975,11768479,NC
-1.2150943,11768480,NC
-1.2644608,11768481,NC
-1.2508063,11768482,NC
-1.2218823,11768483,NC
-1.2290642,11768484,NC
-1.2579142,11768485,NC
-1.3156863,11768486,NC
-1.3571258,11768487,NC
