channel_0,sample #,type
1.7496562,29953514,V
1.772208,29953515,NC
1.7495189,29953516,NC
1.6370265,29953517,NC
1.4250201,29953518,NC
1.1195188,29953519,NC
0.7193238,29953520,NC
0.26789343,29953521,NC
-0.18699983,29953522,NC
-0.5569413,29953523,NC
-0.8259726,29953524,NC
-0.9808309,29953525,NC
-1.0420773,29953526,NC
-1.0387843,29953527,NC
-0.9704501,29953528,NC
-0.885428,29953529,NC
-0.82767516,29953530,NC
-0.7664145,29953531,NC
-0.715466,29953532,NC
-0.656996,29953533,NC
-0.58594644,29953534,NC
-0.519295,29953535,NC
-0.4337156,29953536,NC
-0.37072673,29953537,NC
-0.2958235,29953538,NC
-0.24987175,29953539,NC
-0.21820465,29953540,NC
-0.20641023,29953541,NC
-0.18857957,29953542,NC
-0.19003505,29953543,NC
-0.18315715,29953544,NC
-0.18399957,29953545,NC
-0.18493646,29953546,NC
-0.18351209,29953547,NC
-0.19166122,29953548,NC
-0.19228789,29953549,NC
-0.19504926,29953550,NC
-0.21050447,29953551,NC
-0.19977975,29953552,NC
-0.1928645,29953553,NC
-0.18828876,29953554,NC
-0.17927799,29953555,NC
-0.17876309,29953556,NC
-0.17535813,29953557,NC
-0.1893598,29953558,NC
-0.2008878,29953559,NC
-0.20068483,29953560,NC
-0.20892654,29953561,NC
-0.2086714,29953562,NC
-0.20669651,29953563,NC
-0.21536532,29953564,NC
-0.21670076,29953565,NC
-0.2022576,29953566,NC
-0.20395185,29953567,NC
-0.21145117,29953568,NC
-0.20540512,29953569,NC
-0.19848023,29953570,NC
-0.19969122,29953571,NC
-0.20771562,29953572,NC
-0.21350631,29953573,NC
-0.21920383,29953574,NC
-0.22756383,29953575,NC
-0.23004812,29953576,NC
-0.22692807,29953577,NC
-0.22314055,29953578,NC
-0.19935653,29953579,NC
-0.19574937,29953580,NC
-0.19383049,29953581,NC
-0.20119005,29953582,NC
-0.18090981,29953583,NC
-0.18904747,29953584,NC
-0.18161067,29953585,NC
-0.17831703,29953586,NC
-0.1701652,29953587,NC
-0.16712596,29953588,NC
-0.14371522,29953589,NC
-0.13369407,29953590,NC
-0.108852476,29953591,NC
-0.08419697,29953592,NC
-0.06278621,29953593,NC
-0.04946709,29953594,NC
-0.029064499,29953595,NC
-0.029338658,29953596,NC
-0.02941496,29953597,NC
-0.011933673,29953598,NC
0.0031410344,29953599,NC
0.011821181,29953600,NC
0.024667308,29953601,NC
0.02268036,29953602,NC
0.039926514,29953603,NC
0.0403224,29953604,NC
0.048812043,29953605,NC
0.034256008,29953606,NC
0.036503248,29953607,NC
0.012787487,29953608,NC
0.018103458,29953609,NC
-0.02006155,29953610,NC
-0.029926192,29953611,NC
-0.012618443,29953612,NC
-0.031817563,29953613,NC
-0.030516732,29953614,NC
-0.021069465,29953615,NC
-0.02719932,29953616,NC
-0.029902488,29953617,NC
-0.044634834,29953618,NC
-0.03192629,29953619,NC
-0.043055125,29953620,NC
-0.033901148,29953621,NC
-0.040345803,29953622,NC
-0.038643554,29953623,NC
0.016740326,29953624,NC
0.048665345,29953625,NC
0.09968236,29953626,NC
0.16224016,29953627,NC
0.2090956,29953628,NC
0.2808494,29953629,NC
0.3669602,29953630,NC
0.43729898,29953631,NC
0.5021223,29953632,NC
0.57078856,29953633,NC
0.63294274,29953634,NC
0.6455823,29953635,NC
0.60282457,29953636,NC
0.5198116,29953637,NC
0.36975774,29953638,NC
0.13815285,29953639,NC
-0.11466832,29953640,NC
-0.4238506,29953641,NC
-0.7415572,29953642,NC
-1.0240039,29953643,NC
-1.2882656,29953644,NC
-1.5423181,29953645,NC
-1.7327602,29953646,NC
-1.8974043,29953647,NC
-2.0210388,29953648,NC
-2.0834916,29953649,NC
-2.1026719,29953650,V
-2.0860844,29953651,NC
-2.0583968,29953652,NC
-1.9987469,29953653,NC
-1.920566,29953654,NC
-1.8259755,29953655,NC
-1.7247041,29953656,NC
-1.616891,29953657,NC
-1.5104827,29953658,NC
-1.4313182,29953659,NC
-1.3731984,29953660,NC
-1.3042918,29953661,NC
-1.234354,29953662,NC
-1.1497889,29953663,NC
-1.0671743,29953664,NC
-0.98393875,29953665,NC
-0.9289629,29953666,NC
-0.88845134,29953667,NC
-0.8520262,29953668,NC
-0.82902884,29953669,NC
-0.7713696,29953670,NC
-0.7057812,29953671,NC
-0.61204976,29953672,NC
-0.49063528,29953673,NC
-0.3454939,29953674,NC
-0.24088943,29953675,NC
-0.10883173,29953676,NC
-0.028849926,29953677,NC
0.035455376,29953678,NC
0.10317126,29953679,NC
0.1390982,29953680,NC
0.15980257,29953681,NC
0.18530431,29953682,NC
0.19440174,29953683,NC
0.2128967,29953684,NC
0.23838225,29953685,NC
0.27433836,29953686,NC
0.28280264,29953687,NC
0.3190047,29953688,NC
0.31369358,29953689,NC
0.33312765,29953690,NC
0.33809805,29953691,NC
0.3383155,29953692,NC
0.35099733,29953693,NC
0.34735656,29953694,NC
0.371668,29953695,NC
0.3983307,29953696,NC
0.41951513,29953697,NC
0.44560155,29953698,NC
0.455513,29953699,NC
0.4663266,29953700,NC
0.48880258,29953701,NC
0.49626088,29953702,NC
0.50356954,29953703,NC
0.504217,29953704,NC
0.5323074,29953705,NC
0.5408497,29953706,NC
0.54717153,29953707,NC
0.5710747,29953708,NC
0.60692686,29953709,NC
0.63650817,29953710,NC
0.66410416,29953711,NC
0.6982677,29953712,NC
0.707369,29953713,NC
0.7199248,29953714,NC
0.74268794,29953715,NC
0.7587463,29953716,NC
0.75860745,29953717,NC
0.7687749,29953718,NC
0.7745978,29953719,NC
0.7859146,29953720,NC
0.7883804,29953721,NC
0.812932,29953722,NC
0.79521483,29953723,NC
0.7985587,29953724,NC
0.7935336,29953725,NC
0.7613184,29953726,NC
0.72329146,29953727,NC
0.6977332,29953728,NC
0.6669931,29953729,NC
0.6370346,29953730,NC
0.6071845,29953731,NC
0.58208793,29953732,NC
0.55848294,29953733,NC
0.5348456,29953734,NC
0.48550415,29953735,NC
0.46457815,29953736,NC
0.41120607,29953737,NC
0.3968755,29953738,NC
0.37138486,29953739,NC
0.34144595,29953740,NC
0.30607662,29953741,NC
0.27667212,29953742,NC
0.2591193,29953743,NC
0.21894506,29953744,NC
0.1875605,29953745,NC
0.16475144,29953746,NC
0.14318712,29953747,NC
0.10319513,29953748,NC
0.08006382,29953749,NC
0.06843645,29953750,NC
0.049486235,29953751,NC
0.02909755,29953752,NC
0.0063168555,29953753,NC
-0.019413237,29953754,NC
-0.025809292,29953755,NC
-0.037149157,29953756,NC
-0.04754977,29953757,NC
-0.054267406,29953758,NC
-0.050357852,29953759,NC
-0.060930513,29953760,NC
-0.061252058,29953761,NC
-0.078537144,29953762,NC
-0.08224874,29953763,NC
-0.07817968,29953764,NC
-0.08385157,29953765,NC
-0.08985597,29953766,NC
-0.0999047,29953767,NC
-0.10261217,29953768,NC
-0.10102045,29953769,NC
-0.10474529,29953770,NC
-0.10192435,29953771,NC
-0.087812796,29953772,NC
-0.09550907,29953773,NC
-0.11340704,29953774,NC
-0.10237737,29953775,NC
-0.11200068,29953776,NC
-0.11794057,29953777,NC
-0.11583869,29953778,NC
-0.11529817,29953779,NC
-0.11996702,29953780,NC
-0.12339546,29953781,NC
-0.11717899,29953782,NC
