channel_0,sample #,type
1.5090623,4481292,N
1.4581074,4481293,NC
1.3466916,4481294,NC
1.1626035,4481295,NC
0.8986803,4481296,NC
0.5688622,4481297,NC
0.21466845,4481298,NC
-0.1063704,4481299,NC
-0.3367173,4481300,NC
-0.4574859,4481301,NC
-0.48767233,4481302,NC
-0.46592724,4481303,NC
-0.43559358,4481304,NC
-0.41035813,4481305,NC
-0.4002278,4481306,NC
-0.40598124,4481307,NC
-0.41494414,4481308,NC
-0.4127693,4481309,NC
-0.4012214,4481310,NC
-0.39241275,4481311,NC
-0.39500928,4481312,NC
-0.4104905,4481313,NC
-0.43010348,4481314,NC
-0.43703136,4481315,NC
-0.43380696,4481316,NC
-0.43184352,4481317,NC
-0.42966628,4481318,NC
-0.43559372,4481319,NC
-0.44341478,4481320,NC
-0.4400897,4481321,NC
-0.43371075,4481322,NC
-0.43723902,4481323,NC
-0.4496113,4481324,NC
-0.47231996,4481325,NC
-0.487332,4481326,NC
-0.48651484,4481327,NC
-0.4772581,4481328,NC
-0.46853873,4481329,NC
-0.46131143,4481330,NC
-0.44282398,4481331,NC
-0.40892774,4481332,NC
-0.37595993,4481333,NC
-0.3572395,4481334,NC
-0.35956854,4481335,NC
-0.37935048,4481336,NC
-0.39700922,4481337,NC
-0.40450788,4481338,NC
-0.40808797,4481339,NC
-0.4159655,4481340,NC
-0.4248938,4481341,NC
-0.4362597,4481342,NC
-0.43916553,4481343,NC
-0.42957008,4481344,NC
-0.41701916,4481345,NC
-0.40564698,4481346,NC
-0.3929419,4481347,NC
-0.3757756,4481348,NC
-0.35773575,4481349,NC
-0.34269857,4481350,NC
-0.3349303,4481351,NC
-0.33061284,4481352,NC
-0.3234962,4481353,NC
-0.31289986,4481354,NC
-0.3061428,4481355,NC
-0.30787474,4481356,NC
-0.3122783,4481357,NC
-0.31045887,4481358,NC
-0.31189135,4481359,NC
-0.31162775,4481360,NC
-0.31447107,4481361,NC
-0.31969732,4481362,NC
-0.31619567,4481363,NC
-0.30587974,4481364,NC
-0.2947056,4481365,NC
-0.281581,4481366,NC
-0.2689135,4481367,NC
-0.2483225,4481368,NC
-0.21716355,4481369,NC
-0.1897855,4481370,NC
-0.16682836,4481371,NC
-0.15606478,4481372,NC
-0.14581907,4481373,NC
-0.121324226,4481374,NC
-0.079465665,4481375,NC
-0.030019375,4481376,NC
0.005643514,4481377,NC
0.018137457,4481378,NC
0.014227001,4481379,NC
0.008448975,4481380,NC
0.019953,4481381,NC
0.043933384,4481382,NC
0.07393547,4481383,NC
0.10443722,4481384,NC
0.1356336,4481385,NC
0.17780218,4481386,NC
0.21729691,4481387,NC
0.24272764,4481388,NC
0.25849277,4481389,NC
0.26716787,4481390,NC
0.28337735,4481391,NC
0.31884044,4481392,NC
0.35330954,4481393,NC
0.37909234,4481394,NC
0.39385176,4481395,NC
0.39815804,4481396,NC
0.40090245,4481397,NC
0.39560765,4481398,NC
0.38014984,4481399,NC
0.3538642,4481400,NC
0.3221375,4481401,NC
0.3070824,4481402,NC
0.30524334,4481403,NC
0.3074854,4481404,NC
0.31126183,4481405,NC
0.29938853,4481406,NC
0.2790022,4481407,NC
0.25615418,4481408,NC
0.23425917,4481409,NC
0.22232722,4481410,NC
0.20677418,4481411,NC
0.17910351,4481412,NC
0.13486826,4481413,NC
0.0766987,4481414,NC
0.028707772,4481415,NC
0.008630556,4481416,NC
0.009937305,4481417,NC
0.011964938,4481418,NC
-0.0011439631,4481419,NC
-0.03607869,4481420,NC
-0.080605105,4481421,NC
-0.10791999,4481422,NC
-0.117000096,4481423,NC
-0.11290605,4481424,NC
-0.10706423,4481425,NC
-0.11709069,4481426,NC
-0.13522965,4481427,NC
-0.15521769,4481428,NC
-0.16532356,4481429,NC
-0.16057935,4481430,NC
-0.16338345,4481431,NC
-0.18065344,4481432,NC
-0.20840785,4481433,NC
-0.23584963,4481434,NC
-0.24127543,4481435,NC
-0.23982061,4481436,NC
-0.2529545,4481437,NC
-0.27410394,4481438,NC
-0.2932065,4481439,NC
-0.2831731,4481440,NC
-0.2473132,4481441,NC
-0.21504928,4481442,NC
-0.2068919,4481443,NC
-0.22865859,4481444,NC
-0.26090953,4481445,NC
-0.28394702,4481446,NC
-0.30117965,4481447,NC
-0.31224006,4481448,NC
-0.3264159,4481449,NC
-0.34305173,4481450,NC
-0.34050053,4481451,NC
-0.32387024,4481452,NC
-0.30279335,4481453,NC
-0.29765356,4481454,NC
-0.31434757,4481455,NC
-0.34627783,4481456,NC
-0.37303722,4481457,NC
-0.37175155,4481458,NC
-0.3522312,4481459,NC
-0.323105,4481460,NC
-0.29204118,4481461,NC
-0.27890158,4481462,NC
-0.28286386,4481463,NC
-0.30249235,4481464,NC
-0.3284071,4481465,NC
-0.33730584,4481466,NC
-0.32925254,4481467,NC
-0.32028896,4481468,NC
-0.3177988,4481469,NC
-0.33074105,4481470,NC
-0.34761024,4481471,NC
-0.35616812,4481472,NC
-0.36719593,4481473,NC
-0.39232367,4481474,NC
-0.4146238,4481475,NC
-0.41118303,4481476,NC
-0.3604224,4481477,NC
-0.2827626,4481478,NC
-0.21837425,4481479,NC
-0.19363315,4481480,NC
-0.2089064,4481481,NC
-0.2200393,4481482,NC
-0.21427968,4481483,NC
-0.2014599,4481484,NC
-0.20184368,4481485,NC
-0.22534734,4481486,NC
-0.26220164,4481487,NC
-0.28689504,4481488,NC
-0.28003743,4481489,NC
-0.23443264,4481490,NC
-0.16570543,4481491,NC
-0.09925323,4481492,NC
-0.058250517,4481493,NC
