channel_0,sample #,type
1.2654039,11783613,N
1.3005016,11783614,NC
1.185896,11783615,NC
0.96554905,11783616,NC
0.56515175,11783617,NC
0.039468396,11783618,NC
-0.5105539,11783619,NC
-0.93022764,11783620,NC
-1.1085942,11783621,NC
-1.1222309,11783622,NC
-0.9800882,11783623,NC
-0.8326249,11783624,NC
-0.7493511,11783625,NC
-0.6984479,11783626,NC
-0.725024,11783627,NC
-0.78037745,11783628,NC
-0.83317935,11783629,NC
-0.8944289,11783630,NC
-0.94025403,11783631,NC
-0.96923894,11783632,NC
-0.97499835,11783633,NC
-0.9846929,11783634,NC
-0.9662484,11783635,NC
-0.95864546,11783636,NC
-0.9633933,11783637,NC
-0.9443511,11783638,NC
-0.9531019,11783639,NC
-0.9507423,11783640,NC
-0.9598331,11783641,NC
-0.9754003,11783642,NC
-0.968568,11783643,NC
-0.9896432,11783644,NC
-0.9989116,11783645,NC
-1.0035002,11783646,NC
-1.0151925,11783647,NC
-1.0164902,11783648,NC
-1.0222325,11783649,NC
-1.0057174,11783650,NC
-1.0053916,11783651,NC
-1.0002842,11783652,NC
-0.98977774,11783653,NC
-0.98978394,11783654,NC
-0.9919447,11783655,NC
-1.0096393,11783656,NC
-1.0092278,11783657,NC
-1.0086458,11783658,NC
-1.0203149,11783659,NC
-1.0299352,11783660,NC
-1.0046884,11783661,NC
-1.0005339,11783662,NC
-1.0009634,11783663,NC
-0.9767436,11783664,NC
-0.98600966,11783665,NC
-0.9791403,11783666,NC
-0.9944525,11783667,NC
-1.0007617,11783668,NC
-0.9939905,11783669,NC
-0.9990795,11783670,NC
-1.0056094,11783671,NC
-1.0066996,11783672,NC
-0.9892985,11783673,NC
-0.9728044,11783674,NC
-0.97546226,11783675,NC
-0.9597811,11783676,NC
-0.9711913,11783677,NC
-0.9551739,11783678,NC
-0.9603091,11783679,NC
-0.96591383,11783680,NC
-0.953149,11783681,NC
-0.9707378,11783682,NC
-0.9617386,11783683,NC
-0.9560728,11783684,NC
-0.9350297,11783685,NC
-0.91003835,11783686,NC
-0.8959087,11783687,NC
-0.8928727,11783688,NC
-0.8744412,11783689,NC
-0.87534153,11783690,NC
-0.8774281,11783691,NC
-0.87324846,11783692,NC
-0.87479043,11783693,NC
-0.8601801,11783694,NC
-0.8497679,11783695,NC
-0.83476603,11783696,NC
-0.83052194,11783697,NC
-0.82058185,11783698,NC
-0.8022326,11783699,NC
-0.78720886,11783700,NC
-0.780415,11783701,NC
-0.7680021,11783702,NC
-0.7499999,11783703,NC
-0.73645234,11783704,NC
-0.7240547,11783705,NC
-0.7185656,11783706,NC
-0.70100176,11783707,NC
-0.68459463,11783708,NC
-0.67996323,11783709,NC
-0.6546778,11783710,NC
-0.62688065,11783711,NC
-0.61099327,11783712,NC
-0.5888943,11783713,NC
-0.5952495,11783714,NC
-0.5776337,11783715,NC
-0.58010143,11783716,NC
-0.5533717,11783717,NC
-0.5446277,11783718,NC
-0.5516194,11783719,NC
-0.53277767,11783720,NC
-0.5250858,11783721,NC
-0.5005748,11783722,NC
-0.47584668,11783723,NC
-0.46906134,11783724,NC
-0.45985612,11783725,NC
-0.46104562,11783726,NC
-0.4489208,11783727,NC
-0.44505695,11783728,NC
-0.44889084,11783729,NC
-0.44541147,11783730,NC
-0.46196574,11783731,NC
-0.4634222,11783732,NC
-0.45515147,11783733,NC
-0.46833804,11783734,NC
-0.47160476,11783735,NC
-0.4813064,11783736,NC
-0.48673734,11783737,NC
-0.5091443,11783738,NC
-0.53453505,11783739,NC
-0.5595761,11783740,NC
-0.5739227,11783741,NC
-0.61303866,11783742,NC
-0.6290642,11783743,NC
-0.6789948,11783744,NC
-0.69507074,11783745,NC
-0.717969,11783746,NC
-0.7304313,11783747,NC
-0.73365283,11783748,NC
