channel_0,sample #,type
0.835,15401389,N
0.83624995,15401390,NC
0.81875,15401391,NC
0.78374994,15401392,NC
0.7075,15401393,NC
0.5725,15401394,NC
0.37125,15401395,NC
0.118750006,15401396,NC
-0.1425,15401397,NC
-0.35250002,15401398,NC
-0.47500002,15401399,NC
-0.50625,15401400,NC
-0.4725,15401401,NC
-0.42000002,15401402,NC
-0.385,15401403,NC
-0.395,15401404,NC
-0.4425,15401405,NC
-0.49125004,15401406,NC
-0.50875,15401407,NC
-0.4925,15401408,NC
-0.46500003,15401409,NC
-0.44750002,15401410,NC
-0.45125002,15401411,NC
-0.4525,15401412,NC
-0.4225,15401413,NC
-0.38125002,15401414,NC
-0.3575,15401415,NC
-0.37625,15401416,NC
-0.42374998,15401417,NC
-0.44625,15401418,NC
-0.42374998,15401419,NC
-0.3675,15401420,NC
-0.32875,15401421,NC
-0.32625002,15401422,NC
-0.34375,15401423,NC
-0.36375,15401424,NC
-0.3725,15401425,NC
-0.38,15401426,NC
-0.38875,15401427,NC
-0.39499998,15401428,NC
-0.39000002,15401429,NC
-0.3775,15401430,NC
-0.36,15401431,NC
-0.33625,15401432,NC
-0.32,15401433,NC
-0.3075,15401434,NC
-0.295,15401435,NC
-0.2625,15401436,NC
-0.2175,15401437,NC
-0.2,15401438,NC
-0.24625,15401439,NC
-0.37125,15401440,NC
-0.50125,15401441,NC
-0.5675,15401442,NC
-0.5475,15401443,NC
-0.48624998,15401444,NC
-0.43124998,15401445,NC
-0.40749997,15401446,NC
-0.405,15401447,NC
-0.39624998,15401448,NC
-0.38375,15401449,NC
-0.36625,15401450,NC
-0.35375002,15401451,NC
-0.33875,15401452,NC
-0.32875,15401453,NC
-0.3275,15401454,NC
-0.33,15401455,NC
-0.335,15401456,NC
-0.3375,15401457,NC
-0.33499998,15401458,NC
-0.33125,15401459,NC
-0.32625,15401460,NC
-0.3175,15401461,NC
-0.31125,15401462,NC
-0.3075,15401463,NC
-0.30875,15401464,NC
-0.31375,15401465,NC
-0.31875,15401466,NC
-0.3175,15401467,NC
-0.3125,15401468,NC
-0.30625,15401469,NC
-0.29874998,15401470,NC
-0.295,15401471,NC
-0.29375,15401472,NC
-0.29500002,15401473,NC
-0.29250002,15401474,NC
-0.28375,15401475,NC
-0.2725,15401476,NC
-0.26375,15401477,NC
-0.2625,15401478,NC
-0.26125,15401479,NC
-0.25625,15401480,NC
-0.25,15401481,NC
-0.24375,15401482,NC
-0.24625,15401483,NC
-0.25125,15401484,NC
-0.25125,15401485,NC
-0.2425,15401486,NC
-0.22375001,15401487,NC
-0.2025,15401488,NC
-0.18625,15401489,NC
-0.185,15401490,NC
-0.19375,15401491,NC
-0.19875,15401492,NC
-0.1975,15401493,NC
-0.18875,15401494,NC
-0.1825,15401495,NC
-0.18499999,15401496,NC
-0.19,15401497,NC
-0.18625,15401498,NC
-0.17875,15401499,NC
-0.17625,15401500,NC
-0.17999999,15401501,NC
-0.1925,15401502,NC
-0.19999999,15401503,NC
-0.1975,15401504,NC
-0.19,15401505,NC
-0.18125,15401506,NC
-0.18,15401507,NC
-0.18499999,15401508,NC
-0.19125,15401509,NC
-0.195,15401510,NC
-0.19250001,15401511,NC
-0.19,15401512,NC
-0.1875,15401513,NC
-0.19125,15401514,NC
-0.19624999,15401515,NC
-0.19749999,15401516,NC
-0.2,15401517,NC
-0.20249999,15401518,NC
-0.21000001,15401519,NC
-0.22375001,15401520,NC
-0.22749999,15401521,NC
-0.22250001,15401522,NC
-0.21124999,15401523,NC
-0.19875,15401524,NC
-0.19749999,15401525,NC
-0.20625,15401526,NC
-0.21625,15401527,NC
-0.2225,15401528,NC
-0.22625,15401529,NC
-0.22124998,15401530,NC
-0.21249999,15401531,NC
-0.2075,15401532,NC
-0.20624998,15401533,NC
-0.21000001,15401534,NC
-0.2175,15401535,NC
-0.22375,15401536,NC
-0.2275,15401537,NC
-0.23375,15401538,NC
-0.23625001,15401539,NC
-0.23875001,15401540,NC
-0.23750001,15401541,NC
-0.2325,15401542,NC
-0.235,15401543,NC
-0.23375,15401544,NC
-0.22749999,15401545,NC
-0.215,15401546,NC
-0.19625,15401547,NC
-0.18125,15401548,NC
-0.17750001,15401549,NC
-0.17999999,15401550,NC
-0.17875001,15401551,NC
-0.16375,15401552,NC
-0.13375,15401553,NC
-0.1,15401554,NC
-0.072500005,15401555,NC
-0.05625,15401556,NC
-0.052500002,15401557,NC
-0.05125,15401558,NC
-0.055,15401559,NC
-0.07,15401560,NC
-0.095,15401561,NC
-0.13,15401562,NC
-0.16375,15401563,NC
-0.1975,15401564,NC
-0.235,15401565,NC
-0.275,15401566,NC
-0.33375,15401567,NC
-0.43249997,15401568,NC
-0.59625,15401569,NC
-0.84875,15401570,NC
-1.1775,15401571,NC
-1.52125,15401572,NC
-1.80625,15401573,NC
-1.9837499,15401574,NC
-2.05,15401575,NC
-2.04625,15401576,NC
-2.015,15401577,V
-1.97,15401578,NC
-1.90375,15401579,NC
-1.805,15401580,NC
-1.6899999,15401581,NC
-1.6012499,15401582,NC
-1.555,15401583,NC
-1.5337499,15401584,NC
-1.50125,15401585,NC
-1.42375,15401586,NC
-1.30375,15401587,NC
-1.1675,15401588,NC
-1.045,15401589,NC
-0.95124996,15401590,NC
-0.8875,15401591,NC
-0.84625,15401592,NC
-0.825,15401593,NC
-0.80875003,15401594,NC
-0.7875,15401595,NC
-0.75875,15401596,NC
-0.72125,15401597,NC
-0.67375004,15401598,NC
-0.6225,15401599,NC
-0.57125,15401600,NC
-0.515,15401601,NC
-0.46749997,15401602,NC
-0.42375,15401603,NC
-0.38500002,15401604,NC
-0.34125,15401605,NC
-0.28625,15401606,NC
-0.22250001,15401607,NC
-0.14875,15401608,NC
-0.072500005,15401609,NC
0.004999999,15401610,NC
0.08,15401611,NC
0.14750001,15401612,NC
0.1925,15401613,NC
0.21374999,15401614,NC
0.2225,15401615,NC
0.22375,15401616,NC
0.22500001,15401617,NC
0.2425,15401618,NC
0.26625,15401619,NC
0.2925,15401620,NC
0.31375003,15401621,NC
0.31625,15401622,NC
0.3175,15401623,NC
0.32625002,15401624,NC
0.34875,15401625,NC
0.38625002,15401626,NC
0.41375,15401627,NC
0.42624998,15401628,NC
0.4325,15401629,NC
0.435,15401630,NC
0.44625002,15401631,NC
0.4725,15401632,NC
0.5025,15401633,NC
0.5225,15401634,NC
0.52625,15401635,NC
0.51,15401636,NC
0.485,15401637,NC
0.46000004,15401638,NC
0.44375002,15401639,NC
0.4425,15401640,NC
0.46,15401641,NC
0.49874997,15401642,NC
0.54375005,15401643,NC
0.5825,15401644,NC
0.605,15401645,NC
0.60625,15401646,NC
0.6125,15401647,NC
0.63125,15401648,NC
0.65125,15401649,NC
0.67,15401650,NC
0.67375004,15401651,NC
0.6675,15401652,NC
0.66875,15401653,NC
0.68375003,15401654,NC
0.7,15401655,NC
0.71125,15401656,NC
0.71375,15401657,NC
0.7075,15401658,NC
0.70375,15401659,NC
0.70125,15401660,NC
0.69874996,15401661,NC
0.695,15401662,NC
0.68625,15401663,NC
0.67375004,15401664,NC
0.6625,15401665,NC
0.65,15401666,NC
0.6375,15401667,NC
0.6275,15401668,NC
0.61375,15401669,NC
0.59875,15401670,NC
0.58125,15401671,NC
0.56500006,15401672,NC
0.54625,15401673,NC
0.53125,15401674,NC
0.51625,15401675,NC
0.49375,15401676,NC
0.47000003,15401677,NC
0.445,15401678,NC
0.42374998,15401679,NC
0.40125,15401680,NC
0.37875003,15401681,NC
0.34625,15401682,NC
0.30875,15401683,NC
0.28,15401684,NC
0.26874998,15401685,NC
0.27124998,15401686,NC
0.27499998,15401687,NC
0.26624998,15401688,NC
0.24374999,15401689,NC
0.22,15401690,NC
0.20125,15401691,NC
0.18625,15401692,NC
0.16749999,15401693,NC
0.13875,15401694,NC
0.11,15401695,NC
0.09,15401696,NC
0.075,15401697,NC
0.0675,15401698,NC
0.058749996,15401699,NC
0.04875,15401700,NC
0.041249998,15401701,NC
0.0325,15401702,NC
0.025,15401703,NC
0.0175,15401704,NC
0.00875,15401705,NC
0.005,15401706,NC
0.0062499996,15401707,NC
0.0062499996,15401708,NC
0.005,15401709,NC
-0.0025000002,15401710,NC
-0.01625,15401711,NC
-0.02875,15401712,NC
-0.04,15401713,NC
-0.04625,15401714,NC
-0.0475,15401715,NC
-0.04625,15401716,NC
-0.04875,15401717,NC
-0.05875,15401718,NC
-0.07125,15401719,NC
-0.075,15401720,NC
-0.0675,15401721,NC
-0.056250002,15401722,NC
-0.05125,15401723,NC
-0.060000002,15401724,NC
-0.07125001,15401725,NC
-0.073750004,15401726,NC
-0.06875,15401727,NC
-0.06375,15401728,NC
-0.065,15401729,NC
-0.067499995,15401730,NC
-0.06375,15401731,NC
-0.05375,15401732,NC
-0.046249997,15401733,NC
-0.045,15401734,NC
-0.04875,15401735,NC
-0.051249996,15401736,NC
-0.04375,15401737,NC
-0.028749999,15401738,NC
-0.005,15401739,NC
0.024999999,15401740,NC
0.06875,15401741,NC
0.125,15401742,NC
0.17625,15401743,NC
0.2025,15401744,NC
0.16874999,15401745,NC
