channel_0,sample #,type
1.9365586,30219161,N
1.9217092,30219162,NC
1.8743602,30219163,NC
1.7732617,30219164,NC
1.6021637,30219165,NC
1.3623161,30219166,NC
1.076219,30219167,NC
0.7851222,30219168,NC
0.519026,30219169,NC
0.3104301,30219170,NC
0.16558467,30219171,NC
0.07448967,30219172,NC
0.029645085,30219173,NC
0.0023009293,30219174,NC
-0.015042806,30219175,NC
-0.03988613,30219176,NC
-0.07097904,30219177,NC
-0.09707153,30219178,NC
-0.12191362,30219179,NC
-0.1367553,30219180,NC
-0.14534658,30219181,NC
-0.15393746,30219182,NC
-0.16127793,30219183,NC
-0.16611803,30219184,NC
-0.17220773,30219185,NC
-0.17579703,30219186,NC
-0.17563595,30219187,NC
-0.17672448,30219188,NC
-0.17656264,30219189,NC
-0.17640041,30219190,NC
-0.1824878,30219191,NC
-0.18482484,30219192,NC
-0.18716149,30219193,NC
-0.19324777,30219194,NC
-0.19683367,30219195,NC
-0.19916925,30219196,NC
-0.20150444,30219197,NC
-0.20008928,30219198,NC
-0.19742376,30219199,NC
-0.19850788,30219200,NC
-0.20334168,30219201,NC
-0.20567511,30219202,NC
-0.2055082,30219203,NC
-0.20534095,30219204,NC
-0.20267338,30219205,NC
-0.20375545,30219206,NC
-0.2098372,30219207,NC
-0.2159186,30219208,NC
-0.22199969,30219209,NC
-0.22558047,30219210,NC
-0.22791092,30219211,NC
-0.22774103,30219212,NC
-0.22757085,30219213,NC
-0.23240036,30219214,NC
-0.23847954,30219215,NC
-0.24955843,30219216,NC
-0.265637,30219217,NC
-0.27921528,30219218,NC
-0.29404327,30219219,NC
-0.31137094,30219220,NC
-0.32244834,30219221,NC
-0.33477542,30219222,NC
-0.34460226,30219223,NC
-0.35442877,30219224,NC
-0.365505,30219225,NC
-0.377831,30219226,NC
-0.39390668,30219227,NC
-0.41123208,30219228,NC
-0.4310572,30219229,NC
-0.45088214,30219230,NC
-0.4694568,30219231,NC
-0.48678112,30219232,NC
-0.50035524,30219233,NC
-0.5151791,30219234,NC
-0.52500266,30219235,NC
-0.531076,30219236,NC
-0.5346491,30219237,NC
-0.5332219,30219238,NC
-0.53679454,30219239,NC
-0.539117,30219240,NC
-0.5489391,30219241,NC
-0.55501103,30219242,NC
-0.55483276,30219243,NC
-0.5546542,30219244,NC
-0.54197544,30219245,NC
-0.5305464,30219246,NC
-0.5141172,30219247,NC
-0.4914378,30219248,NC
-0.46625817,30219249,NC
-0.4385783,30219250,NC
-0.4121483,30219251,NC
-0.38571805,30219252,NC
-0.36178765,30219253,NC
-0.336607,30219254,NC
-0.31142613,30219255,NC
-0.28499514,30219256,NC
-0.2560639,30219257,NC
-0.22838254,30219258,NC
-0.19445097,30219259,NC
-0.15926923,30219260,NC
-0.1265873,30219261,NC
-0.09015521,30219262,NC
-0.061222948,30219263,NC
-0.03854052,30219264,NC
-0.01960793,30219265,NC
-0.00942518,30219266,NC
0.0020077266,30219267,NC
0.010940786,30219268,NC
0.019873999,30219269,NC
0.032557357,30219270,NC
0.04524086,30219271,NC
0.0641745,30219272,NC
0.088108286,30219273,NC
0.1120422,30219274,NC
0.14097627,30219275,NC
0.17241044,30219276,NC
0.20384473,30219277,NC
0.24027917,30219278,NC
0.2804637,30219279,NC
0.32564837,30219280,NC
0.38333315,30219281,NC
0.44851804,30219282,NC
0.51870304,30219283,NC
0.59513813,30219284,NC
0.6703233,30219285,NC
0.74425864,30219286,NC
0.8031941,30219287,NC
0.83087957,30219288,NC
0.8035651,30219289,NC
0.70000076,30219290,NC
0.5139365,30219291,NC
0.24662235,30219292,NC
-0.07944174,30219293,NC
-0.43050575,30219294,NC
-0.7828196,30219295,NC
