channel_0,sample #,type
1.752589,30131526,N
1.7396588,30131527,NC
1.6817551,30131528,NC
1.576371,30131529,NC
1.3813524,30131530,NC
1.1075537,30131531,NC
0.7996138,30131532,NC
0.48663798,30131533,NC
0.21598266,30131534,NC
0.027807686,30131535,NC
-0.08842387,30131536,NC
-0.14567183,30131537,NC
-0.1524723,30131538,NC
-0.16232145,30131539,NC
-0.17988445,30131540,NC
-0.19805932,30131541,NC
-0.23337,30131542,NC
-0.27399915,30131543,NC
-0.29902974,30131544,NC
-0.32078782,30131545,NC
-0.3332947,30131546,NC
-0.3465897,30131547,NC
-0.35493213,30131548,NC
-0.36083594,30131549,NC
-0.36529,30131550,NC
-0.36625484,30131551,NC
-0.36949018,30131552,NC
-0.37320054,30131553,NC
-0.36893815,30131554,NC
-0.3763654,30131555,NC
-0.37791568,30131556,NC
-0.3731759,30131557,NC
-0.38096768,30131558,NC
-0.3828229,30131559,NC
-0.3929927,30131560,NC
-0.40124422,30131561,NC
-0.40245703,30131562,NC
-0.39994445,30131563,NC
-0.40164343,30131564,NC
-0.39999884,30131565,NC
-0.39794415,30131566,NC
-0.39399514,30131567,NC
-0.39568442,30131568,NC
-0.39463925,30131569,NC
-0.4021378,30131570,NC
-0.41216418,30131571,NC
-0.419393,30131572,NC
-0.42507735,30131573,NC
-0.42909,30131574,NC
-0.43223938,30131575,NC
-0.43945056,30131576,NC
-0.4381066,30131577,NC
-0.44103506,30131578,NC
-0.4320563,30131579,NC
-0.4391764,30131580,NC
-0.4519683,30131581,NC
-0.47030914,30131582,NC
-0.47960594,30131583,NC
-0.5047768,30131584,NC
-0.5129867,30131585,NC
-0.5315645,30131586,NC
-0.5262603,30131587,NC
-0.5354032,30131588,NC
-0.5416149,30131589,NC
-0.5352841,30131590,NC
-0.5550058,30131591,NC
-0.56445754,30131592,NC
-0.5724459,30131593,NC
-0.60629636,30131594,NC
-0.62377095,30131595,NC
-0.650724,30131596,NC
-0.66179544,30131597,NC
-0.6783425,30131598,NC
-0.6860328,30131599,NC
-0.6904676,30131600,NC
-0.68570423,30131601,NC
-0.6897301,30131602,NC
-0.69893956,30131603,NC
-0.7015368,30131604,NC
-0.701795,30131605,NC
-0.69961107,30131606,NC
-0.6917498,30131607,NC
-0.682842,30131608,NC
-0.6884695,30131609,NC
-0.6863924,30131610,NC
-0.6913111,30131611,NC
-0.6710807,30131612,NC
-0.65741694,30131613,NC
-0.6330753,30131614,NC
-0.6207883,30131615,NC
-0.5823079,30131616,NC
-0.5627138,30131617,NC
-0.5274099,30131618,NC
-0.5174117,30131619,NC
-0.4895673,30131620,NC
-0.47977895,30131621,NC
-0.45711765,30131622,NC
-0.4337638,30131623,NC
-0.4191976,30131624,NC
-0.3937418,30131625,NC
-0.35213745,30131626,NC
-0.3257637,30131627,NC
-0.30675972,30131628,NC
-0.28646657,30131629,NC
-0.2613908,30131630,NC
-0.24696216,30131631,NC
-0.23055092,30131632,NC
-0.22510102,30131633,NC
-0.21227041,30131634,NC
-0.20643179,30131635,NC
-0.20140292,30131636,NC
-0.19657466,30131637,NC
-0.19124424,30131638,NC
-0.18083927,30131639,NC
-0.18375732,30131640,NC
-0.18179096,30131641,NC
-0.18783377,30131642,NC
-0.19158731,30131643,NC
-0.18369478,30131644,NC
-0.18807451,30131645,NC
-0.18475305,30131646,NC
-0.1769619,30131647,NC
-0.17976874,30131648,NC
-0.16964462,30131649,NC
-0.15555355,30131650,NC
-0.137317,30131651,NC
-0.12957802,30131652,NC
-0.102468416,30131653,NC
-0.08863529,30131654,NC
-0.06972142,30131655,NC
-0.037594933,30131656,NC
0.00092351856,30131657,NC
0.049641903,30131658,NC
0.09652396,30131659,NC
0.15618078,30131660,NC
0.22461739,30131661,NC
0.2935014,30131662,NC
0.37043864,30131663,NC
0.4506435,30131664,NC
0.5460898,30131665,NC
0.6232144,30131666,NC
0.6712176,30131667,V
0.68718,30131668,NC
0.6334305,30131669,NC
0.49202463,30131670,NC
0.25927144,30131671,NC
-0.04076044,30131672,NC
-0.38315788,30131673,NC
-0.7249894,30131674,NC
-1.0396031,30131675,NC
-1.3105574,30131676,NC
-1.5305337,30131677,NC
-1.6803894,30131678,NC
-1.8039459,30131679,NC
-1.8911861,30131680,NC
-1.9532508,30131681,NC
-2.0256195,30131682,NC
-2.0726185,30131683,NC
-2.088847,30131684,NC
-2.101835,30131685,NC
-2.0757322,30131686,NC
-2.0169692,30131687,NC
-1.9447386,30131688,NC
-1.8606758,30131689,NC
-1.7583205,30131690,NC
-1.6678061,30131691,NC
-1.5700867,30131692,NC
-1.4624089,30131693,NC
-1.3682582,30131694,NC
-1.289082,30131695,NC
-1.195145,30131696,NC
-1.1180031,30131697,NC
-1.0143011,30131698,NC
-0.9165901,30131699,NC
-0.8181412,30131700,NC
-0.7194556,30131701,NC
-0.63305753,30131702,NC
-0.5529553,30131703,NC
-0.49979886,30131704,NC
-0.44508138,30131705,NC
-0.3963862,30131706,NC
-0.32705453,30131707,NC
-0.25851125,30131708,NC
-0.17384687,30131709,NC
-0.07005851,30131710,NC
0.019140711,30131711,NC
0.09574038,30131712,NC
0.13483475,30131713,NC
0.14433837,30131714,NC
0.1440622,30131715,NC
0.13685796,30131716,NC
0.13245617,30131717,NC
0.1380982,30131718,NC
0.14393978,30131719,NC
0.16027436,30131720,NC
0.18028162,30131721,NC
0.21322142,30131722,NC
0.23214948,30131723,NC
0.23878522,30131724,NC
0.26453766,30131725,NC
0.268056,30131726,NC
0.27673423,30131727,NC
0.2934921,30131728,NC
0.29445818,30131729,NC
0.29469326,30131730,NC
0.30496567,30131731,NC
0.31789288,30131732,NC
0.3287592,30131733,NC
0.3550105,30131734,NC
0.3796122,30131735,NC
0.391003,30131736,NC
0.40652856,30131737,NC
0.42237324,30131738,NC
0.42170313,30131739,NC
0.41662928,30131740,NC
0.43883282,30131741,NC
0.44102976,30131742,NC
0.46643788,30131743,NC
0.4943414,30131744,NC
0.52729654,30131745,NC
0.5344773,30131746,NC
0.5696597,30131747,NC
0.58477396,30131748,NC
0.60428244,30131749,NC
0.6107234,30131750,NC
0.620605,30131751,NC
0.63307,30131752,NC
0.6433151,30131753,NC
0.6721825,30131754,NC
0.67635185,30131755,NC
0.6941516,30131756,NC
0.7135243,30131757,NC
0.7277825,30131758,NC
0.75608635,30131759,NC
0.76938206,30131760,NC
0.77959853,30131761,NC
0.7875856,30131762,NC
0.7869076,30131763,NC
0.7935287,30131764,NC
0.7899916,30131765,NC
0.7926398,30131766,NC
0.7933435,30131767,NC
0.78416604,30131768,NC
0.7726075,30131769,NC
0.7676996,30131770,NC
0.7599087,30131771,NC
0.73666084,30131772,NC
0.719564,30131773,NC
0.70535123,30131774,NC
0.66978174,30131775,NC
0.64236075,30131776,NC
0.5980817,30131777,NC
0.56832653,30131778,NC
0.5288284,30131779,NC
0.50035995,30131780,NC
0.46836212,30131781,NC
0.4357029,30131782,NC
0.39849138,30131783,NC
0.36984512,30131784,NC
0.3323813,30131785,NC
0.30713496,30131786,NC
0.26004457,30131787,NC
0.2175969,30131788,NC
0.18424517,30131789,NC
0.15274367,30131790,NC
0.12919399,30131791,NC
0.10105294,30131792,NC
0.076264314,30131793,NC
0.071501665,30131794,NC
0.053624254,30131795,NC
0.039209165,30131796,NC
0.017179988,30131797,NC
-0.0008228668,30131798,NC
-0.025463156,30131799,NC
-0.042411,30131800,NC
-0.058654875,30131801,NC
-0.06750766,30131802,NC
-0.078496404,30131803,NC
-0.08290763,30131804,NC
-0.07551087,30131805,NC
-0.07897952,30131806,NC
-0.07726745,30131807,NC
-0.07052749,30131808,NC
-0.0720405,30131809,NC
-0.07802879,30131810,NC
-0.08025071,30131811,NC
-0.08045692,30131812,NC
-0.08650582,30131813,NC
-0.09631606,30131814,NC
-0.098410234,30131815,NC
-0.087745324,30131816,NC
-0.08131655,30131817,NC
-0.07749178,30131818,NC
-0.06694797,30131819,NC
-0.06766819,30131820,NC
-0.07275513,30131821,NC
-0.08568401,30131822,NC
-0.08604127,30131823,NC
-0.097671494,30131824,NC
-0.10898943,30131825,NC
-0.12135206,30131826,NC
-0.11205106,30131827,NC
-0.11090389,30131828,NC
-0.10277266,30131829,NC
-0.09186665,30131830,NC
-0.07886691,30131831,NC
-0.083640665,30131832,NC
-0.09371744,30131833,NC
-0.093865246,30131834,NC
-0.10890492,30131835,NC
-0.11577005,30131836,NC
-0.114555515,30131837,NC
-0.12775676,30131838,NC
-0.119121686,30131839,NC
-0.12568763,30131840,NC
-0.13065234,30131841,NC
