channel_0,sample #,type
1.455,16915912,N
1.365,16915913,NC
1.305,16915914,NC
1.235,16915915,NC
1.085,16915916,NC
0.89,16915917,NC
0.705,16915918,NC
0.51,16915919,NC
0.255,16915920,NC
-0.1,16915921,NC
-0.365,16915922,NC
-0.49,16915923,NC
-0.565,16915924,NC
-0.675,16915925,NC
-0.74,16915926,NC
-0.68,16915927,NC
-0.62,16915928,NC
-0.665,16915929,NC
-0.81,16915930,NC
-0.9,16915931,NC
-0.885,16915932,NC
-0.78,16915933,NC
-0.72,16915934,NC
-0.71,16915935,NC
-0.77,16915936,NC
-0.815,16915937,NC
-0.86,16915938,NC
-0.925,16915939,NC
-0.98,16915940,NC
-0.975,16915941,NC
-0.945,16915942,NC
-0.91,16915943,NC
-0.88,16915944,NC
-0.8,16915945,NC
-0.775,16915946,NC
-0.875,16915947,NC
-1.05,16915948,NC
-1.12,16915949,NC
-1.06,16915950,NC
-0.955,16915951,NC
-0.96,16915952,NC
-1.005,16915953,NC
-0.995,16915954,NC
-0.95,16915955,NC
-0.9,16915956,NC
-0.885,16915957,NC
-0.915,16915958,NC
-0.95,16915959,NC
-0.955,16915960,NC
-0.925,16915961,NC
-0.925,16915962,NC
-0.94,16915963,NC
-0.95,16915964,NC
-0.94,16915965,NC
-0.93,16915966,NC
-0.925,16915967,NC
-0.91,16915968,NC
-0.855,16915969,NC
-0.815,16915970,NC
-0.8,16915971,NC
-0.805,16915972,NC
-0.795,16915973,NC
-0.81,16915974,NC
-0.815,16915975,NC
-0.795,16915976,NC
-0.745,16915977,NC
-0.75,16915978,NC
-0.765,16915979,NC
-0.745,16915980,NC
-0.69,16915981,NC
-0.61,16915982,NC
-0.545,16915983,NC
-0.535,16915984,NC
-0.49,16915985,NC
-0.455,16915986,NC
-0.485,16915987,NC
-0.48,16915988,NC
-0.425,16915989,NC
-0.385,16915990,NC
-0.415,16915991,NC
-0.455,16915992,NC
-0.455,16915993,NC
-0.39,16915994,NC
-0.335,16915995,NC
-0.365,16915996,NC
-0.445,16915997,NC
-0.51,16915998,NC
-0.545,16915999,NC
-0.495,16916000,NC
-0.445,16916001,NC
-0.44,16916002,NC
-0.465,16916003,NC
-0.445,16916004,NC
-0.42,16916005,NC
-0.405,16916006,NC
-0.44,16916007,NC
-0.495,16916008,NC
-0.535,16916009,NC
-0.53,16916010,NC
-0.48,16916011,NC
-0.41,16916012,NC
-0.385,16916013,NC
-0.445,16916014,NC
-0.47,16916015,NC
-0.445,16916016,NC
-0.42,16916017,NC
-0.385,16916018,NC
-0.395,16916019,NC
-0.43,16916020,NC
-0.465,16916021,NC
-0.455,16916022,NC
-0.405,16916023,NC
-0.36,16916024,NC
-0.315,16916025,NC
-0.3,16916026,NC
-0.33,16916027,NC
-0.37,16916028,NC
-0.405,16916029,NC
-0.38,16916030,NC
-0.35,16916031,NC
-0.335,16916032,NC
-0.315,16916033,NC
-0.285,16916034,NC
-0.245,16916035,NC
-0.195,16916036,NC
-0.165,16916037,NC
-0.18,16916038,NC
-0.195,16916039,NC
-0.195,16916040,NC
-0.185,16916041,NC
-0.19,16916042,NC
-0.27,16916043,NC
-0.45,16916044,NC
-0.71,16916045,NC
-0.92,16916046,NC
-1.075,16916047,NC
-1.17,16916048,NC
-1.235,16916049,NC
-1.315,16916050,NC
-1.355,16916051,V
-1.295,16916052,NC
-1.175,16916053,NC
-1.015,16916054,NC
-0.93,16916055,NC
-0.865,16916056,NC
-0.79,16916057,NC
-0.68,16916058,NC
-0.655,16916059,NC
-0.76,16916060,NC
-0.86,16916061,NC
-0.81,16916062,NC
-0.63,16916063,NC
-0.375,16916064,NC
-0.215,16916065,NC
-0.155,16916066,NC
-0.185,16916067,NC
-0.25,16916068,NC
-0.29,16916069,NC
-0.335,16916070,NC
-0.37,16916071,NC
-0.375,16916072,NC
-0.415,16916073,NC
-0.415,16916074,NC
-0.385,16916075,NC
-0.345,16916076,NC
-0.25,16916077,NC
-0.12,16916078,NC
-0.045,16916079,NC
-0.055,16916080,NC
-0.13,16916081,NC
-0.25,16916082,NC
-0.36,16916083,NC
-0.315,16916084,NC
-0.2,16916085,NC
-0.135,16916086,NC
-0.17,16916087,NC
-0.245,16916088,NC
-0.285,16916089,NC
-0.27,16916090,NC
-0.185,16916091,NC
-0.045,16916092,NC
-0.005,16916093,NC
-0.025,16916094,NC
-0.04,16916095,NC
0.0,16916096,NC
0.055,16916097,NC
