channel_0,sample #,type
1.7046702,15346328,V
1.7223352,15346329,NC
1.6958376,15346330,NC
1.5986803,15346331,NC
1.3646194,15346332,NC
1.0289848,15346333,NC
0.7110153,15346334,NC
0.4548731,15346335,NC
0.2119797,15346336,NC
-0.048578683,15346337,NC
-0.27380714,15346338,NC
-0.47695437,15346339,NC
-0.5520305,15346340,NC
-0.56086296,15346341,NC
-0.53878176,15346342,NC
-0.5122843,15346343,NC
-0.49903557,15346344,NC
-0.49903557,15346345,NC
-0.49903557,15346346,NC
-0.50786805,15346347,NC
-0.5034518,15346348,NC
-0.49903557,15346349,NC
-0.49461934,15346350,NC
-0.5034518,15346351,NC
-0.5122843,15346352,NC
-0.5255331,15346353,NC
-0.5167005,15346354,NC
-0.5167005,15346355,NC
-0.5167005,15346356,NC
-0.5255331,15346357,NC
-0.54319805,15346358,NC
-0.5476143,15346359,NC
-0.53878176,15346360,NC
-0.53436553,15346361,NC
-0.5476143,15346362,NC
-0.5520305,15346363,NC
-0.56527925,15346364,NC
-0.5785279,15346365,NC
-0.5785279,15346366,NC
-0.5829442,15346367,NC
-0.5696955,15346368,NC
-0.6006092,15346369,NC
-0.6094417,15346370,NC
-0.6094417,15346371,NC
-0.6138579,15346372,NC
-0.6138579,15346373,NC
-0.6315229,15346374,NC
-0.6403554,15346375,NC
-0.6624366,15346376,NC
-0.67126906,15346377,NC
-0.66685283,15346378,NC
-0.6624366,15346379,NC
-0.6580204,15346380,NC
-0.6801016,15346381,NC
-0.6933503,15346382,NC
-0.6933503,15346383,NC
-0.6845178,15346384,NC
-0.6801016,15346385,NC
-0.67568535,15346386,NC
-0.6801016,15346387,NC
-0.67568535,15346388,NC
-0.67568535,15346389,NC
-0.66685283,15346390,NC
-0.65360415,15346391,NC
-0.6624366,15346392,NC
-0.6580204,15346393,NC
-0.67568535,15346394,NC
-0.6624366,15346395,NC
-0.6624366,15346396,NC
-0.67568535,15346397,NC
-0.6845178,15346398,NC
-0.6933503,15346399,NC
-0.7021828,15346400,NC
-0.7110153,15346401,NC
-0.70659906,15346402,NC
-0.70659906,15346403,NC
-0.7021828,15346404,NC
-0.7110153,15346405,NC
-0.7110153,15346406,NC
-0.7154315,15346407,NC
-0.6801016,15346408,NC
-0.66685283,15346409,NC
-0.66685283,15346410,NC
-0.66685283,15346411,NC
-0.6580204,15346412,NC
-0.65360415,15346413,NC
-0.6403554,15346414,NC
-0.6226904,15346415,NC
-0.61827415,15346416,NC
-0.6138579,15346417,NC
-0.6138579,15346418,NC
-0.6006092,15346419,NC
-0.5917767,15346420,NC
-0.56527925,15346421,NC
-0.5520305,15346422,NC
-0.53878176,15346423,NC
-0.5299493,15346424,NC
-0.5122843,15346425,NC
-0.47695437,15346426,NC
-0.4107107,15346427,NC
-0.35329953,15346428,NC
-0.28263962,15346429,NC
-0.22522844,15346430,NC
-0.1589848,15346431,NC
-0.092741124,15346432,NC
-0.013248731,15346433,NC
0.048578683,15346434,NC
0.11923859,15346435,NC
0.181066,15346436,NC
0.22964469,15346437,NC
0.30913708,15346438,NC
0.37979698,15346439,NC
0.4416244,15346440,NC
0.53436553,15346441,NC
0.59619296,15346442,NC
0.6403554,15346443,NC
0.688934,15346444,NC
0.7198478,15346445,NC
0.7110153,15346446,NC
0.6977666,15346447,NC
0.6845178,15346448,NC
0.6845178,15346449,NC
0.6977666,15346450,NC
0.6977666,15346451,NC
0.66685283,15346452,NC
0.6094417,15346453,NC
0.53878176,15346454,NC
0.5211168,15346455,NC
0.5034518,15346456,NC
0.49903557,15346457,NC
0.48578686,15346458,NC
0.48578686,15346459,NC
0.48578686,15346460,NC
0.5255331,15346461,NC
0.5520305,15346462,NC
0.5696955,15346463,NC
0.5520305,15346464,NC
0.54319805,15346465,NC
0.5520305,15346466,NC
0.5741117,15346467,NC
0.6094417,15346468,NC
0.65360415,15346469,NC
0.6580204,15346470,NC
0.67126906,15346471,V
0.66685283,15346472,NC
0.6226904,15346473,NC
0.53878176,15346474,NC
0.43279192,15346475,NC
0.30472085,15346476,NC
0.15456854,15346477,NC
0.013248731,15346478,NC
-0.14131981,15346479,NC
-0.2605584,15346480,NC
-0.3312183,15346481,NC
-0.344467,15346482,NC
-0.32680207,15346483,NC
-0.33563453,15346484,NC
-0.35329953,15346485,NC
-0.36654824,15346486,NC
-0.36654824,15346487,NC
-0.37538075,15346488,NC
-0.37538075,15346489,NC
-0.38421324,15346490,NC
-0.4018782,15346491,NC
-0.38862947,15346492,NC
-0.38421324,15346493,NC
-0.39304572,15346494,NC
-0.4018782,15346495,NC
-0.4018782,15346496,NC
-0.4018782,15346497,NC
-0.39304572,15346498,NC
-0.38862947,15346499,NC
-0.37538075,15346500,NC
-0.37979698,15346501,NC
-0.37979698,15346502,NC
-0.39746195,15346503,NC
-0.39746195,15346504,NC
-0.38862947,15346505,NC
-0.37538075,15346506,NC
-0.37538075,15346507,NC
-0.37538075,15346508,NC
-0.36654824,15346509,NC
-0.35329953,15346510,NC
-0.344467,15346511,NC
-0.3400508,15346512,NC
-0.3400508,15346513,NC
-0.3400508,15346514,NC
-0.3312183,15346515,NC
-0.3135533,15346516,NC
-0.3179696,15346517,NC
-0.3179696,15346518,NC
-0.30472085,15346519,NC
-0.3135533,15346520,NC
-0.3135533,15346521,NC
-0.28263962,15346522,NC
-0.27380714,15346523,NC
-0.2605584,15346524,NC
-0.25614214,15346525,NC
-0.25614214,15346526,NC
-0.2605584,15346527,NC
-0.2517259,15346528,NC
-0.23847719,15346529,NC
-0.22522844,15346530,NC
-0.2208122,15346531,NC
-0.2208122,15346532,NC
-0.23406093,15346533,NC
-0.22964469,15346534,NC
-0.21639596,15346535,NC
-0.2119797,15346536,NC
-0.19873098,15346537,NC
-0.19873098,15346538,NC
-0.18989849,15346539,NC
-0.18989849,15346540,NC
-0.16781726,15346541,NC
-0.1589848,15346542,NC
-0.16340104,15346543,NC
-0.1722335,15346544,NC
-0.16781726,15346545,NC
-0.1501523,15346546,NC
-0.13248733,15346547,NC
-0.13248733,15346548,NC
-0.13248733,15346549,NC
-0.12807107,15346550,NC
-0.10598985,15346551,NC
-0.09715737,15346552,NC
-0.08832488,15346553,NC
-0.092741124,15346554,NC
-0.08832488,15346555,NC
-0.092741124,15346556,NC
