channel_0,sample #,type
0.91354775,20199523,N
0.8788381,20199524,NC
0.819129,20199525,NC
0.72942036,20199526,NC
0.61471206,20199527,NC
0.42000413,20199528,NC
0.19529659,20199529,NC
0.0055893874,20199530,NC
-0.09911749,20199531,NC
-0.14382406,20199532,NC
-0.19353035,20199533,NC
-0.2482364,20199534,NC
-0.2879422,20199535,NC
-0.29264778,20199536,NC
-0.30235317,20199537,NC
-0.3020584,20199538,NC
-0.30676347,20199539,NC
-0.3314684,20199540,NC
-0.34617323,20199541,NC
-0.34587798,20199542,NC
-0.34058267,20199543,NC
-0.3452873,20199544,NC
-0.32999194,20199545,NC
-0.32969657,20199546,NC
-0.3644012,20199547,NC
-0.35910589,20199548,NC
-0.3488106,20199549,NC
-0.33351547,20199550,NC
-0.3432204,20199551,NC
-0.3429255,20199552,NC
-0.35763073,20199553,NC
-0.35733613,20199554,NC
-0.3670417,20199555,NC
-0.35674754,20199556,NC
-0.3564536,20199557,NC
-0.37115988,20199558,NC
-0.37086648,20199559,NC
-0.36557338,20199560,NC
-0.3602806,20199561,NC
-0.34498814,20199562,NC
-0.3646961,20199563,NC
-0.38440436,20199564,NC
-0.38911313,20199565,NC
-0.39382225,20199566,NC
-0.38353184,20199567,NC
-0.37324193,20199568,NC
-0.3829525,20199569,NC
-0.3976636,20199570,NC
-0.40237522,20199571,NC
-0.3970874,20199572,NC
-0.39680016,20199573,NC
-0.3815135,20199574,NC
-0.37622747,20199575,NC
-0.39094213,20199576,NC
-0.4006574,20199577,NC
-0.41037333,20199578,NC
-0.40009,20199579,NC
-0.37980738,20199580,NC
-0.40452555,20199581,NC
-0.41924444,20199582,NC
-0.41896415,20199583,NC
-0.42368463,20199584,NC
-0.39840594,20199585,NC
-0.3881281,20199586,NC
-0.39785114,20199587,NC
-0.40257505,20199588,NC
-0.3972999,20199589,NC
-0.39702564,20199590,NC
-0.38175237,20199591,NC
-0.35148004,20199592,NC
-0.3612087,20199593,NC
-0.37093836,20199594,NC
-0.37066907,20199595,NC
-0.35540083,20199596,NC
-0.3401336,20199597,NC
-0.31486753,20199598,NC
-0.31960255,20199599,NC
-0.31933868,20199600,NC
-0.31907594,20199601,NC
-0.30381435,20199602,NC
-0.27355397,20199603,NC
-0.26329482,20199604,NC
-0.25303686,20199605,NC
-0.25278014,20199606,NC
-0.25752467,20199607,NC
-0.2322705,20199608,NC
-0.2220176,20199609,NC
-0.18676603,20199610,NC
-0.19151579,20199611,NC
-0.1862669,20199612,NC
-0.18601938,20199613,NC
-0.18577325,20199614,NC
-0.16552852,20199615,NC
-0.15528521,20199616,NC
-0.15004335,20199617,NC
-0.17480293,20199618,NC
-0.174564,20199619,NC
-0.17432657,20199620,NC
-0.17409064,20199621,NC
-0.17385624,20199622,NC
-0.16862339,20199623,NC
-0.18339211,20199624,NC
-0.18816239,20199625,NC
-0.17293426,20199626,NC
-0.16270778,20199627,NC
-0.1474829,20199628,NC
-0.15725967,20199629,NC
-0.1820381,20199630,NC
-0.1718182,20199631,NC
-0.1866,20199632,NC
-0.18138352,20199633,NC
-0.16616876,20199634,NC
-0.17095573,20199635,NC
-0.16574448,20199636,NC
-0.18053499,20199637,NC
-0.19032729,20199638,NC
-0.1751214,20199639,NC
-0.17491731,20199640,NC
-0.17971505,20199641,NC
-0.17451467,20199642,NC
-0.17931612,20199643,NC
-0.17911945,20199644,NC
-0.1589247,20199645,NC
-0.13873184,20199646,NC
-0.13354087,20199647,NC
-0.13835187,20199648,NC
-0.1331648,20199649,NC
-0.1279797,20199650,NC
-0.10779658,20199651,NC
-0.077615425,20199652,NC
-0.07743629,20199653,NC
-0.07725917,20199654,NC
-0.07208407,20199655,NC
-0.061911013,20199656,NC
-0.056740005,20199657,NC
-0.021571064,20199658,NC
0.0035957992,20199659,NC
0.013760573,20199660,NC
0.033923246,20199661,NC
0.0790838,20199662,NC
0.14924224,20199663,NC
0.20439853,20199664,NC
0.25455266,20199665,NC
0.29470465,20199666,NC
0.31985447,20199667,NC
0.37500212,20199668,NC
0.42014754,20199669,NC
0.4752908,20199670,NC
0.49543184,20199671,NC
0.49557063,20199672,NC
0.5057072,20199673,NC
0.52084154,20199674,NC
0.5459736,20199675,NC
0.59110343,20199676,NC
0.63623095,20199677,NC
0.6563562,20199678,NC
0.6514792,20199679,NC
0.6565998,20199680,NC
0.6817182,20199681,NC
0.7018342,20199682,NC
0.69194794,20199683,V
0.6420593,20199684,NC
0.6121683,20199685,NC
0.57227504,20199686,NC
0.51737934,20199687,NC
0.4574813,20199688,NC
0.34758085,20199689,NC
0.21767807,20199690,NC
0.10777289,20199691,NC
0.0128652975,20199692,NC
-0.07704468,20199693,NC
-0.15695707,20199694,NC
-0.20187189,20199695,NC
-0.24178912,20199696,NC
-0.27170876,20199697,NC
-0.27163085,20199698,NC
-0.3015554,20199699,NC
-0.30148235,20199700,NC
-0.33641177,20199701,NC
-0.35634363,20199702,NC
-0.37127796,20199703,NC
-0.38121474,20199704,NC
-0.36115405,20199705,NC
-0.37109578,20199706,NC
-0.37104,20199707,NC
-0.39598668,20199708,NC
-0.40093586,20199709,NC
-0.42088756,20199710,NC
-0.4058417,20199711,NC
-0.38579834,20199712,NC
-0.39575753,20199713,NC
-0.4007192,20199714,NC
-0.41568333,20199715,NC
-0.41565,20199716,NC
-0.4156192,20199717,NC
-0.4005909,20199718,NC
-0.4105651,20199719,NC
-0.41554183,20199720,NC
-0.4205211,20199721,NC
-0.44050285,20199722,NC
-0.41548714,20199723,NC
-0.41547394,20199724,NC
-0.41546327,20199725,NC
-0.42545515,20199726,NC
-0.45544952,20199727,NC
-0.45544645,20199728,NC
-0.44044587,20199729,NC
-0.4454478,20199730,NC
-0.45545232,20199731,NC
-0.4554593,20199732,NC
-0.46046883,20199733,NC
-0.4404809,20199734,NC
-0.43049547,20199735,NC
-0.42551255,20199736,NC
-0.43053216,20199737,NC
-0.4505543,20199738,NC
-0.43557894,20199739,NC
-0.43060613,20199740,NC
-0.4156358,20199741,NC
-0.410668,20199742,NC
-0.41070268,20199743,NC
-0.42073992,20199744,NC
-0.4257796,20199745,NC
-0.42082185,20199746,NC
-0.41586652,20199747,NC
-0.38591373,20199748,NC
-0.38096341,20199749,NC
-0.3810156,20199750,NC
-0.38107026,20199751,NC
-0.36112744,20199752,NC
-0.32618704,20199753,NC
-0.30624914,20199754,NC
-0.29131368,20199755,NC
-0.3063807,20199756,NC
-0.3014502,20199757,NC
-0.2865221,20199758,NC
-0.2715965,20199759,NC
-0.25167328,20199760,NC
-0.24675253,20199761,NC
-0.23683423,20199762,NC
-0.22191831,20199763,NC
-0.21200484,20199764,NC
-0.19209376,20199765,NC
-0.1821851,20199766,NC
-0.17727883,20199767,NC
-0.16737497,20199768,NC
-0.16747347,20199769,NC
-0.15757436,20199770,NC
-0.13267761,20199771,NC
-0.12778321,20199772,NC
-0.122891195,20199773,NC
-0.13800152,20199774,NC
-0.14811417,20199775,NC
-0.13322917,20199776,NC
-0.12334646,20199777,NC
-0.12846607,20199778,NC
-0.153588,20199779,NC
-0.17371222,20199780,NC
-0.15383872,20199781,NC
-0.15396751,20199782,NC
-0.14909858,20199783,NC
-0.13923188,20199784,NC
-0.13936743,20199785,NC
-0.16950522,20199786,NC
-0.16964525,20199787,NC
-0.17478749,20199788,NC
-0.15493195,20199789,NC
-0.14507858,20199790,NC
-0.15022743,20199791,NC
-0.17537843,20199792,NC
-0.1955316,20199793,NC
-0.19068694,20199794,NC
-0.1808444,20199795,NC
-0.181004,20199796,NC
-0.18116572,20199797,NC
-0.19132955,20199798,NC
-0.19649547,20199799,NC
-0.21666348,20199800,NC
-0.21183355,20199801,NC
-0.1920057,20199802,NC
-0.18717986,20199803,NC
-0.17235608,20199804,NC
-0.18753432,20199805,NC
-0.19271454,20199806,NC
-0.19789678,20199807,NC
-0.17808099,20199808,NC
-0.16826716,20199809,NC
-0.16345531,20199810,NC
-0.18364538,20199811,NC
-0.18383738,20199812,NC
-0.16903129,20199813,NC
-0.1492271,20199814,NC
-0.1444248,20199815,NC
-0.14462435,20199816,NC
-0.14482577,20199817,NC
-0.14502904,20199818,NC
-0.1352341,20199819,NC
-0.130441,20199820,NC
-0.13064969,20199821,NC
-0.13086015,20199822,NC
-0.13607237,20199823,NC
-0.13628635,20199824,NC
-0.13150206,20199825,NC
-0.12671949,20199826,NC
-0.13193862,20199827,NC
-0.14215943,20199828,NC
-0.14738192,20199829,NC
-0.16760604,20199830,NC
-0.14783181,20199831,NC
-0.1480592,20199832,NC
-0.1382882,20199833,NC
-0.16351879,20199834,NC
-0.17375092,20199835,NC
-0.18898463,20199836,NC
-0.16421987,20199837,NC
-0.15445663,20199838,NC
-0.1596949,20199839,NC
-0.17493463,20199840,NC
-0.19017583,20199841,NC
-0.1904185,20199842,NC
-0.17566258,20199843,NC
-0.1709081,20199844,NC
-0.17615499,20199845,NC
-0.17140326,20199846,NC
-0.1816529,20199847,NC
-0.17690386,20199848,NC
-0.17215616,20199849,NC
-0.15740976,20199850,NC
-0.16266465,20199851,NC
-0.1729208,20199852,NC
-0.1731782,20199853,NC
-0.18843684,20199854,NC
-0.18369667,20199855,NC
-0.16895771,20199856,NC
-0.16921991,20199857,NC
-0.17448325,20199858,NC
-0.17474775,20199859,NC
-0.18001334,20199860,NC
-0.17528005,20199861,NC
-0.16554783,20199862,NC
-0.16081665,20199863,NC
-0.16108653,20199864,NC
-0.16635743,20199865,NC
-0.1666293,20199866,NC
-0.16190216,20199867,NC
-0.14217597,20199868,NC
-0.14745072,20199869,NC
-0.1527264,20199870,NC
-0.17300296,20199871,NC
-0.1582804,20199872,NC
-0.1485587,20199873,NC
-0.15883784,20199874,NC
-0.1641178,20199875,NC
-0.15939854,20199876,NC
-0.17968006,20199877,NC
-0.17996234,20199878,NC
-0.17024535,20199879,NC
-0.15552908,20199880,NC
-0.16581349,20199881,NC
-0.17109857,20199882,NC
-0.18138431,20199883,NC
-0.18667066,20199884,NC
-0.17695765,20199885,NC
-0.16724521,20199886,NC
-0.15753335,20199887,NC
-0.17782202,20199888,NC
-0.1831112,20199889,NC
-0.18340091,20199890,NC
-0.1886911,20199891,NC
-0.15898176,20199892,NC
-0.19427283,20199893,NC
-0.17456435,20199894,NC
-0.18985623,20199895,NC
-0.19514851,20199896,NC
-0.19544114,20199897,NC
-0.1907341,20199898,NC
-0.19602738,20199899,NC
-0.19132094,20199900,NC
-0.19161478,20199901,NC
-0.19190887,20199902,NC
-0.17220318,20199903,NC
-0.1624977,20199904,NC
-0.1627924,20199905,NC
-0.18308724,20199906,NC
-0.17838225,20199907,NC
-0.17367736,20199908,NC
-0.16897257,20199909,NC
-0.16426787,20199910,NC
-0.1595632,20199911,NC
-0.17985858,20199912,NC
-0.18515396,20199913,NC
-0.17544933,20199914,NC
-0.15074466,20199915,NC
-0.14603995,20199916,NC
-0.13133515,20199917,NC
-0.14663026,20199918,NC
-0.17192526,20199919,NC
-0.17222011,20199920,NC
-0.1525148,20199921,NC
-0.1478093,20199922,NC
-0.1331036,20199923,NC
-0.14839767,20199924,NC
-0.1586915,20199925,NC
-0.17398505,20199926,NC
-0.15427832,20199927,NC
-0.14957127,20199928,NC
-0.14986388,20199929,NC
-0.15515615,20199930,NC
-0.18044803,20199931,NC
-0.18073952,20199932,NC
-0.17603059,20199933,NC
-0.1663212,20199934,NC
-0.18161137,20199935,NC
-0.20190105,20199936,NC
-0.18719023,20199937,NC
-0.1874789,20199938,NC
-0.172767,20199939,NC
-0.17805453,20199940,NC
-0.19334148,20199941,NC
-0.19362782,20199942,NC
-0.19891353,20199943,NC
-0.20419857,20199944,NC
-0.18448296,20199945,NC
-0.18476667,20199946,NC
-0.19504964,20199947,NC
-0.20533188,20199948,NC
-0.22061336,20199949,NC
-0.22089408,20199950,NC
-0.216174,20199951,NC
-0.2064531,20199952,NC
-0.21673137,20199953,NC
-0.21200877,20199954,NC
-0.2172853,20199955,NC
-0.22756094,20199956,NC
-0.21283565,20199957,NC
-0.19810943,20199958,NC
-0.18338224,20199959,NC
-0.19365409,20199960,NC
-0.20892492,20199961,NC
-0.20419475,20199962,NC
-0.18446355,20199963,NC
-0.17473127,20199964,NC
-0.18999793,20199965,NC
-0.18026349,20199966,NC
-0.19052793,20199967,NC
-0.18579124,20199968,NC
-0.17605339,20199969,NC
-0.15631437,20199970,NC
-0.18157417,20199971,NC
-0.18683274,20199972,NC
-0.18709008,20199973,NC
-0.17734618,20199974,NC
-0.16260101,20199975,NC
-0.14285456,20199976,NC
-0.1431068,20199977,NC
-0.14335771,20199978,NC
-0.1536073,20199979,NC
-0.1488555,20199980,NC
-0.14410235,20199981,NC
-0.13934779,20199982,NC
-0.12959182,20199983,NC
-0.13483441,20199984,NC
-0.13507557,20199985,NC
-0.14031523,20199986,NC
-0.14555344,20199987,NC
-0.15079013,20199988,NC
-0.1510253,20199989,NC
-0.12625894,20199990,NC
-0.06649102,20199991,NC
0.01327846,20199992,NC
0.13304953,20199993,NC
0.2378222,20199994,NC
0.3325965,20199995,NC
0.40737244,20199996,NC
0.49715,20199997,NC
0.6219293,20199998,NC
0.73671025,20199999,NC
0.8214929,20200000,NC
0.8762772,20200001,NC
0.8960634,20200002,N
