channel_0,sample #,type
1.0793496,17318770,N
1.0451407,17318771,NC
1.0159292,17318772,NC
0.9018552,17318773,NC
0.72787964,17318774,NC
0.50897914,17318775,NC
0.28009927,17318776,NC
0.11113116,17318777,NC
-0.037863057,17318778,NC
-0.1818601,17318779,NC
-0.3308445,17318780,NC
-0.45985514,17318781,NC
-0.6038376,17318782,NC
-0.7528077,17318783,NC
-0.90177304,17318784,NC
-1.080687,17318785,NC
-1.224651,17318786,NC
-1.1489524,17318787,NC
-0.91849035,17318788,NC
-0.8278061,17318789,NC
-1.0366511,17318790,NC
-1.2554764,17318791,NC
-1.3045615,17318792,NC
-1.1988833,17318793,NC
-1.1181623,17318794,NC
-1.0873593,17318795,NC
-1.0665368,17318796,NC
-1.0107647,17318797,NC
-0.95498854,17318798,NC
-0.9141852,17318799,NC
-0.9432693,17318800,NC
-0.98233396,17318801,NC
-1.0313793,17318802,NC
-1.0654444,17318803,NC
-1.0795369,17318804,NC
-1.0586804,17318805,NC
-0.987898,17318806,NC
-0.9221043,17318807,NC
-0.91122186,17318808,NC
-0.96024275,17318809,NC
-1.024237,17318810,NC
-1.0782435,17318811,NC
-1.0723403,17318812,NC
-1.026496,17318813,NC
-0.94570327,17318814,NC
-0.8299619,17318815,NC
-0.72420204,17318816,NC
-0.723276,17318817,NC
-0.91704404,17318818,NC
-1.2006693,17318819,NC
-1.3345251,17318820,NC
-1.2936504,17318821,NC
-1.1728976,17318822,NC
-1.0671188,17318823,NC
-1.0312288,17318824,NC
-0.9903441,17318825,NC
-0.9344804,17318826,NC
-0.9185523,17318827,NC
-0.95753646,17318828,NC
-1.0364562,17318829,NC
-1.0954051,17318830,NC
-1.0844605,17318831,NC
-1.0635296,17318832,NC
-1.0775424,17318833,NC
-1.0616002,17318834,NC
-1.0356715,17318835,NC
-0.9797878,17318836,NC
-0.8939491,17318837,NC
-0.8380621,17318838,NC
-0.8271036,17318839,NC
-0.91598815,17318840,NC
-1.0398169,17318841,NC
-1.0787764,17318842,NC
-1.0079056,17318843,NC
-0.8821192,17318844,NC
