channel_0,sample #,type
-0.565,12093782,+
-0.55,12093783,NC
-0.525,12093784,NC
-0.495,12093785,NC
-0.475,12093786,NC
-0.45,12093787,NC
-0.44,12093788,NC
-0.415,12093789,NC
-0.425,12093790,NC
-0.41,12093791,NC
-0.41,12093792,NC
-0.415,12093793,NC
-0.41,12093794,NC
-0.385,12093795,NC
-0.37,12093796,NC
-0.35,12093797,NC
-0.35,12093798,NC
-0.34,12093799,NC
-0.315,12093800,NC
-0.33,12093801,NC
-0.355,12093802,NC
-0.37,12093803,NC
-0.41,12093804,NC
-0.43,12093805,NC
-0.45,12093806,NC
-0.47,12093807,NC
-0.495,12093808,NC
-0.51,12093809,NC
-0.535,12093810,NC
-0.545,12093811,NC
-0.575,12093812,NC
-0.595,12093813,NC
-0.63,12093814,NC
-0.665,12093815,NC
-0.68,12093816,NC
-0.705,12093817,NC
-0.73,12093818,NC
-0.73,12093819,NC
-0.745,12093820,NC
-0.745,12093821,NC
-0.74,12093822,NC
-0.75,12093823,NC
-0.76,12093824,NC
-0.755,12093825,NC
-0.775,12093826,NC
-0.8,12093827,NC
-0.805,12093828,NC
-0.81,12093829,NC
-0.83,12093830,NC
-0.83,12093831,NC
-0.835,12093832,NC
-0.81,12093833,NC
-0.805,12093834,NC
-0.8,12093835,NC
-0.8,12093836,NC
-0.8,12093837,NC
-0.81,12093838,NC
-0.82,12093839,NC
-0.825,12093840,NC
-0.82,12093841,NC
-0.845,12093842,NC
-0.83,12093843,NC
-0.825,12093844,NC
-0.805,12093845,NC
-0.815,12093846,NC
-0.805,12093847,NC
-0.785,12093848,NC
-0.775,12093849,NC
-0.78,12093850,NC
-0.785,12093851,NC
-0.79,12093852,NC
-0.79,12093853,NC
-0.79,12093854,NC
-0.795,12093855,NC
-0.795,12093856,NC
-0.765,12093857,NC
-0.76,12093858,NC
-0.765,12093859,NC
-0.735,12093860,NC
-0.7,12093861,NC
-0.65,12093862,NC
-0.585,12093863,NC
-0.475,12093864,NC
-0.35,12093865,NC
-0.2,12093866,NC
-0.04,12093867,NC
0.145,12093868,NC
0.35,12093869,NC
0.57,12093870,NC
0.8,12093871,NC
1.04,12093872,NC
1.235,12093873,NC
1.47,12093874,NC
1.645,12093875,NC
1.805,12093876,NC
1.92,12093877,NC
1.98,12093878,NC
2.04,12093879,V
2.06,12093880,NC
2.075,12093881,NC
2.04,12093882,NC
2.015,12093883,NC
1.94,12093884,NC
1.85,12093885,NC
1.765,12093886,NC
1.72,12093887,NC
1.67,12093888,NC
1.695,12093889,NC
1.71,12093890,NC
1.715,12093891,NC
1.68,12093892,NC
1.61,12093893,NC
1.475,12093894,NC
1.33,12093895,NC
1.16,12093896,NC
0.94,12093897,NC
0.685,12093898,NC
0.35,12093899,NC
-0.04,12093900,NC
-0.4,12093901,NC
-0.705,12093902,NC
-0.9,12093903,NC
-0.96,12093904,NC
-0.955,12093905,NC
-0.95,12093906,NC
-0.915,12093907,NC
-0.92,12093908,NC
-0.965,12093909,NC
-1.005,12093910,NC
-1.055,12093911,NC
-1.11,12093912,NC
-1.135,12093913,NC
-1.175,12093914,NC
-1.18,12093915,NC
-1.175,12093916,NC
-1.185,12093917,NC
-1.19,12093918,NC
-1.19,12093919,NC
-1.22,12093920,NC
-1.24,12093921,NC
-1.26,12093922,NC
-1.28,12093923,NC
-1.3,12093924,NC
-1.315,12093925,NC
-1.33,12093926,NC
-1.335,12093927,NC
-1.33,12093928,NC
-1.35,12093929,NC
-1.365,12093930,NC
-1.345,12093931,NC
-1.36,12093932,NC
-1.385,12093933,NC
-1.39,12093934,NC
-1.395,12093935,NC
-1.435,12093936,NC
-1.445,12093937,NC
-1.465,12093938,NC
-1.485,12093939,NC
-1.505,12093940,NC
-1.51,12093941,NC
-1.52,12093942,NC
-1.51,12093943,NC
-1.525,12093944,NC
-1.54,12093945,NC
-1.55,12093946,NC
-1.56,12093947,NC
-1.56,12093948,NC
-1.57,12093949,NC
-1.59,12093950,NC
-1.59,12093951,NC
-1.61,12093952,NC
-1.61,12093953,NC
-1.63,12093954,NC
-1.625,12093955,NC
