channel_0,sample #,type
0.19216757,3027772,B
0.077905774,3027773,NC
0.098680645,3027774,NC
0.098680645,3027775,NC
0.07271206,3027776,NC
0.03635603,3027777,NC
0.03635603,3027778,NC
0.020774871,3027779,NC
0.010387436,3027780,NC
-0.010387436,3027781,NC
-0.02596859,3027782,NC
-0.031162309,3027783,NC
-0.02596859,3027784,NC
-0.015581154,3027785,NC
-0.031162309,3027786,NC
-0.031162309,3027787,NC
-0.06751833,3027788,NC
-0.07271206,3027789,NC
-0.09348693,3027790,NC
-0.1142618,3027791,NC
-0.15061782,3027792,NC
-0.18178013,3027793,NC
-0.21294244,3027794,NC
-0.22332989,3027795,NC
-0.2285236,3027796,NC
-0.28046077,3027797,NC
-0.35317284,3027798,NC
-0.4362723,3027799,NC
-0.47262836,3027800,NC
-0.5037907,3027801,NC
-0.5141781,3027802,NC
-0.54014665,3027803,NC
-0.58169645,3027804,NC
-0.6180525,3027805,NC
-0.65440845,3027806,NC
-0.65960217,3027807,NC
-0.65440845,3027808,NC
-0.65440845,3027809,NC
-0.65440845,3027810,NC
-0.65960217,3027811,NC
-0.6699896,3027812,NC
-0.6699896,3027813,NC
-0.6388273,3027814,NC
-0.6128587,3027815,NC
-0.5920839,3027816,NC
-0.5920839,3027817,NC
-0.56611526,3027818,NC
-0.5037907,3027819,NC
-0.4570472,3027820,NC
-0.42069116,3027821,NC
-0.3999163,3027822,NC
-0.38952887,3027823,NC
-0.36875397,3027824,NC
-0.34278542,3027825,NC
-0.29604194,3027826,NC
-0.2596859,3027827,NC
-0.2337173,3027828,NC
-0.24410474,3027829,NC
-0.2544922,3027830,NC
-0.23891103,3027831,NC
-0.2337173,3027832,NC
-0.2285236,3027833,NC
-0.21813615,3027834,NC
-0.2337173,3027835,NC
-0.2337173,3027836,NC
-0.21813615,3027837,NC
-0.19216757,3027838,NC
-0.18178013,3027839,NC
-0.202555,3027840,NC
-0.18697385,3027841,NC
-0.21294244,3027842,NC
-0.20774873,3027843,NC
-0.20774873,3027844,NC
-0.20774873,3027845,NC
-0.21294244,3027846,NC
-0.21294244,3027847,NC
-0.21813615,3027848,NC
-0.19736129,3027849,NC
-0.18178013,3027850,NC
-0.17658642,3027851,NC
-0.17139271,3027852,NC
-0.16100526,3027853,NC
-0.15061782,3027854,NC
-0.14023039,3027855,NC
-0.12984295,3027856,NC
-0.1142618,3027857,NC
-0.10906807,3027858,NC
-0.124649234,3027859,NC
-0.12984295,3027860,NC
-0.10906807,3027861,NC
-0.08829321,3027862,NC
-0.09348693,3027863,NC
-0.098680645,3027864,NC
-0.09348693,3027865,NC
-0.09348693,3027866,NC
-0.08829321,3027867,NC
-0.08829321,3027868,NC
-0.077905774,3027869,NC
-0.07271206,3027870,NC
-0.083099484,3027871,NC
-0.08829321,3027872,NC
-0.077905774,3027873,NC
-0.06751833,3027874,NC
-0.046743464,3027875,NC
-0.0571309,3027876,NC
-0.07271206,3027877,NC
-0.083099484,3027878,NC
-0.062324617,3027879,NC
-0.05193718,3027880,NC
-0.05193718,3027881,NC
-0.031162309,3027882,NC
-0.046743464,3027883,NC
-0.046743464,3027884,NC
-0.041549742,3027885,NC
-0.02596859,3027886,NC
-0.015581154,3027887,NC
-0.020774871,3027888,NC
-0.031162309,3027889,NC
-0.041549742,3027890,NC
-0.020774871,3027891,NC
-0.010387436,3027892,NC
-0.005193718,3027893,NC
-0.005193718,3027894,NC
-0.015581154,3027895,NC
-0.02596859,3027896,NC
-0.005193718,3027897,NC
0.0,3027898,NC
0.010387436,3027899,NC
0.010387436,3027900,NC
0.0,3027901,NC
-0.005193718,3027902,NC
-0.005193718,3027903,NC
0.010387436,3027904,NC
0.015581154,3027905,NC
0.020774871,3027906,NC
0.005193718,3027907,NC
0.005193718,3027908,NC
0.010387436,3027909,NC
0.010387436,3027910,NC
0.015581154,3027911,NC
0.010387436,3027912,NC
-0.005193718,3027913,NC
-0.015581154,3027914,NC
0.0,3027915,NC
-0.005193718,3027916,NC
-0.005193718,3027917,NC
-0.005193718,3027918,NC
-0.02596859,3027919,NC
-0.041549742,3027920,NC
-0.031162309,3027921,NC
-0.041549742,3027922,NC
-0.031162309,3027923,NC
-0.046743464,3027924,NC
-0.0571309,3027925,NC
-0.077905774,3027926,NC
-0.062324617,3027927,NC
-0.07271206,3027928,NC
-0.077905774,3027929,NC
-0.08829321,3027930,NC
-0.10387436,3027931,NC
-0.124649234,3027932,NC
-0.124649234,3027933,NC
-0.11945552,3027934,NC
-0.124649234,3027935,NC
-0.14023039,3027936,NC
-0.16619897,3027937,NC
-0.17658642,3027938,NC
-0.16619897,3027939,NC
-0.17139271,3027940,NC
-0.16619897,3027941,NC
-0.18178013,3027942,NC
-0.19216757,3027943,NC
-0.21294244,3027944,NC
-0.20774873,3027945,NC
-0.19216757,3027946,NC
-0.19736129,3027947,NC
-0.202555,3027948,NC
-0.22332989,3027949,NC
-0.22332989,3027950,NC
-0.22332989,3027951,NC
-0.21813615,3027952,NC
-0.21813615,3027953,NC
-0.21813615,3027954,NC
-0.2337173,3027955,NC
-0.24410474,3027956,NC
-0.24410474,3027957,NC
-0.2285236,3027958,NC
-0.2337173,3027959,NC
-0.2337173,3027960,NC
-0.23891103,3027961,NC
-0.2544922,3027962,NC
-0.23891103,3027963,NC
-0.23891103,3027964,NC
-0.23891103,3027965,NC
-0.24929847,3027966,NC
-0.24929847,3027967,NC
-0.2648796,3027968,NC
-0.2544922,3027969,NC
-0.24929847,3027970,NC
-0.2544922,3027971,NC
-0.24929847,3027972,NC
-0.24929847,3027973,NC
-0.27007332,3027974,NC
-0.27007332,3027975,NC
-0.2596859,3027976,NC
-0.24410474,3027977,NC
-0.2544922,3027978,NC
-0.2648796,3027979,NC
-0.27007332,3027980,NC
-0.2648796,3027981,NC
-0.2596859,3027982,NC
-0.24929847,3027983,NC
-0.2544922,3027984,NC
-0.2648796,3027985,NC
-0.27526703,3027986,NC
-0.2596859,3027987,NC
-0.2544922,3027988,NC
-0.2544922,3027989,NC
-0.2596859,3027990,NC
-0.28046077,3027991,NC
-0.29084823,3027992,NC
-0.28046077,3027993,NC
-0.27007332,3027994,NC
-0.2648796,3027995,NC
-0.2596859,3027996,NC
-0.28046077,3027997,NC
-0.28046077,3027998,NC
-0.27007332,3027999,NC
-0.27007332,3028000,NC
-0.2648796,3028001,NC
-0.27007332,3028002,NC
-0.28565452,3028003,NC
-0.28046077,3028004,NC
-0.27526703,3028005,NC
-0.27526703,3028006,NC
-0.27007332,3028007,NC
-0.28046077,3028008,NC
-0.28046077,3028009,NC
-0.29084823,3028010,NC
-0.28565452,3028011,NC
-0.27526703,3028012,NC
-0.28565452,3028013,NC
-0.29084823,3028014,NC
-0.30123565,3028015,NC
-0.29604194,3028016,NC
-0.30642936,3028017,NC
-0.29084823,3028018,NC
-0.29084823,3028019,NC
-0.29604194,3028020,NC
-0.29604194,3028021,NC
-0.30123565,3028022,NC
-0.30642936,3028023,NC
-0.30123565,3028024,NC
-0.29604194,3028025,NC
-0.29604194,3028026,NC
-0.30642936,3028027,NC
-0.30642936,3028028,NC
-0.29604194,3028029,NC
-0.29084823,3028030,NC
-0.29604194,3028031,NC
-0.29084823,3028032,NC
-0.30123565,3028033,NC
