channel_0,sample #,type
1.1372917,23856581,f
1.2304342,23856582,NC
1.2910972,23856583,NC
1.2914418,23856584,NC
1.236108,23856585,NC
1.1390148,23856586,NC
0.9955231,23856587,NC
0.83811146,23856588,NC
0.68533975,23856589,NC
0.4768894,23856590,NC
0.18028122,23856591,NC
-0.10704727,23856592,NC
-0.34797698,23856593,NC
-0.44507033,23856594,NC
-0.4076071,23856595,NC
-0.3191053,23856596,NC
-0.23988327,23856597,NC
-0.20242032,23856598,NC
-0.19743665,23856599,NC
-0.17389351,23856600,NC
-0.1735499,23856601,NC
-0.16856652,23856602,NC
-0.18214278,23856603,NC
-0.21891856,23856604,NC
-0.23249504,23856605,NC
-0.23679186,23856606,NC
-0.23180908,23856607,NC
-0.23610617,23856608,NC
-0.25896296,23856609,NC
-0.2725401,23856610,NC
-0.29075724,23856611,NC
-0.29041505,23856612,NC
-0.2947129,23856613,NC
-0.30365077,23856614,NC
-0.3125888,23856615,NC
-0.33544666,23856616,NC
-0.35366482,23856617,NC
-0.3486837,23856618,NC
-0.33906293,23856619,NC
-0.36192152,23856620,NC
-0.356941,23856621,NC
-0.38907972,23856622,NC
-0.40729904,23856623,NC
-0.4255185,23856624,NC
-0.4298186,23856625,NC
-0.42019925,23856626,NC
-0.4384194,23856627,NC
-0.46591952,23856628,NC
-0.4702205,23856629,NC
-0.46988183,23856630,NC
-0.46026364,23856631,NC
-0.45992544,23856632,NC
-0.48742682,23856633,NC
-0.50100875,23856634,NC
-0.5145909,23856635,NC
-0.50497407,23856636,NC
-0.5046371,23856637,NC
-0.50430053,23856638,NC
-0.5225237,23856639,NC
-0.52218765,23856640,NC
-0.5311316,23856641,NC
-0.52615625,23856642,NC
-0.5072616,23856643,NC
-0.50692666,23856644,NC
-0.49731237,23856645,NC
-0.5108977,23856646,NC
-0.51520365,23856647,NC
-0.5195099,23856648,NC
-0.52381647,23856649,NC
-0.50956386,23856650,NC
-0.52315086,23856651,NC
-0.56921744,23856652,NC
-0.5828051,23856653,NC
-0.58711344,23856654,NC
-0.58214223,23856655,NC
-0.5818113,23856656,NC
-0.60932016,23856657,NC
-0.6275495,23856658,NC
-0.64113945,23856659,NC
-0.6593695,23856660,NC
-0.6636804,23856661,NC
-0.65871185,23856662,NC
-0.7001425,23856663,NC
-0.7137343,23856664,NC
-0.7551658,23856665,NC
-0.7501988,23856666,NC
-0.76379186,23856667,NC
-0.78202516,23856668,NC
-0.8002588,23856669,NC
-0.84633225,23856670,NC
-0.855287,23856671,NC
-0.8688821,23856672,NC
-0.8917575,23856673,NC
-0.9099933,23856674,NC
-0.9375093,23856675,NC
-0.9928652,23856676,NC
-1.0111024,23856677,NC
-1.0247002,23856678,NC
-1.0290186,23856679,NC
-1.0472573,23856680,NC
-1.079416,23856681,NC
-1.1022954,23856682,NC
-1.1158956,23856683,NC
-1.1109366,23856684,NC
-1.115258,23856685,NC
-1.1056602,23856686,NC
-1.1053426,23856687,NC
-1.1328648,23856688,NC
-1.1325483,23856689,NC
-1.1275924,23856690,NC
-1.1040775,23856691,NC
-1.085203,23856692,NC
-1.0848886,23856693,NC
-1.0845746,23856694,NC
-1.0796213,23856695,NC
-1.0468292,23856696,NC
-1.0186776,23856697,NC
-0.9858866,23856698,NC
-0.9530963,23856699,NC
-0.9481456,23856700,NC
-0.9431956,23856701,NC
-0.9011271,23856702,NC
-0.85441923,23856703,NC
-0.81235194,23856704,NC
-0.8074042,23856705,NC
-0.79317725,23856706,NC
-0.77431107,23856707,NC
-0.7368859,23856708,NC
-0.69482154,23856709,NC
-0.66667724,23856710,NC
-0.64781344,23856711,NC
-0.6614294,23856712,NC
