channel_0,sample #,type
0.9771187,3099370,f
0.8485763,3099371,NC
0.6831831,3099372,NC
0.57767195,3099373,NC
0.7301149,3099374,NC
0.93783337,3099375,NC
0.76322687,3099376,NC
0.330666,3099377,NC
-0.014374932,3099378,NC
-0.16595046,3099379,NC
-0.21158075,3099380,NC
-0.24339235,3099381,NC
-0.25677887,3099382,NC
-0.27016568,3099383,NC
-0.2927654,3099384,NC
-0.28772745,3099385,NC
-0.28268978,3099386,NC
-0.29607776,3099387,NC
-0.29564708,3099388,NC
-0.2952167,3099389,NC
-0.29939303,3099390,NC
-0.30356967,3099391,NC
-0.31695938,3099392,NC
-0.31653047,3099393,NC
-0.31149554,3099394,NC
-0.3110674,3099395,NC
-0.30142704,3099396,NC
-0.31481874,3099397,NC
-0.3236045,3099398,NC
-0.34160328,3099399,NC
-0.33196467,3099400,NC
-0.32693282,3099401,NC
-0.3172951,3099402,NC
-0.32147688,3099403,NC
-0.3210528,3099404,NC
-0.34366083,3099405,NC
-0.33863142,3099406,NC
-0.33820888,3099407,NC
-0.33778688,3099408,NC
-0.3327591,3099409,NC
-0.34155092,3099410,NC
-0.35034323,3099411,NC
-0.36834878,3099412,NC
-0.35411066,3099413,NC
-0.35829845,3099414,NC
-0.36709315,3099415,NC
-0.36667585,3099416,NC
-0.37547183,3099417,NC
-0.38426843,3099418,NC
-0.3746404,3099419,NC
-0.36501306,3099420,NC
-0.37381166,3099421,NC
-0.38261098,3099422,NC
-0.3960173,3099423,NC
-0.4002117,3099424,NC
-0.39058784,3099425,NC
-0.39478365,3099426,NC
-0.3943739,3099427,NC
-0.40317756,3099428,NC
-0.4165883,3099429,NC
-0.42078716,3099430,NC
-0.41577417,3099431,NC
-0.4061556,3099432,NC
-0.40575048,3099433,NC
-0.4191652,3099434,NC
-0.43718702,3099435,NC
-0.43217805,3099436,NC
-0.4363826,3099437,NC
-0.42676902,3099438,NC
-0.4355816,3099439,NC
-0.44439504,3099440,NC
-0.45781574,3099441,NC
-0.47123727,3099442,NC
-0.45241544,3099443,NC
-0.45201984,3099444,NC
-0.45162517,3099445,NC
-0.46044412,3099446,NC
-0.46465766,3099447,NC
-0.4596595,3099448,NC
-0.4546623,3099449,NC
-0.4450597,3099450,NC
-0.4446708,3099451,NC
-0.4488892,3099452,NC
-0.4669276,3099453,NC
-0.4619354,3099454,NC
-0.45694417,3099455,NC
-0.45195404,3099456,NC
-0.45617753,3099457,NC
-0.4557958,3099458,NC
-0.46462774,3099459,NC
-0.4596418,3099460,NC
-0.45465696,3099461,NC
-0.44506687,3099462,NC
-0.44469053,3099463,NC
-0.44892165,3099464,NC
-0.44854757,3099465,NC
-0.44356823,3099466,NC
-0.4293774,3099467,NC
-0.41058147,3099468,NC
-0.4056056,3099469,NC
-0.40523726,3099470,NC
-0.40947643,3099471,NC
-0.39989778,3099472,NC
-0.39032033,3099473,NC
-0.37153146,3099474,NC
-0.36656275,3099475,NC
-0.36159527,3099476,NC
-0.3658417,3099477,NC
-0.35166404,3099478,NC
-0.34209397,3099479,NC
-0.31870618,3099480,NC
-0.313745,3099481,NC
-0.3133914,3099482,NC
-0.31303906,3099483,NC
-0.298869,3099484,NC
-0.2893067,3099485,NC
-0.27053297,3099486,NC
-0.26557955,3099487,NC
-0.2652338,3099488,NC
-0.26488942,3099489,NC
-0.26454636,3099490,NC
-0.254992,3099491,NC
-0.24083272,3099492,NC
-0.23588745,3099493,NC
-0.23094355,3099494,NC
-0.23521371,3099495,NC
-0.23487894,3099496,NC
-0.22993925,3099497,NC
-0.20657569,3099498,NC
-0.21085152,3099499,NC
-0.22434142,3099500,NC
-0.21940744,3099501,NC
-0.22829391,3099502,NC
-0.20493758,3099503,NC
-0.20461433,3099504,NC
-0.19507991,3099505,NC
-0.21318492,3099506,NC
-0.2220788,3099507,NC
-0.21715517,3099508,NC
-0.21223307,3099509,NC
-0.20270616,3099510,NC
-0.20239343,3099511,NC
-0.21129487,3099512,NC
-0.21559155,3099513,NC
-0.21528345,3099514,NC
-0.21037057,3099515,NC
-0.21006559,3099516,NC
-0.20976219,3099517,NC
-0.23249197,3099518,NC
-0.22758543,3099519,NC
-0.22268045,3099520,NC
-0.21777712,3099521,NC
-0.22208801,3099522,NC
-0.22179419,3099523,NC
-0.22610836,3099524,NC
-0.23503046,3099525,NC
-0.22092259,3099526,NC
-0.21142268,3099527,NC
-0.21113709,3099528,NC
-0.2154595,3099529,NC
-0.21517724,3099530,NC
-0.22410929,3099531,NC
-0.23764938,3099532,NC
-0.23276585,3099533,NC
-0.21867137,3099534,NC
-0.21379127,3099535,NC
-0.22733814,3099536,NC
-0.24088675,3099537,NC
-0.23140547,3099538,NC
-0.22192593,3099539,NC
-0.21705443,3099540,NC
-0.21218471,3099541,NC
-0.2211357,3099542,NC
-0.23008844,3099543,NC
-0.22983032,3099544,NC
-0.22036132,3099545,NC
-0.20628777,3099546,NC
-0.21064132,3099547,NC
-0.21499665,3099548,NC
-0.22856644,3099549,NC
-0.21450007,3099550,NC
-0.2142545,3099551,NC
-0.19558547,3099552,NC
-0.19994986,3099553,NC
-0.2043161,3099554,NC
-0.20868418,3099555,NC
-0.20844777,3099556,NC
-0.20360687,3099557,NC
-0.2079805,3099558,NC
-0.20314333,3099559,NC
-0.212127,3099560,NC
-0.21650623,3099561,NC
-0.21167466,3099562,NC
-0.20684502,3099563,NC
-0.20662358,3099564,NC
-0.20640403,3099565,NC
-0.21079269,3099566,NC
-0.2197896,3099567,NC
-0.21036312,3099568,NC
-0.21936385,3099569,NC
-0.21915387,3099570,NC
-0.21433951,3099571,NC
-0.22334602,3099572,NC
-0.24617347,3099573,NC
-0.23215225,3099574,NC
-0.21813299,3099575,NC
-0.222541,3099576,NC
-0.22234464,3099577,NC
-0.22215022,3099578,NC
-0.22195779,3099579,NC
-0.22176734,3099580,NC
-0.21697251,3099581,NC
-0.20296708,3099582,NC
-0.19817623,3099583,NC
-0.19338739,3099584,NC
-0.21163219,3099585,NC
-0.19763471,3099586,NC
-0.19285187,3099587,NC
-0.17885844,3099588,NC
-0.16486698,3099589,NC
-0.18772817,3099590,NC
-0.17374077,3099591,NC
-0.16436172,3099592,NC
-0.1688037,3099593,NC
-0.15021609,3099594,NC
-0.14084315,3099595,NC
-0.14529127,3099596,NC
-0.14052875,3099597,NC
-0.12655567,3099598,NC
-0.1264036,3099599,NC
-0.11704096,3099600,NC
-0.112286694,3099601,NC
-0.121353485,3099602,NC
-0.13963498,3099603,NC
-0.13488695,3099604,NC
-0.13474733,3099605,NC
-0.14382243,3099606,NC
-0.1482933,3099607,NC
-0.15737258,3099608,NC
-0.18487927,3099609,NC
-0.17093112,3099610,NC
-0.16619773,3099611,NC
-0.17528543,3099612,NC
-0.17516257,3099613,NC
-0.18886077,3099614,NC
-0.19795482,3099615,NC
-0.1978383,3099616,NC
-0.19772391,3099617,NC
-0.19300531,3099618,NC
-0.19289517,3099619,NC
-0.2019998,3099620,NC
-0.20650026,3099621,NC
-0.2063965,3099622,NC
-0.19247591,3099623,NC
-0.18777011,3099624,NC
-0.19688547,3099625,NC
-0.1875776,3099626,NC
-0.20130354,3099627,NC
-0.1873937,3099628,NC
-0.18269865,3099629,NC
-0.17339942,3099630,NC
-0.17792131,3099631,NC
-0.19165802,3099632,NC
-0.20079057,3099633,NC
