channel_0,sample #,type
1.5466918,2779042,f
1.6477357,2779043,NC
1.3742195,2779044,NC
0.9914411,2779045,NC
0.72568256,2779046,NC
0.54244334,2779047,NC
0.38526818,2779048,NC
0.218416,2779049,NC
0.063174985,2779050,NC
-0.030014073,2779051,NC
-0.099725336,2779052,NC
-0.15210362,2779053,NC
-0.17750013,2779054,NC
-0.2041287,2779055,NC
-0.20352496,2779056,NC
-0.18771933,2779057,NC
-0.1893544,2779058,NC
-0.19623825,2779059,NC
-0.19490138,2779060,NC
-0.20340116,2779061,NC
-0.19899124,2779062,NC
-0.19842061,2779063,NC
-0.20680846,2779064,NC
-0.20471983,2779065,NC
-0.2183473,2779066,NC
-0.2081501,2779067,NC
-0.20471211,2779068,NC
-0.21349055,2779069,NC
-0.21418767,2779070,NC
-0.22128846,2779071,NC
-0.23312601,2779072,NC
-0.23362072,2779073,NC
-0.24210072,2779074,NC
-0.23390569,2779075,NC
-0.22325245,2779076,NC
-0.22958621,2779077,NC
-0.24451415,2779078,NC
-0.23576176,2779079,NC
-0.23807159,2779080,NC
-0.23854575,2779081,NC
-0.24316819,2779082,NC
-0.264973,2779083,NC
-0.2683139,2779084,NC
-0.26234457,2779085,NC
-0.2626343,2779086,NC
-0.25364918,2779087,NC
-0.2595389,2779088,NC
-0.2791023,2779089,NC
-0.2928807,2779090,NC
-0.30096984,2779091,NC
-0.309217,2779092,NC
-0.294144,2779093,NC
-0.29280797,2779094,NC
-0.30042914,2779095,NC
-0.31716207,2779096,NC
-0.31397673,2779097,NC
-0.30074197,2779098,NC
-0.30340505,2779099,NC
-0.3140594,2779100,NC
-0.3118752,2779101,NC
-0.32937497,2779102,NC
-0.34098262,2779103,NC
-0.33774728,2779104,NC
-0.3209834,2779105,NC
-0.32483447,2779106,NC
-0.3326988,2779107,NC
-0.35167277,2779108,NC
-0.3437867,2779109,NC
-0.34364906,2779110,NC
-0.3369164,2779111,NC
-0.34850606,2779112,NC
-0.3524719,2779113,NC
-0.37020904,2779114,NC
-0.3625482,2779115,NC
-0.34959576,2779116,NC
-0.3480243,2779117,NC
-0.34657088,2779118,NC
-0.35695022,2779119,NC
-0.3734225,2779120,NC
-0.37364158,2779121,NC
-0.3792344,2779122,NC
-0.37225074,2779123,NC
-0.37114003,2779124,NC
-0.36394078,2779125,NC
-0.37850362,2779126,NC
-0.37604108,2779127,NC
-0.36192232,2779128,NC
-0.3431426,2779129,NC
-0.33940953,2779130,NC
-0.3629363,2779131,NC
-0.35728368,2779132,NC
-0.36172438,2779133,NC
-0.35781935,2779134,NC
-0.35431468,2779135,NC
-0.35178924,2779136,NC
-0.35603127,2779137,NC
-0.37196758,2779138,NC
-0.35959616,2779139,NC
-0.35547552,2779140,NC
-0.34779266,2779141,NC
-0.3433618,2779142,NC
-0.3327378,2779143,NC
-0.34011683,2779144,NC
-0.32571095,2779145,NC
-0.32770273,2779146,NC
-0.31247032,2779147,NC
-0.31095695,2779148,NC
-0.30056453,2779149,NC
-0.3025183,2779150,NC
-0.30153802,2779151,NC
-0.28148222,2779152,NC
-0.27154523,2779153,NC
-0.256093,2779154,NC
-0.2736374,2779155,NC
-0.2723095,2779156,NC
-0.25739393,2779157,NC
-0.23755237,2779158,NC
-0.21902533,2779159,NC
-0.2189781,2779160,NC
-0.22348294,2779161,NC
-0.21839966,2779162,NC
-0.21436982,2779163,NC
-0.19792086,2779164,NC
-0.17837313,2779165,NC
-0.1616441,2779166,NC
-0.17014134,2779167,NC
-0.17977338,2779168,NC
-0.15812926,2779169,NC
-0.1372792,2779170,NC
-0.14558387,2779171,NC
-0.14724605,2779172,NC
-0.15123111,2779173,NC
-0.17913198,2779174,NC
-0.16907206,2779175,NC
-0.15554085,2779176,NC
-0.14933115,2779177,NC
-0.1386609,2779178,NC
-0.13993411,2779179,NC
-0.16935414,2779180,NC
-0.15856695,2779181,NC
-0.14940114,2779182,NC
-0.1498061,2779183,NC
-0.15204382,2779184,NC
-0.15177085,2779185,NC
-0.15760392,2779186,NC
-0.16917676,2779187,NC
-0.15883486,2779188,NC
-0.14676008,2779189,NC
-0.16062781,2779190,NC
-0.15195273,2779191,NC
-0.16340363,2779192,NC
-0.16344833,2779193,NC
-0.15830365,2779194,NC
-0.16804048,2779195,NC
-0.15345259,2779196,NC
-0.16403627,2779197,NC
-0.17139788,2779198,NC
-0.1663367,2779199,NC
-0.16940194,2779200,NC
-0.1621939,2779201,NC
-0.17182884,2779202,NC
-0.18741441,2779203,NC
-0.18881157,2779204,NC
-0.17836323,2779205,NC
-0.16942614,2779206,NC
-0.16308421,2779207,NC
