channel_0,sample #,type
1.1004636,2734218,N
1.0657252,2734219,NC
0.98756385,2734220,NC
0.8585354,2734221,NC
0.6873246,2734222,NC
0.49254125,2734223,NC
0.29279527,2734224,NC
0.122825146,2734225,NC
-0.02481316,2734226,NC
-0.16872948,2734227,NC
-0.29899856,2734228,NC
-0.41934237,2734229,NC
-0.5111511,2734230,NC
-0.55333346,2734231,NC
-0.5595368,2734232,NC
-0.5520928,2734233,NC
-0.55209285,2734234,NC
-0.5496115,2734235,NC
-0.5446489,2734236,NC
-0.5446489,2734237,NC
-0.53968626,2734238,NC
-0.5372049,2734239,NC
-0.53968626,2734240,NC
-0.53596425,2734241,NC
-0.53224224,2734242,NC
-0.53596425,2734243,NC
-0.5384456,2734244,NC
-0.54216754,2734245,NC
-0.5446489,2734246,NC
-0.5446489,2734247,NC
-0.5520928,2734248,NC
-0.56449944,2734249,NC
-0.57814664,2734250,NC
-0.5905532,2734251,NC
-0.59303457,2734252,NC
-0.5905532,2734253,NC
-0.58931255,2734254,NC
-0.58310926,2734255,NC
-0.57938725,2734256,NC
-0.5756653,2734257,NC
-0.569462,2734258,NC
-0.55953676,2734259,NC
-0.5533335,2734260,NC
-0.5582961,2734261,NC
-0.57566535,2734262,NC
-0.6042004,2734263,NC
-0.62529165,2734264,NC
-0.62529165,2734265,NC
-0.6104038,2734266,NC
-0.59179384,2734267,NC
-0.5781466,2734268,NC
-0.5806279,2734269,NC
-0.5868312,2734270,NC
-0.59551585,2734271,NC
-0.6042005,2734272,NC
-0.60792243,2734273,NC
-0.61164445,2734274,NC
-0.6091631,2734275,NC
-0.6042005,2734276,NC
-0.5942752,2734277,NC
-0.5855906,2734278,NC
-0.5781466,2734279,NC
-0.57194334,2734280,NC
-0.56946206,2734281,NC
-0.569462,2734282,NC
-0.57814664,2734283,NC
-0.59055316,2734284,NC
-0.6029598,2734285,NC
-0.6042005,2734286,NC
-0.5979972,2734287,NC
-0.5868312,2734288,NC
-0.5781466,2734289,NC
-0.5843499,2734290,NC
-0.5979972,2734291,NC
-0.6178477,2734292,NC
-0.6414202,2734293,NC
-0.6463828,2734294,NC
-0.6376982,2734295,NC
-0.61908835,2734296,NC
-0.5979971,2734297,NC
-0.58931255,2734298,NC
-0.5905532,2734299,NC
-0.59551585,2734300,NC
-0.5967565,2734301,NC
-0.5942752,2734302,NC
-0.58931255,2734303,NC
-0.58310926,2734304,NC
-0.57938725,2734305,NC
-0.5744246,2734306,NC
-0.5669807,2734307,NC
-0.5632587,2734308,NC
-0.5558148,2734309,NC
-0.55457413,2734310,NC
-0.55457413,2734311,NC
-0.5458895,2734312,NC
-0.5396862,2734313,NC
-0.52976096,2734314,NC
-0.52479833,2734315,NC
-0.5285203,2734316,NC
