channel_0,sample #,type
1.1038492,3083905,f
1.1013238,3083906,NC
1.0675037,3083907,NC
0.9901422,3083908,NC
0.8515497,3083909,NC
0.6789411,3083910,NC
0.49817035,3083911,NC
0.329649,3083912,NC
0.1842628,3083913,NC
0.053847373,3083914,NC
-0.06295812,3083915,NC
-0.17159666,3083916,NC
-0.26118228,3083917,NC
-0.326272,3083918,NC
-0.36686587,3083919,NC
-0.3843246,3083920,NC
-0.3949772,3083921,NC
-0.39882374,3083922,NC
-0.40266788,3083923,NC
-0.40378827,3083924,NC
-0.39810258,3083925,NC
-0.3883323,3083926,NC
-0.37447757,3083927,NC
-0.36878505,3083928,NC
-0.3671725,3083929,NC
-0.37236148,3083930,NC
-0.37890905,3083931,NC
-0.38001138,3083932,NC
-0.37702936,3083933,NC
-0.37404522,3083934,NC
-0.3751411,3083935,NC
-0.38167796,3083936,NC
-0.39093414,3083937,NC
-0.3974668,3083938,NC
-0.4012759,3083939,NC
-0.3969185,3083940,NC
-0.3966413,3083941,NC
-0.40044433,3083942,NC
-0.40152395,3083943,NC
-0.40396234,3083944,NC
-0.40231654,3083945,NC
-0.40066886,3083946,NC
-0.40446228,3083947,NC
-0.41233605,3083948,NC
-0.4215687,3083949,NC
-0.4212743,3083950,NC
-0.41961733,3083951,NC
-0.41795862,3083952,NC
-0.41765887,3083953,NC
-0.42688257,3083954,NC
-0.43610463,3083955,NC
-0.4398819,3083956,NC
-0.4395753,3083957,NC
-0.43790632,3083958,NC
-0.43895715,3083959,NC
-0.4454494,3083960,NC
-0.45057932,3083961,NC
-0.45570764,3083962,NC
-0.45675218,3083963,NC
-0.4591559,3083964,NC
-0.4683619,3083965,NC
-0.47484493,3083966,NC
-0.47996572,3083967,NC
-0.48100287,3083968,NC
-0.47931713,3083969,NC
-0.47899073,3083970,NC
-0.48410594,3083971,NC
-0.4905806,3083972,NC
-0.4970539,3083973,NC
-0.5008044,3083974,NC
-0.5018322,3083975,NC
-0.501498,3083976,NC
-0.5025233,3083977,NC
-0.5089904,3083978,NC
-0.5113741,3083979,NC
-0.5164781,3083980,NC
-0.5188595,3083981,NC
-0.51715755,3083982,NC
-0.52225834,3083983,NC
-0.527358,3083984,NC
-0.531096,3083985,NC
-0.5334721,3083986,NC
-0.5331258,3083987,NC
-0.5314178,3083988,NC
-0.53379107,3083989,NC
-0.5402457,3083990,NC
-0.5426172,3083991,NC
-0.54362714,3083992,NC
-0.5378325,3083993,NC
-0.532037,3083994,NC
-0.5330446,3083995,NC
-0.5326906,3083996,NC
-0.5350574,3083997,NC
-0.5333412,3083998,NC
-0.5275421,3083999,NC
-0.5217424,3084000,NC
-0.5227458,3084001,NC
-0.52510935,3084002,NC
-0.5247508,3084003,NC
-0.5243917,3084004,NC
-0.51722836,3084005,NC
-0.51142526,3084006,NC
-0.5056217,3084007,NC
-0.49981767,3084008,NC
-0.49401328,3084009,NC
-0.48276544,3084010,NC
-0.47151724,3084011,NC
-0.4629902,3084012,NC
-0.45446286,3084013,NC
-0.4540997,3084014,NC
-0.45101482,3084015,NC
-0.44248667,3084016,NC
-0.43259755,3084017,NC
-0.41590455,3084018,NC
-0.40329358,3084019,NC
-0.39612556,3084020,NC
-0.38623583,3084021,NC
-0.37906757,3084022,NC
-0.37326,3084023,NC
-0.36337015,3084024,NC
-0.36028403,3084025,NC
-0.35991943,3084026,NC
-0.3513904,3084027,NC
-0.34694365,3084028,NC
-0.33705407,3084029,NC
-0.3271646,3084030,NC
-0.32816124,3084031,NC
-0.32643658,3084032,NC
-0.32607287,3084033,NC
-0.32707012,3084034,NC
-0.3185424,3084035,NC
-0.3140972,3084036,NC
-0.31237388,3084037,NC
-0.31201154,3084038,NC
-0.3143711,3084039,NC
-0.30856657,3084040,NC
-0.3041232,3084041,NC
-0.2928765,3084042,NC
-0.29251626,3084043,NC
-0.29896024,3084044,NC
-0.3026833,3084045,NC
-0.30640683,3084046,NC
-0.30196643,3084047,NC
-0.2975267,3084048,NC
-0.29853052,3084049,NC
-0.30633876,3084050,NC
-0.3114261,3084051,NC
-0.31107122,3084052,NC
-0.30527404,3084053,NC
-0.30083832,3084054,NC
-0.3004857,3084055,NC
-0.30693752,3084056,NC
-0.31339023,3084057,NC
-0.31304002,3084058,NC
-0.31132993,3084059,NC
-0.31098148,3084060,NC
-0.31063396,3084061,NC
-0.31709114,3084062,NC
-0.3221885,3084063,NC
-0.32048318,3084064,NC
-0.32013956,3084065,NC
-0.31707555,3084066,NC
-0.31673405,3084067,NC
-0.32183665,3084068,NC
-0.32421887,3084069,NC
-0.32252,3084070,NC
-0.32082224,3084071,NC
-0.317765,3084072,NC
-0.32015193,3084073,NC
-0.3252616,3084074,NC
-0.3290118,3084075,NC
-0.32868096,3084076,NC
-0.32290852,3084077,NC
-0.3144159,3084078,NC
-0.31136763,3084079,NC
-0.312403,3084080,NC
-0.31616122,3084081,NC
-0.31856015,3084082,NC
-0.31687826,3084083,NC
-0.31383714,3084084,NC
-0.313519,3084085,NC
-0.31728455,3084086,NC
-0.319691,3084087,NC
-0.3180167,3084088,NC
-0.31362247,3084089,NC
-0.31195143,3084090,NC
-0.3116427,3084091,NC
-0.31950015,3084092,NC
-0.3246377,3084093,NC
-0.3270555,3084094,NC
-0.32811427,3084095,NC
-0.32373178,3084096,NC
-0.32479408,3084097,NC
-0.3231366,3084098,NC
-0.32420248,3084099,NC
-0.32527012,3084100,NC
-0.3236181,3084101,NC
-0.32741103,3084102,NC
-0.33120582,3084103,NC
-0.33772397,3084104,NC
-0.34152257,3084105,NC
-0.33988017,3084106,NC
-0.33551818,3084107,NC
-0.32979745,3084108,NC
-0.33088246,3084109,NC
-0.33333024,3084110,NC
-0.33441934,3084111,NC
-0.33142826,3084112,NC
-0.32027474,3084113,NC
-0.3104841,3084114,NC
-0.3034171,3084115,NC
-0.29771295,3084116,NC
-0.2960932,3084117,NC
-0.28767195,3084118,NC
-0.2778921,3084119,NC
-0.27083597,3084120,NC
-0.26650357,3084121,NC
-0.26897717,3084122,NC
-0.27145305,3084123,NC
-0.27393118,3084124,NC
-0.26552564,3084125,NC
-0.2557617,3084126,NC
-0.24872158,3084127,NC
-0.24168381,3084128,NC
-0.23873064,3084129,NC
-0.23305841,3084130,NC
-0.22466706,3084131,NC
-0.21627815,3084132,NC
-0.21877764,3084133,NC
-0.22536185,3084134,NC
-0.23603076,3084135,NC
-0.24806291,3084136,NC
-0.2560153,3084137,NC
-0.26397023,3084138,NC
-0.27192768,3084139,NC
-0.2785269,3084140,NC
-0.28104645,3084141,NC
-0.28492934,3084142,NC
-0.28609332,3084143,NC
-0.29134214,3084144,NC
-0.29659358,3084145,NC
-0.30048692,3084146,NC
