channel_0,sample #,type
0.73275745,2740354,f
0.5128393,2740355,NC
0.16292135,2740356,NC
-0.046996277,2740357,NC
-0.06691361,2740358,NC
-0.05683066,2740359,NC
-0.046747416,2740360,NC
-0.06166389,2740361,NC
-0.07658008,2740362,NC
-0.106495984,2740363,NC
-0.1264116,2740364,NC
-0.11132695,2740365,NC
-0.116242,2740366,NC
-0.096156776,2740367,NC
-0.08107127,2740368,NC
-0.0959855,2740369,NC
-0.11089945,2740370,NC
-0.12081312,2740371,NC
-0.12072651,2740372,NC
-0.12563963,2740373,NC
-0.14555249,2740374,NC
-0.17546506,2740375,NC
-0.20537737,2740376,NC
-0.22028941,2740377,NC
-0.2602012,2740378,NC
-0.28511268,2740379,NC
-0.31002393,2740380,NC
-0.35993493,2740381,NC
-0.42484564,2740382,NC
-0.43475607,2740383,NC
-0.42966628,2740384,NC
-0.4395762,2740385,NC
-0.4494859,2740386,NC
-0.48439533,2740387,NC
-0.5193045,2740388,NC
-0.53421336,2740389,NC
-0.5091221,2740390,NC
-0.4490305,2740391,NC
-0.39393863,2740392,NC
-0.32884654,2740393,NC
-0.27875417,2740394,NC
-0.24866161,2740395,NC
-0.23856877,2740396,NC
-0.2484757,2740397,NC
-0.28838238,2740398,NC
-0.3482888,2740399,NC
-0.423195,2740400,NC
-0.47310096,2740401,NC
-0.5180067,2740402,NC
-0.53791213,2740403,NC
-0.5678174,2740404,NC
-0.5877224,2740405,NC
-0.59762716,2740406,NC
-0.5575317,2740407,NC
-0.51243603,2740408,NC
-0.47734013,2740409,NC
-0.45724398,2740410,NC
-0.4471476,2740411,NC
-0.45205098,2740412,NC
-0.43695417,2740413,NC
-0.42185712,2740414,NC
-0.41675985,2740415,NC
-0.41166237,2740416,NC
-0.40156466,2740417,NC
-0.40646672,2740418,NC
-0.3713686,2740419,NC
-0.36127022,2740420,NC
-0.35117167,2740421,NC
-0.35607287,2740422,NC
-0.36597386,2740423,NC
-0.36087465,2740424,NC
-0.36077523,2740425,NC
-0.3556756,2740426,NC
-0.33057576,2740427,NC
-0.33547574,2740428,NC
-0.3453755,2740429,NC
-0.36027506,2740430,NC
-0.35017443,2740431,NC
-0.33507356,2740432,NC
-0.3299725,2740433,NC
-0.32487127,2740434,NC
-0.33476985,2740435,NC
-0.3446682,2740436,NC
-0.33456638,2740437,NC
-0.35446438,2740438,NC
-0.32936215,2740439,NC
-0.32425976,2740440,NC
-0.32915717,2740441,NC
-0.34405443,2740442,NC
-0.33895144,2740443,NC
-0.3338483,2740444,NC
-0.32874498,2740445,NC
-0.30864146,2740446,NC
-0.3185378,2740447,NC
-0.31843394,2740448,NC
-0.3233299,2740449,NC
-0.31322572,2740450,NC
-0.2981213,2740451,NC
-0.29801673,2740452,NC
-0.302912,2740453,NC
-0.3128071,2740454,NC
-0.30270204,2740455,NC
-0.29759678,2740456,NC
-0.2774914,2740457,NC
-0.29238582,2740458,NC
-0.2972801,2740459,NC
-0.2971742,2740460,NC
-0.30206814,2740461,NC
-0.26696193,2740462,NC
-0.25685558,2740463,NC
-0.25674903,2740464,NC
-0.26164237,2740465,NC
-0.26653552,2740466,NC
-0.26642853,2740467,NC
-0.2563214,2740468,NC
-0.2462141,2740469,NC
-0.24610667,2740470,NC
-0.2559991,2740471,NC
-0.26589137,2740472,NC
-0.2507835,2740473,NC
-0.23067549,2740474,NC
-0.23556733,2740475,NC
-0.23045905,2740476,NC
-0.24035062,2740477,NC
-0.24024205,2740478,NC
-0.23513335,2740479,NC
-0.24002452,2740480,NC
-0.22491555,2740481,NC
-0.21980645,2740482,NC
-0.22969723,2740483,NC
-0.22958788,2740484,NC
-0.2144784,2740485,NC
-0.2093688,2740486,NC
-0.22425906,2740487,NC
-0.21414922,2740488,NC
-0.21403925,2740489,NC
-0.21392916,2740490,NC
-0.21381895,2740491,NC
-0.20370862,2740492,NC
-0.2085982,2740493,NC
-0.20848764,2740494,NC
-0.21837696,2740495,NC
-0.22826621,2740496,NC
-0.22315532,2740497,NC
-0.22304434,2740498,NC
-0.22293325,2740499,NC
-0.22782204,2740500,NC
-0.24271074,2740501,NC
-0.25759932,2740502,NC
-0.26248783,2740503,NC
-0.2673762,2740504,NC
-0.23726453,2740505,NC
-0.24715272,2740506,NC
-0.26704082,2740507,NC
-0.28192887,2740508,NC
-0.28181678,2740509,NC
-0.28170463,2740510,NC
-0.27159235,2740511,NC
-0.27648002,2740512,NC
-0.2863676,2740513,NC
-0.29625508,2740514,NC
-0.30114248,2740515,NC
-0.2960298,2740516,NC
-0.29091707,2740517,NC
-0.29580423,2740518,NC
-0.31069136,2740519,NC
-0.32557836,2740520,NC
-0.3204653,2740521,NC
-0.31535217,2740522,NC
-0.305239,2740523,NC
-0.31012574,2740524,NC
-0.3250124,2740525,NC
-0.344899,2740526,NC
-0.33478552,2740527,NC
-0.32967198,2740528,NC
-0.3195584,2740529,NC
-0.32444474,2740530,NC
-0.33933106,2740531,NC
-0.3492173,2740532,NC
-0.3341035,2740533,NC
-0.33398962,2740534,NC
-0.32887566,2740535,NC
-0.3337617,2740536,NC
-0.35364765,2740537,NC
-0.36353362,2740538,NC
-0.35841945,2740539,NC
-0.34330532,2740540,NC
-0.35319108,2740541,NC
-0.35307685,2740542,NC
-0.34796256,2740543,NC
-0.36284822,2740544,NC
-0.35773385,2740545,NC
-0.35761943,2740546,NC
-0.347505,2740547,NC
-0.34739053,2740548,NC
-0.36227605,2740549,NC
-0.3721615,2740550,NC
-0.37204695,2740551,NC
-0.37193236,2740552,NC
-0.35681772,2740553,NC
-0.35670307,2740554,NC
-0.36158845,2740555,NC
-0.37147376,2740556,NC
-0.37135905,2740557,NC
-0.36624435,2740558,NC
-0.3461296,2740559,NC
-0.36601484,2740560,NC
-0.3659001,2740561,NC
-0.38578528,2740562,NC
-0.3856705,2740563,NC
-0.37555572,2740564,NC
-0.37044093,2740565,NC
-0.3653261,2740566,NC
-0.3752113,2740567,NC
-0.38009647,2740568,NC
-0.37498167,2740569,NC
-0.35486683,2740570,NC
-0.35475203,2740571,NC
-0.35963723,2740572,NC
-0.35952243,2740573,NC
-0.3794076,2740574,NC
-0.37929282,2740575,NC
-0.36917806,2740576,NC
-0.35906327,2740577,NC
-0.3539485,2740578,NC
-0.35383373,2740579,NC
-0.37371904,2740580,NC
-0.37360433,2740581,NC
-0.35848963,2740582,NC
-0.35837495,2740583,NC
-0.3632603,2740584,NC
-0.36814567,2740585,NC
-0.38303104,2740586,NC
-0.36291647,2740587,NC
-0.36280194,2740588,NC
-0.3526874,2740589,NC
-0.3425729,2740590,NC
-0.36745843,2740591,NC
-0.377344,2740592,NC
-0.3872296,2740593,NC
-0.37711525,2740594,NC
-0.37700093,2740595,NC
-0.36688668,2740596,NC
-0.3767724,2740597,NC
-0.39665824,2740598,NC
-0.40154406,2740599,NC
-0.39643,2740600,NC
-0.3963159,2740601,NC
-0.3862019,2740602,NC
-0.39108795,2740603,NC
-0.41597402,2740604,NC
-0.41086015,2740605,NC
-0.39574638,2740606,NC
-0.3806326,2740607,NC
-0.36051893,2740608,NC
-0.37040532,2740609,NC
-0.38029173,2740610,NC
-0.36517823,2740611,NC
-0.35006478,2740612,NC
-0.3449514,2740613,NC
-0.3548381,2740614,NC
-0.35972485,2740615,NC
-0.36961168,2740616,NC
-0.3594986,2740617,NC
-0.34438553,2740618,NC
-0.3392726,2740619,NC
-0.3141597,2740620,NC
-0.3240469,2740621,NC
-0.31893417,2740622,NC
-0.30882153,2740623,NC
-0.29870898,2740624,NC
-0.2935965,2740625,NC
-0.30848408,2740626,NC
-0.31837177,2740627,NC
-0.31825954,2740628,NC
-0.3131474,2740629,NC
-0.3230354,2740630,NC
-0.32292342,2740631,NC
-0.32781157,2740632,NC
-0.3426998,2740633,NC
-0.35258815,2740634,NC
-0.34247655,2740635,NC
-0.34736505,2740636,NC
-0.34225368,2740637,NC
-0.33714244,2740638,NC
-0.34703127,2740639,NC
-0.35192022,2740640,NC
-0.34680924,2740641,NC
-0.3466984,2740642,NC
-0.33658767,2740643,NC
-0.35147706,2740644,NC
-0.37636653,2740645,NC
-0.3812561,2740646,NC
-0.36614585,2740647,NC
-0.32603568,2740648,NC
-0.3009256,2740649,NC
-0.28581566,2740650,NC
-0.26570588,2740651,NC
-0.2355962,2740652,NC
-0.10048662,2740653,NC
0.27962282,2740654,NC
0.7247321,2740655,NC
0.6948413,2740656,f
0.27995038,2740657,NC
-0.054940704,2740658,NC
-0.12483192,2740659,NC
-0.08472326,2740660,NC
-0.06461474,2740661,NC
-0.09950635,2740662,NC
-0.15439811,2740663,NC
-0.18428999,2740664,NC
-0.19418202,2740665,NC
-0.16907422,2740666,NC
-0.17396653,2740667,NC
-0.18385899,2740668,NC
-0.1987516,2740669,NC
-0.20364437,2740670,NC
-0.20353729,2740671,NC
-0.20343034,2740672,NC
-0.21832356,2740673,NC
-0.23821692,2740674,NC
-0.25811046,2740675,NC
-0.29800412,2740676,NC
-0.32789797,2740677,NC
-0.34279194,2740678,NC
-0.34768614,2740679,NC
-0.33258045,2740680,NC
-0.33247492,2740681,NC
-0.35236958,2740682,NC
-0.3822644,2740683,NC
-0.42715937,2740684,NC
-0.4370545,2740685,NC
-0.45194983,2740686,NC
-0.46184534,2740687,NC
-0.481741,2740688,NC
-0.45163685,2740689,NC
-0.41153288,2740690,NC
-0.32642907,2740691,NC
-0.26632544,2740692,NC
-0.20622198,2740693,NC
-0.16611873,2740694,NC
-0.15101565,2740695,NC
-0.18591274,2740696,NC
-0.21081002,2740697,NC
-0.25570753,2740698,NC
-0.3206052,2740699,NC
-0.38050303,2740700,NC
-0.43040106,2740701,NC
-0.47529933,2740702,NC
-0.5051977,2740703,NC
-0.52009636,2740704,NC
-0.5199952,2740705,NC
-0.5048942,2740706,NC
-0.47479343,2740707,NC
-0.45969284,2740708,NC
-0.43459246,2740709,NC
-0.41949227,2740710,NC
-0.3993923,2740711,NC
-0.39929253,2740712,NC
-0.379193,2740713,NC
-0.37409362,2740714,NC
-0.35899448,2740715,NC
-0.34889558,2740716,NC
-0.35379684,2740717,NC
-0.37869835,2740718,NC
-0.37860006,2740719,NC
-0.36850196,2740720,NC
-0.3584041,2740721,NC
-0.34830648,2740722,NC
-0.34820905,2740723,NC
-0.35811186,2740724,NC
-0.33801487,2740725,NC
-0.3279181,2740726,NC
-0.3328216,2740727,NC
-0.3327253,2740728,NC
-0.3376292,2740729,NC
-0.3525334,2740730,NC
-0.34743777,2740731,NC
-0.33734238,2740732,NC
-0.32224724,2740733,NC
-0.3021523,2740734,NC
-0.31205764,2740735,NC
-0.3169632,2740736,NC
-0.316869,2740737,NC
-0.32177502,2740738,NC
-0.3216813,2740739,NC
-0.3315878,2740740,NC
-0.32649454,2740741,NC
-0.35140157,2740742,NC
-0.36630878,2740743,NC
-0.3512163,2740744,NC
-0.331124,2740745,NC
-0.32103202,2740746,NC
-0.30594024,2740747,NC
-0.30084872,2740748,NC
-0.30075747,2740749,NC
-0.30066645,2740750,NC
-0.2955757,2740751,NC
-0.32048523,2740752,NC
-0.310395,2740753,NC
-0.29030502,2740754,NC
-0.27521527,2740755,NC
-0.2751258,2740756,NC
-0.2750366,2740757,NC
-0.26994768,2740758,NC
-0.27985904,2740759,NC
-0.2947706,2740760,NC
-0.29468247,2740761,NC
-0.2945946,2740762,NC
-0.279507,2740763,NC
-0.27941966,2740764,NC
-0.2793326,2740765,NC
-0.2942458,2740766,NC
-0.2941593,2740767,NC
-0.26407304,2740768,NC
-0.24898708,2740769,NC
-0.23890138,2740770,NC
-0.26381597,2740771,NC
-0.28373083,2740772,NC
-0.27364597,2740773,NC
-0.2435614,2740774,NC
-0.2434771,2740775,NC
-0.24839313,2740776,NC
-0.2483094,2740777,NC
-0.26322597,2740778,NC
-0.26314282,2740779,NC
-0.23805994,2740780,NC
-0.22797738,2740781,NC
-0.2278951,2740782,NC
-0.2378131,2740783,NC
-0.2527314,2740784,NC
-0.25765002,2740785,NC
-0.2625689,2740786,NC
-0.2474881,2740787,NC
-0.23240755,2740788,NC
-0.24232733,2740789,NC
-0.25724742,2740790,NC
-0.26216778,2740791,NC
-0.26208848,2740792,NC
-0.24700947,2740793,NC
-0.22693074,2740794,NC
-0.22685233,2740795,NC
-0.2367742,2740796,NC
-0.23169641,2740797,NC
-0.23161891,2740798,NC
-0.24154171,2740799,NC
-0.24146484,2740800,NC
-0.23638828,2740801,NC
-0.23131202,2740802,NC
-0.21623608,2740803,NC
-0.21616045,2740804,NC
-0.20108512,2740805,NC
-0.20601013,2740806,NC
-0.22593544,2740807,NC
-0.24586108,2740808,NC
-0.240787,2740809,NC
-0.23071328,2740810,NC
-0.22563988,2740811,NC
-0.23056677,2740812,NC
-0.22549401,2740813,NC
-0.23542155,2740814,NC
-0.24034943,2740815,NC
-0.23527764,2740816,NC
-0.24020615,2740817,NC
-0.26013502,2740818,NC
-0.27006418,2740819,NC
-0.2849937,2740820,NC
-0.28992355,2740821,NC
-0.27985373,2740822,NC
-0.25978422,2740823,NC
-0.25471506,2740824,NC
-0.2596462,2740825,NC
-0.2995777,2740826,NC
-0.30450955,2740827,NC
-0.30944172,2740828,NC
-0.27437425,2740829,NC
-0.29430705,2740830,NC
-0.29424024,2740831,NC
-0.3041738,2740832,NC
-0.30910763,2740833,NC
-0.30904186,2740834,NC
-0.30897638,2740835,NC
-0.3089113,2740836,NC
-0.2938465,2740837,NC
-0.3137821,2740838,NC
-0.318718,2740839,NC
-0.32365426,2740840,NC
-0.32359087,2740841,NC
-0.32352784,2740842,NC
-0.33846515,2740843,NC
-0.34840283,2740844,NC
-0.36334082,2740845,NC
-0.3382792,2740846,NC
-0.3432179,2740847,NC
-0.34315696,2740848,NC
-0.3480964,2740849,NC
-0.36303616,2740850,NC
-0.36297628,2740851,NC
-0.35291678,2740852,NC
-0.34785762,2740853,NC
-0.34779882,2740854,NC
-0.34774038,2740855,NC
-0.3476823,2740856,NC
-0.34762457,2740857,NC
-0.33756724,2740858,NC
-0.33751023,2740859,NC
-0.3524536,2740860,NC
-0.3723973,2740861,NC
-0.38234138,2740862,NC
-0.37228584,2740863,NC
-0.35723066,2740864,NC
-0.35217583,2740865,NC
-0.3421214,2740866,NC
-0.35206732,2740867,NC
-0.3670136,2740868,NC
-0.35696024,2740869,NC
-0.3419073,2740870,NC
-0.3318547,2740871,NC
-0.34180245,2740872,NC
-0.36175054,2740873,NC
-0.3766991,2740874,NC
-0.37164795,2740875,NC
-0.3615972,2740876,NC
-0.35154682,2740877,NC
-0.35649684,2740878,NC
-0.35144722,2740879,NC
-0.37139797,2740880,NC
-0.38134912,2740881,NC
-0.37630063,2740882,NC
-0.3512525,2740883,NC
-0.35120475,2740884,NC
-0.3511574,2740885,NC
-0.36111042,2740886,NC
-0.36606386,2740887,NC
-0.35101762,2740888,NC
-0.3459718,2740889,NC
-0.34092635,2740890,NC
-0.35588127,2740891,NC
-0.36583662,2740892,NC
-0.36079228,2740893,NC
-0.36074838,2740894,NC
-0.34570485,2740895,NC
-0.3456617,2740896,NC
-0.37061897,2740897,NC
-0.38057658,2740898,NC
-0.3755346,2740899,NC
-0.360493,2740900,NC
-0.3604518,2740901,NC
-0.360411,2740902,NC
-0.38037056,2740903,NC
-0.39033052,2740904,NC
-0.3852909,2740905,NC
-0.37525162,2740906,NC
-0.37021276,2740907,NC
-0.3901743,2740908,NC
-0.3901362,2740909,NC
-0.39509857,2740910,NC
-0.38006124,2740911,NC
-0.37502435,2740912,NC
-0.35998785,2740913,NC
-0.36495176,2740914,NC
-0.35991603,2740915,NC
-0.36988074,2740916,NC
-0.34984583,2740917,NC
-0.3448113,2740918,NC
-0.32977718,2740919,NC
-0.31974345,2740920,NC
-0.33471015,2740921,NC
-0.33467722,2740922,NC
-0.34464467,2740923,NC
-0.35461253,2740924,NC
