channel_0,sample #,type
1.8993198,23752584,V
1.9384863,23752585,NC
1.9704683,23752586,NC
1.9210558,23752587,NC
1.8174082,23752588,NC
1.5936384,23752589,NC
1.201723,23752590,NC
0.69695705,23752591,NC
0.21797544,23752592,NC
-0.15553676,23752593,NC
-0.36317757,23752594,NC
-0.45855662,23752595,NC
-0.48632914,23752596,NC
-0.5240597,23752597,NC
-0.554938,23752598,NC
-0.607388,23752599,NC
-0.64252937,23752600,NC
-0.69205076,23752601,NC
-0.7267109,23752602,NC
-0.7479531,23752603,NC
-0.7504798,23752604,NC
-0.7723163,23752605,NC
-0.8085341,23752606,NC
-0.8283575,23752607,NC
-0.83521366,23752608,NC
-0.8428972,23752609,NC
-0.8458487,23752610,NC
-0.85758865,23752611,NC
-0.8744997,23752612,NC
-0.911515,23752613,NC
-0.9345789,23752614,NC
-0.9396386,23752615,NC
-0.94392943,23752616,NC
-0.94302255,23752617,NC
-0.9735001,23752618,NC
-1.0006123,23752619,NC
-1.023834,23752620,NC
-1.0234149,23752621,NC
-1.0229481,23752622,NC
-1.0624768,23752623,NC
-1.0880322,23752624,NC
-1.1309654,23752625,NC
-1.1617635,23752626,NC
-1.183237,23752627,NC
-1.1855576,23752628,NC
-1.2027229,23752629,NC
-1.2374625,23752630,NC
-1.2638779,23752631,NC
-1.2990679,23752632,NC
-1.3250086,23752633,NC
-1.3347572,23752634,NC
-1.3505876,23752635,NC
-1.4006062,23752636,NC
-1.438397,23752637,NC
-1.4638847,23752638,NC
-1.4824457,23752639,NC
-1.508313,23752640,NC
-1.5524215,23752641,NC
-1.5971552,23752642,NC
-1.6452378,23752643,NC
-1.6873991,23752644,NC
-1.7029455,23752645,NC
-1.7244549,23752646,NC
-1.762144,23752647,NC
-1.7840753,23752648,NC
-1.830549,23752649,NC
-1.8721542,23752650,NC
-1.8734449,23752651,NC
-1.913508,23752652,NC
-1.9221225,23752653,NC
-1.9625401,23752654,NC
-2.0040872,23752655,NC
-2.0413203,23752656,NC
-2.028219,23752657,NC
-2.0257921,23752658,NC
-2.054296,23752659,NC
-2.0724266,23752660,NC
-2.0964482,23752661,NC
-2.1171806,23752662,NC
-2.1005862,23752663,NC
-2.0883465,23752664,NC
-2.092871,23752665,NC
-2.1077087,23752666,NC
-2.1094732,23752667,NC
-2.103871,23752668,NC
-2.0676432,23752669,NC
-2.0320723,23752670,NC
-2.0275686,23752671,NC
-2.023593,23752672,NC
-2.0063212,23752673,NC
-1.9987526,23752674,NC
-1.9449492,23752675,NC
-1.905803,23752676,NC
-1.8970402,23752677,NC
-1.8575778,23752678,NC
-1.8420447,23752679,NC
-1.8057345,23752680,NC
-1.7566282,23752681,NC
-1.6834754,23752682,NC
-1.6429063,23752683,NC
-1.5975115,23752684,NC
-1.5719293,23752685,NC
-1.5148654,23752686,NC
-1.4664792,23752687,NC
-1.4127591,23752688,NC
-1.3686135,23752689,NC
-1.3361994,23752690,NC
-1.3235728,23752691,NC
-1.28874,23752692,NC
-1.2315437,23752693,NC
-1.1861893,23752694,NC
-1.1433272,23752695,NC
-1.0984333,23752696,NC
-1.0687066,23752697,NC
-1.0394402,23752698,NC
-0.995441,23752699,NC
-0.9319268,23752700,NC
-0.89375937,23752701,NC
-0.86805546,23752702,NC
-0.8582382,23752703,NC
-0.83856833,23752704,NC
-0.79277134,23752705,NC
-0.7443532,23752706,NC
-0.718969,23752707,NC
-0.7124431,23752708,NC
-0.6952416,23752709,NC
-0.682686,23752710,NC
-0.6516299,23752711,NC
-0.6016786,23752712,NC
-0.58436495,23752713,NC
-0.5763777,23752714,NC
-0.55504066,23752715,NC
-0.54367524,23752716,NC
-0.518428,23752717,NC
-0.5038804,23752718,NC
-0.48711234,23752719,NC
-0.4719175,23752720,NC
-0.47221047,23752721,NC
-0.4586326,23752722,NC
-0.42373863,23752723,NC
-0.3893766,23752724,NC
-0.3884314,23752725,NC
-0.38124025,23752726,NC
-0.3990073,23752727,NC
-0.407516,23752728,NC
-0.3964174,23752729,NC
-0.3524833,23752730,NC
-0.34026617,23752731,NC
-0.37242052,23752732,NC
-0.35151243,23752733,NC
-0.35829625,23752734,NC
-0.33281246,23752735,NC
-0.28915936,23752736,NC
-0.26681843,23752737,NC
-0.26903585,23752738,NC
-0.28673363,23752739,NC
-0.26944077,23752740,NC
-0.2504331,23752741,NC
-0.24785708,23752742,NC
-0.24447852,23752743,NC
-0.26064754,23752744,NC
-0.25982583,23752745,NC
-0.2729553,23752746,NC
-0.25426826,23752747,NC
-0.23783825,23752748,NC
-0.23535718,23752749,NC
-0.22532278,23752750,NC
-0.23153582,23752751,NC
-0.22960022,23752752,NC
-0.20537853,23752753,NC
-0.201529,23752754,NC
-0.19811922,23752755,NC
-0.20434406,23752756,NC
-0.21773459,23752757,NC
-0.19734819,23752758,NC
-0.18286797,23752759,NC
-0.16699414,23752760,NC
-0.16025278,23752761,NC
-0.17011742,23752762,NC
-0.18459022,23752763,NC
-0.1765519,23752764,NC
-0.15263721,23752765,NC
-0.14158736,23752766,NC
-0.14288633,23752767,NC
-0.14491189,23752768,NC
-0.15609877,23752769,NC
-0.15556982,23752770,NC
-0.15087527,23752771,NC
-0.14862044,23752772,NC
-0.14340353,23752773,NC
-0.15280545,23752774,NC
-0.14395969,23752775,NC
-0.15744932,23752776,NC
-0.12835336,23752777,NC
-0.12555856,23752778,NC
-0.124222904,23752779,NC
-0.15678155,23752780,NC
-0.16250646,23752781,NC
-0.17437547,23752782,NC
-0.16683137,23752783,NC
-0.15394105,23752784,NC
-0.16014987,23752785,NC
-0.18075046,23752786,NC
-0.1997481,23752787,NC
-0.186579,23752788,NC
-0.15554193,23752789,NC
-0.12777884,23752790,NC
-0.12346712,23752791,NC
-0.12493308,23752792,NC
-0.15113506,23752793,NC
-0.17364486,23752794,NC
-0.16006692,23752795,NC
-0.14509052,23752796,NC
-0.13496304,23752797,NC
-0.15497182,23752798,NC
-0.17539537,23752799,NC
-0.16926935,23752800,NC
-0.16013283,23752801,NC
-0.14005336,23752802,NC
-0.13537163,23752803,NC
-0.13109379,23752804,NC
-0.1335496,23752805,NC
-0.12434092,23752806,NC
-0.1083627,23752807,NC
-0.08716688,23752808,NC
-0.09209429,23752809,NC
-0.10107792,23752810,NC
-0.106987126,23752811,NC
-0.11242225,23752812,NC
-0.09674984,23752813,NC
-0.07857737,23752814,NC
-0.07080031,23752815,NC
-0.09462038,23752816,NC
-0.09044276,23752817,NC
-0.09155925,23752818,NC
-0.07563175,23752819,NC
-0.06481387,23752820,NC
-0.06176214,23752821,NC
-0.073930144,23752822,NC
-0.10469596,23752823,NC
-0.08039061,23752824,NC
-0.08076993,23752825,NC
-0.06710275,23752826,NC
-0.05828018,23752827,NC
-0.059199728,23752828,NC
-0.074225985,23752829,NC
-0.08405021,23752830,NC
-0.07076398,23752831,NC
-0.05664401,23752832,NC
-0.06364387,23752833,NC
-0.07514104,23752834,NC
-0.08491237,23752835,NC
-0.08956851,23752836,NC
-0.08797079,23752837,NC
-0.08543618,23752838,NC
-0.1017234,23752839,NC
-0.10657737,23752840,NC
-0.12704723,23752841,NC
-0.13483138,23752842,NC
-0.11379733,23752843,NC
-0.10842652,23752844,NC
-0.1015664,23752845,NC
-0.11979731,23752846,NC
-0.13087812,23752847,NC
-0.13820809,23752848,NC
-0.118747205,23752849,NC
-0.10362408,23752850,NC
-0.10199344,23752851,NC
-0.118886374,23752852,NC
-0.13281818,23752853,NC
-0.1357865,23752854,NC
-0.11037276,23752855,NC
-0.08695503,23752856,NC
-0.08540542,23752857,NC
-0.08755785,23752858,NC
-0.08999039,23752859,NC
-0.08782336,23752860,NC
-0.065010644,23752861,NC
-0.04692072,23752862,NC
-0.04359215,23752863,NC
-0.05904208,23752864,NC
-0.08596679,23752865,NC
-0.08720386,23752866,NC
-0.082448006,23752867,NC
-0.051235475,23752868,NC
-0.047122274,23752869,NC
-0.07858178,23752870,NC
-0.082449175,23752871,NC
-0.07734224,23752872,NC
-0.046409946,23752873,NC
-0.040746763,23752874,NC
-0.031601243,23752875,NC
-0.04680817,23752876,NC
-0.07016319,23752877,NC
-0.07279606,23752878,NC
-0.052084755,23752879,NC
-0.03482358,23752880,NC
-0.02762488,23752881,NC
-0.03868528,23752882,NC
-0.04399375,23752883,NC
-0.028477821,23752884,NC
0.010814383,23752885,NC
0.027329242,23752886,NC
0.059905227,23752887,NC
0.09557169,23752888,NC
0.14134704,23752889,NC
0.21432632,23752890,NC
0.341709,23752891,NC
0.507786,23752892,NC
0.70204973,23752893,NC
0.928474,23752894,NC
1.1639472,23752895,NC
1.3286227,23752896,NC
1.4723674,23752897,NC
1.5708513,23752898,NC
1.5833559,23752899,NC
1.5321444,23752900,f
1.4220424,23752901,NC
1.292643,23752902,NC
1.2273692,23752903,NC
1.2609383,23752904,NC
1.3120031,23752905,NC
1.29975,23752906,NC
1.1553144,23752907,NC
0.94645184,23752908,NC
0.78729224,23752909,NC
0.7379669,23752910,NC
0.76667494,23752911,NC
0.7725856,23752912,NC
0.7470124,23752913,NC
0.6978102,23752914,NC
0.661879,23752915,NC
0.6353775,23752916,NC
0.6039248,23752917,NC
0.5424899,23752918,NC
0.48585153,23752919,NC
0.4432043,23752920,NC
0.42947847,23752921,NC
0.4190338,23752922,NC
0.40160212,23752923,NC
0.35905588,23752924,NC
0.31156397,23752925,NC
0.27231327,23752926,NC
0.25601703,23752927,NC
0.23353098,23752928,NC
0.18050827,23752929,NC
0.13417059,23752930,NC
0.07114305,23752931,NC
0.05446725,23752932,NC
0.049739532,23752933,NC
0.06557312,23752934,NC
0.06644776,23752935,NC
0.04910995,23752936,NC
0.009789785,23752937,NC
-0.0134817315,23752938,NC
-0.046245106,23752939,NC
-0.0652948,23752940,NC
-0.10211745,23752941,NC
-0.14644712,23752942,NC
-0.16932698,23752943,NC
-0.1630979,23752944,NC
-0.15501669,23752945,NC
-0.14627337,23752946,NC
-0.16464822,23752947,NC
-0.19052634,23752948,NC
-0.2279865,23752949,NC
-0.23134919,23752950,NC
-0.2424793,23752951,NC
-0.24220319,23752952,NC
-0.26600686,23752953,NC
-0.29608408,23752954,NC
-0.33391201,23752955,NC
-0.3491641,23752956,NC
-0.35975474,23752957,NC
-0.3596943,23752958,NC
-0.37510806,23752959,NC
-0.38935822,23752960,NC
-0.35974288,23752961,NC
-0.34363723,23752962,NC
-0.32700133,23752963,NC
-0.32289866,23752964,NC
-0.32341996,23752965,NC
-0.3455048,23752966,NC
-0.38182417,23752967,NC
-0.4018641,23752968,NC
-0.3860385,23752969,NC
-0.39729312,23752970,NC
-0.41531274,23752971,NC
-0.45828223,23752972,NC
-0.48499206,23752973,NC
-0.5022666,23752974,NC
-0.5075703,23752975,NC
-0.51232016,23752976,NC
-0.5070095,23752977,NC
-0.5450261,23752978,NC
-0.5709232,23752979,NC
-0.57602626,23752980,NC
-0.59463084,23752981,NC
-0.59344417,23752982,NC
-0.6298168,23752983,NC
-0.67070377,23752984,NC
-0.70939934,23752985,NC
-0.72928435,23752986,NC
-0.7614783,23752987,NC
-0.7676044,23752988,NC
-0.797031,23752989,NC
-0.8285929,23752990,NC
-0.8840876,23752991,NC
-0.91033953,23752992,NC
-0.929614,23752993,NC
-0.9371447,23752994,NC
-0.96210563,23752995,NC
-1.0013999,23752996,NC
-1.0317242,23752997,NC
-1.0395176,23752998,NC
-1.059661,23752999,NC
-1.0561806,23753000,NC
-1.076548,23753001,NC
-1.0922563,23753002,NC
-1.1171906,23753003,NC
-1.1081347,23753004,NC
-1.0947378,23753005,NC
-1.0779028,23753006,NC
-1.0824803,23753007,NC
-1.102025,23753008,NC
-1.0934386,23753009,NC
-1.091827,23753010,NC
